HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,広島,L,0,1,16,12,6,3,0,0,690,521,15,9,16,12,1,1,4,3,21,14,8,11,20,17,9,22,3,3,1,1,1,1,0,0,54,29,11,9,132,124,12.1%,9.7%,55.8%,44.2%,https://www.football-lab.jp/c-os/report/?year=2014&month=03&date=01
A,徳島,W,2,0,12,7,7,1,0,0,663,406,12,11,12,18,1,5,2,4,35,25,15,5,18,18,20,19,6,4,5,1,2,1,0,0,45,31,14,13,142,144,8.5%,4.9%,58.3%,41.7%,https://www.football-lab.jp/c-os/report/?year=2014&month=03&date=08
H,清水,W,4,1,21,8,7,5,0,1,438,517,17,19,6,18,3,0,7,5,24,17,24,15,23,20,20,22,3,8,0,3,2,0,0,0,44,42,22,10,135,136,15.6%,5.9%,49.5%,50.5%,https://www.football-lab.jp/c-os/report/?year=2014&month=03&date=15
A,鹿島,W,2,0,14,18,7,3,0,0,409,549,10,21,12,12,3,3,3,6,16,26,11,15,31,20,31,11,3,0,2,1,1,2,0,0,35,57,12,18,141,150,9.9%,12.0%,46.3%,53.7%,https://www.football-lab.jp/c-os/report/?year=2014&month=03&date=23
H,新潟,D,0,0,11,16,3,3,0,0,436,481,8,21,9,16,0,0,7,6,20,21,10,11,23,27,25,17,2,4,0,0,1,0,0,0,32,51,16,12,137,139,8.0%,11.5%,49%,51%,https://www.football-lab.jp/c-os/report/?year=2014&month=03&date=29
A,柏,L,1,2,12,13,7,7,0,0,585,458,7,14,9,14,0,0,6,4,26,20,11,19,34,28,21,32,2,4,0,0,2,0,0,0,33,43,11,15,132,132,9.1%,9.8%,53.5%,46.5%,https://www.football-lab.jp/c-os/report/?year=2014&month=04&date=06
H,Ｇ大阪,D,2,2,21,17,8,5,0,0,472,585,11,16,9,10,1,1,6,4,22,26,14,10,21,25,21,18,5,3,1,1,1,1,0,0,49,59,14,12,137,138,15.3%,12.3%,46.9%,53.1%,https://www.football-lab.jp/c-os/report/?year=2014&month=04&date=12
A,Ｆ東京,L,0,2,18,18,4,4,0,0,605,330,15,13,9,11,2,2,7,5,27,27,12,20,31,22,25,21,0,10,2,2,2,2,0,0,60,48,14,14,142,141,12.7%,12.8%,60.3%,39.7%,https://www.football-lab.jp/c-os/report/?year=2014&month=04&date=19
A,神戸,D,2,2,17,12,6,2,0,1,418,517,9,10,16,15,0,4,2,5,19,21,9,16,26,15,19,14,2,6,4,0,3,3,0,0,38,34,13,9,133,137,12.8%,8.8%,44.7%,55.3%,https://www.football-lab.jp/c-os/report/?year=2014&month=04&date=26
H,大宮,D,1,1,17,14,4,1,0,0,578,456,20,11,8,7,1,1,7,2,37,20,12,11,21,34,10,47,6,1,1,1,1,1,0,0,49,34,15,10,138,126,12.3%,11.1%,52.9%,47.1%,https://www.football-lab.jp/c-os/report/?year=2014&month=04&date=29
