HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,浦和,L,0,1,11,16,2,3,0,0,633,606,8,16,9,8,2,4,1,4,24,21,4,6,17,22,22,17,7,5,3,2,2,1,0,0,53,52,6,13,109,121,10.1%,13.2%,47.7%,52.3%,https://www.football-lab.jp/g-os/report/?year=2014&month=03&date=01
A,新潟,W,2,0,11,21,4,2,0,0,433,558,12,25,10,12,0,4,7,12,19,18,10,15,19,26,23,12,6,7,4,0,1,0,0,0,36,59,14,12,137,140,8.0%,15.0%,45.2%,54.8%,https://www.football-lab.jp/g-os/report/?year=2014&month=03&date=08
A,仙台,D,0,0,5,17,1,5,0,0,618,496,22,22,11,12,3,8,1,7,19,23,13,20,23,17,26,23,2,3,8,3,0,1,0,0,38,50,12,17,127,141,3.9%,12.1%,51.9%,48.1%,https://www.football-lab.jp/g-os/report/?year=2014&month=03&date=15
H,広島,D,1,1,16,20,2,2,0,1,421,626,12,24,12,14,2,1,6,6,19,18,21,25,25,31,18,22,5,8,1,1,2,3,0,0,38,56,18,12,125,134,12.8%,14.9%,40%,60%,https://www.football-lab.jp/g-os/report/?year=2014&month=03&date=23
A,鳥栖,L,0,2,13,11,2,3,0,0,554,331,16,12,11,17,3,1,11,2,16,22,8,4,8,21,23,29,1,8,1,2,2,1,0,0,43,34,11,12,125,124,10.4%,8.9%,57.4%,42.6%,https://www.football-lab.jp/g-os/report/?year=2014&month=03&date=29
H,鹿島,L,0,2,11,24,3,6,0,0,671,430,19,20,16,11,1,1,1,4,30,20,15,14,25,35,16,24,2,0,1,1,2,2,0,0,52,55,14,16,144,143,7.6%,16.8%,57.8%,42.2%,https://www.football-lab.jp/g-os/report/?year=2014&month=04&date=06
A,Ｃ大阪,D,2,2,17,21,5,8,0,0,585,472,16,11,10,9,1,1,4,6,26,22,10,14,25,21,18,21,3,5,1,1,1,1,0,0,59,49,12,14,138,137,12.3%,15.3%,53.1%,46.9%,https://www.football-lab.jp/g-os/report/?year=2014&month=04&date=12
H,大宮,W,2,1,20,15,12,3,0,0,475,447,19,20,13,9,1,2,7,4,22,28,20,13,27,37,26,18,4,3,1,1,1,1,0,0,33,34,25,14,147,149,13.6%,10.1%,49.1%,50.9%,https://www.football-lab.jp/g-os/report/?year=2014&month=04&date=19
A,川崎Ｆ,L,1,2,11,24,4,7,0,0,451,765,8,6,7,14,2,4,2,2,14,24,9,20,30,28,20,11,6,8,3,2,0,2,0,0,42,71,9,24,114,127,9.6%,18.9%,39.7%,60.3%,https://www.football-lab.jp/g-os/report/?year=2014&month=04&date=26
H,柏,L,1,2,9,14,1,4,0,0,510,552,20,21,9,12,4,2,5,6,27,36,10,11,32,17,28,28,1,3,2,4,1,1,0,0,34,49,14,16,125,145,7.2%,9.7%,47.7%,52.3%,https://www.football-lab.jp/g-os/report/?year=2014&month=04&date=29
A,横浜FM,L,0,2,16,10,4,4,0,0,569,424,14,14,10,10,3,2,7,2,26,19,16,7,19,38,21,21,3,6,2,2,1,0,0,0,46,40,14,10,134,125,11.9%,8.0%,53.6%,46.4%,https://www.football-lab.jp/g-os/report/?year=2014&month=05&date=03
H,徳島,W,3,0,21,6,9,1,0,0,806,321,18,13,12,4,2,8,5,3,32,21,16,8,11,16,23,32,3,4,7,2,0,0,0,0,65,24,24,8,138,126,15.2%,4.8%,65.6%,34.4%,https://www.football-lab.jp/g-os/report/?year=2014&month=05&date=06
A,名古屋,W,2,1,17,16,7,4,0,0,632,437,18,12,10,8,1,1,10,2,33,17,14,12,17,27,25,30,1,2,1,0,1,0,0,0,61,46,16,14,143,129,11.9%,12.4%,55.5%,44.5%,https://www.football-lab.jp/g-os/report/?year=2014&month=05&date=10
A,Ｆ東京,L,0,3,12,15,4,3,0,0,804,309,20,8,7,17,2,2,6,6,24,19,22,14,16,25,19,30,2,9,2,2,3,1,0,0,60,35,18,15,120,119,10.0%,12.6%,65.8%,34.2%,https://www.football-lab.jp/g-os/report/?year=2014&month=05&date=17
