HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,Opponent_シュート,hiro_シュート,Opponent_枠内シュート,hiro_枠内シュート,Opponent_PKによるシュート,hiro_PKによるシュート,Opponent_パス,hiro_パス,Opponent_クロス,hiro_クロス,Opponent_直接ＦＫ,hiro_直接ＦＫ,Opponent_間接ＦＫ,hiro_間接ＦＫ,Opponent_ＣＫ,hiro_ＣＫ,Opponent_スローイン,hiro_スローイン,Opponent_ドリブル,hiro_ドリブル,Opponent_タックル,hiro_タックル,Opponent_クリア,hiro_クリア,Opponent_インターセプト,hiro_インターセプト,Opponent_オフサイド,hiro_オフサイド,Opponent_警告,hiro_警告,Opponent_退場,hiro_退場,Opponent_３０ｍライン進入,hiro_３０ｍライン進入,Opponent_ペナルティエリア進入,hiro_ペナルティエリア進入,Opponent_攻撃回数,hiro_攻撃回数,Opponent_チャンス構築率,hiro_チャンス構築率,Opponent_ボール保持率,hiro_ボール保持率,URL
A,Ｃ大阪,W,1,0,16,12,6,3,0,0,690,521,15,9,16,12,1,1,4,3,21,14,8,11,20,17,9,22,3,3,1,1,1,1,0,0,54,29,11,9,132,124,12.1%,9.7%,55.8%,44.2%,https://www.football-lab.jp/hiro/report/?year=2014&month=03&date=01
H,川崎Ｆ,W,2,1,7,17,1,6,0,0,592,564,8,26,9,11,2,3,1,6,16,22,7,23,27,20,25,12,6,4,3,2,2,1,1,0,42,46,11,10,99,112,7.1%,15.2%,48.6%,51.4%,https://www.football-lab.jp/hiro/report/?year=2014&month=03&date=08
H,浦和,L,0,2,11,10,5,3,0,0,591,502,13,10,12,20,3,6,4,2,12,28,13,13,34,26,20,20,8,9,5,3,5,0,1,0,38,27,14,7,121,144,9.1%,6.9%,54.4%,45.6%,https://www.football-lab.jp/hiro/report/?year=2014&month=03&date=15
A,Ｇ大阪,D,1,1,16,20,2,2,0,1,421,626,12,24,12,14,2,1,6,6,19,18,21,25,25,31,18,22,5,8,1,1,2,3,0,0,38,56,18,12,125,134,12.8%,14.9%,40%,60%,https://www.football-lab.jp/hiro/report/?year=2014&month=03&date=23
H,徳島,W,3,1,11,15,3,6,0,0,434,620,8,24,10,10,3,0,4,9,15,13,6,23,20,18,23,21,3,8,0,3,0,0,0,0,33,49,13,12,106,112,10.4%,13.4%,43.7%,56.3%,https://www.football-lab.jp/hiro/report/?year=2014&month=03&date=29
A,名古屋,W,5,2,14,18,5,9,1,1,420,583,9,15,11,7,4,2,3,2,17,18,14,18,9,12,13,7,6,7,1,4,2,1,0,0,30,41,9,12,113,109,12.4%,16.5%,42.5%,57.5%,https://www.football-lab.jp/hiro/report/?year=2014&month=04&date=06
H,Ｆ東京,W,1,0,9,9,3,2,0,0,462,550,17,19,3,17,5,0,8,5,17,31,10,15,28,22,24,25,4,8,0,5,2,1,0,0,50,41,11,12,109,126,8.3%,7.1%,45.5%,54.5%,https://www.football-lab.jp/hiro/report/?year=2014&month=04&date=12
A,新潟,D,0,0,18,5,3,3,0,0,525,581,18,8,12,14,1,1,5,1,13,18,15,15,26,32,19,15,3,6,1,1,1,1,0,0,59,29,21,4,129,133,14.0%,3.8%,45.4%,54.6%,https://www.football-lab.jp/hiro/report/?year=2014&month=04&date=20
H,鹿島,L,0,3,10,13,5,5,0,0,272,708,12,32,7,14,3,2,2,8,12,37,7,31,25,9,39,12,2,2,2,3,4,0,0,0,22,54,7,10,105,133,9.5%,9.8%,34.2%,65.8%,https://www.football-lab.jp/hiro/report/?year=2014&month=04&date=26
A,鳥栖,W,2,1,10,12,1,5,0,0,413,774,17,10,7,17,0,2,3,3,15,14,12,11,17,23,16,21,7,2,2,0,3,1,1,0,38,47,18,10,105,118,9.5%,10.2%,37.9%,62.1%,https://www.football-lab.jp/hiro/report/?year=2014&month=04&date=29
A,神戸,D,0,0,13,11,4,2,0,0,516,562,13,31,11,11,0,0,3,8,12,24,13,9,23,27,32,11,3,6,0,0,1,0,0,0,41,39,13,14,110,125,11.8%,8.8%,49.5%,50.5%,https://www.football-lab.jp/hiro/report/?year=2014&month=05&date=03
H,清水,D,1,1,12,11,4,3,0,0,472,565,20,14,9,12,3,3,7,5,24,16,8,21,17,12,17,28,6,3,3,3,1,1,0,0,46,31,17,10,118,113,10.2%,9.7%,43.8%,56.2%,https://www.football-lab.jp/hiro/report/?year=2014&month=05&date=10
