HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,神戸,D,2,2,24,20,6,5,0,0,591,462,10,15,17,12,3,4,4,6,27,10,12,18,31,29,23,25,4,3,4,3,0,3,0,0,52,40,16,12,139,125,17.3%,16.0%,53.8%,46.2%,https://www.football-lab.jp/ka-f/report/?year=2014&month=03&date=02
A,広島,L,1,2,7,17,1,6,0,0,592,564,8,26,9,11,2,3,1,6,16,22,7,23,27,20,25,12,6,4,3,2,2,1,1,0,42,46,11,10,99,112,7.1%,15.2%,48.6%,51.4%,https://www.football-lab.jp/ka-f/report/?year=2014&month=03&date=08
H,大宮,L,3,4,32,8,6,6,0,0,774,315,23,11,14,8,1,0,12,4,22,9,24,6,21,23,16,35,2,4,0,1,0,2,0,0,79,24,32,9,129,114,24.8%,7.0%,62.6%,37.4%,https://www.football-lab.jp/ka-f/report/?year=2014&month=03&date=15
A,Ｆ東京,W,4,0,17,11,7,3,0,0,668,423,10,26,7,12,3,6,7,5,10,24,15,19,25,20,35,14,4,5,6,3,0,1,0,0,46,46,15,10,115,126,14.8%,8.7%,58%,42%,https://www.football-lab.jp/ka-f/report/?year=2014&month=03&date=23
H,名古屋,W,1,0,16,10,3,2,0,0,656,404,17,15,10,16,3,5,9,5,9,14,19,5,19,30,26,16,3,2,5,3,1,3,0,0,65,39,20,10,118,115,13.6%,8.7%,56.9%,43.1%,https://www.football-lab.jp/ka-f/report/?year=2014&month=03&date=28
A,徳島,W,4,0,18,1,7,0,0,0,911,435,9,11,6,12,1,2,4,0,25,16,18,7,18,26,15,22,4,4,1,1,0,0,0,0,77,22,16,6,109,110,16.5%,0.9%,60.5%,39.5%,https://www.football-lab.jp/ka-f/report/?year=2014&month=04&date=06
H,柏,D,1,1,19,10,3,4,0,0,659,458,6,6,17,9,1,3,5,6,25,8,14,10,18,17,21,21,2,1,3,1,1,2,0,0,56,24,21,10,109,101,17.4%,9.9%,55.3%,44.7%,https://www.football-lab.jp/ka-f/report/?year=2014&month=04&date=11
A,浦和,L,0,1,13,14,4,7,0,0,667,445,7,17,18,12,0,1,3,9,22,15,13,11,17,35,18,17,7,2,1,0,0,5,0,0,49,43,20,11,124,120,10.5%,11.7%,54.5%,45.5%,https://www.football-lab.jp/ka-f/report/?year=2014&month=04&date=19
H,Ｇ大阪,W,2,1,24,11,7,4,0,0,765,451,6,8,14,7,4,2,2,2,24,14,20,9,28,30,11,20,8,6,2,3,2,0,0,0,71,42,24,9,127,114,18.9%,9.6%,60.3%,39.7%,https://www.football-lab.jp/ka-f/report/?year=2014&month=04&date=26
A,仙台,D,0,0,12,12,3,4,0,0,707,390,12,23,9,2,6,4,10,6,12,20,10,14,12,19,38,36,4,2,4,6,0,2,0,0,60,37,27,14,120,114,10.0%,10.5%,60.5%,39.5%,https://www.football-lab.jp/ka-f/report/?year=2014&month=04&date=29
