HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,甲府,W,4,0,14,15,4,5,0,0,450,414,23,13,16,12,3,5,5,6,26,31,14,7,15,30,19,23,2,2,4,2,0,1,0,0,42,30,14,16,129,137,10.9%,10.9%,49.2%,50.8%,https://www.football-lab.jp/kasm/report/?year=2014&month=03&date=01
H,仙台,W,2,0,13,14,1,5,0,0,649,447,20,11,16,13,6,5,4,3,18,28,13,17,22,9,19,30,1,4,5,4,0,1,0,0,43,41,15,10,127,135,10.2%,10.4%,57.6%,42.4%,https://www.football-lab.jp/kasm/report/?year=2014&month=03&date=08
A,鳥栖,W,3,0,15,15,6,4,1,0,385,358,19,12,12,16,2,4,6,5,26,20,8,12,25,24,33,39,0,1,4,1,1,3,0,0,43,28,15,13,131,139,11.5%,10.8%,51.6%,48.4%,https://www.football-lab.jp/kasm/report/?year=2014&month=03&date=15
H,Ｃ大阪,L,0,2,14,18,7,3,0,0,409,549,10,21,12,12,3,3,3,6,16,26,11,15,31,20,31,11,3,0,2,1,1,2,0,0,35,57,12,18,141,150,9.9%,12.0%,46.3%,53.7%,https://www.football-lab.jp/kasm/report/?year=2014&month=03&date=23
A,横浜FM,W,3,1,10,14,1,3,0,0,517,358,10,6,22,11,3,2,6,9,20,15,19,13,25,19,25,30,7,5,2,3,2,1,0,0,45,33,10,20,138,130,7.2%,10.8%,59.7%,40.3%,https://www.football-lab.jp/kasm/report/?year=2014&month=03&date=29
A,Ｇ大阪,W,2,0,11,24,3,6,0,0,671,430,19,20,16,11,1,1,1,4,30,20,15,14,25,35,16,24,2,0,1,1,2,2,0,0,52,55,14,16,144,143,7.6%,16.8%,57.8%,42.2%,https://www.football-lab.jp/kasm/report/?year=2014&month=04&date=06
H,新潟,L,1,2,9,15,2,7,0,0,319,517,13,18,13,14,3,1,5,9,17,37,15,27,34,22,42,15,3,4,1,2,2,0,0,0,37,43,12,18,142,168,6.3%,8.9%,42.4%,57.6%,https://www.football-lab.jp/kasm/report/?year=2014&month=04&date=12
H,神戸,L,2,3,11,24,4,8,1,0,423,486,14,19,16,17,4,1,5,9,26,23,15,16,18,33,22,24,3,2,1,4,2,4,0,1,36,44,11,27,141,141,7.8%,17.0%,48.9%,51.1%,https://www.football-lab.jp/kasm/report/?year=2014&month=04&date=19
A,広島,W,3,0,13,10,5,5,0,0,708,272,32,12,14,7,2,3,8,2,37,12,31,7,9,25,12,39,2,2,3,2,0,4,0,0,54,22,10,7,133,105,9.8%,9.5%,65.8%,34.2%,https://www.football-lab.jp/kasm/report/?year=2014&month=04&date=26
H,清水,W,2,1,15,19,2,6,0,0,401,405,16,19,13,13,4,8,2,7,16,21,16,9,22,12,17,26,1,2,8,3,1,3,0,0,44,39,15,14,127,129,11.8%,14.7%,49.2%,50.8%,https://www.football-lab.jp/kasm/report/?year=2014&month=04&date=29
A,柏,L,0,1,8,17,3,5,0,0,376,462,21,13,15,11,6,2,6,7,20,29,9,13,19,14,48,32,3,2,2,5,2,1,0,0,40,44,19,17,130,142,6.2%,12.0%,46.4%,53.6%,https://www.football-lab.jp/kasm/report/?year=2014&month=05&date=03
H,名古屋,L,1,2,11,15,7,6,0,1,408,495,5,21,14,7,5,3,1,8,31,32,11,21,37,31,33,11,2,2,3,4,4,1,0,0,32,56,10,20,153,157,7.2%,9.6%,45.8%,54.2%,https://www.football-lab.jp/kasm/report/?year=2014&month=05&date=06
A,川崎Ｆ,L,1,4,15,17,7,7,0,0,505,480,5,21,20,8,0,4,4,5,20,27,25,27,23,23,31,17,9,5,4,0,0,3,0,0,42,56,22,16,136,133,11.0%,12.8%,51.8%,48.2%,https://www.football-lab.jp/kasm/report/?year=2014&month=05&date=10
H,徳島,W,1,0,5,30,2,10,0,0,363,731,10,21,12,9,1,2,0,10,16,19,7,13,20,19,24,14,1,5,2,1,1,2,0,0,22,74,8,28,123,135,4.1%,22.2%,38.3%,61.7%,https://www.football-lab.jp/kasm/report/?year=2014&month=05&date=17
A,Ｆ東京,D,1,1,10,20,3,4,0,0,335,471,14,22,17,20,1,2,2,3,20,18,9,25,26,15,19,27,3,4,2,1,3,3,0,1,33,62,10,19,125,128,8.0%,15.6%,44.4%,55.6%,https://www.football-lab.jp/kasm/report/?year=2014&month=07&date=19
H,大宮,D,2,2,10,28,4,6,0,0,420,485,14,22,12,14,5,1,3,8,18,19,7,19,29,14,36,21,3,1,1,5,1,1,0,0,32,54,11,31,109,122,9.2%,23.0%,46.2%,53.8%,https://www.football-lab.jp/kasm/report/?year=2014&month=07&date=23
A,浦和,D,1,1,11,13,4,7,0,0,599,314,15,12,17,19,2,2,6,4,13,19,12,9,25,15,22,15,7,4,2,2,1,1,0,0,48,33,10,15,111,113,9.9%,11.5%,63.5%,36.5%,https://www.football-lab.jp/kasm/report/?year=2014&month=07&date=27
H,広島,W,5,1,12,18,4,10,0,0,656,380,24,14,16,7,1,2,3,5,15,16,21,12,11,16,23,24,2,5,2,1,2,2,0,0,45,39,15,12,106,104,11.3%,17.3%,60.2%,39.8%,https://www.football-lab.jp/kasm/report/?year=2014&month=08&date=02
A,名古屋,W,3,2,7,19,4,6,1,0,322,445,12,14,19,12,5,2,3,5,21,18,18,19,23,25,23,27,6,1,2,5,2,3,0,0,28,50,12,16,138,126,5.1%,15.1%,43.9%,56.1%,https://www.football-lab.jp/kasm/report/?year=2014&month=08&date=09
H,甲府,W,1,0,11,8,3,4,0,0,460,430,18,6,13,16,2,1,3,3,27,35,8,12,28,17,21,33,1,3,1,2,1,0,0,0,38,37,19,10,142,144,7.7%,5.6%,49.3%,50.7%,https://www.football-lab.jp/kasm/report/?year=2014&month=08&date=16
A,清水,W,3,1,12,16,3,6,0,1,374,447,12,18,19,12,3,5,2,1,19,17,7,18,12,11,19,11,1,2,4,2,3,6,1,1,36,42,7,11,116,112,10.3%,14.3%,43.8%,56.2%,https://www.football-lab.jp/kasm/report/?year=2014&month=08&date=23
H,Ｆ東京,D,2,2,12,20,4,4,1,0,406,321,18,21,15,19,1,4,4,10,26,27,18,17,21,17,22,27,0,3,4,1,1,1,0,1,36,39,9,25,123,130,9.8%,15.4%,52.2%,47.8%,https://www.football-lab.jp/kasm/report/?year=2014&month=08&date=30
A,大宮,L,1,2,9,27,4,7,0,0,267,472,11,24,14,12,5,3,5,8,28,36,13,24,17,17,41,19,1,0,2,5,2,1,0,0,26,63,9,26,132,136,6.8%,19.9%,43.1%,56.9%,https://www.football-lab.jp/kasm/report/?year=2014&month=09&date=13
H,横浜FM,W,1,0,2,22,0,4,0,1,468,373,11,13,12,14,2,3,2,6,28,25,9,24,22,28,23,19,3,0,3,1,1,0,0,0,27,45,7,15,140,134,1.4%,16.4%,55.1%,44.9%,https://www.football-lab.jp/kasm/report/?year=2014&month=09&date=20
A,仙台,W,1,0,11,17,0,4,0,0,396,399,26,14,15,16,7,5,2,3,19,14,19,17,17,18,24,34,4,4,5,6,2,2,0,0,45,41,15,20,145,140,7.6%,12.1%,50.3%,49.7%,https://www.football-lab.jp/kasm/report/?year=2014&month=09&date=23
A,徳島,W,5,0,9,24,2,9,0,0,395,585,10,13,16,14,2,1,3,8,16,21,16,11,22,17,20,17,2,4,1,2,1,1,0,0,31,61,7,21,131,141,6.9%,17.0%,43.5%,56.5%,https://www.football-lab.jp/kasm/report/?year=2014&month=09&date=27
H,Ｇ大阪,L,2,3,15,23,4,8,0,0,569,446,16,14,13,15,1,0,0,8,13,22,17,12,23,16,14,14,2,4,0,0,1,3,0,0,47,54,17,18,118,134,12.7%,17.2%,53.6%,46.4%,https://www.football-lab.jp/kasm/report/?year=2014&month=10&date=05
H,柏,L,2,3,12,25,5,7,0,0,380,467,13,23,13,18,1,2,1,5,26,30,9,19,29,17,37,18,2,3,2,1,4,0,1,0,35,49,13,28,134,153,9.0%,16.3%,46.3%,53.7%,https://www.football-lab.jp/kasm/report/?year=2014&month=10&date=18
A,神戸,D,0,0,10,20,3,2,0,0,348,467,6,15,9,17,2,2,2,6,29,28,19,23,28,23,27,18,1,2,1,2,2,0,0,0,28,55,8,21,131,143,7.6%,14.0%,46.1%,53.9%,https://www.football-lab.jp/kasm/report/?year=2014&month=10&date=22
H,浦和,D,1,1,12,18,4,5,1,0,551,336,15,15,10,16,3,1,2,7,19,29,10,12,18,8,18,13,2,0,1,3,0,3,0,0,43,45,7,11,112,124,10.7%,14.5%,60.9%,39.1%,https://www.football-lab.jp/kasm/report/?year=2014&month=10&date=26
