HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
H,Ｆ東京,D,1,1,13,18,4,6,0,0,559,344,14,20,12,11,5,5,3,6,23,23,7,11,16,19,56,30,1,2,4,5,1,4,0,0,45,33,11,18,127,132,10.2%,13.6%,58.6%,41.4%,https://www.football-lab.jp/kasw/report/?year=2014&month=03&date=01
A,神戸,D,1,1,19,14,1,7,0,0,572,485,16,19,14,12,3,5,2,3,20,12,15,16,25,25,21,25,5,8,5,3,2,1,0,1,54,37,10,13,147,141,12.9%,9.9%,53.8%,46.2%,https://www.football-lab.jp/kasw/report/?year=2014&month=03&date=08
H,名古屋,L,0,1,15,15,4,5,0,0,473,323,19,9,14,16,2,0,6,4,28,19,11,13,32,19,18,50,1,5,0,1,2,2,0,0,44,34,13,10,140,132,10.7%,11.4%,57.9%,42.1%,https://www.football-lab.jp/kasw/report/?year=2014&month=03&date=15
A,徳島,W,2,0,15,6,4,3,0,0,711,373,23,10,15,14,3,3,2,1,28,16,11,11,23,23,17,38,5,5,3,3,1,1,0,0,70,24,18,11,130,129,11.5%,4.7%,61.9%,38.1%,https://www.football-lab.jp/kasw/report/?year=2014&month=03&date=23
H,大宮,D,2,2,11,5,4,2,0,0,508,562,18,19,13,10,1,2,2,6,14,21,11,12,29,18,26,23,2,1,2,0,2,3,0,0,59,44,15,9,120,129,9.2%,3.9%,48.1%,51.9%,https://www.football-lab.jp/kasw/report/?year=2014&month=03&date=29
H,Ｃ大阪,W,2,1,13,12,7,7,0,0,458,585,14,7,14,9,0,0,4,6,20,26,19,11,28,34,32,21,4,2,0,0,0,2,0,0,43,33,15,11,132,132,9.8%,9.1%,46.5%,53.5%,https://www.football-lab.jp/kasw/report/?year=2014&month=04&date=06
A,川崎Ｆ,D,1,1,10,19,4,3,0,0,458,659,6,6,9,17,3,1,6,5,8,25,10,14,17,18,21,21,1,2,1,3,2,1,0,0,24,56,10,21,101,109,9.9%,17.4%,44.7%,55.3%,https://www.football-lab.jp/kasw/report/?year=2014&month=04&date=11
H,横浜FM,D,0,0,9,12,5,0,0,0,471,488,15,21,9,15,3,1,3,4,26,30,11,19,32,32,28,17,7,5,1,3,0,0,0,0,41,47,9,15,137,149,6.6%,8.1%,47.9%,52.1%,https://www.football-lab.jp/kasw/report/?year=2014&month=04&date=19
H,浦和,W,3,2,13,14,5,6,1,0,523,555,13,10,8,8,3,1,2,7,18,14,7,12,18,18,24,12,5,1,1,3,0,0,0,0,38,47,7,17,118,121,11.0%,11.6%,47.9%,52.1%,https://www.football-lab.jp/kasw/report/?year=2014&month=04&date=26
A,Ｇ大阪,W,2,1,14,9,4,1,0,0,552,510,21,20,12,9,2,4,6,5,36,27,11,10,17,32,28,28,3,1,4,2,1,1,0,0,49,34,16,14,145,125,9.7%,7.2%,52.3%,47.7%,https://www.football-lab.jp/kasw/report/?year=2014&month=04&date=29
H,鹿島,W,1,0,8,17,3,5,0,0,376,462,21,13,15,11,6,2,6,7,20,29,9,13,19,14,48,32,3,2,2,5,2,1,0,0,40,44,19,17,130,142,6.2%,12.0%,46.4%,53.6%,https://www.football-lab.jp/kasw/report/?year=2014&month=05&date=03
A,鳥栖,L,0,1,13,7,1,1,0,0,578,431,20,21,9,9,4,5,2,5,26,27,8,11,18,14,33,39,1,2,5,4,0,0,0,0,46,37,19,10,131,134,9.9%,5.2%,54.4%,45.6%,https://www.football-lab.jp/kasw/report/?year=2014&month=05&date=06
H,新潟,W,1,0,12,10,5,2,0,0,472,545,14,10,17,9,0,2,3,8,29,24,17,13,25,24,31,16,1,2,1,0,0,2,0,0,35,36,15,6,143,134,8.4%,7.5%,49.3%,50.7%,https://www.football-lab.jp/kasw/report/?year=2014&month=05&date=10
A,甲府,L,0,3,8,9,1,4,0,1,705,336,11,10,7,14,1,3,3,4,28,26,6,11,21,28,24,19,6,7,3,1,1,2,0,0,41,36,8,9,128,140,6.3%,6.4%,63.5%,36.5%,https://www.football-lab.jp/kasw/report/?year=2014&month=05&date=17
H,仙台,D,0,0,18,9,5,2,0,0,579,285,18,18,17,13,3,1,4,2,40,37,12,6,17,25,27,36,1,1,1,3,0,0,0,0,47,24,21,5,151,144,11.9%,6.3%,62.3%,37.7%,https://www.football-lab.jp/kasw/report/?year=2014&month=07&date=19
A,広島,L,2,5,17,12,7,7,0,0,654,374,22,11,10,19,1,0,8,3,21,15,15,11,15,12,13,21,2,2,0,1,5,1,0,0,51,29,15,17,106,109,16.0%,11.0%,59.5%,40.5%,https://www.football-lab.jp/kasw/report/?year=2014&month=07&date=23
A,清水,L,0,3,9,14,1,7,0,0,618,382,26,18,9,14,3,1,4,5,19,27,12,14,12,26,20,20,3,6,1,3,0,0,0,0,56,35,11,14,118,132,7.6%,10.6%,57.4%,42.6%,https://www.football-lab.jp/kasw/report/?year=2014&month=07&date=27
H,川崎Ｆ,W,4,1,18,13,6,3,0,0,394,562,23,8,11,11,4,4,6,4,16,13,14,21,24,15,17,16,2,1,4,4,1,2,0,0,41,49,14,15,110,98,16.4%,13.3%,45.3%,54.7%,https://www.football-lab.jp/kasw/report/?year=2014&month=08&date=02
A,横浜FM,D,2,2,11,17,2,5,0,0,454,410,20,13,18,12,2,2,5,8,24,27,5,8,15,15,36,28,0,3,2,2,2,0,0,0,33,42,12,19,132,137,8.3%,12.4%,49.9%,50.1%,https://www.football-lab.jp/kasw/report/?year=2014&month=08&date=09
H,神戸,W,2,0,18,19,4,2,0,0,365,667,16,15,13,7,0,4,2,9,18,42,6,17,23,14,38,8,4,3,4,0,0,0,0,0,38,47,16,13,118,137,15.3%,13.9%,39.5%,60.5%,https://www.football-lab.jp/kasw/report/?year=2014&month=08&date=16
A,名古屋,D,1,1,13,13,3,5,0,0,551,308,19,13,8,16,2,3,4,3,20,18,10,13,19,21,24,27,2,3,3,1,3,2,0,0,63,34,15,11,113,124,11.5%,10.5%,60.8%,39.2%,https://www.football-lab.jp/kasw/report/?year=2014&month=08&date=23
H,甲府,W,3,0,11,8,5,2,0,0,531,430,15,15,15,11,2,4,3,1,21,28,6,13,26,21,35,15,1,3,4,2,1,1,0,0,41,43,13,12,136,142,8.1%,5.6%,53.8%,46.2%,https://www.football-lab.jp/kasw/report/?year=2014&month=08&date=30
A,Ｃ大阪,L,0,2,14,15,1,5,0,0,449,353,20,16,20,10,2,2,2,7,22,30,8,21,27,20,38,23,2,2,1,1,1,2,0,0,44,45,18,15,131,142,10.7%,10.6%,52.9%,47.1%,https://www.football-lab.jp/kasw/report/?year=2014&month=09&date=13
A,浦和,L,1,3,5,15,1,5,0,1,307,724,10,10,13,14,2,2,0,2,15,17,8,9,18,17,15,14,5,5,1,2,6,1,2,0,24,36,7,17,102,109,4.9%,13.8%,30.5%,69.5%,https://www.football-lab.jp/kasw/report/?year=2014&month=09&date=20
H,鳥栖,W,2,0,13,7,7,3,0,0,581,327,14,19,14,11,5,3,4,5,23,16,13,9,13,24,36,23,7,6,3,5,0,1,0,0,52,25,11,10,142,132,9.2%,5.3%,60.3%,39.7%,https://www.football-lab.jp/kasw/report/?year=2014&month=09&date=23
A,Ｆ東京,L,0,4,14,12,2,5,0,0,595,398,27,12,16,10,3,1,6,3,28,14,9,7,18,24,16,27,4,1,1,3,1,0,0,0,58,31,16,10,125,113,11.2%,10.6%,58%,42%,https://www.football-lab.jp/kasw/report/?year=2014&month=09&date=27
