HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,川崎Ｆ,D,2,2,24,20,6,5,0,0,591,462,10,15,17,12,3,4,4,6,27,10,12,18,31,29,23,25,4,3,4,3,0,3,0,0,52,40,16,12,139,125,17.3%,16.0%,53.8%,46.2%,https://www.football-lab.jp/kobe/report/?year=2014&month=03&date=02
H,柏,D,1,1,19,14,1,7,0,0,572,485,16,19,14,12,3,5,2,3,20,12,15,16,25,25,21,25,5,8,5,3,2,1,0,1,54,37,10,13,147,141,12.9%,9.9%,53.8%,46.2%,https://www.football-lab.jp/kobe/report/?year=2014&month=03&date=08
H,Ｆ東京,W,2,1,23,16,8,7,0,0,431,455,27,4,16,17,3,1,7,4,18,18,19,14,33,30,16,32,3,4,1,3,1,1,0,0,56,25,18,13,136,137,16.9%,11.7%,48.6%,51.4%,https://www.football-lab.jp/kobe/report/?year=2014&month=03&date=15
A,名古屋,L,1,2,13,7,5,2,1,0,369,526,17,14,20,5,0,2,5,3,31,25,11,19,17,32,17,33,1,1,2,0,0,2,0,0,39,49,14,10,132,115,9.8%,6.1%,41.3%,58.7%,https://www.football-lab.jp/kobe/report/?year=2014&month=03&date=23
H,浦和,W,3,1,14,20,3,8,0,0,499,397,13,16,13,9,5,1,4,6,19,26,21,16,19,21,19,25,4,5,1,4,0,1,0,0,48,44,18,16,118,120,11.9%,16.7%,54.3%,45.7%,https://www.football-lab.jp/kobe/report/?year=2014&month=03&date=29
A,大宮,W,3,0,10,14,2,7,0,0,513,460,21,6,22,13,4,6,8,0,31,18,17,9,27,24,12,38,4,1,6,4,0,3,0,0,38,46,10,12,148,122,6.8%,11.5%,53.9%,46.1%,https://www.football-lab.jp/kobe/report/?year=2014&month=04&date=06
H,徳島,W,3,0,14,21,2,7,0,0,450,615,11,15,10,14,7,4,3,7,23,19,7,16,26,23,16,17,2,3,4,6,3,2,0,0,39,45,13,18,142,141,9.9%,14.9%,45.8%,54.2%,https://www.football-lab.jp/kobe/report/?year=2014&month=04&date=12
A,鹿島,W,3,2,24,11,8,4,0,1,486,423,19,14,17,16,1,4,9,5,23,26,16,15,33,18,24,22,2,3,4,1,4,2,1,0,44,36,27,11,141,141,17.0%,7.8%,51.1%,48.9%,https://www.football-lab.jp/kobe/report/?year=2014&month=04&date=19
H,Ｃ大阪,D,2,2,17,12,6,2,0,1,418,517,9,10,16,15,0,4,2,5,19,21,9,16,26,15,19,14,2,6,4,0,3,3,0,0,38,34,13,9,133,137,12.8%,8.8%,44.7%,55.3%,https://www.football-lab.jp/kobe/report/?year=2014&month=04&date=26
A,新潟,D,1,1,12,11,5,2,0,0,545,456,11,13,14,9,1,0,3,3,29,33,10,15,27,20,27,21,4,8,0,1,0,1,0,0,34,33,12,12,141,147,8.5%,7.5%,49.5%,50.5%,https://www.football-lab.jp/kobe/report/?year=2014&month=04&date=29
