HOME/AWAY,Opponent,勝敗,kofu_得点,kofu_失点,kofu_シュート,Opponent_シュート,kofu_枠内シュート,Opponent_枠内シュート,kofu_PKによるシュート,Opponent_PKによるシュート,kofu_パス,Opponent_パス,kofu_クロス,Opponent_クロス,kofu_直接ＦＫ,Opponent_直接ＦＫ,kofu_間接ＦＫ,Opponent_間接ＦＫ,kofu_ＣＫ,Opponent_ＣＫ,kofu_スローイン,Opponent_スローイン,kofu_ドリブル,Opponent_ドリブル,kofu_タックル,Opponent_タックル,kofu_クリア,Opponent_クリア,kofu_インターセプト,Opponent_インターセプト,kofu_オフサイド,Opponent_オフサイド,kofu_警告,Opponent_警告,kofu_退場,Opponent_退場,kofu_３０ｍライン進入,Opponent_３０ｍライン進入,kofu_ペナルティエリア進入,Opponent_ペナルティエリア進入,kofu_攻撃回数,Opponent_攻撃回数,kofu_チャンス構築率,Opponent_チャンス構築率,kofu_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,L,0,4,14,15,4,5,0,0,450,414,23,13,16,12,3,5,5,6,26,31,14,7,15,30,19,23,2,2,4,2,0,1,0,0,42,30,14,16,129,137,10.9%,10.9%,49.2%,50.8%,https://www.football-lab.jp/kofu/report/?year=2014&month=03&date=01
A,Ｆ東京,D,1,1,10,12,3,3,0,0,538,502,14,21,15,9,0,3,2,9,18,21,11,17,26,22,32,16,6,3,3,0,2,1,0,0,39,52,11,15,127,125,7.9%,9.6%,49.5%,50.5%,https://www.football-lab.jp/kofu/report/?year=2014&month=03&date=08
H,新潟,D,1,1,18,14,9,4,0,0,341,734,11,15,6,11,0,1,6,5,25,32,9,15,25,23,21,19,5,2,0,0,1,0,0,0,36,56,16,13,131,142,13.7%,9.9%,33.8%,66.2%,https://www.football-lab.jp/kofu/report/?year=2014&month=03&date=15
H,横浜FM,W,1,0,6,4,4,0,0,0,280,748,8,12,11,11,3,6,3,3,20,41,12,9,23,21,49,18,2,2,6,3,1,0,0,0,17,57,7,6,122,140,4.9%,2.9%,32.2%,67.8%,https://www.football-lab.jp/kofu/report/?year=2014&month=03&date=23
A,仙台,D,1,1,15,5,3,2,0,0,457,449,12,12,15,8,6,11,3,4,21,21,15,17,17,22,12,22,5,4,9,4,0,2,0,0,33,25,11,10,144,141,10.4%,3.5%,50%,50%,https://www.football-lab.jp/kofu/report/?year=2014&month=03&date=29
H,清水,L,0,1,12,6,2,3,0,0,491,523,15,4,15,15,4,4,3,3,31,25,16,8,21,18,20,34,4,2,4,4,2,0,0,0,42,33,16,2,145,146,8.3%,4.1%,47.3%,52.7%,https://www.football-lab.jp/kofu/report/?year=2014&month=04&date=06
A,鳥栖,L,0,2,15,6,3,3,0,0,492,504,20,9,18,13,2,0,1,1,23,19,14,5,14,17,20,25,3,3,0,2,2,2,0,0,48,20,16,7,130,120,11.5%,5.0%,47.9%,52.1%,https://www.football-lab.jp/kofu/report/?year=2014&month=04&date=12
H,名古屋,W,2,0,13,11,4,1,0,1,407,584,16,13,11,15,3,3,4,8,25,27,14,12,13,28,15,19,4,2,3,2,2,1,0,0,35,38,9,12,132,140,9.8%,7.9%,42.8%,57.2%,https://www.football-lab.jp/kofu/report/?year=2014&month=04&date=19
A,大宮,W,2,0,16,8,9,1,0,0,439,679,15,21,12,8,4,2,4,2,21,25,13,11,27,23,21,10,2,3,2,4,0,0,0,0,38,43,14,8,132,129,12.1%,6.2%,40.9%,59.1%,https://www.football-lab.jp/kofu/report/?year=2014&month=04&date=26
H,徳島,L,0,1,27,3,10,2,0,0,688,353,25,0,9,8,0,4,5,0,33,21,9,3,17,16,8,33,2,1,4,0,0,1,0,0,81,16,33,3,146,135,18.5%,2.2%,58.3%,41.7%,https://www.football-lab.jp/kofu/report/?year=2014&month=04&date=29
