HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
H,清水,L,2,3,16,16,3,8,0,0,506,397,22,28,12,8,1,4,6,5,23,19,14,12,17,18,31,37,5,11,4,0,0,0,0,0,38,41,18,16,136,134,11.8%,11.9%,54.2%,45.8%,https://www.football-lab.jp/nago/report/?year=2014&month=03&date=01
A,大宮,W,2,1,12,9,5,1,0,0,427,521,13,33,14,7,6,2,0,7,22,42,12,19,31,19,40,21,8,3,2,5,0,4,0,0,33,48,8,13,133,142,9.0%,6.3%,48.5%,51.5%,https://www.football-lab.jp/nago/report/?year=2014&month=03&date=08
A,柏,W,1,0,15,15,5,4,0,0,323,473,9,19,16,14,0,2,4,6,19,28,13,11,19,32,50,18,5,1,1,0,2,2,0,0,34,44,10,13,132,140,11.4%,10.7%,42.1%,57.9%,https://www.football-lab.jp/nago/report/?year=2014&month=03&date=15
H,神戸,W,2,1,13,7,5,2,1,0,369,526,17,14,20,5,0,2,5,3,31,25,11,19,17,32,17,33,1,1,2,0,0,2,0,0,39,49,14,10,132,115,9.8%,6.1%,41.3%,58.7%,https://www.football-lab.jp/nago/report/?year=2014&month=03&date=23
A,川崎Ｆ,L,0,1,10,16,2,3,0,0,404,656,15,17,16,10,5,3,5,9,14,9,5,19,30,19,16,26,2,3,3,5,3,1,0,0,39,65,10,20,115,118,8.7%,13.6%,43.1%,56.9%,https://www.football-lab.jp/nago/report/?year=2014&month=03&date=28
H,広島,L,2,5,14,18,5,9,1,1,420,583,9,15,11,7,4,2,3,2,17,18,14,18,9,12,13,7,6,7,1,4,2,1,0,0,30,41,9,12,113,109,12.4%,16.5%,42.5%,57.5%,https://www.football-lab.jp/nago/report/?year=2014&month=04&date=06
H,浦和,L,1,2,11,19,4,6,0,0,273,635,5,26,17,15,3,2,3,5,15,26,9,30,23,23,38,16,1,2,2,2,2,2,1,0,34,73,9,18,145,134,7.6%,14.2%,34.4%,65.6%,https://www.football-lab.jp/nago/report/?year=2014&month=04&date=12
A,甲府,L,0,2,11,13,1,4,1,0,584,407,13,16,15,11,3,3,8,4,27,25,12,14,28,13,19,15,2,4,2,3,1,2,0,0,38,35,12,9,140,132,7.9%,9.8%,57.2%,42.8%,https://www.football-lab.jp/nago/report/?year=2014&month=04&date=19
H,鳥栖,L,2,3,17,17,2,6,1,1,503,376,8,15,15,7,3,3,1,7,18,26,17,6,15,24,26,19,7,8,3,3,1,3,0,0,34,41,12,20,151,149,11.3%,11.4%,53.8%,46.2%,https://www.football-lab.jp/nago/report/?year=2014&month=04&date=26
A,Ｆ東京,W,1,0,11,16,1,4,0,0,464,342,16,23,12,12,2,2,7,12,34,33,8,18,21,24,37,18,2,3,1,2,3,1,0,0,48,41,19,15,142,138,7.7%,11.6%,56.8%,43.2%,https://www.football-lab.jp/nago/report/?year=2014&month=04&date=29
