HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,仙台,W,2,1,12,14,3,6,0,1,369,501,17,19,15,11,3,3,5,3,29,20,10,14,19,18,24,25,3,5,3,2,2,0,0,0,33,46,19,12,146,143,8.2%,9.8%,44.5%,55.5%,https://www.football-lab.jp/niig/report/?year=2014&month=03&date=01
H,Ｇ大阪,L,0,2,11,21,4,2,0,0,433,558,12,25,10,12,0,4,7,12,19,18,10,15,19,26,23,12,6,7,4,0,1,0,0,0,36,59,14,12,137,140,8.0%,15.0%,45.2%,54.8%,https://www.football-lab.jp/niig/report/?year=2014&month=03&date=08
A,甲府,D,1,1,18,14,9,4,0,0,341,734,11,15,6,11,0,1,6,5,25,32,9,15,25,23,21,19,5,2,0,0,1,0,0,0,36,56,16,13,131,142,13.7%,9.9%,33.8%,66.2%,https://www.football-lab.jp/niig/report/?year=2014&month=03&date=15
H,鳥栖,W,1,0,26,13,3,4,0,0,403,351,29,14,20,11,5,1,6,3,32,13,10,14,20,15,12,40,6,7,1,4,1,2,0,0,44,36,33,15,159,130,16.4%,10.0%,51.1%,48.9%,https://www.football-lab.jp/niig/report/?year=2014&month=03&date=23
A,Ｃ大阪,D,0,0,11,16,3,3,0,0,436,481,8,21,9,16,0,0,7,6,20,21,10,11,23,27,25,17,2,4,0,0,1,0,0,0,32,51,16,12,137,139,8.0%,11.5%,49%,51%,https://www.football-lab.jp/niig/report/?year=2014&month=03&date=29
H,横浜FM,D,0,0,19,14,8,1,0,0,400,420,13,24,18,12,2,2,5,6,31,18,17,20,39,24,17,27,4,9,2,2,1,2,0,0,36,38,14,11,160,149,11.9%,9.4%,48.6%,51.4%,https://www.football-lab.jp/niig/report/?year=2014&month=04&date=06
A,鹿島,W,2,1,15,9,7,2,0,0,517,319,18,13,14,13,1,3,9,5,37,17,27,15,22,34,15,42,4,3,2,1,0,2,0,0,43,37,18,12,168,142,8.9%,6.3%,57.6%,42.4%,https://www.football-lab.jp/niig/report/?year=2014&month=04&date=12
H,広島,D,0,0,5,18,3,3,0,0,581,525,8,18,14,12,1,1,1,5,18,13,15,15,32,26,15,19,6,3,1,1,1,1,0,0,29,59,4,21,133,129,3.8%,14.0%,54.6%,45.4%,https://www.football-lab.jp/niig/report/?year=2014&month=04&date=20
A,徳島,W,2,1,10,12,5,4,0,0,359,520,13,13,13,11,4,1,6,6,30,26,11,11,22,13,25,35,3,4,0,4,1,0,0,0,32,43,11,13,145,135,6.9%,8.9%,43.2%,56.8%,https://www.football-lab.jp/niig/report/?year=2014&month=04&date=26
H,神戸,D,1,1,11,12,2,5,0,0,456,545,13,11,9,14,0,1,3,3,33,29,15,10,20,27,21,27,8,4,1,0,1,0,0,0,33,34,12,12,147,141,7.5%,8.5%,50.5%,49.5%,https://www.football-lab.jp/niig/report/?year=2014&month=04&date=29
A,大宮,D,2,2,13,16,5,4,0,0,405,691,15,16,12,7,1,0,4,3,25,19,18,11,31,23,12,18,1,2,0,1,1,0,0,0,33,34,12,13,127,114,10.2%,14.0%,41.3%,58.7%,https://www.football-lab.jp/niig/report/?year=2014&month=05&date=03
H,清水,W,2,1,9,15,3,3,0,0,401,441,12,13,9,12,4,3,3,5,28,22,10,11,17,25,19,29,2,4,3,4,1,2,0,0,32,40,12,20,137,132,6.6%,11.4%,48.1%,51.9%,https://www.football-lab.jp/niig/report/?year=2014&month=05&date=06
A,柏,L,0,1,12,10,5,2,0,0,472,545,14,10,17,9,0,2,3,8,29,24,17,13,25,24,31,16,1,2,1,0,0,2,0,0,35,36,15,6,143,134,8.4%,7.5%,49.3%,50.7%,https://www.football-lab.jp/niig/report/?year=2014&month=05&date=10
H,名古屋,D,1,1,8,16,3,1,0,0,414,436,9,25,18,14,0,2,3,8,24,31,10,18,25,21,38,21,5,3,1,1,1,1,0,0,35,47,11,16,147,146,5.4%,11.0%,49.6%,50.4%,https://www.football-lab.jp/niig/report/?year=2014&month=05&date=17
A,浦和,L,0,1,8,16,1,7,0,0,384,618,12,11,15,17,3,3,3,2,17,18,14,13,32,28,12,14,7,4,2,3,0,1,0,0,29,52,9,9,128,128,6.3%,12.5%,43.3%,56.7%,https://www.football-lab.jp/niig/report/?year=2014&month=07&date=19
H,Ｆ東京,L,0,1,11,20,3,7,0,0,332,627,7,24,10,15,1,2,3,10,21,29,14,10,34,32,27,13,6,4,2,1,2,1,0,0,41,68,12,18,137,143,8.0%,14.0%,42.1%,57.9%,https://www.football-lab.jp/niig/report/?year=2014&month=07&date=23
A,川崎Ｆ,L,0,1,14,15,5,1,0,0,542,501,5,20,8,11,4,3,9,2,17,22,13,7,13,23,25,19,0,3,3,3,0,0,0,0,30,42,15,11,123,109,11.4%,13.8%,50.1%,49.9%,https://www.football-lab.jp/niig/report/?year=2014&month=07&date=27
H,Ｃ大阪,W,1,0,10,10,2,5,0,0,558,388,8,9,12,9,0,8,5,3,28,30,13,7,16,30,17,20,2,5,8,0,0,0,0,0,42,37,13,8,139,137,7.2%,7.3%,56.4%,43.6%,https://www.football-lab.jp/niig/report/?year=2014&month=08&date=02
A,神戸,L,0,1,11,16,3,3,1,0,390,601,10,20,11,14,1,0,11,5,30,22,10,11,32,29,30,31,2,2,0,0,1,4,0,0,29,47,15,14,146,130,7.5%,12.3%,43.1%,56.9%,https://www.football-lab.jp/niig/report/?year=2014&month=08&date=09
