HOME/AWAY,Opponent,勝敗,omiy_得点,omiy_失点,Opponent_シュート,omiy_シュート,Opponent_枠内シュート,omiy_枠内シュート,Opponent_PKによるシュート,omiy_PKによるシュート,Opponent_パス,omiy_パス,Opponent_クロス,omiy_クロス,Opponent_直接ＦＫ,omiy_直接ＦＫ,Opponent_間接ＦＫ,omiy_間接ＦＫ,Opponent_ＣＫ,omiy_ＣＫ,Opponent_スローイン,omiy_スローイン,Opponent_ドリブル,omiy_ドリブル,Opponent_タックル,omiy_タックル,Opponent_クリア,omiy_クリア,Opponent_インターセプト,omiy_インターセプト,Opponent_オフサイド,omiy_オフサイド,Opponent_警告,omiy_警告,Opponent_退場,omiy_退場,Opponent_３０ｍライン進入,omiy_３０ｍライン進入,Opponent_ペナルティエリア進入,omiy_ペナルティエリア進入,Opponent_攻撃回数,omiy_攻撃回数,Opponent_チャンス構築率,omiy_チャンス構築率,Opponent_ボール保持率,omiy_ボール保持率,URL
A,横浜FM,L,0,2,21,10,2,1,0,0,577,387,9,15,14,10,4,5,3,3,29,26,12,14,14,31,28,21,6,4,4,4,1,0,0,0,38,28,13,7,148,139,14.2%,7.2%,57.6%,42.4%,https://www.football-lab.jp/omiy/report/?year=2014&month=03&date=02
H,名古屋,L,1,2,12,9,5,1,0,0,427,521,13,33,14,7,6,2,0,7,22,42,12,19,31,19,40,21,8,3,2,5,0,4,0,0,33,48,8,13,133,142,9.0%,6.3%,48.5%,51.5%,https://www.football-lab.jp/omiy/report/?year=2014&month=03&date=08
A,川崎Ｆ,W,4,3,32,8,6,6,0,0,774,315,23,11,14,8,1,0,12,4,22,9,24,6,21,23,16,35,2,4,0,1,0,2,0,0,79,24,32,9,129,114,24.8%,7.0%,62.6%,37.4%,https://www.football-lab.jp/omiy/report/?year=2014&month=03&date=15
H,仙台,W,4,0,13,9,4,5,0,1,605,387,32,6,12,15,5,0,9,0,19,24,7,13,22,18,19,45,3,5,0,5,0,1,0,0,53,26,21,13,134,129,9.7%,7.0%,58.1%,41.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=03&date=23
A,柏,D,2,2,11,5,4,2,0,0,508,562,18,19,13,10,1,2,2,6,14,21,11,12,29,18,26,23,2,1,2,0,2,3,0,0,59,44,15,9,120,129,9.2%,3.9%,48.1%,51.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=03&date=29
H,神戸,L,0,3,14,10,7,2,0,0,460,513,6,21,13,22,6,4,0,8,18,31,9,17,24,27,38,12,1,4,4,6,3,0,0,0,46,38,12,10,122,148,11.5%,6.8%,46.1%,53.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=04&date=06
A,清水,L,0,2,10,9,3,2,0,0,383,516,25,18,13,11,8,3,6,5,17,23,9,8,14,17,22,25,4,4,3,8,0,2,0,0,41,25,18,13,120,114,8.3%,7.9%,45.6%,54.4%,https://www.football-lab.jp/omiy/report/?year=2014&month=04&date=12
A,Ｇ大阪,L,1,2,20,15,12,3,0,0,475,447,19,20,13,9,1,2,7,4,22,28,20,13,27,37,26,18,4,3,1,1,1,1,0,0,33,34,25,14,147,149,13.6%,10.1%,49.1%,50.9%,https://www.football-lab.jp/omiy/report/?year=2014&month=04&date=19
H,甲府,L,0,2,16,8,9,1,0,0,439,679,15,21,12,8,4,2,4,2,21,25,13,11,27,23,21,10,2,3,2,4,0,0,0,0,38,43,14,8,132,129,12.1%,6.2%,40.9%,59.1%,https://www.football-lab.jp/omiy/report/?year=2014&month=04&date=26
A,Ｃ大阪,D,1,1,17,14,4,1,0,0,578,456,20,11,8,7,1,1,7,2,37,20,12,11,21,34,10,47,6,1,1,1,1,1,0,0,49,34,15,10,138,126,12.3%,11.1%,52.9%,47.1%,https://www.football-lab.jp/omiy/report/?year=2014&month=04&date=29
