HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,新潟,L,1,2,12,14,3,6,0,1,369,501,17,19,15,11,3,3,5,3,29,20,10,14,19,18,24,25,3,5,3,2,2,0,0,0,33,46,19,12,146,143,8.2%,9.8%,44.5%,55.5%,https://www.football-lab.jp/send/report/?year=2014&month=03&date=01
A,鹿島,L,0,2,13,14,1,5,0,0,649,447,20,11,16,13,6,5,4,3,18,28,13,17,22,9,19,30,1,4,5,4,0,1,0,0,43,41,15,10,127,135,10.2%,10.4%,57.6%,42.4%,https://www.football-lab.jp/send/report/?year=2014&month=03&date=08
H,Ｇ大阪,D,0,0,17,5,5,1,0,0,496,618,22,22,12,11,8,3,7,1,23,19,20,13,17,23,23,26,3,2,3,8,1,0,0,0,50,38,17,12,141,127,12.1%,3.9%,48.1%,51.9%,https://www.football-lab.jp/send/report/?year=2014&month=03&date=15
A,大宮,L,0,4,13,9,4,5,0,1,605,387,32,6,12,15,5,0,9,0,19,24,7,13,22,18,19,45,3,5,0,5,0,1,0,0,53,26,21,13,134,129,9.7%,7.0%,58.1%,41.9%,https://www.football-lab.jp/send/report/?year=2014&month=03&date=23
H,甲府,D,1,1,5,15,2,3,0,0,449,457,12,12,8,15,11,6,4,3,21,21,17,15,22,17,22,12,4,5,4,9,2,0,0,0,25,33,10,11,141,144,3.5%,10.4%,50%,50%,https://www.football-lab.jp/send/report/?year=2014&month=03&date=29
A,浦和,L,0,4,7,22,0,9,0,0,504,601,15,15,5,12,4,0,1,2,24,22,9,12,21,23,14,17,1,3,0,4,1,0,0,0,37,35,10,13,110,126,6.4%,17.5%,46.5%,53.5%,https://www.football-lab.jp/send/report/?year=2014&month=04&date=06
A,横浜FM,W,2,0,13,12,5,5,0,0,337,497,15,20,12,11,4,4,7,8,21,30,5,16,24,19,49,29,1,3,4,4,0,2,0,0,29,58,13,17,133,147,9.8%,8.2%,43.1%,56.9%,https://www.football-lab.jp/send/report/?year=2014&month=04&date=12
H,鳥栖,L,0,3,20,11,5,4,0,0,376,447,17,13,17,12,2,3,1,2,16,31,13,13,20,15,24,22,2,4,3,2,1,2,0,0,48,44,16,16,135,148,14.8%,7.4%,45.4%,54.6%,https://www.football-lab.jp/send/report/?year=2014&month=04&date=19
A,清水,L,0,1,13,7,1,2,0,0,371,479,18,21,14,14,2,3,5,6,22,19,14,13,25,21,28,29,9,3,3,2,0,1,0,0,28,45,18,12,134,134,9.7%,5.2%,47.3%,52.7%,https://www.football-lab.jp/send/report/?year=2014&month=04&date=26
H,川崎Ｆ,D,0,0,12,12,4,3,0,0,390,707,23,12,2,9,4,6,6,10,20,12,14,10,19,12,36,38,2,4,6,4,2,0,0,0,37,60,14,27,114,120,10.5%,10.0%,39.5%,60.5%,https://www.football-lab.jp/send/report/?year=2014&month=04&date=29
A,徳島,W,1,0,18,10,6,2,1,0,491,348,19,12,12,15,2,3,4,2,19,33,7,8,10,11,31,28,1,2,2,2,2,3,0,0,50,33,16,16,128,134,14.1%,7.5%,55.6%,44.4%,https://www.football-lab.jp/send/report/?year=2014&month=05&date=03
H,神戸,W,4,3,14,17,6,9,1,0,428,491,16,14,12,12,4,4,0,4,34,27,15,14,30,21,32,31,5,3,4,3,3,1,0,0,38,38,12,25,146,141,9.6%,12.1%,50.4%,49.6%,https://www.football-lab.jp/send/report/?year=2014&month=05&date=06
A,Ｃ大阪,W,1,0,7,12,4,3,0,0,442,569,11,16,7,13,7,6,1,5,18,20,15,14,18,25,27,21,5,5,6,7,1,2,0,0,40,59,11,13,147,150,4.8%,8.0%,45.7%,54.3%,https://www.football-lab.jp/send/report/?year=2014&month=05&date=10
H,広島,W,1,0,13,16,4,6,0,0,430,735,17,35,4,4,1,0,3,4,20,26,15,24,11,15,28,16,1,2,0,1,0,0,0,0,33,68,16,20,115,119,11.3%,13.4%,39%,61%,https://www.football-lab.jp/send/report/?year=2014&month=05&date=18
A,柏,D,0,0,9,18,2,5,0,0,285,579,18,18,13,17,1,3,2,4,37,40,6,12,25,17,36,27,1,1,3,1,0,0,0,0,24,47,5,21,144,151,6.3%,11.9%,37.7%,62.3%,https://www.football-lab.jp/send/report/?year=2014&month=07&date=19
H,名古屋,D,3,3,12,15,6,6,0,0,272,513,14,9,11,17,2,4,4,4,13,13,12,18,17,9,31,20,3,2,4,1,0,1,0,0,36,53,16,18,112,114,10.7%,13.2%,40.2%,59.8%,https://www.football-lab.jp/send/report/?year=2014&month=07&date=23
A,Ｆ東京,L,0,3,14,15,4,5,0,0,538,405,25,16,11,13,7,1,4,7,25,16,19,11,16,16,24,24,2,2,1,7,2,0,0,0,51,48,17,17,114,111,12.3%,13.5%,56.1%,43.9%,https://www.football-lab.jp/send/report/?year=2014&month=07&date=27
H,大宮,D,2,2,12,18,4,4,0,0,311,388,11,23,11,15,5,6,4,12,22,17,11,16,15,13,22,20,2,5,6,5,0,0,0,0,25,36,9,27,111,117,10.8%,15.4%,45.3%,54.7%,https://www.football-lab.jp/send/report/?year=2014&month=08&date=02
A,甲府,D,0,0,16,16,3,6,0,0,436,417,9,20,11,16,4,1,4,6,29,22,8,14,19,18,28,30,3,5,1,4,0,0,0,0,40,35,8,17,133,143,12.0%,11.2%,51.1%,48.9%,https://www.football-lab.jp/send/report/?year=2014&month=08&date=09
H,清水,W,3,2,20,9,8,4,1,1,332,428,12,6,14,16,3,4,6,1,27,29,15,12,19,16,23,16,5,1,3,3,3,5,0,1,41,23,15,8,137,130,14.6%,6.9%,47%,53%,https://www.football-lab.jp/send/report/?year=2014&month=08&date=16
A,神戸,L,1,2,21,9,5,3,0,0,438,468,13,10,8,6,6,5,4,2,33,23,9,10,18,18,16,34,3,3,5,6,2,0,0,0,44,34,11,12,133,114,15.8%,7.9%,47.3%,52.7%,https://www.football-lab.jp/send/report/?year=2014&month=08&date=23
H,横浜FM,L,1,2,9,14,5,3,0,0,309,542,12,16,11,15,6,1,3,3,21,28,7,14,25,13,25,19,4,7,1,6,1,0,0,0,22,59,10,12,148,142,6.1%,9.9%,41.6%,58.4%,https://www.football-lab.jp/send/report/?year=2014&month=08&date=30
A,新潟,L,0,1,8,13,2,5,0,0,389,411,13,21,13,18,2,1,5,5,33,21,7,4,23,19,26,25,2,1,1,2,1,2,0,0,23,34,10,12,156,149,5.1%,8.7%,49.2%,50.8%,https://www.football-lab.jp/send/report/?year=2014&month=09&date=13
A,鳥栖,L,1,2,18,12,5,5,1,0,391,303,11,16,12,19,11,1,6,4,24,10,7,12,10,15,21,24,1,1,0,9,1,2,0,0,35,31,16,16,132,123,13.6%,9.8%,53.4%,46.6%,https://www.football-lab.jp/send/report/?year=2014&month=09&date=20
H,鹿島,L,0,1,11,17,0,4,0,0,396,399,26,14,15,16,7,5,2,3,19,14,19,17,17,18,24,34,4,4,5,6,2,2,0,0,45,41,15,20,145,140,7.6%,12.1%,50.3%,49.7%,https://www.football-lab.jp/send/report/?year=2014&month=09&date=23
A,川崎Ｆ,D,1,1,14,16,5,5,0,0,317,754,17,18,10,10,3,2,6,9,15,21,10,15,20,12,21,14,6,1,2,3,0,3,0,0,22,70,13,17,121,121,11.6%,13.2%,38.2%,61.8%,https://www.football-lab.jp/send/report/?year=2014&month=09&date=27
H,Ｆ東京,W,1,0,15,7,8,2,0,0,419,414,19,11,10,13,5,2,3,7,19,35,9,9,22,14,24,26,2,3,2,3,2,3,0,1,45,36,15,5,121,136,12.4%,5.1%,50.3%,49.7%,https://www.football-lab.jp/send/report/?year=2014&month=10&date=05
H,浦和,W,4,2,12,12,7,4,0,0,265,596,12,20,15,16,4,1,2,7,14,16,4,13,25,12,28,10,1,0,1,4,2,2,0,1,26,61,12,15,109,115,11.0%,10.4%,36.7%,63.3%,https://www.football-lab.jp/send/report/?year=2014&month=10&date=18
