HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
A,名古屋,W,3,2,16,16,3,8,0,0,506,397,22,28,12,8,1,4,6,5,23,19,14,12,17,18,31,37,5,11,4,0,0,0,0,0,38,41,18,16,136,134,11.8%,11.9%,54.2%,45.8%,https://www.football-lab.jp/shim/report/?year=2014&month=03&date=01
H,横浜FM,L,0,1,12,9,5,2,0,0,605,321,12,16,16,14,1,4,6,6,25,32,12,7,28,30,23,27,3,0,3,1,4,2,0,1,39,27,10,8,145,143,8.3%,6.3%,61.6%,38.4%,https://www.football-lab.jp/shim/report/?year=2014&month=03&date=08
A,Ｃ大阪,L,1,4,21,8,7,5,0,1,438,517,17,19,6,18,3,0,7,5,24,17,24,15,23,20,20,22,3,8,0,3,2,0,0,0,44,42,22,10,135,136,15.6%,5.9%,49.5%,50.5%,https://www.football-lab.jp/shim/report/?year=2014&month=03&date=15
A,浦和,D,1,1,20,9,5,4,0,0,677,365,21,8,11,13,5,4,3,1,19,15,14,5,13,11,8,13,4,2,4,5,0,1,0,0,58,18,19,10,120,119,16.7%,7.6%,63.7%,36.3%,https://www.football-lab.jp/shim/report/?year=2014&month=03&date=23
H,Ｆ東京,L,1,3,10,12,5,6,0,1,436,404,10,18,18,18,3,5,5,4,21,23,20,13,15,28,23,22,5,6,5,3,3,2,0,0,36,38,12,12,137,139,7.3%,8.6%,53.7%,46.3%,https://www.football-lab.jp/shim/report/?year=2014&month=03&date=29
A,甲府,W,1,0,12,6,2,3,0,0,491,523,15,4,15,15,4,4,3,3,31,25,16,8,21,18,20,34,4,2,4,4,2,0,0,0,42,33,16,2,145,146,8.3%,4.1%,47.3%,52.7%,https://www.football-lab.jp/shim/report/?year=2014&month=04&date=06
H,大宮,W,2,0,9,10,2,3,0,0,516,383,18,25,11,13,3,8,5,6,23,17,8,9,17,14,25,22,4,4,8,3,2,0,0,0,25,41,13,18,114,120,7.9%,8.3%,54.4%,45.6%,https://www.football-lab.jp/shim/report/?year=2014&month=04&date=12
A,徳島,W,4,0,6,20,1,7,1,0,336,497,10,17,7,16,9,4,4,4,36,22,2,12,17,7,24,30,1,2,4,9,4,2,0,0,25,52,10,21,139,137,4.3%,14.6%,45.3%,54.7%,https://www.football-lab.jp/shim/report/?year=2014&month=04&date=19
H,仙台,W,1,0,13,7,1,2,0,0,371,479,18,21,14,14,2,3,5,6,22,19,14,13,25,21,28,29,9,3,3,2,0,1,0,0,28,45,18,12,134,134,9.7%,5.2%,47.3%,52.7%,https://www.football-lab.jp/shim/report/?year=2014&month=04&date=26
A,鹿島,L,1,2,19,15,6,2,0,0,405,401,19,16,13,13,8,4,7,2,21,16,9,16,12,22,26,17,2,1,3,8,3,1,0,0,39,44,14,15,129,127,14.7%,11.8%,50.8%,49.2%,https://www.football-lab.jp/shim/report/?year=2014&month=04&date=29
