HOME/AWAY,Opponent,勝敗,toku_得点,toku_失点,Opponent_シュート,toku_シュート,Opponent_枠内シュート,toku_枠内シュート,Opponent_PKによるシュート,toku_PKによるシュート,Opponent_パス,toku_パス,Opponent_クロス,toku_クロス,Opponent_直接ＦＫ,toku_直接ＦＫ,Opponent_間接ＦＫ,toku_間接ＦＫ,Opponent_ＣＫ,toku_ＣＫ,Opponent_スローイン,toku_スローイン,Opponent_ドリブル,toku_ドリブル,Opponent_タックル,toku_タックル,Opponent_クリア,toku_クリア,Opponent_インターセプト,toku_インターセプト,Opponent_オフサイド,toku_オフサイド,Opponent_警告,toku_警告,Opponent_退場,toku_退場,Opponent_３０ｍライン進入,toku_３０ｍライン進入,Opponent_ペナルティエリア進入,toku_ペナルティエリア進入,Opponent_攻撃回数,toku_攻撃回数,Opponent_チャンス構築率,toku_チャンス構築率,Opponent_ボール保持率,toku_ボール保持率,URL
A,鳥栖,L,0,5,19,4,8,1,1,0,433,359,23,11,13,20,1,7,5,5,26,17,14,4,16,21,18,23,3,2,7,1,0,2,0,0,47,21,19,5,140,143,13.6%,2.8%,52.2%,47.8%,https://www.football-lab.jp/toku/report/?year=2014&month=03&date=01
H,Ｃ大阪,L,0,2,12,7,7,1,0,0,663,406,12,11,12,18,1,5,2,4,35,25,15,5,18,18,20,19,6,4,5,1,2,1,0,0,45,31,14,13,142,144,8.5%,4.9%,58.3%,41.7%,https://www.football-lab.jp/toku/report/?year=2014&month=03&date=08
A,横浜FM,L,0,3,16,4,9,1,0,0,625,382,19,12,15,12,1,3,10,2,22,24,8,7,20,31,16,18,10,5,3,1,0,1,0,0,59,30,21,10,127,121,12.6%,3.3%,59.9%,40.1%,https://www.football-lab.jp/toku/report/?year=2014&month=03&date=15
H,柏,L,0,2,15,6,4,3,0,0,711,373,23,10,15,14,3,3,2,1,28,16,11,11,23,23,17,38,5,5,3,3,1,1,0,0,70,24,18,11,130,129,11.5%,4.7%,61.9%,38.1%,https://www.football-lab.jp/toku/report/?year=2014&month=03&date=23
A,広島,L,1,3,15,11,6,3,0,0,620,434,24,8,10,10,0,3,9,4,13,15,23,6,18,20,21,23,8,3,3,0,0,0,0,0,49,33,12,13,112,106,13.4%,10.4%,56.3%,43.7%,https://www.football-lab.jp/toku/report/?year=2014&month=03&date=29
H,川崎Ｆ,L,0,4,18,1,7,0,0,0,911,435,9,11,6,12,1,2,4,0,25,16,18,7,18,26,15,22,4,4,1,1,0,0,0,0,77,22,16,6,109,110,16.5%,0.9%,60.5%,39.5%,https://www.football-lab.jp/toku/report/?year=2014&month=04&date=06
A,神戸,L,0,3,21,14,7,2,0,0,615,450,15,11,14,10,4,7,7,3,19,23,16,7,23,26,17,16,3,2,6,4,2,3,0,0,45,39,18,13,141,142,14.9%,9.9%,54.2%,45.8%,https://www.football-lab.jp/toku/report/?year=2014&month=04&date=12
H,清水,L,0,4,20,6,7,1,0,1,497,336,17,10,16,7,4,9,4,4,22,36,12,2,7,17,30,24,2,1,9,4,2,4,0,0,52,25,21,10,137,139,14.6%,4.3%,54.7%,45.3%,https://www.football-lab.jp/toku/report/?year=2014&month=04&date=19
H,新潟,L,1,2,12,10,4,5,0,0,520,359,13,13,11,13,1,4,6,6,26,30,11,11,13,22,35,25,4,3,4,0,0,1,0,0,43,32,13,11,135,145,8.9%,6.9%,56.8%,43.2%,https://www.football-lab.jp/toku/report/?year=2014&month=04&date=26
A,甲府,W,1,0,27,3,10,2,0,0,688,353,25,0,9,8,0,4,5,0,33,21,9,3,17,16,8,33,2,1,4,0,0,1,0,0,81,16,33,3,146,135,18.5%,2.2%,58.3%,41.7%,https://www.football-lab.jp/toku/report/?year=2014&month=04&date=29
H,仙台,L,0,1,18,10,6,2,1,0,491,348,19,12,12,15,2,3,4,2,19,33,7,8,10,11,31,28,1,2,2,2,2,3,0,0,50,33,16,16,128,134,14.1%,7.5%,55.6%,44.4%,https://www.football-lab.jp/toku/report/?year=2014&month=05&date=03
A,Ｇ大阪,L,0,3,21,6,9,1,0,0,806,321,18,13,12,4,2,8,5,3,32,21,16,8,11,16,23,32,3,4,7,2,0,0,0,0,65,24,24,8,138,126,15.2%,4.8%,65.6%,34.4%,https://www.football-lab.jp/toku/report/?year=2014&month=05&date=06
H,Ｆ東京,D,0,0,29,11,7,1,0,0,589,351,34,17,5,10,1,2,15,2,28,18,22,9,25,34,14,36,4,2,3,1,0,1,0,0,74,37,41,12,140,125,20.7%,8.8%,57.4%,42.6%,https://www.football-lab.jp/toku/report/?year=2014&month=05&date=10
A,鹿島,L,0,1,30,5,10,2,0,0,731,363,21,10,9,12,2,1,10,0,19,16,13,7,19,20,14,24,5,1,1,2,2,1,0,0,74,22,28,8,135,123,22.2%,4.1%,61.7%,38.3%,https://www.football-lab.jp/toku/report/?year=2014&month=05&date=17
A,名古屋,D,1,1,16,6,2,3,1,0,563,408,19,10,10,7,3,3,5,4,32,20,13,9,19,22,17,29,5,4,3,2,0,1,0,0,63,32,13,9,135,135,11.9%,4.4%,56.5%,43.5%,https://www.football-lab.jp/toku/report/?year=2014&month=07&date=19
H,浦和,L,0,2,13,10,5,1,0,0,630,408,14,16,11,10,3,2,11,0,16,16,11,9,23,9,19,27,5,3,2,2,0,1,0,0,51,25,17,13,116,100,11.2%,10.0%,58.2%,41.8%,https://www.football-lab.jp/toku/report/?year=2014&month=07&date=23
A,大宮,W,3,1,23,14,6,6,0,0,638,253,25,4,14,11,1,0,10,4,23,16,22,7,15,19,16,33,0,3,0,1,3,0,0,0,65,23,14,10,109,103,21.1%,13.6%,65.6%,34.4%,https://www.football-lab.jp/toku/report/?year=2014&month=07&date=27
H,甲府,D,2,2,18,7,8,3,0,0,390,288,30,5,15,14,2,4,6,2,33,30,16,2,18,29,21,34,0,0,2,2,1,0,0,0,52,22,24,7,159,160,11.3%,4.4%,54.7%,45.3%,https://www.football-lab.jp/toku/report/?year=2014&month=08&date=02
A,清水,L,0,1,18,12,6,2,0,0,532,365,10,16,13,12,0,3,3,4,20,28,7,11,18,18,24,14,6,3,3,0,1,0,0,0,39,30,16,8,117,126,15.4%,9.5%,52.9%,47.1%,https://www.football-lab.jp/toku/report/?year=2014&month=08&date=09
H,横浜FM,L,0,3,11,5,5,1,1,0,616,328,12,6,12,15,1,5,3,3,33,12,14,9,20,25,16,20,5,3,5,1,1,3,0,0,58,25,11,5,132,112,8.3%,4.5%,62.1%,37.9%,https://www.football-lab.jp/toku/report/?year=2014&month=08&date=16
A,新潟,W,2,1,12,9,2,4,0,0,568,317,22,9,7,17,2,1,4,4,32,36,15,15,25,34,15,30,2,5,1,2,3,1,1,0,47,23,12,12,125,147,9.6%,6.1%,57.5%,42.5%,https://www.football-lab.jp/toku/report/?year=2014&month=08&date=23
H,広島,L,0,1,12,11,2,3,1,0,578,466,11,7,15,11,2,3,6,3,17,27,12,6,19,20,21,22,4,3,3,2,1,2,0,0,46,40,12,15,106,111,11.3%,9.9%,51.1%,48.9%,https://www.football-lab.jp/toku/report/?year=2014&month=08&date=30
A,川崎Ｆ,L,0,4,28,7,9,2,0,0,682,485,13,16,4,12,0,0,5,1,14,20,12,11,22,21,26,20,8,5,0,0,1,1,0,0,64,35,25,8,119,120,23.5%,5.8%,52.1%,47.9%,https://www.football-lab.jp/toku/report/?year=2014&month=09&date=13
H,大宮,L,0,2,13,13,5,1,0,0,458,403,9,14,11,12,1,1,6,4,21,28,16,10,18,18,32,24,4,4,1,1,0,1,0,0,41,28,13,13,119,129,10.9%,10.1%,52.1%,47.9%,https://www.football-lab.jp/toku/report/?year=2014&month=09&date=20
A,Ｆ東京,L,0,4,17,3,6,1,1,0,489,396,18,19,9,18,1,3,10,3,16,19,16,13,15,23,28,19,4,1,3,1,0,1,0,0,48,34,22,13,119,119,14.3%,2.5%,54.4%,45.6%,https://www.football-lab.jp/toku/report/?year=2014&month=09&date=23
H,鹿島,L,0,5,24,9,9,2,0,0,585,395,13,10,14,16,1,2,8,3,21,16,11,16,17,22,17,20,4,2,2,1,1,1,0,0,61,31,21,7,141,131,17.0%,6.9%,56.5%,43.5%,https://www.football-lab.jp/toku/report/?year=2014&month=09&date=27
A,浦和,L,1,2,16,2,5,1,0,0,367,322,16,9,18,12,1,3,14,0,43,27,19,3,28,23,27,51,2,1,2,1,0,0,0,0,37,22,21,6,190,167,8.4%,1.2%,51.6%,48.4%,https://www.football-lab.jp/toku/report/?year=2014&month=10&date=05
H,神戸,D,2,2,23,7,10,2,0,0,650,326,19,15,6,4,1,3,7,8,19,21,16,5,16,15,18,34,0,3,3,1,1,0,0,0,78,26,27,10,117,123,19.7%,5.7%,59.9%,40.1%,https://www.football-lab.jp/toku/report/?year=2014&month=10&date=18
A,Ｃ大阪,L,1,3,15,12,5,2,1,0,482,343,17,13,11,14,2,2,4,6,30,30,13,9,17,27,30,30,6,4,2,2,4,3,1,0,38,39,13,17,121,135,12.4%,8.9%,56.4%,43.6%,https://www.football-lab.jp/toku/report/?year=2014&month=10&date=22
H,名古屋,L,0,2,14,5,6,0,0,0,491,352,25,14,16,17,1,3,5,4,20,26,15,12,28,15,23,27,4,4,2,1,2,1,0,0,57,30,13,8,121,129,11.6%,3.9%,55%,45%,https://www.football-lab.jp/toku/report/?year=2014&month=10&date=26
A,柏,L,0,2,17,6,7,3,0,0,650,331,20,11,13,14,2,3,8,0,21,18,11,11,16,22,20,21,2,1,3,2,1,1,0,0,45,21,19,9,114,112,14.9%,5.4%,62.6%,37.4%,https://www.football-lab.jp/toku/report/?year=2014&month=11&date=02
H,鳥栖,L,0,1,16,7,5,0,0,0,508,295,29,9,7,20,0,1,10,3,20,12,15,8,17,20,9,24,3,1,1,0,2,0,0,0,59,27,24,6,130,121,12.3%,5.8%,58.4%,41.6%,https://www.football-lab.jp/toku/report/?year=2014&month=11&date=22
A,仙台,L,1,2,20,8,7,4,0,0,455,483,19,16,13,12,2,3,4,3,22,27,13,4,15,15,40,33,1,1,3,1,0,3,0,0,55,45,17,10,127,121,15.7%,6.6%,50.1%,49.9%,https://www.football-lab.jp/toku/report/?year=2014&month=11&date=29
H,Ｇ大阪,D,0,0,20,11,2,3,0,0,762,360,39,10,14,12,3,0,8,1,26,15,29,6,16,20,16,35,2,3,0,2,0,2,0,0,86,25,27,6,136,129,14.7%,8.5%,62%,38%,https://www.football-lab.jp/toku/report/?year=2014&month=12&date=06
