HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,徳島,W,5,0,19,4,8,1,1,0,433,359,23,11,13,20,1,7,5,5,26,17,14,4,16,21,18,23,3,2,7,1,0,2,0,0,47,21,19,5,140,143,13.6%,2.8%,52.2%,47.8%,https://www.football-lab.jp/tosu/report/?year=2014&month=03&date=01
A,浦和,W,1,0,4,22,1,7,0,0,215,669,9,19,12,15,2,2,2,7,26,24,12,21,19,14,36,20,6,1,2,2,2,0,0,0,22,65,9,15,116,122,3.4%,18.0%,33.1%,66.9%,https://www.football-lab.jp/tosu/report/?year=2014&month=03&date=08
H,鹿島,L,0,3,15,15,6,4,1,0,385,358,19,12,12,16,2,4,6,5,26,20,8,12,25,24,33,39,0,1,4,1,1,3,0,0,43,28,15,13,131,139,11.5%,10.8%,51.6%,48.4%,https://www.football-lab.jp/tosu/report/?year=2014&month=03&date=15
A,新潟,L,0,1,26,13,3,4,0,0,403,351,29,14,20,11,5,1,6,3,32,13,10,14,20,15,12,40,6,7,1,4,1,2,0,0,44,36,33,15,159,130,16.4%,10.0%,51.1%,48.9%,https://www.football-lab.jp/tosu/report/?year=2014&month=03&date=23
H,Ｇ大阪,W,2,0,11,13,3,2,0,0,331,554,12,16,17,11,1,3,2,11,22,16,4,8,21,8,29,23,8,1,2,1,1,2,0,0,34,43,12,11,124,125,8.9%,10.4%,42.6%,57.4%,https://www.football-lab.jp/tosu/report/?year=2014&month=03&date=29
A,Ｆ東京,L,1,2,16,16,4,4,0,0,399,291,22,8,11,14,4,5,12,2,25,24,3,7,13,20,15,25,4,3,6,4,2,0,0,0,38,28,16,12,155,135,10.3%,11.9%,54.7%,45.3%,https://www.football-lab.jp/tosu/report/?year=2014&month=04&date=06
H,甲府,W,2,0,6,15,3,3,0,0,504,492,9,20,13,18,0,2,1,1,19,23,5,14,17,14,25,20,3,3,2,0,2,2,0,0,20,48,7,16,120,130,5.0%,11.5%,52.1%,47.9%,https://www.football-lab.jp/tosu/report/?year=2014&month=04&date=12
A,仙台,W,3,0,11,20,4,5,0,0,447,376,13,17,12,17,3,2,2,1,31,16,13,13,15,20,22,24,4,2,2,3,2,1,0,0,44,48,16,16,148,135,7.4%,14.8%,54.6%,45.4%,https://www.football-lab.jp/tosu/report/?year=2014&month=04&date=19
A,名古屋,W,3,2,17,17,6,2,1,1,376,503,15,8,7,15,3,3,7,1,26,18,6,17,24,15,19,26,8,7,3,3,3,1,0,0,41,34,20,12,149,151,11.4%,11.3%,46.2%,53.8%,https://www.football-lab.jp/tosu/report/?year=2014&month=04&date=26
H,広島,L,1,2,10,12,1,5,0,0,413,774,17,10,7,17,0,2,3,3,15,14,12,11,17,23,16,21,7,2,2,0,3,1,1,0,38,47,18,10,105,118,9.5%,10.2%,37.9%,62.1%,https://www.football-lab.jp/tosu/report/?year=2014&month=04&date=29
A,清水,W,1,0,16,10,7,1,0,0,359,489,13,21,11,12,5,5,5,7,23,22,11,19,21,17,41,24,5,1,5,5,1,2,0,0,32,49,21,12,125,132,12.8%,7.6%,46.3%,53.7%,https://www.football-lab.jp/tosu/report/?year=2014&month=05&date=03
H,柏,W,1,0,7,13,1,1,0,0,431,578,21,20,9,9,5,4,5,2,27,26,11,8,14,18,39,33,2,1,4,5,0,0,0,0,37,46,10,19,134,131,5.2%,9.9%,45.6%,54.4%,https://www.football-lab.jp/tosu/report/?year=2014&month=05&date=06
A,横浜FM,W,2,1,10,16,7,4,0,0,303,589,8,24,7,14,3,3,3,12,25,29,9,18,18,22,38,16,7,3,3,3,0,0,0,0,28,54,10,11,123,142,8.1%,11.3%,39.9%,60.1%,https://www.football-lab.jp/tosu/report/?year=2014&month=05&date=10
H,大宮,D,1,1,22,15,5,4,1,0,378,313,17,16,15,14,2,3,4,6,20,13,6,13,30,18,18,30,1,1,3,1,1,2,0,0,35,27,18,12,122,115,18.0%,13.0%,52.1%,47.9%,https://www.football-lab.jp/tosu/report/?year=2014&month=05&date=17
A,神戸,W,1,0,11,21,2,5,0,0,277,505,13,19,16,15,5,4,2,6,16,26,3,21,37,22,33,18,4,5,2,4,1,1,0,0,23,58,11,19,123,136,8.9%,15.4%,43.1%,56.9%,https://www.football-lab.jp/tosu/report/?year=2014&month=07&date=19
H,川崎Ｆ,L,0,1,14,10,5,2,0,0,351,628,25,6,11,18,3,4,4,4,13,10,8,9,18,11,15,27,3,2,4,3,3,3,0,1,40,37,11,10,99,107,14.1%,9.3%,40.8%,59.2%,https://www.football-lab.jp/tosu/report/?year=2014&month=07&date=23
A,Ｃ大阪,W,1,0,9,9,4,5,0,0,451,450,13,17,9,11,3,4,4,2,17,17,6,15,21,20,18,12,3,1,4,2,1,1,0,0,31,43,9,10,133,121,6.8%,7.4%,54.7%,45.3%,https://www.football-lab.jp/tosu/report/?year=2014&month=07&date=27
H,名古屋,W,1,0,14,10,5,4,0,0,481,385,26,10,14,16,2,5,9,3,21,21,8,7,15,8,23,36,3,3,5,1,0,2,0,0,39,27,21,9,128,124,10.9%,8.1%,55.3%,44.7%,https://www.football-lab.jp/tosu/report/?year=2014&month=08&date=02
A,広島,L,0,1,8,12,2,4,0,0,606,573,11,13,11,7,2,1,4,3,14,16,5,15,13,12,8,15,2,0,0,2,2,0,0,0,40,41,13,12,94,99,8.5%,12.1%,51%,49%,https://www.football-lab.jp/tosu/report/?year=2014&month=08&date=11
H,Ｆ東京,L,0,2,11,18,5,5,0,0,556,294,30,16,17,5,2,3,7,4,26,20,16,13,22,18,16,38,1,1,3,2,1,1,0,0,52,33,15,15,136,124,8.1%,14.5%,59.2%,40.8%,https://www.football-lab.jp/tosu/report/?year=2014&month=08&date=16
A,大宮,W,3,1,13,16,5,5,0,1,431,508,6,21,12,10,1,2,4,4,17,22,7,11,15,21,28,11,5,0,2,1,1,1,0,0,43,51,10,14,119,117,10.9%,13.7%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2014&month=08&date=23
