HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,Ｇ大阪,W,1,0,11,16,2,3,0,0,633,606,8,16,9,8,2,4,1,4,24,21,4,6,17,22,22,17,7,5,3,2,2,1,0,0,53,52,6,13,109,121,10.1%,13.2%,47.7%,52.3%,https://www.football-lab.jp/uraw/report/?year=2014&month=03&date=01
H,鳥栖,L,0,1,4,22,1,7,0,0,215,669,9,19,12,15,2,2,2,7,26,24,12,21,19,14,36,20,6,1,2,2,2,0,0,0,22,65,9,15,116,122,3.4%,18.0%,33.1%,66.9%,https://www.football-lab.jp/uraw/report/?year=2014&month=03&date=08
A,広島,W,2,0,10,11,3,5,0,0,502,591,10,13,20,12,6,3,2,4,28,12,13,13,26,34,20,20,9,8,3,5,0,5,0,1,27,38,7,14,144,121,6.9%,9.1%,45.6%,54.4%,https://www.football-lab.jp/uraw/report/?year=2014&month=03&date=15
H,清水,D,1,1,9,20,4,5,0,0,365,677,8,21,13,11,4,5,1,3,15,19,5,14,11,13,13,8,2,4,5,4,1,0,0,0,18,58,10,19,119,120,7.6%,16.7%,36.3%,63.7%,https://www.football-lab.jp/uraw/report/?year=2014&month=03&date=23
A,神戸,L,1,3,20,14,8,3,0,0,397,499,16,13,9,13,1,5,6,4,26,19,16,21,21,19,25,19,5,4,4,1,1,0,0,0,44,48,16,18,120,118,16.7%,11.9%,45.7%,54.3%,https://www.football-lab.jp/uraw/report/?year=2014&month=03&date=29
H,仙台,W,4,0,7,22,0,9,0,0,504,601,15,15,5,12,4,0,1,2,24,22,9,12,21,23,14,17,1,3,0,4,1,0,0,0,37,35,10,13,110,126,6.4%,17.5%,46.5%,53.5%,https://www.football-lab.jp/uraw/report/?year=2014&month=04&date=06
A,名古屋,W,2,1,11,19,4,6,0,0,273,635,5,26,17,15,3,2,3,5,15,26,9,30,23,23,38,16,1,2,2,2,2,2,1,0,34,73,9,18,145,134,7.6%,14.2%,34.4%,65.6%,https://www.football-lab.jp/uraw/report/?year=2014&month=04&date=12
H,川崎Ｆ,W,1,0,13,14,4,7,0,0,667,445,7,17,18,12,0,1,3,9,22,15,13,11,17,35,18,17,7,2,1,0,0,5,0,0,49,43,20,11,124,120,10.5%,11.7%,54.5%,45.5%,https://www.football-lab.jp/uraw/report/?year=2014&month=04&date=19
A,柏,L,2,3,13,14,5,6,1,0,523,555,13,10,8,8,3,1,2,7,18,14,7,12,18,18,24,12,5,1,1,3,0,0,0,0,38,47,7,17,118,121,11.0%,11.6%,47.9%,52.1%,https://www.football-lab.jp/uraw/report/?year=2014&month=04&date=26
H,横浜FM,W,1,0,9,12,2,4,0,0,531,436,14,8,14,11,1,2,1,4,34,25,11,10,19,21,25,31,3,2,2,1,0,0,0,0,35,37,8,7,142,127,6.3%,9.4%,52.8%,47.2%,https://www.football-lab.jp/uraw/report/?year=2014&month=04&date=29
