HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,大宮,W,2,0,21,10,2,1,0,0,577,387,9,15,14,10,4,5,3,3,29,26,12,14,14,31,28,21,6,4,4,4,1,0,0,0,38,28,13,7,148,139,14.2%,7.2%,57.6%,42.4%,https://www.football-lab.jp/y-fm/report/?year=2014&month=03&date=02
A,清水,W,1,0,12,9,5,2,0,0,605,321,12,16,16,14,1,4,6,6,25,32,12,7,28,30,23,27,3,0,3,1,4,2,0,1,39,27,10,8,145,143,8.3%,6.3%,61.6%,38.4%,https://www.football-lab.jp/y-fm/report/?year=2014&month=03&date=08
H,徳島,W,3,0,16,4,9,1,0,0,625,382,19,12,15,12,1,3,10,2,22,24,8,7,20,31,16,18,10,5,3,1,0,1,0,0,59,30,21,10,127,121,12.6%,3.3%,59.9%,40.1%,https://www.football-lab.jp/y-fm/report/?year=2014&month=03&date=15
A,甲府,L,0,1,4,6,0,4,0,0,748,280,12,8,11,11,6,3,3,3,41,20,9,12,21,23,18,49,2,2,3,6,0,1,0,0,57,17,6,7,140,122,2.9%,4.9%,67.8%,32.2%,https://www.football-lab.jp/y-fm/report/?year=2014&month=03&date=23
H,鹿島,L,1,3,10,14,1,3,0,0,517,358,10,6,22,11,3,2,6,9,20,15,19,13,25,19,25,30,7,5,2,3,2,1,0,0,45,33,10,20,138,130,7.2%,10.8%,59.7%,40.3%,https://www.football-lab.jp/y-fm/report/?year=2014&month=03&date=29
A,新潟,D,0,0,19,14,8,1,0,0,400,420,13,24,18,12,2,2,5,6,31,18,17,20,39,24,17,27,4,9,2,2,1,2,0,0,36,38,14,11,160,149,11.9%,9.4%,48.6%,51.4%,https://www.football-lab.jp/y-fm/report/?year=2014&month=04&date=06
H,仙台,L,0,2,12,13,5,5,0,0,497,337,20,15,11,12,4,4,8,7,30,21,16,5,19,24,29,49,3,1,4,4,2,0,0,0,58,29,17,13,147,133,8.2%,9.8%,56.9%,43.1%,https://www.football-lab.jp/y-fm/report/?year=2014&month=04&date=12
A,柏,D,0,0,12,9,0,5,0,0,488,471,21,15,15,9,1,3,4,3,30,26,19,11,32,32,17,28,5,7,3,1,0,0,0,0,47,41,15,9,149,137,8.1%,6.6%,52.1%,47.9%,https://www.football-lab.jp/y-fm/report/?year=2014&month=04&date=19
H,Ｆ東京,L,0,1,16,12,2,2,0,0,676,314,27,8,16,12,4,0,4,1,28,20,11,9,23,24,17,24,2,3,0,4,2,2,0,0,52,33,19,6,128,126,12.5%,9.5%,64.4%,35.6%,https://www.football-lab.jp/y-fm/report/?year=2014&month=04&date=26
A,浦和,L,0,1,9,12,2,4,0,0,531,436,14,8,14,11,1,2,1,4,34,25,11,10,19,21,25,31,3,2,2,1,0,0,0,0,35,37,8,7,142,127,6.3%,9.4%,52.8%,47.2%,https://www.football-lab.jp/y-fm/report/?year=2014&month=04&date=29
