HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,D,2,2,12,9,5,4,1,0,375,551,7,23,18,19,2,1,4,3,19,35,12,12,20,26,51,25,2,3,1,1,2,3,0,0,31,53,9,11,"115,007m","115,975m",189,168,132,141,9.1%,6.4%,44.9%,55.1%,https://www.football-lab.jp/g-os/report/?year=2015&month=03&date=07
A,鳥栖,L,0,1,23,13,2,3,0,0,629,258,20,6,16,12,2,1,4,5,28,14,14,14,20,24,13,33,0,5,1,1,0,2,0,0,35,21,13,9,"106,228m","110,909m",145,130,121,115,19.0%,11.3%,63.3%,36.7%,https://www.football-lab.jp/g-os/report/?year=2015&month=03&date=14
A,甲府,W,2,0,13,7,3,0,0,0,503,462,16,18,11,18,0,5,4,4,24,28,9,15,30,20,35,22,3,1,5,0,0,0,0,0,42,38,21,8,"111,800m","109,480m",138,120,120,126,10.8%,5.6%,50.8%,49.2%,https://www.football-lab.jp/g-os/report/?year=2015&month=03&date=22
H,名古屋,W,3,1,19,15,9,5,0,0,507,414,14,13,12,12,1,5,7,5,28,24,9,13,18,20,31,46,3,2,5,0,1,1,0,0,49,37,14,12,"112,337m","109,460m",225,194,146,138,13.0%,10.9%,53.1%,46.9%,https://www.football-lab.jp/g-os/report/?year=2015&month=04&date=03
A,清水,W,3,2,13,12,6,4,0,0,438,426,15,26,16,12,2,3,9,5,20,21,17,11,15,18,31,18,2,1,2,2,1,1,0,0,57,46,15,8,"114,824m","117,243m",236,208,130,130,10.0%,9.2%,52%,48%,https://www.football-lab.jp/g-os/report/?year=2015&month=04&date=12
A,湘南,W,2,0,11,11,5,3,1,0,465,443,8,22,12,11,1,4,8,8,32,27,8,14,14,16,23,23,4,1,4,1,1,2,0,0,40,51,15,12,"111,454m","116,414m",197,178,131,128,8.4%,8.6%,51.6%,48.4%,https://www.football-lab.jp/g-os/report/?year=2015&month=04&date=18
H,新潟,W,2,1,9,15,5,3,0,0,463,392,9,11,19,10,2,2,4,3,22,20,16,14,27,30,18,24,3,3,1,1,1,3,0,0,38,37,10,13,"109,613m","108,404m",183,160,132,128,6.8%,11.7%,51.7%,48.3%,https://www.football-lab.jp/g-os/report/?year=2015&month=04&date=26
H,松本,W,1,0,16,16,8,4,0,0,522,477,9,15,9,10,0,2,3,2,24,26,11,8,22,20,28,19,1,3,2,0,1,1,0,0,51,46,13,14,"114,228m","120,152m",180,182,132,131,12.1%,12.2%,52.8%,47.2%,https://www.football-lab.jp/g-os/report/?year=2015&month=04&date=29
A,浦和,L,0,1,7,13,2,3,0,0,385,563,8,21,13,16,0,2,1,9,16,19,5,20,22,17,24,13,4,6,1,0,1,1,0,0,28,60,6,16,"108,825m","112,453m",161,158,122,134,5.7%,9.7%,41.2%,58.8%,https://www.football-lab.jp/g-os/report/?year=2015&month=05&date=02
A,広島,W,1,0,7,20,4,6,0,0,512,604,10,24,6,9,2,3,2,7,12,17,12,22,15,26,15,8,1,4,4,2,2,1,0,0,49,59,7,17,"116,153m","115,011m",181,137,102,112,6.9%,17.9%,45.8%,54.2%,https://www.football-lab.jp/g-os/report/?year=2015&month=05&date=10
H,川崎Ｆ,D,1,1,25,17,12,5,0,0,426,686,22,3,11,8,1,2,9,5,15,15,13,17,27,19,27,40,7,2,3,1,2,1,0,0,51,76,22,17,"113,706m","113,076m",172,167,116,112,21.6%,15.2%,41.5%,58.5%,https://www.football-lab.jp/g-os/report/?year=2015&month=05&date=16
