HOME/AWAY,Opponent,勝敗,mats_得点,mats_失点,Opponent_シュート,mats_シュート,Opponent_枠内シュート,mats_枠内シュート,Opponent_PKによるシュート,mats_PKによるシュート,Opponent_パス,mats_パス,Opponent_クロス,mats_クロス,Opponent_直接ＦＫ,mats_直接ＦＫ,Opponent_間接ＦＫ,mats_間接ＦＫ,Opponent_ＣＫ,mats_ＣＫ,Opponent_スローイン,mats_スローイン,Opponent_ドリブル,mats_ドリブル,Opponent_タックル,mats_タックル,Opponent_クリア,mats_クリア,Opponent_インターセプト,mats_インターセプト,Opponent_オフサイド,mats_オフサイド,Opponent_警告,mats_警告,Opponent_退場,mats_退場,Opponent_３０ｍライン進入,mats_３０ｍライン進入,Opponent_ペナルティエリア進入,mats_ペナルティエリア進入,Opponent_総移動距離,mats_総移動距離,Opponent_スプリント,mats_スプリント,Opponent_攻撃回数,mats_攻撃回数,Opponent_チャンス構築率,mats_チャンス構築率,Opponent_ボール保持率,mats_ボール保持率,URL
A,名古屋,D,3,3,20,7,9,4,1,0,506,276,30,8,22,6,3,0,9,5,42,29,9,4,18,19,15,42,6,3,0,3,1,1,0,0,59,16,27,7,"102,158m","110,897m",135,161,153,132,13.1%,5.3%,58.7%,41.3%,https://www.football-lab.jp/mats/report/?year=2015&month=03&date=07
H,広島,L,1,2,25,13,7,5,0,1,736,265,29,20,12,5,2,0,4,7,19,13,28,12,14,16,19,40,3,5,0,2,1,2,0,0,80,22,20,10,"110,756m","115,277m",130,141,110,106,22.7%,12.3%,68.5%,31.5%,https://www.football-lab.jp/mats/report/?year=2015&month=03&date=14
A,清水,W,1,0,16,6,2,2,0,1,514,269,23,16,20,10,5,1,6,2,35,19,13,4,7,20,4,35,0,3,0,5,0,2,0,0,63,20,15,11,"114,311m","118,179m",152,156,154,136,10.4%,4.4%,59.7%,40.3%,https://www.football-lab.jp/mats/report/?year=2015&month=03&date=22
A,浦和,L,0,1,36,6,9,1,0,0,746,222,25,9,16,6,3,1,5,2,23,11,27,4,16,18,10,30,7,3,1,3,0,1,0,0,77,20,28,4,"115,223m","118,526m",156,178,126,106,28.6%,5.7%,72.6%,27.4%,https://www.football-lab.jp/mats/report/?year=2015&month=04&date=04
H,柏,L,1,3,15,17,5,3,0,0,631,303,8,18,14,9,4,2,4,9,15,31,12,9,19,22,35,22,4,3,1,4,0,1,0,0,57,38,23,18,"110,474m","119,376m",152,179,126,131,11.9%,13.0%,63%,37%,https://www.football-lab.jp/mats/report/?year=2015&month=04&date=12
A,山形,D,0,0,13,14,1,2,0,0,397,346,23,19,7,8,3,5,5,6,43,22,15,8,17,23,30,35,5,0,5,3,0,1,0,0,45,32,16,14,"109,696m","111,046m",174,185,151,139,8.6%,10.1%,52.6%,47.4%,https://www.football-lab.jp/mats/report/?year=2015&month=04&date=18
H,仙台,W,1,0,13,9,2,3,0,0,434,282,20,15,14,13,5,3,6,2,30,29,9,5,15,16,24,44,1,5,3,5,1,1,0,0,39,30,14,8,"111,259m","114,788m",127,182,139,132,9.4%,6.8%,55.1%,44.9%,https://www.football-lab.jp/mats/report/?year=2015&month=04&date=25
A,Ｇ大阪,L,0,1,16,16,8,4,0,0,522,477,9,15,9,10,0,2,3,2,24,26,11,8,22,20,28,19,1,3,2,0,1,1,0,0,51,46,13,14,"114,228m","120,152m",180,182,132,131,12.1%,12.2%,52.8%,47.2%,https://www.football-lab.jp/mats/report/?year=2015&month=04&date=29
H,新潟,L,1,2,15,17,4,5,1,0,325,250,25,10,15,11,1,2,7,3,40,24,24,6,20,28,23,31,0,3,2,1,2,1,0,0,47,28,21,22,"109,342m","111,281m",127,153,159,135,9.4%,12.6%,57.1%,42.9%,https://www.football-lab.jp/mats/report/?year=2015&month=05&date=02
H,甲府,W,2,0,9,15,4,3,0,1,382,352,11,11,17,6,0,3,5,3,25,17,13,8,16,21,13,21,1,2,2,0,1,2,0,0,32,26,25,11,"102,993m","112,031m",113,165,138,123,6.5%,12.2%,49.6%,50.4%,https://www.football-lab.jp/mats/report/?year=2015&month=05&date=06
A,鳥栖,D,1,1,22,16,3,8,0,0,469,238,27,10,14,13,4,2,13,3,22,11,13,2,15,19,21,65,3,0,1,4,0,0,0,0,52,21,29,9,"110,661m","114,594m",130,172,137,121,16.1%,13.2%,59.5%,40.5%,https://www.football-lab.jp/mats/report/?year=2015&month=05&date=10
H,神戸,W,2,0,16,15,4,3,0,0,584,295,14,22,7,17,0,0,4,5,23,28,9,11,13,20,35,36,3,0,0,0,2,0,0,0,69,41,19,21,"109,615m","119,874m",156,200,125,133,12.8%,11.3%,61.9%,38.1%,https://www.football-lab.jp/mats/report/?year=2015&month=05&date=16
H,横浜FM,L,0,3,16,8,5,3,0,0,521,333,7,12,11,15,8,1,3,4,43,29,10,13,18,30,22,27,2,4,1,8,1,1,0,0,39,32,9,10,"116,240m","122,617m",163,217,162,146,9.9%,5.5%,59.7%,40.3%,https://www.football-lab.jp/mats/report/?year=2015&month=05&date=23
A,鹿島,L,1,3,20,8,9,1,0,0,508,263,15,16,12,17,2,1,7,2,24,26,11,10,10,19,27,30,0,0,0,2,3,1,0,0,45,26,17,6,"107,832m","116,621m",146,185,120,121,16.7%,6.6%,61.9%,38.1%,https://www.football-lab.jp/mats/report/?year=2015&month=05&date=30
H,FC東京,L,1,2,10,18,4,7,1,0,310,360,11,27,23,11,3,2,2,6,31,41,7,6,23,29,50,32,0,2,1,3,2,2,0,0,40,34,6,17,"109,938m","116,538m",144,171,150,149,6.7%,12.1%,50.9%,49.1%,https://www.football-lab.jp/mats/report/?year=2015&month=06&date=07
A,川崎Ｆ,L,0,2,19,9,6,2,1,0,850,188,23,6,19,4,1,2,13,1,15,10,26,9,19,31,13,34,6,6,2,1,0,1,0,0,93,19,17,10,"108,601m","113,536m",116,147,116,91,16.4%,9.9%,75.4%,24.6%,https://www.football-lab.jp/mats/report/?year=2015&month=06&date=20
