HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_総移動距離,Opponent_総移動距離,nago_スプリント,Opponent_スプリント,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
H,松本,D,3,3,20,7,9,4,1,0,506,276,30,8,22,6,3,0,9,5,42,29,9,4,18,19,15,42,6,3,0,3,1,1,0,0,59,16,27,7,"102,158m","110,897m",135,161,153,132,13.1%,5.3%,58.7%,41.3%,https://www.football-lab.jp/nago/report/?year=2015&month=03&date=07
A,甲府,L,0,1,11,6,3,1,0,0,454,467,21,10,9,14,5,3,5,5,32,25,14,22,35,31,17,30,4,3,2,5,0,1,0,0,55,34,14,10,"107,441m","111,605m",159,170,150,148,7.3%,4.1%,49.2%,50.8%,https://www.football-lab.jp/nago/report/?year=2015&month=03&date=14
H,鹿島,D,1,1,12,16,4,3,0,0,433,425,25,18,27,11,3,3,2,5,28,27,10,8,19,15,22,27,3,3,3,3,1,4,0,0,43,40,19,14,"107,924m","111,824m",185,174,140,132,8.6%,12.1%,49.5%,50.5%,https://www.football-lab.jp/nago/report/?year=2015&month=03&date=22
A,Ｇ大阪,L,1,3,15,19,5,9,0,0,414,507,13,14,12,12,5,1,5,7,24,28,13,9,20,18,46,31,2,3,0,5,1,1,0,0,37,49,12,14,"109,460m","112,337m",194,225,138,146,10.9%,13.0%,46.9%,53.1%,https://www.football-lab.jp/nago/report/?year=2015&month=04&date=03
H,広島,W,2,0,16,15,9,3,0,0,449,604,11,14,7,9,2,3,6,9,12,17,11,15,21,13,18,11,4,4,3,2,2,0,0,0,42,55,18,10,"108,875m","109,556m",196,175,111,124,14.4%,12.1%,45.1%,54.9%,https://www.football-lab.jp/nago/report/?year=2015&month=04&date=12
H,清水,W,3,1,12,7,6,3,0,0,383,500,15,21,12,10,10,3,5,7,30,29,8,17,27,13,39,23,4,5,3,10,0,1,0,0,28,43,12,14,"116,422m","115,267m",234,208,141,138,8.5%,5.1%,46.8%,53.2%,https://www.football-lab.jp/nago/report/?year=2015&month=04&date=18
A,浦和,L,1,2,5,21,2,8,0,0,334,596,11,25,16,16,2,3,3,8,27,17,11,11,20,26,29,28,4,3,3,2,1,1,0,0,32,51,10,24,"112,132m","116,242m",203,249,135,137,3.7%,15.3%,41%,59%,https://www.football-lab.jp/nago/report/?year=2015&month=04&date=25
A,神戸,W,1,0,21,14,6,2,0,0,348,453,14,20,19,10,6,3,7,8,21,37,13,14,19,20,27,23,1,4,2,5,1,1,0,0,39,44,20,12,"106,386m","105,334m",175,134,137,139,15.3%,10.1%,45.8%,54.2%,https://www.football-lab.jp/nago/report/?year=2015&month=04&date=29
H,湘南,W,3,0,15,8,4,2,0,0,387,629,14,25,5,5,6,2,4,8,20,20,10,12,31,19,26,24,5,1,2,6,0,2,0,0,39,57,15,15,"113,217m","120,173m",198,206,123,129,12.2%,6.2%,43.4%,56.6%,https://www.football-lab.jp/nago/report/?year=2015&month=05&date=02
A,横浜FM,L,0,2,11,15,6,8,0,0,471,725,15,13,12,11,1,1,5,3,19,17,15,6,18,21,22,17,3,4,1,1,2,2,1,0,35,50,9,18,"103,818m","114,156m",156,160,119,111,9.2%,13.5%,40.8%,59.2%,https://www.football-lab.jp/nago/report/?year=2015&month=05&date=06
H,川崎Ｆ,L,0,1,9,20,1,5,0,0,534,609,17,5,10,13,2,3,3,3,16,15,11,11,18,24,8,17,3,2,3,2,2,2,0,0,42,36,14,14,"110,678m","109,282m",175,156,125,128,7.2%,15.6%,49.8%,50.2%,https://www.football-lab.jp/nago/report/?year=2015&month=05&date=10
H,鳥栖,L,0,1,18,14,4,4,0,0,397,389,21,25,14,14,3,1,7,6,25,21,11,13,18,27,19,23,2,6,1,3,2,0,0,0,45,53,14,17,"108,076m","112,397m",180,186,149,138,12.1%,10.1%,49.4%,50.6%,https://www.football-lab.jp/nago/report/?year=2015&month=05&date=16
A,FC東京,W,1,0,5,16,1,6,0,0,379,458,15,22,16,15,2,1,3,9,25,18,9,11,18,24,40,24,5,2,1,2,2,1,1,0,29,42,9,15,"108,878m","113,636m",163,162,139,137,3.6%,11.7%,48%,52%,https://www.football-lab.jp/nago/report/?year=2015&month=05&date=23
