HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,W,3,1,5,17,3,6,0,0,331,386,20,17,21,16,0,3,4,3,26,23,9,12,22,11,24,16,3,3,3,0,2,2,0,0,33,34,13,14,"112,013m","110,811m",156,147,143,135,3.5%,12.6%,46.2%,53.8%,https://www.football-lab.jp/shim/report/?year=2015&month=03&date=08
A,新潟,D,0,0,8,15,2,3,0,0,365,541,16,31,14,13,1,1,1,12,26,32,5,15,22,36,29,19,7,4,1,1,2,2,0,0,40,70,14,26,"118,155m","119,804m",207,244,151,162,5.3%,9.3%,41.8%,58.2%,https://www.football-lab.jp/shim/report/?year=2015&month=03&date=14
H,松本,L,0,1,16,6,2,2,0,1,514,269,23,16,20,10,5,1,6,2,35,19,13,4,7,20,4,35,0,3,0,5,0,2,0,0,63,20,15,11,"114,311m","118,179m",152,156,154,136,10.4%,4.4%,59.7%,40.3%,https://www.football-lab.jp/shim/report/?year=2015&month=03&date=22
A,仙台,L,1,2,15,12,3,3,0,0,324,389,23,14,16,22,3,1,8,6,25,30,10,10,29,16,31,26,2,3,1,2,5,1,2,0,34,42,14,15,"109,831m","112,530m",169,150,147,144,10.2%,8.3%,46.2%,53.8%,https://www.football-lab.jp/shim/report/?year=2015&month=04&date=04
H,Ｇ大阪,L,2,3,12,13,4,6,0,0,426,438,26,15,12,16,3,2,5,9,21,20,11,17,18,15,18,31,1,2,2,2,1,1,0,0,46,57,8,15,"117,243m","114,824m",208,236,130,130,9.2%,10.0%,48%,52%,https://www.football-lab.jp/shim/report/?year=2015&month=04&date=12
A,名古屋,L,1,3,7,12,3,6,0,0,500,383,21,15,10,12,3,10,7,5,29,30,17,8,13,27,23,39,5,4,10,3,1,0,0,0,43,28,14,12,"115,267m","116,422m",208,234,138,141,5.1%,8.5%,53.2%,46.8%,https://www.football-lab.jp/shim/report/?year=2015&month=04&date=18
A,広島,L,0,2,11,23,1,7,0,0,502,658,13,13,5,11,2,2,4,5,15,21,7,21,16,11,25,14,2,2,2,2,4,0,0,0,44,52,6,27,"115,985m","112,430m",186,134,111,119,9.9%,19.3%,43.2%,56.8%,https://www.football-lab.jp/shim/report/?year=2015&month=04&date=25
H,山形,D,3,3,9,19,5,10,0,0,335,466,8,17,14,7,4,4,3,9,27,36,3,10,19,18,41,28,4,1,3,4,2,0,0,0,35,51,12,22,"115,271m","117,004m",209,200,141,145,6.4%,13.1%,43.7%,56.3%,https://www.football-lab.jp/shim/report/?year=2015&month=04&date=29
A,柏,D,0,0,5,14,1,4,0,0,328,684,14,17,10,9,0,6,2,5,21,30,4,18,31,16,17,23,5,1,5,0,1,1,0,0,25,49,5,26,"110,057m","107,142m",135,133,136,139,3.7%,10.1%,35.2%,64.8%,https://www.football-lab.jp/shim/report/?year=2015&month=05&date=02
H,鳥栖,D,2,2,16,13,5,4,1,0,363,413,16,21,14,17,6,1,4,9,14,24,13,7,21,17,28,20,1,3,0,5,2,2,0,0,40,43,23,17,"112,478m","114,495m",138,171,132,145,12.1%,9.0%,47.5%,52.5%,https://www.football-lab.jp/shim/report/?year=2015&month=05&date=06
