HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,浦和,L,1,3,11,14,2,5,1,0,364,461,18,14,21,22,3,2,2,1,24,14,20,12,28,27,12,24,4,7,2,2,0,3,0,0,40,44,7,10,"113,385m","113,459m",172,147,154,137,7.1%,10.2%,45.3%,54.7%,https://www.football-lab.jp/shon/report/?year=2015&month=03&date=07
A,鹿島,W,2,1,9,20,2,5,1,0,383,516,18,24,18,17,5,2,6,4,22,21,8,10,29,25,31,26,6,3,2,5,3,1,1,0,43,44,13,21,"127,713m","123,021m",208,162,147,134,6.1%,14.9%,44.9%,55.1%,https://www.football-lab.jp/shon/report/?year=2015&month=03&date=14
H,仙台,D,0,0,15,12,2,2,0,0,449,346,21,15,11,12,2,4,9,5,20,24,16,6,12,19,20,30,2,2,2,2,1,1,0,0,54,32,17,12,"115,210m","111,444m",188,156,130,133,11.5%,9.0%,53.1%,46.9%,https://www.football-lab.jp/shon/report/?year=2015&month=03&date=22
A,山形,W,2,1,17,17,6,4,0,0,369,417,17,14,12,8,3,4,2,5,32,33,18,8,15,24,34,24,1,2,4,2,1,0,0,0,41,33,21,11,"110,164m","114,875m",161,167,150,148,11.3%,11.5%,49.8%,50.2%,https://www.football-lab.jp/shon/report/?year=2015&month=04&date=04
H,FC東京,L,0,1,9,13,5,3,0,0,392,408,18,16,16,17,2,3,1,4,28,29,20,11,32,26,18,23,2,2,3,2,1,3,0,0,39,32,10,15,"116,389m","109,676m",194,167,142,145,6.3%,9.0%,46.3%,53.7%,https://www.football-lab.jp/shon/report/?year=2015&month=04&date=12
H,Ｇ大阪,L,0,2,11,11,3,5,0,1,443,465,22,8,11,12,4,1,8,8,27,32,14,8,16,14,23,23,1,4,1,4,2,1,0,0,51,40,12,15,"116,414m","111,454m",178,197,128,131,8.6%,8.4%,48.4%,51.6%,https://www.football-lab.jp/shon/report/?year=2015&month=04&date=18
A,横浜FM,L,0,3,15,14,3,9,0,0,527,467,6,13,16,11,0,2,5,5,32,20,13,7,21,29,16,23,2,4,1,0,0,1,0,0,58,44,9,17,"120,606m","117,176m",180,181,135,134,11.1%,10.4%,53.8%,46.2%,https://www.football-lab.jp/shon/report/?year=2015&month=04&date=25
H,鳥栖,W,4,2,14,14,6,4,0,0,366,430,14,16,14,14,2,4,2,2,16,31,10,7,18,24,34,24,2,6,4,1,2,2,0,0,36,39,15,20,"120,564m","118,098m",171,144,140,151,10.0%,9.3%,46.4%,53.6%,https://www.football-lab.jp/shon/report/?year=2015&month=04&date=29
A,名古屋,L,0,3,8,15,2,4,0,0,629,387,25,14,5,5,2,6,8,4,20,20,12,10,19,31,24,26,1,5,6,2,2,0,0,0,57,39,15,15,"120,173m","113,217m",206,198,129,123,6.2%,12.2%,56.6%,43.4%,https://www.football-lab.jp/shon/report/?year=2015&month=05&date=02
H,神戸,D,1,1,17,11,4,3,1,0,349,437,14,10,17,14,3,1,3,5,30,25,12,12,24,25,26,37,0,1,1,3,3,3,0,0,40,42,12,7,"115,722m","108,682m",175,158,142,132,12.0%,8.3%,44.9%,55.1%,https://www.football-lab.jp/shon/report/?year=2015&month=05&date=06
