HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,川崎Ｆ,L,1,3,13,21,7,8,0,0,518,590,13,7,14,11,0,2,2,9,19,16,7,20,29,22,28,28,5,3,2,0,1,2,0,0,38,57,12,22,"120,379m","115,225m",148,136,120,122,10.8%,17.2%,49.7%,50.3%,https://www.football-lab.jp/y-fm/report/?year=2015&month=03&date=07
A,FC東京,D,0,0,11,4,4,0,0,0,484,546,17,30,11,12,1,1,5,11,32,27,15,18,26,41,31,23,2,9,1,1,0,0,0,0,36,44,12,14,"114,265m","115,946m",139,156,148,145,7.4%,2.8%,46.1%,53.9%,https://www.football-lab.jp/y-fm/report/?year=2015&month=03&date=14
H,鳥栖,W,1,0,11,9,4,3,0,0,461,307,9,10,22,16,3,2,4,5,23,27,10,4,16,27,34,44,0,1,2,2,1,2,0,0,33,34,12,10,"112,558m","113,011m",118,126,123,126,8.9%,7.1%,56.8%,43.2%,https://www.football-lab.jp/y-fm/report/?year=2015&month=03&date=22
A,柏,W,2,1,14,15,4,4,0,0,544,564,13,16,17,17,1,5,4,5,21,19,12,16,29,24,23,17,6,3,4,1,1,1,0,0,35,55,10,12,"124,108m","122,084m",155,129,142,139,9.9%,10.8%,47.2%,52.8%,https://www.football-lab.jp/y-fm/report/?year=2015&month=04&date=04
H,仙台,D,1,1,15,10,5,1,0,0,566,389,9,10,19,18,1,1,7,5,26,13,11,11,25,23,25,29,3,4,1,1,2,2,0,0,36,40,14,13,"113,340m","111,460m",133,103,142,133,10.6%,7.5%,54.1%,45.9%,https://www.football-lab.jp/y-fm/report/?year=2015&month=04&date=12
A,浦和,L,1,2,8,15,4,5,0,0,456,561,8,26,14,15,4,2,4,2,29,15,6,13,23,23,20,17,2,1,2,4,2,1,0,0,25,47,9,24,"115,901m","115,131m",150,166,141,132,5.7%,11.4%,45.7%,54.3%,https://www.football-lab.jp/y-fm/report/?year=2015&month=04&date=18
H,湘南,W,3,0,14,15,9,3,0,0,467,527,13,6,11,16,2,0,5,5,20,32,7,13,29,21,23,16,4,2,0,1,1,0,0,0,44,58,17,9,"117,176m","120,606m",181,180,134,135,10.4%,11.1%,46.2%,53.8%,https://www.football-lab.jp/y-fm/report/?year=2015&month=04&date=25
H,広島,L,1,2,8,21,3,8,0,0,602,554,9,19,9,9,1,0,5,8,16,13,6,22,10,21,21,21,3,4,0,1,0,0,0,0,37,51,8,12,"119,187m","116,649m",136,149,107,110,7.5%,19.1%,50.4%,49.6%,https://www.football-lab.jp/y-fm/report/?year=2015&month=04&date=29
A,山形,L,0,1,22,6,4,2,0,0,560,358,9,11,16,9,4,5,4,3,31,27,6,9,21,20,16,21,1,2,5,4,0,1,0,0,38,37,15,6,"111,706m","115,611m",139,172,146,141,15.1%,4.3%,58.9%,41.1%,https://www.football-lab.jp/y-fm/report/?year=2015&month=05&date=02
H,名古屋,W,2,0,15,11,8,6,0,0,725,471,13,15,11,12,1,1,3,5,17,19,6,15,21,18,17,22,4,3,1,1,2,2,0,1,50,35,18,9,"114,156m","103,818m",160,156,111,119,13.5%,9.2%,59.2%,40.8%,https://www.football-lab.jp/y-fm/report/?year=2015&month=05&date=06
H,新潟,W,1,0,9,10,2,2,0,0,441,402,11,23,6,11,4,9,5,8,27,18,18,9,22,41,18,20,3,5,8,3,0,1,0,0,40,43,18,17,"113,246m","113,825m",150,176,139,137,6.5%,7.3%,50.5%,49.5%,https://www.football-lab.jp/y-fm/report/?year=2015&month=05&date=10
A,清水,W,2,1,12,13,4,4,0,0,518,361,12,9,10,10,6,6,3,3,28,29,15,10,28,24,31,26,6,4,6,6,2,1,0,0,37,39,11,14,"113,924m","112,245m",186,160,146,140,8.2%,9.3%,55.1%,44.9%,https://www.football-lab.jp/y-fm/report/?year=2015&month=05&date=16
A,松本,W,3,0,16,8,5,3,0,0,521,333,7,12,11,15,8,1,3,4,43,29,10,13,18,30,22,27,2,4,1,8,1,1,0,0,39,32,9,10,"116,240m","122,617m",163,217,162,146,9.9%,5.5%,59.7%,40.3%,https://www.football-lab.jp/y-fm/report/?year=2015&month=05&date=23
H,Ｇ大阪,D,1,1,13,11,5,2,1,0,463,680,11,17,11,12,1,1,3,3,20,34,8,21,26,10,22,17,7,4,1,1,0,0,0,1,34,69,13,14,"114,675m","112,915m",151,181,119,132,10.9%,8.3%,42.8%,57.2%,https://www.football-lab.jp/y-fm/report/?year=2015&month=05&date=30
A,甲府,D,1,1,7,12,2,2,0,0,600,422,9,12,7,16,3,2,5,6,21,22,11,11,26,29,18,19,2,9,2,3,0,1,0,0,32,29,8,10,"108,806m","110,174m",116,156,125,134,5.6%,9.0%,57.4%,42.6%,https://www.football-lab.jp/y-fm/report/?year=2015&month=06&date=07
H,鹿島,L,0,3,11,20,4,9,0,0,592,388,7,11,13,14,2,3,3,2,29,12,7,13,11,16,9,21,0,3,3,2,2,0,0,0,41,41,7,15,"114,728m","111,701m",153,152,136,125,8.1%,16.0%,57.6%,42.4%,https://www.football-lab.jp/y-fm/report/?year=2015&month=06&date=20
A,神戸,D,1,1,18,16,4,4,0,0,555,370,7,18,13,10,1,1,2,6,33,20,11,17,29,39,18,27,4,0,1,1,2,1,0,0,37,40,11,14,"115,146m","110,249m",159,156,120,112,15.0%,14.3%,55.3%,44.7%,https://www.football-lab.jp/y-fm/report/?year=2015&month=06&date=27
H,山形,D,1,1,19,6,5,2,0,0,577,342,10,10,18,9,1,2,5,0,34,25,15,6,24,26,14,19,2,3,2,0,2,4,0,0,39,30,16,2,"111,227m","112,660m",106,127,132,121,14.4%,5.0%,61.2%,38.8%,https://www.football-lab.jp/y-fm/report/?year=2015&month=07&date=11
H,柏,L,0,1,10,8,3,5,0,0,690,394,23,6,10,11,1,1,7,2,30,19,19,13,16,27,11,49,0,0,1,1,2,1,1,0,53,21,19,10,"115,594m","114,727m",129,122,124,119,8.1%,6.7%,60.2%,39.8%,https://www.football-lab.jp/y-fm/report/?year=2015&month=07&date=15
A,Ｇ大阪,D,2,2,13,12,2,5,0,0,580,377,13,3,21,18,3,0,2,2,18,20,7,10,12,19,13,18,3,1,0,3,2,1,0,0,53,19,10,6,"111,493m","107,836m",112,116,103,107,12.6%,11.2%,58.5%,41.5%,https://www.football-lab.jp/y-fm/report/?year=2015&month=07&date=19
A,広島,L,0,2,9,10,1,5,0,1,739,466,16,11,9,12,0,0,0,1,15,15,12,11,12,29,15,17,2,1,0,0,1,1,0,0,45,35,10,4,"111,569m","111,332m",122,110,87,87,10.3%,11.5%,60.6%,39.4%,https://www.football-lab.jp/y-fm/report/?year=2015&month=07&date=25
H,清水,L,1,2,17,7,6,2,0,0,585,394,14,11,10,4,0,2,6,1,35,19,16,9,14,25,18,43,4,3,2,0,0,0,0,0,34,37,18,6,"109,900m","110,359m",129,130,130,114,13.1%,6.1%,58.7%,41.3%,https://www.football-lab.jp/y-fm/report/?year=2015&month=07&date=29
A,名古屋,W,3,0,17,15,6,3,0,0,410,433,14,15,12,12,1,3,8,8,25,21,18,9,17,18,26,22,4,4,2,1,1,0,0,0,41,49,11,12,"105,152m","105,790m",165,153,127,122,13.4%,12.3%,52.2%,47.8%,https://www.football-lab.jp/y-fm/report/?year=2015&month=08&date=12
H,甲府,W,2,0,21,7,8,2,0,0,599,462,13,18,8,7,1,4,5,4,23,15,18,16,22,23,21,9,3,1,3,1,0,0,0,0,39,34,21,7,"110,080m","109,954m",140,124,112,110,18.8%,6.4%,56.1%,43.9%,https://www.football-lab.jp/y-fm/report/?year=2015&month=08&date=16
