HOME/AWAY,Opponent,勝敗,yama_得点,yama_失点,Opponent_シュート,yama_シュート,Opponent_枠内シュート,yama_枠内シュート,Opponent_PKによるシュート,yama_PKによるシュート,Opponent_パス,yama_パス,Opponent_クロス,yama_クロス,Opponent_直接ＦＫ,yama_直接ＦＫ,Opponent_間接ＦＫ,yama_間接ＦＫ,Opponent_ＣＫ,yama_ＣＫ,Opponent_スローイン,yama_スローイン,Opponent_ドリブル,yama_ドリブル,Opponent_タックル,yama_タックル,Opponent_クリア,yama_クリア,Opponent_インターセプト,yama_インターセプト,Opponent_オフサイド,yama_オフサイド,Opponent_警告,yama_警告,Opponent_退場,yama_退場,Opponent_３０ｍライン進入,yama_３０ｍライン進入,Opponent_ペナルティエリア進入,yama_ペナルティエリア進入,Opponent_総移動距離,yama_総移動距離,Opponent_スプリント,yama_スプリント,Opponent_攻撃回数,yama_攻撃回数,Opponent_チャンス構築率,yama_チャンス構築率,Opponent_ボール保持率,yama_ボール保持率,URL
A,仙台,L,0,2,10,13,2,3,0,0,377,466,9,19,17,14,3,3,4,8,22,24,11,8,18,28,31,22,3,2,3,3,2,2,1,0,38,45,8,5,"110,555m","114,223m",180,168,129,136,7.8%,9.6%,48.1%,51.9%,https://www.football-lab.jp/yama/report/?year=2015&month=03&date=07
A,浦和,L,0,1,18,5,3,1,0,0,647,325,14,9,19,14,2,0,7,0,29,19,14,4,19,30,11,19,6,3,0,2,0,0,0,0,44,18,16,4,"113,330m","114,483m",156,153,143,123,12.6%,4.1%,66.5%,33.5%,https://www.football-lab.jp/yama/report/?year=2015&month=03&date=14
H,川崎Ｆ,W,1,0,13,18,1,3,0,0,589,388,5,24,7,4,3,1,5,6,37,17,16,14,20,30,25,36,2,2,1,3,0,0,0,0,48,48,12,9,"106,942m","114,901m",175,242,150,143,8.7%,12.6%,55%,45%,https://www.football-lab.jp/yama/report/?year=2015&month=03&date=22
H,湘南,L,1,2,17,17,6,4,0,0,369,417,17,14,12,8,3,4,2,5,32,33,18,8,15,24,34,24,1,2,4,2,1,0,0,0,41,33,21,11,"110,164m","114,875m",161,167,150,148,11.3%,11.5%,49.8%,50.2%,https://www.football-lab.jp/yama/report/?year=2015&month=04&date=04
A,鳥栖,L,0,1,12,17,2,5,0,0,331,358,18,16,17,14,4,1,3,6,23,19,8,6,20,23,34,23,3,1,1,4,1,1,0,0,33,35,15,13,"110,803m","115,278m",153,171,134,131,9.0%,13.0%,48.6%,51.4%,https://www.football-lab.jp/yama/report/?year=2015&month=04&date=12
H,松本,D,0,0,14,13,2,1,0,0,346,397,19,23,8,7,5,3,6,5,22,43,8,15,23,17,35,30,0,5,3,5,1,0,0,0,32,45,14,16,"111,046m","109,696m",185,174,139,151,10.1%,8.6%,47.4%,52.6%,https://www.football-lab.jp/yama/report/?year=2015&month=04&date=18
H,FC東京,L,0,1,11,9,2,1,0,0,353,374,13,19,18,13,1,3,5,3,23,39,9,12,19,22,37,28,3,1,3,1,2,2,0,0,35,37,10,13,"110,741m","114,642m",203,209,148,146,7.4%,6.2%,52.1%,47.9%,https://www.football-lab.jp/yama/report/?year=2015&month=04&date=25
A,清水,D,3,3,9,19,5,10,0,0,335,466,8,17,14,7,4,4,3,9,27,36,3,10,19,18,41,28,4,1,3,4,2,0,0,0,35,51,12,22,"115,271m","117,004m",209,200,141,145,6.4%,13.1%,43.7%,56.3%,https://www.football-lab.jp/yama/report/?year=2015&month=04&date=29
H,横浜FM,W,1,0,22,6,4,2,0,0,560,358,9,11,16,9,4,5,4,3,31,27,6,9,21,20,16,21,1,2,5,4,0,1,0,0,38,37,15,6,"111,706m","115,611m",139,172,146,141,15.1%,4.3%,58.9%,41.1%,https://www.football-lab.jp/yama/report/?year=2015&month=05&date=02
A,新潟,D,1,1,11,9,5,3,0,0,422,392,10,21,7,7,3,2,5,4,33,38,13,13,23,30,28,24,0,2,2,1,0,0,0,0,43,35,15,17,"107,931m","109,905m",143,169,161,163,6.8%,5.5%,51.5%,48.5%,https://www.football-lab.jp/yama/report/?year=2015&month=05&date=06
H,柏,W,3,0,14,12,2,7,0,0,654,345,8,13,10,12,2,2,4,6,39,25,9,11,19,28,22,32,5,5,2,2,1,1,0,0,45,35,18,8,"109,800m","115,630m",143,170,144,139,9.7%,8.6%,63%,37%,https://www.football-lab.jp/yama/report/?year=2015&month=05&date=10
A,甲府,L,0,2,13,8,7,2,1,0,372,472,11,13,13,10,1,3,6,3,21,26,14,10,22,17,23,25,4,0,1,0,1,2,0,0,33,48,10,11,"111,059m","114,059m",128,145,132,126,9.8%,6.3%,47.1%,52.9%,https://www.football-lab.jp/yama/report/?year=2015&month=05&date=16
H,神戸,L,0,1,9,17,3,7,0,0,443,423,10,18,10,12,1,5,4,6,37,36,15,12,33,25,36,10,2,4,4,0,1,2,0,0,35,50,13,14,"106,198m","113,313m",148,176,147,147,6.1%,11.6%,53%,47%,https://www.football-lab.jp/yama/report/?year=2015&month=05&date=23
A,名古屋,D,0,0,6,16,1,3,0,0,416,404,13,22,12,13,1,0,2,3,25,24,13,9,22,19,37,31,8,3,0,1,2,2,0,0,42,44,8,14,"100,804m","107,139m",140,157,125,133,4.8%,12.0%,52.3%,47.7%,https://www.football-lab.jp/yama/report/?year=2015&month=05&date=30
H,鹿島,D,2,2,22,11,7,2,0,0,415,333,13,15,20,12,4,3,7,2,26,30,17,5,15,25,17,27,1,3,3,2,0,4,0,0,37,30,17,15,"107,764m","114,851m",140,169,144,129,15.3%,8.5%,53.8%,46.2%,https://www.football-lab.jp/yama/report/?year=2015&month=06&date=07
A,広島,L,1,5,27,14,11,6,0,0,517,506,15,19,8,6,1,7,7,5,17,22,17,10,18,23,21,13,5,8,6,1,0,0,0,0,37,47,13,15,"111,975m","117,817m",141,156,124,124,21.8%,11.3%,51.6%,48.4%,https://www.football-lab.jp/yama/report/?year=2015&month=06&date=20
H,Ｇ大阪,L,1,3,19,22,8,5,0,0,358,401,7,23,12,12,1,0,4,8,25,27,13,10,15,21,38,34,4,1,0,1,0,0,0,0,34,63,12,17,"107,355m","109,099m",160,151,131,132,14.5%,16.7%,47.4%,52.6%,https://www.football-lab.jp/yama/report/?year=2015&month=06&date=27
A,横浜FM,D,1,1,19,6,5,2,0,0,577,342,10,10,18,9,1,2,5,0,34,25,15,6,24,26,14,19,2,3,2,0,2,4,0,0,39,30,16,2,"111,227m","112,660m",106,127,132,121,14.4%,5.0%,61.2%,38.8%,https://www.football-lab.jp/yama/report/?year=2015&month=07&date=11
H,浦和,D,0,0,15,17,4,4,0,0,486,235,11,12,10,12,1,1,10,3,27,25,15,10,18,24,23,40,1,2,1,1,4,1,1,0,31,38,10,12,"99,598m","105,366m",130,173,125,116,12.0%,14.7%,63.8%,36.2%,https://www.football-lab.jp/yama/report/?year=2015&month=07&date=15
A,FC東京,D,0,0,15,10,4,0,0,0,357,378,13,17,17,14,2,0,4,2,20,27,8,7,14,21,28,31,2,2,0,2,4,0,0,0,32,31,13,9,"103,975m","107,281m",137,153,123,128,12.2%,7.8%,48.9%,51.1%,https://www.football-lab.jp/yama/report/?year=2015&month=07&date=19
H,新潟,L,1,3,15,12,5,5,1,0,395,411,17,11,12,11,1,2,6,5,29,27,11,12,20,22,17,18,3,4,2,1,2,2,0,0,34,33,23,10,"114,762m","111,782m",172,149,157,153,9.6%,7.8%,49.5%,50.5%,https://www.football-lab.jp/yama/report/?year=2015&month=07&date=25
H,名古屋,L,0,3,13,20,6,6,0,0,368,403,9,19,17,9,1,1,4,7,21,30,13,14,19,17,30,14,6,3,1,1,2,0,0,0,35,46,12,10,"99,103m","102,614m",126,136,120,125,10.8%,16.0%,49.4%,50.6%,https://www.football-lab.jp/yama/report/?year=2015&month=07&date=29
A,川崎Ｆ,D,0,0,8,11,3,3,0,0,681,336,11,18,13,8,4,2,4,7,20,18,15,6,9,28,33,29,3,2,2,3,0,1,0,0,49,39,9,9,"102,736m","107,538m",124,142,120,119,6.7%,9.2%,60.4%,39.6%,https://www.football-lab.jp/yama/report/?year=2015&month=08&date=12
H,鳥栖,L,1,3,10,17,3,6,0,0,276,510,12,33,17,6,1,3,4,7,21,25,7,10,11,12,30,25,2,2,3,0,0,2,0,0,24,56,10,18,"113,126m","109,834m",150,158,133,125,7.5%,13.6%,40.6%,59.4%,https://www.football-lab.jp/yama/report/?year=2015&month=08&date=16
A,鹿島,L,0,3,8,11,4,0,0,0,398,412,13,15,12,17,1,2,2,7,25,31,11,4,19,15,28,14,3,3,1,0,2,2,0,0,33,45,12,10,"105,260m","106,999m",139,127,132,144,6.1%,7.6%,50.7%,49.3%,https://www.football-lab.jp/yama/report/?year=2015&month=08&date=22
H,広島,L,1,3,17,13,6,7,0,1,569,523,12,17,10,7,0,1,3,5,13,16,12,8,25,17,13,13,2,0,1,0,1,1,0,0,37,48,10,13,"111,034m","115,709m",174,174,115,112,14.8%,11.6%,51.6%,48.4%,https://www.football-lab.jp/yama/report/?year=2015&month=09&date=12
A,柏,D,0,0,16,13,3,3,0,0,571,366,14,12,12,9,7,4,6,5,33,23,8,6,17,24,17,33,3,5,3,6,1,0,0,0,49,33,11,8,"112,602m","113,469m",140,139,138,124,11.6%,10.5%,59.2%,40.8%,https://www.football-lab.jp/yama/report/?year=2015&month=09&date=20
A,松本,D,2,2,17,9,2,2,0,1,273,363,13,10,16,12,1,3,6,6,20,27,10,5,25,17,26,37,2,2,3,1,3,2,0,0,37,30,17,11,"108,594m","106,203m",173,132,122,130,13.9%,6.9%,44.5%,55.5%,https://www.football-lab.jp/yama/report/?year=2015&month=09&date=23
H,仙台,D,1,1,15,15,5,3,0,0,321,357,7,19,15,14,4,5,4,4,21,25,16,8,14,17,27,10,3,2,4,4,1,3,0,0,35,44,16,13,"107,558m","108,143m",161,146,133,135,11.3%,11.1%,48.7%,51.3%,https://www.football-lab.jp/yama/report/?year=2015&month=09&date=26
A,湘南,W,1,0,13,11,1,2,0,0,456,313,10,16,11,8,3,4,3,3,29,26,12,8,14,18,14,30,1,1,4,2,1,2,0,0,49,32,10,12,"113,173m","108,560m",132,141,129,120,10.1%,9.2%,59.9%,40.1%,https://www.football-lab.jp/yama/report/?year=2015&month=10&date=03
H,甲府,L,0,1,9,9,5,3,0,0,349,571,10,18,15,12,2,2,5,6,31,33,8,8,15,27,17,11,2,0,2,1,0,1,0,0,29,46,10,7,"108,942m","111,095m",120,135,147,147,6.1%,6.1%,44.2%,55.8%,https://www.football-lab.jp/yama/report/?year=2015&month=10&date=17
A,神戸,L,1,3,20,12,5,3,0,0,374,446,15,19,6,9,7,4,5,5,27,30,14,10,19,25,44,25,1,4,3,7,3,0,0,0,43,40,17,17,"102,563m","107,216m",139,146,137,150,14.6%,8.0%,47.6%,52.4%,https://www.football-lab.jp/yama/report/?year=2015&month=10&date=24
H,清水,L,1,2,17,15,5,4,0,0,472,546,11,23,13,15,6,5,2,7,17,32,11,19,38,30,32,12,8,9,5,5,0,4,0,0,34,49,11,25,"121,842m","116,890m",204,191,139,151,12.2%,9.9%,45.4%,54.6%,https://www.football-lab.jp/yama/report/?year=2015&month=11&date=07
A,Ｇ大阪,L,0,4,15,18,7,3,0,0,586,394,14,12,11,8,2,3,4,4,23,18,13,14,11,21,27,23,6,1,3,2,0,0,0,0,64,42,15,9,"110,115m","108,821m",153,148,117,114,12.8%,15.8%,57.5%,42.5%,https://www.football-lab.jp/yama/report/?year=2015&month=11&date=22
