HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,Opponent_シュート,fuku_シュート,Opponent_枠内シュート,fuku_枠内シュート,Opponent_PKによるシュート,fuku_PKによるシュート,Opponent_パス,fuku_パス,Opponent_クロス,fuku_クロス,Opponent_直接ＦＫ,fuku_直接ＦＫ,Opponent_間接ＦＫ,fuku_間接ＦＫ,Opponent_ＣＫ,fuku_ＣＫ,Opponent_スローイン,fuku_スローイン,Opponent_ドリブル,fuku_ドリブル,Opponent_タックル,fuku_タックル,Opponent_クリア,fuku_クリア,Opponent_インターセプト,fuku_インターセプト,Opponent_オフサイド,fuku_オフサイド,Opponent_警告,fuku_警告,Opponent_退場,fuku_退場,Opponent_３０ｍライン進入,fuku_３０ｍライン進入,Opponent_ペナルティエリア進入,fuku_ペナルティエリア進入,Opponent_総移動距離,fuku_総移動距離,Opponent_スプリント,fuku_スプリント,Opponent_攻撃回数,fuku_攻撃回数,Opponent_チャンス構築率,fuku_チャンス構築率,Opponent_ボール保持率,fuku_ボール保持率,URL
A,鳥栖,L,1,2,10,16,4,3,0,0,447,326,15,15,16,13,2,3,3,3,12,19,11,11,26,22,27,15,1,2,3,2,4,4,0,0,30,31,14,13,"117,152m","110,926m",156,155,123,121,8.1%,13.2%,58.3%,41.7%,https://www.football-lab.jp/fuku/report/?year=2016&month=02&date=27
H,横浜FM,D,1,1,11,5,2,1,0,0,780,239,16,13,11,12,0,2,9,2,25,15,14,10,23,42,18,33,3,1,2,0,5,0,0,0,58,28,14,4,"116,743m","115,794m",149,170,135,118,8.1%,4.2%,71.2%,28.8%,https://www.football-lab.jp/fuku/report/?year=2016&month=03&date=05
A,浦和,L,0,2,12,7,5,0,0,0,640,337,17,6,16,18,3,2,5,2,21,19,16,10,22,19,22,19,3,8,2,3,0,2,0,0,59,27,18,11,"118,478m","113,947m",185,187,137,133,8.8%,5.3%,60.7%,39.3%,https://www.football-lab.jp/fuku/report/?year=2016&month=03&date=12
A,磐田,D,2,2,14,12,5,6,1,0,453,390,13,14,19,17,4,0,7,3,25,30,11,13,24,20,25,28,0,0,0,4,1,4,0,0,45,28,16,14,"117,768m","112,332m",187,226,141,143,9.9%,8.4%,51.3%,48.7%,https://www.football-lab.jp/fuku/report/?year=2016&month=03&date=19
H,新潟,L,0,1,13,14,2,1,0,0,522,447,7,13,17,15,1,2,3,0,10,20,13,15,20,23,26,12,4,4,2,1,1,2,0,0,29,49,16,9,"121,660m","114,489m",142,137,120,121,10.8%,11.6%,50.7%,49.3%,https://www.football-lab.jp/fuku/report/?year=2016&month=04&date=02
A,神戸,D,0,0,20,7,4,2,0,0,492,348,19,13,10,15,0,3,7,5,28,19,22,10,28,29,15,42,5,2,3,0,2,0,0,0,69,25,20,12,"108,669m","110,151m",168,186,128,129,15.6%,5.4%,55.3%,44.7%,https://www.football-lab.jp/fuku/report/?year=2016&month=04&date=10
H,Ｇ大阪,L,0,1,18,7,5,2,0,0,683,380,15,11,8,10,0,7,6,3,16,14,11,16,24,18,28,20,4,2,7,0,0,1,0,0,45,42,22,9,"113,719m","111,643m",181,164,121,114,14.9%,6.1%,58.3%,41.7%,https://www.football-lab.jp/fuku/report/?year=2016&month=04&date=24
A,FC東京,W,1,0,14,9,2,5,1,0,493,401,21,12,20,16,3,2,3,2,27,21,24,7,16,36,28,44,3,4,1,2,2,3,0,0,58,31,22,7,"112,900m","113,512m",156,176,153,140,9.2%,6.4%,52%,48%,https://www.football-lab.jp/fuku/report/?year=2016&month=04&date=29
H,大宮,L,1,2,9,12,4,1,0,0,385,423,13,15,17,8,4,2,4,7,20,38,8,5,19,18,63,27,1,2,2,4,0,1,0,0,24,36,17,7,"111,753m","110,751m",202,169,131,130,6.9%,9.2%,47.4%,52.6%,https://www.football-lab.jp/fuku/report/?year=2016&month=05&date=04
A,仙台,L,0,2,19,7,7,2,0,0,608,347,19,17,10,14,4,3,7,3,16,18,18,10,16,20,16,15,1,4,3,4,0,1,0,0,65,32,18,7,"118,762m","117,493m",194,159,119,120,16.0%,5.8%,58%,42%,https://www.football-lab.jp/fuku/report/?year=2016&month=05&date=08
