HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,川崎Ｆ,L,0,1,16,17,3,6,0,0,633,654,23,11,5,5,0,2,9,3,15,12,17,10,21,17,17,23,3,5,2,0,0,0,0,0,47,55,23,14,"112,940m","115,880m",116,131,106,95,15.1%,17.9%,52.9%,47.1%,https://www.football-lab.jp/hiro/report/?year=2016&month=02&date=27
A,名古屋,D,1,1,22,12,7,4,0,0,741,321,34,12,13,6,2,5,7,0,21,16,30,9,16,20,16,43,3,3,5,1,2,2,0,0,73,28,22,9,"114,325m","116,503m",177,202,130,126,16.9%,9.5%,64.4%,35.6%,https://www.football-lab.jp/hiro/report/?year=2016&month=03&date=06
H,湘南,D,2,2,27,7,4,2,1,0,682,324,37,5,9,3,0,3,9,2,40,12,36,5,14,27,7,53,2,6,3,0,0,1,0,0,63,28,30,6,"111,741m","122,263m",141,229,144,117,18.8%,6.0%,61%,39%,https://www.football-lab.jp/hiro/report/?year=2016&month=03&date=12
A,大宮,W,5,1,15,12,8,5,0,0,654,590,22,18,10,3,2,3,6,4,21,17,20,12,17,19,19,19,3,3,3,2,0,5,0,0,56,48,20,19,"114,376m","118,707m",162,181,114,102,13.2%,11.8%,52.6%,47.4%,https://www.football-lab.jp/hiro/report/?year=2016&month=03&date=20
H,仙台,W,3,0,23,12,5,5,1,0,591,623,18,12,5,8,2,1,3,2,19,17,27,10,19,20,11,17,2,3,1,2,1,1,0,0,50,60,18,13,"114,159m","117,072m",157,166,110,111,20.9%,10.8%,50.3%,49.7%,https://www.football-lab.jp/hiro/report/?year=2016&month=04&date=01
A,鹿島,L,1,4,13,19,5,7,0,0,564,495,31,17,9,8,1,0,7,6,24,13,33,23,27,23,21,21,2,3,0,1,1,1,0,0,45,47,25,21,"117,364m","117,546m",221,229,128,120,10.2%,15.8%,54.3%,45.7%,https://www.football-lab.jp/hiro/report/?year=2016&month=04&date=10
H,新潟,W,1,0,13,10,6,3,0,0,592,711,20,7,10,14,0,4,4,2,14,13,19,17,31,20,16,20,5,1,4,0,3,2,0,0,50,49,9,5,"108,469m","120,256m",117,147,90,92,14.4%,10.9%,47.7%,52.3%,https://www.football-lab.jp/hiro/report/?year=2016&month=04&date=15
A,横浜FM,W,2,1,6,13,3,3,0,1,614,637,12,13,10,5,2,3,3,3,22,12,14,14,23,24,22,14,2,2,2,2,1,1,0,0,24,74,9,17,"111,932m","119,470m",145,161,112,104,5.4%,12.5%,50.6%,49.4%,https://www.football-lab.jp/hiro/report/?year=2016&month=04&date=24
A,磐田,L,0,1,12,12,4,7,0,0,700,431,11,11,13,7,0,4,4,6,20,13,17,10,16,15,13,18,3,7,4,0,1,1,0,0,42,37,12,13,"108,704m","118,077m",168,198,112,105,10.7%,11.4%,58%,42%,https://www.football-lab.jp/hiro/report/?year=2016&month=04&date=29
H,鳥栖,W,3,0,9,3,5,0,0,0,540,568,10,16,9,14,1,3,5,4,24,12,13,12,13,12,20,5,5,2,3,0,0,0,0,0,33,43,12,8,"111,332m","120,709m",127,176,102,97,8.8%,3.1%,50%,50%,https://www.football-lab.jp/hiro/report/?year=2016&month=05&date=08
H,柏,D,0,0,18,9,5,3,0,0,529,577,16,8,16,6,2,0,9,4,21,13,17,12,15,18,12,25,1,0,0,2,1,1,0,0,31,36,15,10,"108,011m","116,246m",151,152,108,91,16.7%,9.9%,50.5%,49.5%,https://www.football-lab.jp/hiro/report/?year=2016&month=05&date=13
H,Ｇ大阪,L,1,3,16,17,6,4,0,0,571,439,30,12,6,11,1,0,5,7,22,11,22,9,22,36,20,28,3,2,0,1,2,0,0,0,66,43,17,20,"107,275m","113,190m",140,186,107,107,15.0%,15.9%,56.5%,43.5%,https://www.football-lab.jp/hiro/report/?year=2016&month=05&date=21
A,福岡,W,4,0,14,10,6,4,0,0,698,489,21,14,9,15,3,5,5,3,17,14,15,5,14,13,14,16,2,0,5,3,0,0,0,0,47,32,14,7,"111,833m","114,268m",154,191,108,108,13.0%,9.3%,56%,44%,https://www.football-lab.jp/hiro/report/?year=2016&month=05&date=29
A,神戸,D,1,1,14,15,5,4,0,0,500,524,20,11,13,8,2,2,6,5,12,15,19,17,17,19,21,24,4,3,2,1,0,2,0,0,41,40,17,18,"105,587m","107,082m",160,180,112,112,12.5%,13.4%,50.1%,49.9%,https://www.football-lab.jp/hiro/report/?year=2016&month=06&date=11
A,FC東京,D,1,1,13,15,5,6,0,0,662,430,10,27,3,7,1,1,4,6,12,17,9,18,20,18,29,20,2,5,1,1,1,1,0,0,36,57,14,29,"112,446m","122,026m",157,210,94,103,13.8%,14.6%,57.7%,42.3%,https://www.football-lab.jp/hiro/report/?year=2016&month=06&date=15
H,浦和,W,4,2,16,16,7,6,0,0,358,657,12,10,13,17,1,2,6,6,21,15,10,10,15,15,15,18,2,3,2,1,1,0,0,0,31,53,13,18,"110,407m","115,079m",153,173,123,118,13.0%,13.6%,38.5%,61.5%,https://www.football-lab.jp/hiro/report/?year=2016&month=06&date=18
A,甲府,W,3,0,16,13,7,6,0,0,574,514,19,7,14,14,2,4,6,4,9,14,15,9,17,15,16,13,3,2,4,2,2,2,0,0,42,38,17,11,"108,749m","113,289m",133,163,100,105,16.0%,12.4%,53.4%,46.6%,https://www.football-lab.jp/hiro/report/?year=2016&month=06&date=25
H,磐田,W,3,0,19,17,8,5,0,0,702,516,18,15,10,8,1,4,4,4,15,15,20,15,15,16,14,21,4,2,4,1,0,1,0,0,44,54,14,11,"108,991m","112,339m",142,143,96,94,19.8%,18.1%,56.6%,43.4%,https://www.football-lab.jp/hiro/report/?year=2016&month=07&date=02
H,鹿島,L,2,4,11,16,5,9,0,0,494,443,16,11,8,7,1,3,9,3,27,19,22,12,22,26,12,29,4,2,3,1,0,1,0,0,35,46,12,19,"106,549m","109,582m",148,163,130,120,8.5%,13.3%,52.8%,47.2%,https://www.football-lab.jp/hiro/report/?year=2016&month=07&date=09
A,柏,D,3,3,21,18,5,7,0,1,437,582,24,16,16,5,1,5,2,7,13,18,22,10,23,14,13,18,3,4,5,1,0,1,0,0,45,48,13,18,"107,001m","115,724m",125,142,103,106,20.4%,17.0%,45.8%,54.2%,https://www.football-lab.jp/hiro/report/?year=2016&month=07&date=13
H,横浜FM,D,2,2,14,17,5,8,0,0,621,453,26,8,10,7,1,1,3,9,12,11,20,21,20,21,10,28,2,6,1,1,1,1,0,0,60,34,19,15,"107,972m","109,757m",131,131,100,103,14.0%,16.5%,57.7%,42.3%,https://www.football-lab.jp/hiro/report/?year=2016&month=07&date=17
