HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,iwat_シュート,Opponent_シュート,iwat_枠内シュート,Opponent_枠内シュート,iwat_PKによるシュート,Opponent_PKによるシュート,iwat_パス,Opponent_パス,iwat_クロス,Opponent_クロス,iwat_直接ＦＫ,Opponent_直接ＦＫ,iwat_間接ＦＫ,Opponent_間接ＦＫ,iwat_ＣＫ,Opponent_ＣＫ,iwat_スローイン,Opponent_スローイン,iwat_ドリブル,Opponent_ドリブル,iwat_タックル,Opponent_タックル,iwat_クリア,Opponent_クリア,iwat_インターセプト,Opponent_インターセプト,iwat_オフサイド,Opponent_オフサイド,iwat_警告,Opponent_警告,iwat_退場,Opponent_退場,iwat_３０ｍライン進入,Opponent_３０ｍライン進入,iwat_ペナルティエリア進入,Opponent_ペナルティエリア進入,iwat_総移動距離,Opponent_総移動距離,iwat_スプリント,Opponent_スプリント,iwat_攻撃回数,Opponent_攻撃回数,iwat_チャンス構築率,Opponent_チャンス構築率,iwat_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,L,0,1,12,20,5,7,0,0,345,317,6,14,14,23,4,0,5,8,28,30,11,11,29,37,23,28,2,6,0,4,1,2,0,0,33,38,12,20,"108,849m","106,978m",159,182,145,160,8.3%,12.5%,50.9%,49.1%,https://www.football-lab.jp/iwat/report/?year=2016&month=02&date=27
A,浦和,W,2,1,12,17,5,5,0,0,214,720,8,24,13,16,4,1,2,9,21,25,6,10,22,23,35,14,4,0,1,4,3,1,0,0,26,65,7,34,"116,623m","114,200m",140,153,120,130,10.0%,13.1%,30.6%,69.4%,https://www.football-lab.jp/iwat/report/?year=2016&month=03&date=06
A,柏,D,2,2,11,18,2,7,0,0,343,572,21,13,14,17,2,2,6,6,22,27,14,20,39,27,28,31,6,3,2,2,3,1,0,0,31,47,14,14,"117,782m","116,093m",160,148,137,138,8.0%,13.0%,41.2%,58.8%,https://www.football-lab.jp/iwat/report/?year=2016&month=03&date=12
H,福岡,D,2,2,14,12,5,6,1,0,453,390,13,14,19,17,4,0,7,3,25,30,11,13,24,20,25,28,0,0,0,4,1,4,0,0,45,28,16,14,"117,768m","112,332m",187,226,141,143,9.9%,8.4%,51.3%,48.7%,https://www.football-lab.jp/iwat/report/?year=2016&month=03&date=19
A,大宮,D,1,1,16,13,4,7,0,0,401,453,21,18,12,19,5,0,10,7,30,22,10,16,18,32,24,34,0,4,0,5,1,0,0,0,42,40,15,15,"113,489m","109,708m",167,179,130,126,12.3%,10.3%,48.9%,51.1%,https://www.football-lab.jp/iwat/report/?year=2016&month=04&date=02
A,新潟,W,2,1,9,13,5,4,2,0,377,444,14,11,12,18,4,3,4,6,22,24,9,11,30,25,19,25,2,1,3,3,4,4,0,0,49,29,14,12,"110,576m","114,369m",177,187,132,132,6.8%,9.8%,49%,51%,https://www.football-lab.jp/iwat/report/?year=2016&month=04&date=10
H,横浜FM,L,1,5,9,12,4,10,0,0,516,509,10,5,8,18,3,1,4,2,18,27,8,10,24,28,21,16,2,4,0,3,2,1,1,0,48,22,11,9,"118,656m","116,587m",185,155,121,132,7.4%,9.1%,49.2%,50.8%,https://www.football-lab.jp/iwat/report/?year=2016&month=04&date=16
A,鳥栖,W,1,0,10,14,4,1,0,0,326,332,19,15,17,17,0,5,2,5,26,23,10,19,14,12,29,23,0,1,5,0,2,0,0,0,29,30,10,21,"107,498m","109,240m",138,154,123,126,8.1%,11.1%,49.5%,50.5%,https://www.football-lab.jp/iwat/report/?year=2016&month=04&date=24
H,広島,W,1,0,12,12,7,4,0,0,431,700,11,11,7,13,4,0,6,4,13,20,10,17,15,16,18,13,7,3,0,4,1,1,0,0,37,42,13,12,"118,077m","108,704m",198,168,105,112,11.4%,10.7%,42%,58%,https://www.football-lab.jp/iwat/report/?year=2016&month=04&date=29
A,神戸,L,1,4,14,11,6,8,0,1,449,450,16,12,14,14,6,3,5,2,19,23,12,13,24,21,27,26,0,2,3,5,2,2,0,0,42,38,17,13,"113,687m","108,966m",162,177,121,119,11.6%,9.2%,48.6%,51.4%,https://www.football-lab.jp/iwat/report/?year=2016&month=05&date=04
H,鹿島,D,1,1,13,15,6,5,0,0,335,552,16,32,12,12,6,3,4,5,27,35,13,21,16,16,47,20,1,2,3,6,2,0,0,0,30,60,13,25,"121,370m","113,346m",194,247,140,144,9.3%,10.4%,43.9%,56.1%,https://www.football-lab.jp/iwat/report/?year=2016&month=05&date=08
A,Ｇ大阪,L,1,2,14,13,2,5,0,0,412,553,14,14,9,14,8,0,2,4,31,23,8,11,10,20,22,19,2,4,0,8,1,3,0,0,46,40,11,19,"113,995m","111,499m",134,187,122,123,11.5%,10.6%,45.4%,54.6%,https://www.football-lab.jp/iwat/report/?year=2016&month=05&date=13
H,甲府,W,3,1,9,10,3,4,0,0,623,376,18,14,10,13,3,4,7,7,21,25,7,15,20,16,27,22,2,6,4,2,0,1,0,0,37,25,15,9,"117,963m","112,466m",161,168,125,130,7.2%,7.7%,60.2%,39.8%,https://www.football-lab.jp/iwat/report/?year=2016&month=05&date=21
A,川崎Ｆ,L,0,1,7,12,2,3,0,0,322,807,10,20,9,16,4,0,0,4,21,26,9,15,26,26,27,21,3,4,0,4,3,1,0,0,26,52,4,22,"112,105m","107,649m",147,142,120,126,5.8%,9.5%,36.6%,63.4%,https://www.football-lab.jp/iwat/report/?year=2016&month=05&date=29
H,FC東京,D,0,0,14,13,2,4,0,0,394,418,18,15,20,16,4,3,5,4,21,18,10,11,21,25,18,16,0,1,3,4,1,1,0,0,40,41,10,17,"114,112m","115,663m",152,181,137,135,10.2%,9.6%,50.3%,49.7%,https://www.football-lab.jp/iwat/report/?year=2016&month=06&date=11
A,湘南,L,0,1,14,4,3,3,0,0,567,364,27,8,11,9,2,4,8,5,25,26,10,13,24,17,25,36,6,2,4,2,2,2,0,0,46,29,11,7,"118,248m","119,061m",177,218,142,142,9.9%,2.8%,55.8%,44.2%,https://www.football-lab.jp/iwat/report/?year=2016&month=06&date=18
H,仙台,W,3,0,13,18,5,4,0,0,412,527,12,13,8,8,6,0,2,6,18,36,12,11,24,17,29,21,4,5,0,6,1,1,0,0,38,39,17,13,"113,381m","111,757m",162,161,125,137,10.4%,13.1%,46.6%,53.4%,https://www.football-lab.jp/iwat/report/?year=2016&month=06&date=25
A,広島,L,0,3,17,19,5,8,0,0,516,702,15,18,8,10,4,1,4,4,15,15,15,20,16,15,21,14,2,4,1,4,1,0,0,0,54,44,11,14,"112,339m","108,991m",143,142,94,96,18.1%,19.8%,43.4%,56.6%,https://www.football-lab.jp/iwat/report/?year=2016&month=07&date=02
H,大宮,D,1,1,15,12,6,4,0,0,418,424,18,22,16,14,3,5,2,6,25,22,14,17,21,12,30,23,2,0,5,2,3,3,0,0,44,37,8,12,"105,775m","102,352m",153,141,126,132,11.9%,9.1%,48.2%,51.8%,https://www.football-lab.jp/iwat/report/?year=2016&month=07&date=09
A,甲府,D,0,0,17,7,3,3,0,0,764,276,28,6,6,13,3,3,5,3,36,17,11,5,21,14,11,43,1,2,3,3,1,0,0,0,77,16,18,8,"112,148m","110,150m",113,110,122,112,13.9%,6.3%,64.9%,35.1%,https://www.football-lab.jp/iwat/report/?year=2016&month=07&date=13
