HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,広島,W,1,0,16,17,3,6,0,0,633,654,23,11,5,5,0,2,9,3,15,12,17,10,21,17,17,23,3,5,2,0,0,0,0,0,47,55,23,14,"112,940m","115,880m",116,131,106,95,15.1%,17.9%,52.9%,47.1%,https://www.football-lab.jp/ka-f/report/?year=2016&month=02&date=27
H,湘南,D,4,4,12,21,4,8,0,0,338,722,11,26,10,9,2,2,2,8,11,30,11,21,38,20,31,11,10,4,2,2,1,2,0,0,30,69,8,29,"122,731m","116,428m",208,142,123,146,9.8%,14.4%,36.3%,63.7%,https://www.football-lab.jp/ka-f/report/?year=2016&month=03&date=05
H,名古屋,W,3,2,9,10,5,4,0,0,365,823,19,19,10,7,3,3,6,5,16,17,9,12,34,15,24,25,2,3,3,2,2,0,0,0,29,62,13,27,"115,213m","117,881m",198,184,129,127,7.0%,7.9%,35.7%,64.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=03&date=12
A,甲府,W,4,0,9,13,5,6,0,0,357,709,19,9,7,15,2,3,7,3,27,22,12,9,18,18,12,19,4,1,3,2,1,1,0,0,35,31,12,9,"110,401m","107,016m",135,135,127,127,7.1%,10.2%,38.3%,61.7%,https://www.football-lab.jp/ka-f/report/?year=2016&month=03&date=19
H,鹿島,D,1,1,21,10,6,3,0,0,392,535,25,11,10,18,4,6,8,5,28,24,17,13,23,18,20,33,2,1,6,4,1,2,0,0,46,43,23,12,"113,820m","114,456m",225,189,132,136,15.9%,7.4%,42.7%,57.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=04&date=02
H,鳥栖,W,1,0,21,19,5,3,0,0,409,642,24,13,13,13,2,2,4,1,17,13,16,14,32,21,32,27,5,4,2,2,3,1,0,0,48,51,16,16,"121,799m","113,431m",187,142,128,115,16.4%,16.5%,44.4%,55.6%,https://www.football-lab.jp/ka-f/report/?year=2016&month=04&date=10
A,FC東京,W,4,2,16,7,3,4,0,1,459,645,18,10,11,12,6,0,2,3,27,19,21,4,18,26,12,16,6,7,0,6,1,1,0,0,54,41,17,12,"116,801m","112,848m",181,146,123,118,13.0%,5.9%,42.7%,57.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=04&date=16
H,浦和,L,0,1,20,8,3,1,0,0,493,560,20,14,7,15,0,5,6,1,15,22,15,14,22,24,29,23,5,1,5,0,2,2,0,0,49,39,12,16,"115,068m","112,017m",194,155,124,126,16.1%,6.3%,50.2%,49.8%,https://www.football-lab.jp/ka-f/report/?year=2016&month=04&date=24
A,Ｇ大阪,W,1,0,14,11,2,2,0,0,565,528,21,9,9,13,2,2,13,2,29,13,20,7,12,30,11,33,4,2,2,2,1,1,0,0,52,36,16,11,"113,145m","110,527m",156,154,126,114,11.1%,9.6%,51.7%,48.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=04&date=29
H,仙台,D,1,1,15,11,2,4,0,0,437,556,20,14,14,12,4,3,2,4,26,27,9,11,21,13,19,18,3,4,3,4,1,2,0,0,42,48,12,14,"111,000m","106,508m",139,151,127,122,11.8%,9.0%,48.7%,51.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=05&date=04
A,柏,W,3,1,8,13,2,5,0,0,453,656,16,15,10,11,6,0,3,4,22,23,10,10,16,17,13,18,4,5,0,5,2,1,0,0,34,43,12,17,"105,656m","105,385m",125,141,114,115,7.0%,11.3%,42.7%,57.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=05&date=08
H,神戸,W,3,1,2,20,1,7,0,1,324,767,9,14,11,21,2,2,1,5,22,13,16,15,20,26,25,19,1,4,2,2,4,1,1,0,22,57,9,25,"108,247m","108,049m",186,151,101,117,2.0%,17.1%,37.3%,62.7%,https://www.football-lab.jp/ka-f/report/?year=2016&month=05&date=14
A,新潟,D,0,0,12,16,5,4,0,0,369,690,11,25,12,13,2,1,7,5,16,25,17,19,29,24,23,26,5,1,1,2,1,2,0,0,25,58,11,19,"118,612m","108,594m",136,140,123,121,9.8%,13.2%,38.9%,61.1%,https://www.football-lab.jp/ka-f/report/?year=2016&month=05&date=21
H,磐田,W,1,0,7,12,2,3,0,0,322,807,10,20,9,16,4,0,0,4,21,26,9,15,26,26,27,21,3,4,0,4,3,1,0,0,26,52,4,22,"112,105m","107,649m",147,142,120,126,5.8%,9.5%,36.6%,63.4%,https://www.football-lab.jp/ka-f/report/?year=2016&month=05&date=29
A,横浜FM,W,2,0,13,15,3,5,0,1,520,681,9,11,10,19,1,1,7,3,16,13,13,13,28,18,13,29,2,1,1,1,2,0,0,0,44,42,13,14,"112,766m","108,737m",134,154,109,110,11.9%,13.6%,49%,51%,https://www.football-lab.jp/ka-f/report/?year=2016&month=06&date=11
A,福岡,D,2,2,8,19,4,10,0,1,264,690,6,23,14,16,3,1,2,9,12,26,8,22,20,14,42,13,3,1,1,3,3,0,0,0,25,81,7,20,"110,304m","109,676m",151,123,103,126,7.8%,15.1%,37.5%,62.5%,https://www.football-lab.jp/ka-f/report/?year=2016&month=06&date=18
