HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_総移動距離,Opponent_総移動距離,kasw_スプリント,Opponent_スプリント,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
H,浦和,L,1,2,12,17,4,8,0,0,397,533,12,23,13,23,2,2,2,8,22,20,14,18,25,28,27,16,3,3,1,2,2,2,0,0,25,49,11,19,"122,607m","125,235m",210,206,135,148,8.9%,11.5%,43.1%,56.9%,https://www.football-lab.jp/kasw/report/?year=2016&month=02&date=27
A,大宮,L,0,2,19,7,3,4,0,0,686,368,25,5,5,11,2,2,13,2,26,22,21,17,25,22,13,37,3,7,2,2,1,2,0,0,68,33,22,3,"118,582m","118,196m",159,182,130,126,14.6%,5.6%,60.5%,39.5%,https://www.football-lab.jp/kasw/report/?year=2016&month=03&date=05
H,磐田,D,2,2,18,11,7,2,0,0,572,343,13,21,17,14,2,2,6,6,27,22,20,14,27,39,31,28,3,6,2,2,1,3,0,0,47,31,14,14,"116,093m","117,782m",148,160,138,137,13.0%,8.0%,58.8%,41.2%,https://www.football-lab.jp/kasw/report/?year=2016&month=03&date=12
A,新潟,D,2,2,11,17,5,9,0,0,501,375,15,9,13,19,1,2,6,4,28,23,10,17,43,39,23,14,4,4,2,1,3,0,0,0,40,40,10,13,"118,839m","123,273m",156,171,135,124,8.1%,13.7%,56.7%,43.3%,https://www.football-lab.jp/kasw/report/?year=2016&month=03&date=19
A,鳥栖,D,1,1,13,11,2,3,1,0,591,418,16,26,9,18,3,1,3,6,17,18,20,9,16,25,17,15,1,4,1,3,1,0,0,0,56,50,15,16,"119,385m","122,492m",163,193,125,134,10.4%,8.2%,56.1%,43.9%,https://www.football-lab.jp/kasw/report/?year=2016&month=04&date=02
H,FC東京,W,1,0,9,12,3,4,1,0,640,473,14,11,9,16,2,3,2,6,17,28,20,12,31,37,34,18,3,5,3,2,0,2,0,0,31,37,5,16,"117,678m","119,589m",147,169,124,142,7.3%,8.5%,56.9%,43.1%,https://www.football-lab.jp/kasw/report/?year=2016&month=04&date=10
A,Ｇ大阪,W,1,0,17,9,5,0,0,0,539,548,15,16,16,12,5,1,2,4,26,18,17,20,26,21,27,13,5,7,1,5,3,1,0,0,51,53,13,11,"118,882m","118,724m",182,180,135,129,12.6%,7.0%,49.7%,50.3%,https://www.football-lab.jp/kasw/report/?year=2016&month=04&date=15
A,鹿島,W,2,0,8,16,5,1,0,0,495,625,10,36,11,8,5,0,2,6,30,38,7,28,36,18,55,19,7,3,0,5,1,1,0,0,33,58,14,31,"124,104m","120,604m",179,190,159,160,5.0%,10.0%,47.1%,52.9%,https://www.football-lab.jp/kasw/report/?year=2016&month=04&date=24
H,神戸,W,2,0,9,9,5,1,0,0,374,545,8,18,11,10,6,0,2,4,28,35,13,17,27,31,34,13,5,7,0,6,1,4,0,0,26,51,5,12,"109,211m","105,473m",170,145,136,139,6.6%,6.5%,44.3%,55.7%,https://www.football-lab.jp/kasw/report/?year=2016&month=04&date=30
A,甲府,W,2,0,7,12,3,1,0,0,627,400,6,17,11,20,5,2,4,4,23,38,15,18,22,16,46,13,1,1,2,5,1,1,0,0,25,36,7,9,"116,912m","117,535m",161,164,114,125,6.1%,9.6%,59.3%,40.7%,https://www.football-lab.jp/kasw/report/?year=2016&month=05&date=04
