HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,甲府,L,0,2,6,11,2,7,0,0,703,295,26,7,6,14,3,1,9,2,24,18,13,7,21,23,11,37,1,4,1,3,2,0,0,0,66,30,7,9,"111,674m","114,664m",168,186,134,130,4.5%,8.5%,63.1%,36.9%,https://www.football-lab.jp/kobe/report/?year=2016&month=02&date=27
H,新潟,W,6,3,18,12,9,5,0,0,371,455,12,15,17,24,2,1,2,10,21,23,17,15,32,32,25,10,2,5,1,2,2,1,0,0,46,34,18,13,"113,496m","118,263m",187,172,134,149,13.4%,8.1%,47.5%,52.5%,https://www.football-lab.jp/kobe/report/?year=2016&month=03&date=05
A,FC東京,L,0,1,6,19,0,4,0,0,469,354,5,25,9,13,2,2,3,8,30,29,8,19,29,20,30,19,2,2,2,2,3,0,0,0,24,35,4,15,"110,959m","116,202m",156,194,141,139,4.3%,13.7%,57.3%,42.7%,https://www.football-lab.jp/kobe/report/?year=2016&month=03&date=11
H,Ｇ大阪,W,2,1,14,8,5,1,0,0,432,734,15,16,7,14,3,3,2,4,19,19,21,14,22,20,25,21,6,2,2,2,0,3,0,0,50,39,15,9,"115,086m","116,165m",183,188,113,123,12.4%,6.5%,40.4%,59.6%,https://www.football-lab.jp/kobe/report/?year=2016&month=03&date=19
A,湘南,W,2,1,10,19,5,5,0,0,405,471,15,15,13,15,2,7,5,5,31,19,11,15,29,19,27,25,6,1,7,2,1,0,0,0,31,62,15,16,"115,406m","123,477m",185,198,164,164,6.1%,11.6%,48%,52%,https://www.football-lab.jp/kobe/report/?year=2016&month=04&date=02
H,福岡,D,0,0,20,7,4,2,0,0,492,348,19,13,10,15,0,3,7,5,28,19,22,10,28,29,15,42,5,2,3,0,2,0,0,0,69,25,20,12,"108,669m","110,151m",168,186,128,129,15.6%,5.4%,55.3%,44.7%,https://www.football-lab.jp/kobe/report/?year=2016&month=04&date=10
H,仙台,D,2,2,20,13,5,5,0,0,569,372,17,10,12,16,3,1,6,2,31,18,16,14,16,31,17,44,3,2,1,4,2,1,0,0,54,44,21,11,"106,163m","109,076m",140,134,134,131,14.9%,9.9%,59.3%,40.7%,https://www.football-lab.jp/kobe/report/?year=2016&month=04&date=24
A,柏,L,0,2,9,9,1,5,0,0,545,374,18,8,10,11,0,6,4,2,35,28,17,13,31,27,13,34,7,5,6,0,4,1,0,0,51,26,12,5,"105,473m","109,211m",145,170,139,136,6.5%,6.6%,55.7%,44.3%,https://www.football-lab.jp/kobe/report/?year=2016&month=04&date=30
H,磐田,W,4,1,11,14,8,6,1,0,450,449,12,16,14,14,3,6,2,5,23,19,13,12,21,24,26,27,2,0,5,3,2,2,0,0,38,42,13,17,"108,966m","113,687m",177,162,119,121,9.2%,11.6%,51.4%,48.6%,https://www.football-lab.jp/kobe/report/?year=2016&month=05&date=04
A,名古屋,W,1,0,10,14,4,4,0,0,370,521,9,24,11,17,2,2,3,4,17,21,9,8,18,24,28,9,5,2,2,2,1,1,0,0,33,59,13,20,"113,666m","115,440m",160,174,129,132,7.8%,10.6%,45.6%,54.4%,https://www.football-lab.jp/kobe/report/?year=2016&month=05&date=08
A,川崎Ｆ,L,1,3,2,20,1,7,0,1,324,767,9,14,11,21,2,2,1,5,22,13,16,15,20,26,25,19,1,4,2,2,4,1,1,0,22,57,9,25,"108,247m","108,049m",186,151,101,117,2.0%,17.1%,37.3%,62.7%,https://www.football-lab.jp/kobe/report/?year=2016&month=05&date=14
H,横浜FM,L,0,1,8,7,1,3,0,0,550,429,16,13,11,14,5,3,1,0,23,19,15,10,25,23,18,15,1,0,3,4,1,1,0,0,48,31,6,10,"108,609m","110,896m",117,115,121,127,6.6%,5.5%,56.1%,43.9%,https://www.football-lab.jp/kobe/report/?year=2016&month=05&date=21
A,大宮,D,2,2,14,12,8,5,0,0,540,399,16,15,8,15,1,4,11,5,27,15,9,20,28,25,17,40,4,9,3,1,3,0,0,0,66,29,18,18,"109,681m","112,503m",162,194,136,134,10.3%,9.0%,54.9%,45.1%,https://www.football-lab.jp/kobe/report/?year=2016&month=05&date=29
A,鳥栖,D,0,0,9,9,4,3,0,0,480,327,13,20,19,16,3,2,5,9,18,21,10,7,23,17,30,20,1,3,2,3,2,1,0,0,43,33,11,18,"110,291m","116,420m",181,206,121,126,7.4%,7.1%,57.3%,42.7%,https://www.football-lab.jp/kobe/report/?year=2016&month=06&date=02
