HOME/AWAY,Opponent,勝敗,kofu_得点,kofu_失点,Opponent_シュート,kofu_シュート,Opponent_枠内シュート,kofu_枠内シュート,Opponent_PKによるシュート,kofu_PKによるシュート,Opponent_パス,kofu_パス,Opponent_クロス,kofu_クロス,Opponent_直接ＦＫ,kofu_直接ＦＫ,Opponent_間接ＦＫ,kofu_間接ＦＫ,Opponent_ＣＫ,kofu_ＣＫ,Opponent_スローイン,kofu_スローイン,Opponent_ドリブル,kofu_ドリブル,Opponent_タックル,kofu_タックル,Opponent_クリア,kofu_クリア,Opponent_インターセプト,kofu_インターセプト,Opponent_オフサイド,kofu_オフサイド,Opponent_警告,kofu_警告,Opponent_退場,kofu_退場,Opponent_３０ｍライン進入,kofu_３０ｍライン進入,Opponent_ペナルティエリア進入,kofu_ペナルティエリア進入,Opponent_総移動距離,kofu_総移動距離,Opponent_スプリント,kofu_スプリント,Opponent_攻撃回数,kofu_攻撃回数,Opponent_チャンス構築率,kofu_チャンス構築率,Opponent_ボール保持率,kofu_ボール保持率,URL
A,神戸,W,2,0,6,11,2,7,0,0,703,295,26,7,6,14,3,1,9,2,24,18,13,7,21,23,11,37,1,4,1,3,2,0,0,0,66,30,7,9,"111,674m","114,664m",168,186,134,130,4.5%,8.5%,63.1%,36.9%,https://www.football-lab.jp/kofu/report/?year=2016&month=02&date=27
H,Ｇ大阪,L,0,1,12,10,6,2,0,0,670,470,14,14,15,10,0,3,4,5,19,26,12,13,20,18,33,17,3,4,3,0,1,1,0,0,45,51,10,10,"115,703m","117,183m",159,148,125,131,9.6%,7.6%,55.3%,44.7%,https://www.football-lab.jp/kofu/report/?year=2016&month=03&date=06
A,鳥栖,D,1,1,13,6,4,2,0,0,746,249,38,6,18,15,2,1,3,0,26,17,21,11,20,43,18,27,0,4,1,2,0,3,0,1,73,24,21,6,"120,331m","111,522m",147,133,140,128,9.3%,4.7%,67.7%,32.3%,https://www.football-lab.jp/kofu/report/?year=2016&month=03&date=12
H,川崎Ｆ,L,0,4,13,9,6,5,0,0,709,357,9,19,15,7,3,2,3,7,22,27,9,12,18,18,19,12,1,4,2,3,1,1,0,0,31,35,9,12,"107,016m","110,401m",135,135,127,127,10.2%,7.1%,61.7%,38.3%,https://www.football-lab.jp/kofu/report/?year=2016&month=03&date=19
A,浦和,L,1,2,31,4,8,2,0,0,896,208,37,2,12,7,1,2,8,0,24,13,22,5,17,25,5,35,3,6,2,1,0,3,0,1,129,5,38,1,"116,890m","107,519m",133,111,123,109,25.2%,3.7%,72.2%,27.8%,https://www.football-lab.jp/kofu/report/?year=2016&month=04&date=01
H,湘南,W,3,1,17,12,5,5,1,0,706,295,25,9,8,11,3,2,5,3,18,20,5,8,9,7,9,15,0,0,2,3,2,1,0,0,77,28,25,11,"120,587m","116,186m",189,156,123,115,13.8%,10.4%,64.8%,35.2%,https://www.football-lab.jp/kofu/report/?year=2016&month=04&date=10
A,大宮,D,1,1,4,15,2,2,0,0,617,604,12,17,12,10,4,2,2,2,28,14,11,7,15,21,19,18,3,5,2,3,0,0,0,0,32,55,8,12,"112,088m","118,403m",188,171,123,112,3.3%,13.4%,50.4%,49.6%,https://www.football-lab.jp/kofu/report/?year=2016&month=04&date=16
H,FC東京,D,1,1,14,13,6,3,0,0,460,406,19,16,15,14,2,2,5,6,27,26,14,13,19,21,27,29,0,0,1,2,2,2,0,0,56,36,22,11,"116,305m","116,295m",181,178,135,136,10.4%,9.6%,49.8%,50.2%,https://www.football-lab.jp/kofu/report/?year=2016&month=04&date=24
A,新潟,D,2,2,7,8,2,4,0,0,693,351,14,9,18,14,1,3,4,2,20,18,20,17,28,35,26,33,2,5,3,1,3,2,0,0,51,25,11,9,"122,970m","115,562m",143,142,122,124,5.7%,6.5%,61.2%,38.8%,https://www.football-lab.jp/kofu/report/?year=2016&month=04&date=30
H,柏,L,0,2,7,12,3,1,0,0,627,400,6,17,11,20,5,2,4,4,23,38,15,18,22,16,46,13,1,1,2,5,1,1,0,0,25,36,7,9,"116,912m","117,535m",161,164,114,125,6.1%,9.6%,59.3%,40.7%,https://www.football-lab.jp/kofu/report/?year=2016&month=05&date=04
A,横浜FM,D,2,2,20,12,6,6,0,0,599,484,28,22,15,8,1,1,6,4,25,16,16,15,16,21,29,33,1,1,0,1,1,0,0,0,58,38,22,13,"115,308m","116,283m",144,143,120,116,16.7%,10.3%,53.4%,46.6%,https://www.football-lab.jp/kofu/report/?year=2016&month=05&date=08
H,名古屋,D,2,2,18,10,4,5,0,0,451,322,25,11,12,14,3,0,11,5,26,24,14,15,25,11,25,47,1,3,0,3,2,1,0,0,54,25,24,7,"112,252m","111,603m",146,142,122,127,14.8%,7.9%,53.6%,46.4%,https://www.football-lab.jp/kofu/report/?year=2016&month=05&date=14
A,磐田,L,1,3,9,10,3,4,0,0,623,376,18,14,10,13,3,4,7,7,21,25,7,15,20,16,27,22,2,6,4,2,0,1,0,0,37,25,15,9,"117,963m","112,466m",161,168,125,130,7.2%,7.7%,60.2%,39.8%,https://www.football-lab.jp/kofu/report/?year=2016&month=05&date=21
A,鹿島,L,0,4,22,5,7,2,0,0,685,331,17,7,16,13,2,4,4,3,22,28,7,15,35,22,16,22,3,2,4,2,1,2,0,0,66,22,13,10,"109,523m","110,348m",151,140,114,131,19.3%,3.8%,62.5%,37.5%,https://www.football-lab.jp/kofu/report/?year=2016&month=05&date=29
H,福岡,W,1,0,16,6,2,2,0,0,554,307,18,12,16,11,1,1,4,3,30,15,14,8,11,13,21,38,5,2,1,1,1,0,0,0,46,28,22,8,"109,756m","110,956m",152,149,121,119,13.2%,5.0%,60%,40%,https://www.football-lab.jp/kofu/report/?year=2016&month=06&date=11
A,仙台,L,1,2,22,9,8,3,0,0,721,305,27,12,11,7,1,1,10,2,21,18,19,8,13,14,14,31,2,0,1,1,1,2,0,0,72,25,25,5,"119,286m","115,161m",134,155,123,101,17.9%,8.9%,67.3%,32.7%,https://www.football-lab.jp/kofu/report/?year=2016&month=06&date=18
