HOME/AWAY,Opponent,勝敗,omiy_得点,omiy_失点,Opponent_シュート,omiy_シュート,Opponent_枠内シュート,omiy_枠内シュート,Opponent_PKによるシュート,omiy_PKによるシュート,Opponent_パス,omiy_パス,Opponent_クロス,omiy_クロス,Opponent_直接ＦＫ,omiy_直接ＦＫ,Opponent_間接ＦＫ,omiy_間接ＦＫ,Opponent_ＣＫ,omiy_ＣＫ,Opponent_スローイン,omiy_スローイン,Opponent_ドリブル,omiy_ドリブル,Opponent_タックル,omiy_タックル,Opponent_クリア,omiy_クリア,Opponent_インターセプト,omiy_インターセプト,Opponent_オフサイド,omiy_オフサイド,Opponent_警告,omiy_警告,Opponent_退場,omiy_退場,Opponent_３０ｍライン進入,omiy_３０ｍライン進入,Opponent_ペナルティエリア進入,omiy_ペナルティエリア進入,Opponent_総移動距離,omiy_総移動距離,Opponent_スプリント,omiy_スプリント,Opponent_攻撃回数,omiy_攻撃回数,Opponent_チャンス構築率,omiy_チャンス構築率,Opponent_ボール保持率,omiy_ボール保持率,URL
A,FC東京,W,1,0,15,8,3,1,0,0,693,312,21,7,13,8,1,6,5,6,29,18,19,15,16,18,16,40,1,0,6,1,2,2,0,0,78,17,22,9,"118,354m","115,327m",161,164,133,129,11.3%,6.2%,63.2%,36.8%,https://www.football-lab.jp/omiy/report/?year=2016&month=02&date=27
H,柏,W,2,0,19,7,3,4,0,0,686,368,25,5,5,11,2,2,13,2,26,22,21,17,25,22,13,37,3,7,2,2,1,2,0,0,68,33,22,3,"118,582m","118,196m",159,182,130,126,14.6%,5.6%,60.5%,39.5%,https://www.football-lab.jp/omiy/report/?year=2016&month=03&date=05
A,Ｇ大阪,L,1,2,18,14,7,6,0,0,737,523,15,20,7,9,1,3,9,7,14,18,5,13,13,24,40,31,5,7,3,1,1,0,0,0,66,48,15,21,"120,161m","115,639m",162,149,110,117,16.4%,12.0%,56.3%,43.7%,https://www.football-lab.jp/omiy/report/?year=2016&month=03&date=11
H,広島,L,1,5,15,12,8,5,0,0,654,590,22,18,10,3,2,3,6,4,21,17,20,12,17,19,19,19,3,3,3,2,0,5,0,0,56,48,20,19,"114,376m","118,707m",162,181,114,102,13.2%,11.8%,52.6%,47.4%,https://www.football-lab.jp/omiy/report/?year=2016&month=03&date=20
H,磐田,D,1,1,16,13,4,7,0,0,401,453,21,18,12,19,5,0,10,7,30,22,10,16,18,32,24,34,0,4,0,5,1,0,0,0,42,40,15,15,"113,489m","109,708m",167,179,130,126,12.3%,10.3%,48.9%,51.1%,https://www.football-lab.jp/omiy/report/?year=2016&month=04&date=02
A,名古屋,W,2,1,12,14,3,3,1,0,416,491,14,17,8,16,0,4,7,8,32,22,12,10,21,18,18,34,2,3,4,0,1,1,0,0,38,42,20,19,"112,732m","112,761m",182,162,124,131,9.7%,10.7%,44.1%,55.9%,https://www.football-lab.jp/omiy/report/?year=2016&month=04&date=10
H,甲府,D,1,1,15,4,2,2,0,0,604,617,17,12,10,12,2,4,2,2,14,28,7,11,21,15,18,19,5,3,3,2,0,0,0,0,55,32,12,8,"118,403m","112,088m",171,188,112,123,13.4%,3.3%,49.6%,50.4%,https://www.football-lab.jp/omiy/report/?year=2016&month=04&date=16
A,湘南,W,1,0,15,12,4,3,0,1,438,453,12,27,14,18,1,3,4,7,28,27,11,20,16,17,27,18,1,0,3,1,1,3,0,0,42,43,13,16,"117,804m","110,930m",198,166,118,130,12.7%,9.2%,49.7%,50.3%,https://www.football-lab.jp/omiy/report/?year=2016&month=04&date=24
H,鹿島,D,0,0,23,3,10,0,0,0,563,373,30,13,11,14,2,3,7,4,37,29,25,21,26,25,22,35,9,2,3,2,0,2,0,0,67,24,26,8,"109,115m","111,323m",207,172,151,149,15.2%,2.0%,57.1%,42.9%,https://www.football-lab.jp/omiy/report/?year=2016&month=04&date=30
A,福岡,W,2,1,12,9,1,4,0,0,423,385,15,13,8,17,2,4,7,4,38,20,5,8,18,19,27,63,2,1,4,2,1,0,0,0,36,24,7,17,"110,751m","111,753m",169,202,130,131,9.2%,6.9%,52.6%,47.4%,https://www.football-lab.jp/omiy/report/?year=2016&month=05&date=04
H,浦和,L,0,1,9,7,1,0,0,0,675,302,21,14,20,11,2,2,7,3,21,20,19,20,22,30,17,22,4,6,1,2,1,4,0,0,66,28,13,10,"115,475m","113,133m",233,210,130,127,6.9%,5.5%,62.6%,37.4%,https://www.football-lab.jp/omiy/report/?year=2016&month=05&date=08
A,仙台,W,1,0,12,9,0,2,0,0,469,485,24,22,12,16,4,1,1,2,24,23,7,18,8,16,26,36,7,3,1,4,2,1,0,0,47,46,15,15,"119,378m","118,194m",179,184,122,132,9.8%,6.8%,49%,51%,https://www.football-lab.jp/omiy/report/?year=2016&month=05&date=14
A,鳥栖,W,1,0,11,13,2,6,0,0,457,433,20,15,18,8,0,2,4,5,23,20,11,10,13,11,26,44,3,2,2,0,1,2,0,0,39,34,9,15,"120,886m","115,877m",172,147,115,115,9.6%,11.3%,51.8%,48.2%,https://www.football-lab.jp/omiy/report/?year=2016&month=05&date=21
