HOME/AWAY,Opponent,勝敗,send_得点,send_失点,Opponent_シュート,send_シュート,Opponent_枠内シュート,send_枠内シュート,Opponent_PKによるシュート,send_PKによるシュート,Opponent_パス,send_パス,Opponent_クロス,send_クロス,Opponent_直接ＦＫ,send_直接ＦＫ,Opponent_間接ＦＫ,send_間接ＦＫ,Opponent_ＣＫ,send_ＣＫ,Opponent_スローイン,send_スローイン,Opponent_ドリブル,send_ドリブル,Opponent_タックル,send_タックル,Opponent_クリア,send_クリア,Opponent_インターセプト,send_インターセプト,Opponent_オフサイド,send_オフサイド,Opponent_警告,send_警告,Opponent_退場,send_退場,Opponent_３０ｍライン進入,send_３０ｍライン進入,Opponent_ペナルティエリア進入,send_ペナルティエリア進入,Opponent_総移動距離,send_総移動距離,Opponent_スプリント,send_スプリント,Opponent_攻撃回数,send_攻撃回数,Opponent_チャンス構築率,send_チャンス構築率,Opponent_ボール保持率,send_ボール保持率,URL
A,横浜FM,W,1,0,17,7,6,1,0,0,600,442,23,13,18,10,4,4,5,2,28,29,14,7,30,17,17,39,3,3,4,4,1,1,0,0,49,33,18,7,"124,730m","123,720m",157,161,145,153,11.7%,4.6%,55.5%,44.5%,https://www.football-lab.jp/send/report/?year=2016&month=02&date=27
H,FC東京,L,1,2,12,10,5,3,0,0,384,498,25,18,17,11,1,3,9,6,31,39,15,10,28,29,28,25,0,0,3,1,1,2,0,0,38,33,19,10,"119,616m","116,834m",174,138,142,137,8.5%,7.3%,43%,57%,https://www.football-lab.jp/send/report/?year=2016&month=03&date=06
H,鹿島,W,1,0,18,11,4,3,0,0,542,347,17,12,12,13,1,5,11,6,38,35,11,7,19,28,6,36,1,1,5,1,1,2,0,0,49,32,22,11,"115,829m","117,349m",169,181,166,158,10.8%,7.0%,56.5%,43.5%,https://www.football-lab.jp/send/report/?year=2016&month=03&date=12
A,名古屋,L,1,2,9,8,2,4,0,0,423,362,20,15,12,12,1,4,5,2,42,27,12,13,16,30,11,35,4,0,4,1,3,3,0,0,43,32,18,9,"108,649m","108,289m",161,154,141,132,6.4%,6.1%,53.8%,46.2%,https://www.football-lab.jp/send/report/?year=2016&month=03&date=19
A,広島,L,0,3,23,12,5,5,1,0,591,623,18,12,5,8,2,1,3,2,19,17,27,10,19,20,11,17,2,3,1,2,1,1,0,0,50,60,18,13,"114,159m","117,072m",157,166,110,111,20.9%,10.8%,50.3%,49.7%,https://www.football-lab.jp/send/report/?year=2016&month=04&date=01
H,Ｇ大阪,L,1,3,7,27,4,11,0,1,491,559,9,26,10,11,3,1,2,6,21,26,10,23,26,29,34,21,1,3,1,3,2,1,0,0,27,55,8,18,"118,793m","114,646m",148,149,133,141,5.3%,19.1%,46.9%,53.1%,https://www.football-lab.jp/send/report/?year=2016&month=04&date=10
A,浦和,L,1,3,26,8,8,2,0,0,589,278,31,6,14,11,1,5,17,1,19,15,23,7,7,27,19,45,3,1,5,1,0,1,0,0,77,24,30,7,"115,109m","113,662m",159,160,137,118,19.0%,6.8%,63.6%,36.4%,https://www.football-lab.jp/send/report/?year=2016&month=04&date=16
A,神戸,D,2,2,20,13,5,5,0,0,569,372,17,10,12,16,3,1,6,2,31,18,16,14,16,31,17,44,3,2,1,4,2,1,0,0,54,44,21,11,"106,163m","109,076m",140,134,134,131,14.9%,9.9%,59.3%,40.7%,https://www.football-lab.jp/send/report/?year=2016&month=04&date=24
H,鳥栖,L,0,2,11,4,3,0,1,0,437,376,18,12,18,16,3,4,7,2,19,21,7,11,12,19,17,20,1,1,4,3,1,5,0,1,44,32,20,4,"115,741m","105,118m",172,150,126,118,8.7%,3.4%,52.6%,47.4%,https://www.football-lab.jp/send/report/?year=2016&month=04&date=30
A,川崎Ｆ,D,1,1,11,15,4,2,0,0,556,437,14,20,12,14,3,4,4,2,27,26,11,9,13,21,18,19,4,3,4,3,2,1,0,0,48,42,14,12,"106,508m","111,000m",151,139,122,127,9.0%,11.8%,51.3%,48.7%,https://www.football-lab.jp/send/report/?year=2016&month=05&date=04
