HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,鹿島,W,1,0,7,8,1,5,0,0,461,393,17,18,7,17,4,4,12,8,25,33,13,10,17,20,29,30,2,1,4,4,1,1,0,0,45,36,19,10,"106,654m","111,311m",174,186,124,128,5.6%,6.3%,52.6%,47.4%,https://www.football-lab.jp/fctk/report/?year=2017&month=02&date=25
H,大宮,W,2,0,13,6,3,3,0,0,487,377,13,16,9,14,4,2,6,4,36,33,13,18,21,17,22,20,2,0,2,4,0,2,0,0,32,31,15,13,"108,951m","112,094m",195,202,125,129,10.4%,4.7%,54%,46%,https://www.football-lab.jp/fctk/report/?year=2017&month=03&date=04
A,Ｇ大阪,L,0,3,10,15,4,6,0,1,471,494,16,18,15,16,1,1,3,7,16,28,12,13,29,17,23,14,5,2,1,1,3,0,0,0,35,41,15,11,"116,599m","114,839m",194,185,126,134,7.9%,11.2%,48.2%,51.8%,https://www.football-lab.jp/fctk/report/?year=2017&month=03&date=11
H,川崎Ｆ,W,3,0,11,10,4,4,0,0,638,400,11,20,24,15,6,1,4,6,26,19,8,6,16,23,18,25,2,2,1,6,0,2,0,0,49,32,10,15,"108,393m","116,265m",139,195,140,135,7.9%,7.4%,56.7%,43.3%,https://www.football-lab.jp/fctk/report/?year=2017&month=03&date=18
H,鳥栖,D,3,3,16,14,8,6,1,0,305,556,13,18,12,17,0,3,5,9,25,19,8,12,29,19,28,23,1,0,2,0,1,2,0,0,31,49,10,13,"116,536m","116,064m",184,178,129,138,12.4%,10.1%,41.2%,58.8%,https://www.football-lab.jp/fctk/report/?year=2017&month=04&date=01
A,札幌,L,1,2,22,9,11,3,0,0,321,615,15,19,8,9,2,0,7,2,21,32,14,24,26,24,36,20,5,1,0,2,1,2,0,0,37,63,18,14,"117,608m","113,852m",139,148,111,113,19.8%,8.0%,41.3%,58.7%,https://www.football-lab.jp/fctk/report/?year=2017&month=04&date=08
H,浦和,L,0,1,13,11,5,1,0,0,457,492,10,22,19,16,3,2,6,1,17,25,12,6,24,14,27,19,6,3,2,2,0,0,0,0,35,50,15,11,"116,536m","120,311m",161,198,138,129,9.4%,8.5%,49.3%,50.7%,https://www.football-lab.jp/fctk/report/?year=2017&month=04&date=16
A,新潟,W,3,0,13,6,4,3,0,1,350,366,14,5,18,12,2,6,5,0,31,18,12,7,21,26,20,49,3,2,2,2,3,2,0,0,34,34,10,6,"112,697m","112,239m",157,174,142,123,9.2%,4.9%,49.4%,50.6%,https://www.football-lab.jp/fctk/report/?year=2017&month=04&date=22
H,広島,W,1,0,11,11,3,3,0,0,528,439,20,12,15,18,2,1,3,3,23,20,24,8,12,21,17,26,2,4,1,2,0,1,0,0,36,41,11,11,"110,969m","114,226m",117,146,122,118,9.0%,9.3%,54.7%,45.3%,https://www.football-lab.jp/fctk/report/?year=2017&month=04&date=30
A,仙台,W,2,0,14,9,3,4,0,0,552,338,27,5,12,10,5,2,9,1,21,26,12,9,21,14,22,29,1,6,2,5,0,2,0,0,57,28,14,9,"111,722m","113,453m",127,151,127,123,11.0%,7.3%,57.7%,42.3%,https://www.football-lab.jp/fctk/report/?year=2017&month=05&date=07
