HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,Opponent_シュート,iwat_シュート,Opponent_枠内シュート,iwat_枠内シュート,Opponent_PKによるシュート,iwat_PKによるシュート,Opponent_パス,iwat_パス,Opponent_クロス,iwat_クロス,Opponent_直接ＦＫ,iwat_直接ＦＫ,Opponent_間接ＦＫ,iwat_間接ＦＫ,Opponent_ＣＫ,iwat_ＣＫ,Opponent_スローイン,iwat_スローイン,Opponent_ドリブル,iwat_ドリブル,Opponent_タックル,iwat_タックル,Opponent_クリア,iwat_クリア,Opponent_インターセプト,iwat_インターセプト,Opponent_オフサイド,iwat_オフサイド,Opponent_警告,iwat_警告,Opponent_退場,iwat_退場,Opponent_３０ｍライン進入,iwat_３０ｍライン進入,Opponent_ペナルティエリア進入,iwat_ペナルティエリア進入,Opponent_総移動距離,iwat_総移動距離,Opponent_スプリント,iwat_スプリント,Opponent_攻撃回数,iwat_攻撃回数,Opponent_チャンス構築率,iwat_チャンス構築率,Opponent_ボール保持率,iwat_ボール保持率,URL
A,Ｃ大阪,D,0,0,9,8,4,2,0,0,550,452,15,9,9,8,1,4,1,4,24,22,6,8,26,12,17,17,0,5,4,1,0,0,0,0,46,30,3,5,"112,194m","114,902m",175,157,127,131,7.1%,6.1%,54.1%,45.9%,https://www.football-lab.jp/iwat/report/?year=2017&month=02&date=25
H,仙台,L,0,1,11,15,3,1,0,0,600,348,7,13,11,6,1,1,6,10,22,25,10,7,24,27,30,18,0,0,1,1,0,0,0,0,34,25,12,10,"116,854m","118,790m",175,178,119,128,9.2%,11.7%,60.2%,39.8%,https://www.football-lab.jp/iwat/report/?year=2017&month=03&date=04
A,大宮,W,2,1,10,14,4,6,0,0,642,299,18,8,11,10,4,3,6,3,29,18,10,8,19,24,16,29,6,1,3,3,1,1,0,0,46,22,10,9,"110,826m","115,078m",170,178,126,115,7.9%,12.2%,62.4%,37.6%,https://www.football-lab.jp/iwat/report/?year=2017&month=03&date=11
A,神戸,L,0,1,13,7,5,1,0,0,481,481,9,23,5,13,3,4,4,4,32,14,5,13,22,29,21,18,5,7,4,3,0,0,0,0,41,42,10,7,"111,096m","118,711m",150,178,113,109,11.5%,6.4%,51.3%,48.7%,https://www.football-lab.jp/iwat/report/?year=2017&month=03&date=18
H,清水,W,3,1,16,11,4,6,0,0,641,435,30,7,12,13,1,1,12,2,27,12,23,9,21,19,14,23,2,3,1,1,2,1,0,0,50,30,16,6,"120,511m","125,156m",162,162,143,128,11.2%,8.6%,57.3%,42.7%,https://www.football-lab.jp/iwat/report/?year=2017&month=04&date=01
A,横浜FM,L,1,2,14,11,6,1,0,0,501,410,14,13,14,15,2,4,6,5,18,19,18,8,12,15,22,24,3,0,4,2,1,1,0,0,39,36,18,13,"111,397m","113,614m",166,138,118,117,11.9%,9.4%,55%,45%,https://www.football-lab.jp/iwat/report/?year=2017&month=04&date=08
H,鳥栖,W,2,1,5,13,2,4,0,0,411,388,13,17,11,14,2,6,5,5,38,31,15,8,16,18,20,29,1,1,6,2,2,2,0,0,28,42,10,11,"109,038m","111,112m",169,144,127,123,3.9%,10.6%,50.3%,49.7%,https://www.football-lab.jp/iwat/report/?year=2017&month=04&date=16
A,鹿島,W,3,0,21,12,5,3,0,0,696,283,20,9,10,8,1,9,4,1,27,16,22,5,23,31,7,38,2,6,8,1,2,1,0,0,79,28,24,9,"109,567m","119,451m",176,160,138,121,15.2%,9.9%,64.9%,35.1%,https://www.football-lab.jp/iwat/report/?year=2017&month=04&date=22
H,札幌,D,2,2,7,13,2,3,0,0,317,427,15,20,16,14,1,0,4,9,24,31,10,7,24,19,41,32,3,0,0,1,2,1,0,0,27,41,10,19,"112,210m","108,703m",152,132,123,130,5.7%,10.0%,45.5%,54.5%,https://www.football-lab.jp/iwat/report/?year=2017&month=04&date=30
A,甲府,D,0,0,12,5,4,2,0,0,522,415,20,14,12,15,1,7,3,3,26,16,13,4,17,16,27,25,0,1,7,1,1,3,0,1,47,28,16,5,"108,955m","109,980m",169,134,121,105,9.9%,4.8%,55.9%,44.1%,https://www.football-lab.jp/iwat/report/?year=2017&month=05&date=07
H,川崎Ｆ,L,0,2,11,14,3,5,0,0,578,462,10,15,7,12,1,0,6,9,16,12,14,9,11,16,29,22,2,1,0,1,2,0,0,0,36,43,19,11,"105,845m","110,934m",152,128,103,99,10.7%,14.1%,53.4%,46.6%,https://www.football-lab.jp/iwat/report/?year=2017&month=05&date=14
H,柏,L,0,2,12,15,4,5,0,0,490,411,16,16,11,14,3,4,6,6,14,30,15,7,27,29,25,20,0,1,4,3,2,0,0,0,45,40,16,14,"113,745m","114,504m",195,186,122,130,9.8%,11.5%,53.8%,46.2%,https://www.football-lab.jp/iwat/report/?year=2017&month=05&date=20
A,広島,D,0,0,7,15,0,2,0,0,510,655,13,19,16,12,2,1,2,2,13,13,10,14,16,16,14,18,5,3,1,2,1,0,0,0,34,59,9,15,"110,264m","113,933m",118,148,104,105,6.7%,14.3%,47.6%,52.4%,https://www.football-lab.jp/iwat/report/?year=2017&month=05&date=27
H,Ｇ大阪,W,3,0,14,20,3,5,0,0,603,298,15,10,10,15,1,3,4,4,18,14,6,10,17,14,18,29,1,5,3,1,1,0,0,0,61,31,15,12,"111,066m","109,283m",165,127,114,117,12.3%,17.1%,60%,40%,https://www.football-lab.jp/iwat/report/?year=2017&month=06&date=04
A,浦和,W,4,2,15,12,2,6,0,0,589,301,23,10,12,10,0,5,4,1,20,25,14,3,15,19,16,22,1,2,5,0,0,1,0,0,48,32,26,14,"112,246m","115,220m",174,188,116,114,12.9%,10.5%,62.3%,37.7%,https://www.football-lab.jp/iwat/report/?year=2017&month=06&date=18
H,FC東京,W,2,0,10,16,3,5,0,0,492,458,26,14,10,15,0,4,6,3,21,16,22,6,13,18,22,24,3,1,4,0,2,0,0,0,54,34,13,11,"109,658m","114,037m",164,160,114,117,8.8%,13.7%,50.8%,49.2%,https://www.football-lab.jp/iwat/report/?year=2017&month=06&date=25
A,新潟,W,2,0,7,8,2,4,0,0,356,283,18,12,15,16,1,5,3,6,34,25,17,7,20,26,23,26,1,0,3,1,1,1,0,0,39,36,12,5,"104,073m","104,326m",157,157,118,113,5.9%,7.1%,55%,45%,https://www.football-lab.jp/iwat/report/?year=2017&month=07&date=01
H,甲府,W,1,0,11,7,0,2,0,0,469,497,14,10,14,13,4,2,4,4,17,16,12,8,14,13,16,28,2,2,2,4,0,2,0,0,36,33,15,8,"106,797m","107,902m",165,142,108,105,10.2%,6.7%,50.3%,49.7%,https://www.football-lab.jp/iwat/report/?year=2017&month=07&date=08
A,川崎Ｆ,W,5,2,29,11,9,6,0,0,853,243,17,4,12,11,2,0,11,1,20,9,4,8,13,8,5,38,1,8,0,2,2,4,0,1,81,19,21,6,"104,268m","105,085m",100,115,123,107,23.6%,10.3%,70.2%,29.8%,https://www.football-lab.jp/iwat/report/?year=2017&month=07&date=29
H,広島,L,2,3,12,25,6,6,0,1,414,497,4,21,11,9,1,5,1,10,16,26,17,20,20,12,33,17,1,2,5,1,0,0,0,0,36,43,10,13,"109,840m","107,569m",112,108,100,125,12.0%,20.0%,46.5%,53.5%,https://www.football-lab.jp/iwat/report/?year=2017&month=08&date=05
A,仙台,D,0,0,6,21,1,3,0,0,328,426,10,16,14,15,3,4,5,5,14,24,8,8,16,18,34,23,3,1,4,3,4,1,0,0,15,55,8,16,"101,285m","102,436m",114,122,105,118,5.7%,17.8%,45.3%,54.7%,https://www.football-lab.jp/iwat/report/?year=2017&month=08&date=09
A,Ｇ大阪,W,2,0,12,8,2,4,0,0,653,313,26,7,11,14,0,5,2,2,25,16,24,14,15,22,19,26,3,1,5,0,1,1,0,0,77,29,15,7,"106,599m","107,798m",150,128,113,113,10.6%,7.1%,61.6%,38.4%,https://www.football-lab.jp/iwat/report/?year=2017&month=08&date=13
H,Ｃ大阪,D,1,1,8,20,4,5,0,0,437,607,18,27,4,13,1,4,4,8,11,23,9,15,10,12,37,19,4,7,4,1,2,0,0,0,34,60,11,21,"106,556m","104,932m",122,109,92,112,8.7%,17.9%,42.9%,57.1%,https://www.football-lab.jp/iwat/report/?year=2017&month=08&date=19
