HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,kasm_シュート,Opponent_シュート,kasm_枠内シュート,Opponent_枠内シュート,kasm_PKによるシュート,Opponent_PKによるシュート,kasm_パス,Opponent_パス,kasm_クロス,Opponent_クロス,kasm_直接ＦＫ,Opponent_直接ＦＫ,kasm_間接ＦＫ,Opponent_間接ＦＫ,kasm_ＣＫ,Opponent_ＣＫ,kasm_スローイン,Opponent_スローイン,kasm_ドリブル,Opponent_ドリブル,kasm_タックル,Opponent_タックル,kasm_クリア,Opponent_クリア,kasm_インターセプト,Opponent_インターセプト,kasm_オフサイド,Opponent_オフサイド,kasm_警告,Opponent_警告,kasm_退場,Opponent_退場,kasm_３０ｍライン進入,Opponent_３０ｍライン進入,kasm_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasm_総移動距離,Opponent_総移動距離,kasm_スプリント,Opponent_スプリント,kasm_攻撃回数,Opponent_攻撃回数,kasm_チャンス構築率,Opponent_チャンス構築率,kasm_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,L,0,1,7,8,1,5,0,0,461,393,17,18,7,17,4,4,12,8,25,33,13,10,17,20,29,30,2,1,4,4,1,1,0,0,45,36,19,10,"106,654m","111,311m",174,186,124,128,5.6%,6.3%,52.6%,47.4%,https://www.football-lab.jp/kasm/report/?year=2017&month=02&date=25
A,甲府,W,1,0,14,2,2,1,0,1,531,380,11,13,9,10,3,3,5,4,30,26,11,13,16,31,24,27,5,5,3,3,1,2,0,0,63,30,9,5,"110,149m","112,007m",174,176,138,138,10.1%,1.4%,53.9%,46.1%,https://www.football-lab.jp/kasm/report/?year=2017&month=03&date=04
H,横浜FM,W,1,0,9,9,3,1,0,0,591,455,20,12,16,18,1,5,1,1,24,19,14,16,22,31,21,27,6,5,5,0,2,3,0,0,62,23,12,11,"117,481m","120,698m",151,164,133,131,6.8%,6.9%,53.5%,46.5%,https://www.football-lab.jp/kasm/report/?year=2017&month=03&date=10
A,清水,W,3,2,13,15,5,7,0,0,622,358,14,12,12,10,0,4,7,4,25,17,12,9,28,26,15,25,2,2,4,0,2,2,0,0,51,26,15,10,"112,473m","122,587m",147,165,140,122,9.3%,12.3%,62.2%,37.8%,https://www.football-lab.jp/kasm/report/?year=2017&month=03&date=18
A,大宮,W,1,0,17,4,6,1,0,0,528,440,13,13,15,12,1,4,5,3,20,14,13,11,16,19,17,28,1,5,4,1,1,2,0,0,55,33,20,9,"111,839m","114,912m",168,171,125,117,13.6%,3.4%,53.9%,46.1%,https://www.football-lab.jp/kasm/report/?year=2017&month=04&date=01
H,Ｃ大阪,L,0,1,21,13,6,4,0,0,646,395,17,11,9,11,4,3,5,1,32,24,20,7,18,25,18,47,4,8,3,4,2,2,0,0,69,39,23,10,"110,885m","117,582m",145,190,155,144,13.5%,9.0%,58.5%,41.5%,https://www.football-lab.jp/kasm/report/?year=2017&month=04&date=08
A,仙台,W,4,1,19,17,8,3,1,0,502,450,15,31,8,11,2,5,6,8,31,26,15,18,17,28,24,28,1,1,4,2,2,2,0,0,49,34,19,21,"113,510m","117,927m",199,179,135,134,14.1%,12.7%,50.4%,49.6%,https://www.football-lab.jp/kasm/report/?year=2017&month=04&date=16
H,磐田,L,0,3,21,12,5,3,0,0,696,283,20,9,10,8,1,9,4,1,27,16,22,5,23,31,7,38,2,6,8,1,2,1,0,0,79,28,24,9,"109,567m","119,451m",176,160,138,121,15.2%,9.9%,64.9%,35.1%,https://www.football-lab.jp/kasm/report/?year=2017&month=04&date=22
H,鳥栖,W,2,1,14,7,3,2,1,1,486,403,9,10,10,12,1,4,5,3,28,32,17,12,28,22,15,21,3,1,4,1,1,0,0,0,40,33,16,11,"111,453m","115,254m",171,164,133,137,10.5%,5.1%,55%,45%,https://www.football-lab.jp/kasm/report/?year=2017&month=04&date=30
A,浦和,W,1,0,11,13,3,2,0,0,214,517,4,10,21,14,3,3,3,6,12,27,7,25,35,30,25,17,7,2,3,3,1,3,0,0,23,50,13,14,"105,821m","106,978m",167,180,121,128,9.1%,10.2%,35.6%,64.4%,https://www.football-lab.jp/kasm/report/?year=2017&month=05&date=04
H,神戸,L,1,2,21,11,6,3,0,0,494,320,23,12,22,13,0,1,10,9,25,24,21,14,20,30,16,40,1,2,1,0,1,2,0,0,56,35,20,14,"110,318m","111,274m",194,168,142,141,14.8%,7.8%,58.1%,41.9%,https://www.football-lab.jp/kasm/report/?year=2017&month=05&date=14
H,川崎Ｆ,L,0,3,25,10,6,5,0,0,535,584,19,4,14,10,1,2,5,0,24,29,20,7,29,27,16,37,5,2,1,1,1,0,0,0,56,32,23,7,"110,804m","112,262m",160,155,137,141,18.2%,7.1%,49.7%,50.3%,https://www.football-lab.jp/kasm/report/?year=2017&month=05&date=19
A,広島,W,3,1,19,15,3,5,0,0,488,660,10,25,13,12,0,1,3,4,16,16,9,21,24,22,28,16,0,0,0,0,0,0,0,0,51,61,14,24,"116,985m","114,890m",184,144,119,122,16.0%,12.3%,42.5%,57.5%,https://www.football-lab.jp/kasm/report/?year=2017&month=06&date=04
H,札幌,W,3,0,7,14,3,2,0,0,583,489,6,18,15,8,3,3,2,6,22,26,10,23,21,27,24,13,2,1,3,2,0,1,0,0,42,45,13,14,"113,448m","119,183m",187,179,134,126,5.2%,11.1%,53.2%,46.8%,https://www.football-lab.jp/kasm/report/?year=2017&month=06&date=17
H,新潟,W,2,0,11,13,4,4,0,0,466,311,5,17,14,15,2,0,3,3,31,33,13,11,21,21,22,21,0,1,0,2,2,1,0,0,35,35,14,10,"104,529m","107,279m",169,183,137,140,8.0%,9.3%,57.8%,42.2%,https://www.football-lab.jp/kasm/report/?year=2017&month=06&date=25
A,柏,W,3,2,10,15,3,5,0,0,379,414,7,16,18,10,3,5,4,4,28,22,14,17,21,31,15,18,3,2,4,3,2,1,0,0,27,33,13,18,"106,108m","105,374m",174,145,129,117,7.8%,12.8%,50.9%,49.1%,https://www.football-lab.jp/kasm/report/?year=2017&month=07&date=02
A,Ｇ大阪,W,1,0,7,16,2,3,0,0,501,578,10,14,16,11,0,2,3,6,16,22,13,13,18,23,26,18,5,4,2,0,2,2,0,0,49,37,5,10,"107,564m","112,684m",147,166,130,131,5.4%,12.2%,45.6%,54.4%,https://www.football-lab.jp/kasm/report/?year=2017&month=07&date=05
A,FC東京,D,2,2,15,11,5,3,0,0,606,373,18,17,13,15,2,0,4,5,16,18,8,8,13,17,14,16,2,3,0,1,1,0,0,0,52,42,24,16,"107,339m","112,828m",193,187,118,115,12.7%,9.6%,58.8%,41.2%,https://www.football-lab.jp/kasm/report/?year=2017&month=07&date=08
H,甲府,W,3,0,13,10,4,3,0,0,617,324,19,11,11,16,5,3,1,0,20,27,16,14,23,15,12,22,3,2,4,5,1,1,0,0,55,25,17,8,"106,978m","108,766m",168,168,116,123,11.2%,8.1%,61.6%,38.4%,https://www.football-lab.jp/kasm/report/?year=2017&month=07&date=29
H,仙台,W,2,0,14,1,7,1,0,0,566,400,8,15,23,8,2,6,5,1,20,22,13,9,15,13,17,22,3,1,6,2,1,0,0,0,59,34,13,7,,,,,121,112,11.6%,0.9%,58.6%,41.4%,https://www.football-lab.jp/kasm/report/?year=2017&month=08&date=05
A,神戸,W,2,1,15,14,5,5,0,0,435,380,13,9,17,5,1,5,7,4,25,22,16,6,20,15,12,18,0,1,5,1,1,4,0,0,36,36,22,18,"100,633m","100,428m",159,153,121,96,12.4%,14.6%,51.7%,48.3%,https://www.football-lab.jp/kasm/report/?year=2017&month=08&date=09
A,川崎Ｆ,L,1,3,13,18,4,7,0,0,468,550,12,8,14,12,3,4,3,9,18,15,14,18,24,17,14,24,2,4,4,3,1,1,0,0,47,63,12,27,"104,807m","105,676m",149,171,109,116,11.9%,15.5%,47.6%,52.4%,https://www.football-lab.jp/kasm/report/?year=2017&month=08&date=13
H,清水,W,2,0,11,4,3,1,0,0,830,317,7,14,11,7,0,0,1,3,28,20,10,10,15,17,16,30,4,3,0,0,0,3,0,0,70,21,9,9,"108,029m","110,447m",134,126,130,122,8.5%,3.3%,67.1%,32.9%,https://www.football-lab.jp/kasm/report/?year=2017&month=08&date=19
A,Ｃ大阪,W,1,0,10,17,2,5,0,0,506,398,13,15,9,10,0,3,1,9,22,22,8,14,14,23,22,16,3,4,3,0,2,2,0,0,51,41,9,12,"109,975m","113,908m",184,187,122,126,8.2%,13.5%,51.7%,48.3%,https://www.football-lab.jp/kasm/report/?year=2017&month=08&date=26
H,大宮,W,1,0,15,9,9,3,0,0,382,514,17,16,9,11,3,3,7,4,24,26,16,20,19,25,34,22,1,3,3,3,1,1,0,0,41,29,20,13,"109,671m","110,531m",166,171,117,115,12.8%,7.8%,44%,56%,https://www.football-lab.jp/kasm/report/?year=2017&month=09&date=09
A,新潟,W,4,2,20,9,9,3,1,0,513,286,25,12,15,7,3,1,9,0,37,22,18,17,26,24,18,49,0,2,1,3,1,2,0,0,62,30,24,9,"109,265m","109,434m",191,149,146,121,13.7%,7.4%,61%,39%,https://www.football-lab.jp/kasm/report/?year=2017&month=09&date=16
H,Ｇ大阪,W,2,1,31,11,11,3,1,0,549,334,17,12,15,16,3,3,4,2,28,18,22,6,21,37,14,17,5,4,3,3,1,2,0,0,68,37,23,6,"112,484m","118,662m",157,176,141,126,22.0%,8.7%,58.1%,41.9%,https://www.football-lab.jp/kasm/report/?year=2017&month=09&date=23
A,鳥栖,L,0,1,11,10,1,2,0,0,436,334,9,13,15,13,3,1,4,7,23,24,19,24,36,27,22,28,1,1,1,3,2,0,0,0,38,38,13,20,"104,109m","106,983m",156,162,129,128,8.5%,7.8%,54.1%,45.9%,https://www.football-lab.jp/kasm/report/?year=2017&month=09&date=30
H,広島,W,2,0,16,16,5,2,0,0,385,377,15,13,19,15,3,5,8,6,23,13,15,17,19,24,22,25,2,3,5,2,3,1,0,0,49,40,22,18,"108,705m","112,934m",211,188,131,122,12.2%,13.1%,50%,50%,https://www.football-lab.jp/kasm/report/?year=2017&month=10&date=14
A,横浜FM,L,2,3,25,11,8,4,0,0,601,360,31,9,7,14,1,1,11,2,23,21,20,14,22,26,20,51,4,5,1,1,3,0,0,0,96,26,30,11,"116,966m","117,529m",194,148,139,132,18.0%,8.3%,55.9%,44.1%,https://www.football-lab.jp/kasm/report/?year=2017&month=10&date=21
A,札幌,W,2,1,12,6,8,1,0,0,454,324,12,17,20,10,2,4,8,4,15,21,18,15,25,18,21,30,3,1,4,2,0,1,0,0,55,38,13,9,"106,590m","108,868m",165,172,133,121,9.0%,5.0%,57.7%,42.3%,https://www.football-lab.jp/kasm/report/?year=2017&month=10&date=29
H,浦和,W,1,0,11,4,2,1,0,0,398,505,12,13,21,16,3,1,2,2,20,14,12,18,17,22,20,20,4,1,1,3,4,2,0,0,46,29,13,10,"105,823m","104,777m",169,142,112,109,9.8%,3.7%,44%,56%,https://www.football-lab.jp/kasm/report/?year=2017&month=11&date=05
H,柏,D,0,0,25,7,7,1,0,0,421,520,17,10,12,16,2,3,13,8,24,17,16,12,16,25,17,35,2,3,3,1,2,1,0,0,55,29,31,9,"106,712m","110,395m",175,160,123,113,20.3%,6.2%,46.8%,53.2%,https://www.football-lab.jp/kasm/report/?year=2017&month=11&date=26
A,磐田,D,0,0,14,13,4,3,0,0,475,336,22,9,12,12,0,9,5,8,30,24,20,21,27,30,16,23,2,5,9,0,1,1,0,0,50,42,18,13,"107,387m","110,832m",201,180,133,132,10.5%,9.8%,54.8%,45.2%,https://www.football-lab.jp/kasm/report/?year=2017&month=12&date=02
