HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,広島,D,1,1,20,9,5,4,0,0,699,232,27,8,17,9,3,1,6,7,21,20,26,5,27,35,17,27,2,0,1,3,0,4,0,1,61,21,18,12,"107,726m","110,456m",131,165,126,130,15.9%,6.9%,69.2%,30.8%,https://www.football-lab.jp/niig/report/?year=2017&month=02&date=25
A,神戸,L,1,2,14,17,5,6,0,0,469,418,12,11,9,14,4,1,3,6,35,23,15,12,17,17,23,29,4,0,0,4,0,2,0,0,46,37,13,14,"110,019m","117,857m",144,152,128,125,10.9%,13.6%,50.5%,49.5%,https://www.football-lab.jp/niig/report/?year=2017&month=03&date=04
H,清水,L,0,2,13,11,4,2,0,0,639,350,18,10,15,12,3,0,2,2,22,28,18,14,34,35,37,20,1,3,0,3,0,0,0,0,64,42,11,10,"118,999m","118,508m",175,187,134,134,9.7%,8.2%,59.1%,40.9%,https://www.football-lab.jp/niig/report/?year=2017&month=03&date=11
A,横浜FM,D,1,1,15,9,7,1,0,0,531,307,13,6,13,18,2,4,3,4,30,23,29,15,27,35,22,34,3,5,3,2,2,1,0,0,47,23,15,6,"108,186m","113,145m",161,165,132,129,11.4%,7.0%,60.9%,39.1%,https://www.football-lab.jp/niig/report/?year=2017&month=03&date=18
H,Ｇ大阪,L,2,3,14,10,4,4,0,1,640,282,13,11,14,14,5,1,8,4,13,25,12,12,14,24,19,19,2,3,1,5,1,2,0,0,49,27,14,11,"116,918m","118,287m",186,198,137,140,10.2%,7.1%,66.5%,33.5%,https://www.football-lab.jp/niig/report/?year=2017&month=04&date=01
A,鳥栖,L,0,3,11,11,3,3,1,0,333,399,10,12,25,17,5,2,5,5,24,22,10,18,26,22,26,25,4,3,2,5,1,1,0,0,36,31,15,10,"116,819m","114,014m",195,160,134,135,8.2%,8.1%,47%,53%,https://www.football-lab.jp/niig/report/?year=2017&month=04&date=08
A,甲府,W,2,0,7,8,2,3,0,0,551,234,18,4,16,11,4,1,7,4,35,25,13,15,17,19,21,26,0,5,1,4,2,0,0,0,33,20,5,4,"107,855m","113,202m",178,174,141,121,5.0%,6.6%,64.3%,35.7%,https://www.football-lab.jp/niig/report/?year=2017&month=04&date=16
H,FC東京,L,0,3,6,13,3,4,1,0,366,350,5,14,12,18,6,2,0,5,18,31,7,12,26,21,49,20,2,3,2,2,2,3,0,0,34,34,6,10,"112,239m","112,697m",174,157,123,142,4.9%,9.2%,50.6%,49.4%,https://www.football-lab.jp/niig/report/?year=2017&month=04&date=22
H,柏,L,0,1,14,16,4,8,0,0,430,383,16,20,13,10,3,3,2,3,23,33,16,9,31,25,49,22,4,1,2,3,1,3,0,0,49,39,5,19,"112,924m","115,639m",180,190,144,141,9.7%,11.3%,52.6%,47.4%,https://www.football-lab.jp/niig/report/?year=2017&month=04&date=30
A,川崎Ｆ,L,0,3,8,12,4,3,0,0,627,402,10,14,15,10,5,2,2,8,26,19,13,11,20,23,23,21,2,5,2,5,0,1,0,0,30,46,9,15,"109,848m","113,056m",139,156,128,130,6.3%,9.2%,56.1%,43.9%,https://www.football-lab.jp/niig/report/?year=2017&month=05&date=05
H,浦和,L,1,6,19,18,9,5,0,0,557,334,9,14,20,15,3,3,5,7,20,20,7,17,28,23,16,26,5,1,3,3,1,1,0,0,42,33,12,14,"109,247m","113,171m",162,173,129,126,14.7%,14.3%,60.9%,39.1%,https://www.football-lab.jp/niig/report/?year=2017&month=05&date=14
H,札幌,W,1,0,15,14,3,3,0,0,448,293,14,8,13,10,3,2,7,4,23,29,12,13,20,26,22,26,1,1,2,2,0,2,0,0,49,37,19,15,"107,850m","105,894m",159,148,121,117,12.4%,12.0%,55.5%,44.5%,https://www.football-lab.jp/niig/report/?year=2017&month=05&date=20
A,仙台,L,1,2,15,7,4,3,1,0,509,283,25,16,11,6,0,0,8,7,33,31,21,10,26,32,24,37,2,1,0,0,1,0,0,0,54,27,13,12,"110,108m","107,971m",170,185,132,120,11.4%,5.8%,61.1%,38.9%,https://www.football-lab.jp/niig/report/?year=2017&month=05&date=28
A,Ｃ大阪,L,0,4,15,12,6,5,1,0,439,405,15,12,10,10,1,3,7,7,24,18,9,19,20,18,25,26,2,3,1,1,1,3,0,0,35,39,13,8,"108,933m","106,300m",167,135,115,115,13.0%,10.4%,50.1%,49.9%,https://www.football-lab.jp/niig/report/?year=2017&month=06&date=04
H,大宮,L,1,2,5,16,2,6,0,0,530,366,17,16,15,12,3,2,3,3,29,28,9,11,21,18,32,21,1,1,1,3,1,2,0,0,30,39,4,13,"116,053m","114,847m",190,181,126,119,4.0%,13.4%,55.6%,44.4%,https://www.football-lab.jp/niig/report/?year=2017&month=06&date=17
A,鹿島,L,0,2,11,13,4,4,0,0,466,311,5,17,14,15,2,0,3,3,31,33,13,11,21,21,22,21,0,1,0,2,2,1,0,0,35,35,14,10,"104,529m","107,279m",169,183,137,140,8.0%,9.3%,57.8%,42.2%,https://www.football-lab.jp/niig/report/?year=2017&month=06&date=25
H,磐田,L,0,2,8,7,4,2,0,0,283,356,12,18,16,15,5,1,6,3,25,34,7,17,26,20,26,23,0,1,1,3,1,1,0,0,36,39,5,12,"104,326m","104,073m",157,157,113,118,7.1%,5.9%,45%,55%,https://www.football-lab.jp/niig/report/?year=2017&month=07&date=01
A,浦和,L,1,2,18,6,7,2,0,0,612,237,19,9,9,13,1,1,6,2,26,18,19,14,12,24,15,19,4,6,1,1,3,1,0,0,79,20,19,7,"104,129m","108,395m",152,164,106,103,17.0%,5.8%,66.8%,33.2%,https://www.football-lab.jp/niig/report/?year=2017&month=07&date=09
A,FC東京,D,1,1,20,11,4,5,0,0,504,290,26,6,19,11,2,3,9,3,25,30,16,9,19,24,25,38,3,2,3,2,1,1,0,0,66,30,20,13,"108,167m","108,381m",160,152,132,121,15.2%,9.1%,58.6%,41.4%,https://www.football-lab.jp/niig/report/?year=2017&month=07&date=30
H,横浜FM,L,0,2,13,16,4,3,0,0,420,372,14,12,17,16,0,0,5,5,22,28,16,16,19,22,31,35,2,0,0,0,2,3,0,0,36,40,12,14,"108,321m","109,226m",144,133,120,121,10.8%,13.2%,52.6%,47.4%,https://www.football-lab.jp/niig/report/?year=2017&month=08&date=05
H,川崎Ｆ,L,0,2,11,19,3,6,0,0,632,373,11,16,7,8,2,0,6,10,17,20,14,16,25,17,33,24,3,4,0,3,0,1,0,0,49,39,21,20,"103,373m","105,430m",141,126,114,118,9.6%,16.1%,58.6%,41.4%,https://www.football-lab.jp/niig/report/?year=2017&month=08&date=09
A,大宮,L,0,1,9,15,2,2,0,0,415,297,10,19,14,12,2,2,2,13,27,25,13,19,15,23,42,24,2,2,2,2,1,3,0,0,24,22,9,18,"101,099m","101,050m",135,103,117,132,7.7%,11.4%,58.5%,41.5%,https://www.football-lab.jp/niig/report/?year=2017&month=08&date=13
H,仙台,L,1,2,9,17,2,5,0,0,419,349,26,15,11,9,3,1,2,6,31,25,16,19,26,33,34,28,0,5,1,3,0,1,0,0,51,41,16,17,"106,775m","106,182m",165,143,123,125,7.3%,13.6%,52.6%,47.4%,https://www.football-lab.jp/niig/report/?year=2017&month=08&date=19
A,柏,D,1,1,10,18,2,4,0,0,334,457,20,22,18,9,3,2,10,5,27,23,13,14,13,28,25,37,1,2,2,2,3,3,1,0,34,49,17,18,"101,695m","108,575m",144,125,129,117,7.8%,15.4%,42.7%,57.3%,https://www.football-lab.jp/niig/report/?year=2017&month=08&date=26
H,広島,D,0,0,11,15,3,3,0,0,394,361,12,19,15,15,2,3,7,7,15,20,10,21,23,18,28,24,4,5,2,2,1,1,0,0,37,40,17,19,"109,985m","109,280m",145,154,130,128,8.5%,11.7%,52.9%,47.1%,https://www.football-lab.jp/niig/report/?year=2017&month=09&date=09
H,鹿島,L,2,4,20,9,9,3,1,0,513,286,25,12,15,7,3,1,9,0,37,22,18,17,26,24,18,49,0,2,1,3,1,2,0,0,62,30,24,9,"109,265m","109,434m",191,149,146,121,13.7%,7.4%,61%,39%,https://www.football-lab.jp/niig/report/?year=2017&month=09&date=16
A,札幌,D,2,2,10,15,3,7,0,0,335,397,16,17,13,7,2,2,5,8,15,31,11,22,21,21,42,42,1,3,2,1,0,4,0,0,34,48,15,16,"107,459m","105,606m",165,146,114,131,8.8%,11.5%,47.3%,52.7%,https://www.football-lab.jp/niig/report/?year=2017&month=09&date=23
H,神戸,L,0,2,17,17,3,5,0,0,549,375,16,24,15,15,7,2,5,5,16,22,10,23,27,15,22,18,1,4,2,8,1,1,0,0,53,42,20,15,"111,989m","112,141m",173,165,118,127,14.4%,13.4%,56.2%,43.8%,https://www.football-lab.jp/niig/report/?year=2017&month=09&date=30
A,Ｇ大阪,W,1,0,13,10,3,6,0,0,489,416,11,8,10,16,1,4,2,2,29,25,12,13,28,24,30,27,1,2,4,1,0,1,0,0,40,32,19,9,"111,813m","111,137m",187,174,142,151,9.2%,6.6%,53.3%,46.7%,https://www.football-lab.jp/niig/report/?year=2017&month=10&date=14
A,磐田,D,2,2,12,14,5,5,0,0,501,361,13,10,24,14,5,0,5,0,31,23,10,16,27,28,16,33,1,5,0,5,2,1,0,0,42,34,14,7,"112,475m","111,574m",155,149,144,132,8.3%,10.6%,53.5%,46.5%,https://www.football-lab.jp/niig/report/?year=2017&month=10&date=21
H,鳥栖,W,1,0,15,14,4,9,0,0,322,430,9,16,12,10,2,4,6,7,33,23,11,20,21,27,35,43,1,1,4,3,0,1,0,0,26,38,11,17,"110,688m","108,630m",169,144,134,132,11.2%,10.6%,44.8%,55.2%,https://www.football-lab.jp/niig/report/?year=2017&month=10&date=29
H,甲府,W,1,0,14,12,2,3,0,0,459,371,26,9,12,9,1,3,10,3,39,28,21,16,27,30,23,50,2,5,3,1,0,0,0,0,53,42,18,11,"117,273m","117,912m",168,183,167,137,8.4%,8.8%,51.7%,48.3%,https://www.football-lab.jp/niig/report/?year=2017&month=11&date=18
