HOME/AWAY,Opponent,勝敗,omiy_得点,omiy_失点,omiy_シュート,Opponent_シュート,omiy_枠内シュート,Opponent_枠内シュート,omiy_PKによるシュート,Opponent_PKによるシュート,omiy_パス,Opponent_パス,omiy_クロス,Opponent_クロス,omiy_直接ＦＫ,Opponent_直接ＦＫ,omiy_間接ＦＫ,Opponent_間接ＦＫ,omiy_ＣＫ,Opponent_ＣＫ,omiy_スローイン,Opponent_スローイン,omiy_ドリブル,Opponent_ドリブル,omiy_タックル,Opponent_タックル,omiy_クリア,Opponent_クリア,omiy_インターセプト,Opponent_インターセプト,omiy_オフサイド,Opponent_オフサイド,omiy_警告,Opponent_警告,omiy_退場,Opponent_退場,omiy_３０ｍライン進入,Opponent_３０ｍライン進入,omiy_ペナルティエリア進入,Opponent_ペナルティエリア進入,omiy_総移動距離,Opponent_総移動距離,omiy_スプリント,Opponent_スプリント,omiy_攻撃回数,Opponent_攻撃回数,omiy_チャンス構築率,Opponent_チャンス構築率,omiy_ボール保持率,Opponent_ボール保持率,URL
H,川崎Ｆ,L,0,2,10,9,2,3,0,0,483,757,15,7,12,6,4,4,7,5,22,15,9,14,18,14,17,27,4,2,4,4,0,1,0,0,32,50,11,12,"109,943m","110,651m",128,102,124,114,8.1%,7.9%,42.1%,57.9%,https://www.football-lab.jp/omiy/report/?year=2017&month=02&date=25
A,FC東京,L,0,2,13,6,3,3,0,0,487,377,13,16,9,14,4,2,6,4,36,33,13,18,21,17,22,20,2,0,2,4,0,2,0,0,32,31,15,13,"108,951m","112,094m",195,202,125,129,10.4%,4.7%,54%,46%,https://www.football-lab.jp/omiy/report/?year=2017&month=03&date=04
H,磐田,L,1,2,10,14,4,6,0,0,642,299,18,8,11,10,4,3,6,3,29,18,10,8,19,24,16,29,6,1,3,3,1,1,0,0,46,22,10,9,"110,826m","115,078m",170,178,126,115,7.9%,12.2%,62.4%,37.6%,https://www.football-lab.jp/omiy/report/?year=2017&month=03&date=11
A,甲府,L,0,1,10,9,1,4,0,1,485,434,19,18,13,14,2,3,2,5,23,27,19,13,19,22,21,32,5,0,3,2,3,3,0,0,33,38,11,8,"113,646m","114,239m",191,207,133,132,7.5%,6.8%,51.9%,48.1%,https://www.football-lab.jp/omiy/report/?year=2017&month=03&date=18
H,鹿島,L,0,1,4,17,1,6,0,0,440,528,13,13,12,15,4,1,3,5,14,20,11,13,19,16,28,17,5,1,1,4,2,1,0,0,33,55,9,20,"114,912m","111,839m",171,168,117,125,3.4%,13.6%,46.1%,53.9%,https://www.football-lab.jp/omiy/report/?year=2017&month=04&date=01
H,神戸,L,0,2,6,21,2,5,0,0,527,504,9,12,9,11,7,3,3,5,23,19,8,14,23,16,27,23,2,7,3,6,1,0,0,0,25,51,7,21,"117,776m","112,717m",170,177,125,123,4.8%,17.1%,51.2%,48.8%,https://www.football-lab.jp/omiy/report/?year=2017&month=04&date=08
A,清水,D,1,1,14,17,3,6,0,0,371,548,9,30,4,9,4,1,7,5,24,31,15,21,18,25,36,22,3,2,1,5,0,0,0,0,35,58,14,18,"113,023m","114,984m",151,155,134,139,10.4%,12.2%,43.3%,56.7%,https://www.football-lab.jp/omiy/report/?year=2017&month=04&date=16
A,Ｇ大阪,L,0,6,7,19,3,9,0,0,574,543,15,14,13,8,2,0,2,5,26,23,12,7,13,24,26,20,1,8,0,2,0,0,0,0,28,55,8,14,"119,072m","125,468m",149,212,142,134,4.9%,14.2%,49.9%,50.1%,https://www.football-lab.jp/omiy/report/?year=2017&month=04&date=21
H,浦和,W,1,0,9,22,2,3,0,0,231,629,8,23,10,18,1,0,3,6,15,27,16,26,17,21,47,19,1,1,0,1,1,1,0,0,16,65,8,21,"110,600m","108,825m",136,145,113,121,8.0%,18.2%,34.4%,65.6%,https://www.football-lab.jp/omiy/report/?year=2017&month=04&date=30
A,札幌,L,0,1,8,15,2,2,0,0,464,351,23,17,11,6,3,2,8,6,25,21,19,11,17,19,17,37,3,1,0,2,1,1,0,0,41,33,14,18,"108,337m","110,947m",148,137,120,116,6.7%,12.9%,53.9%,46.1%,https://www.football-lab.jp/omiy/report/?year=2017&month=05&date=06
H,仙台,W,2,1,12,11,5,3,0,1,323,416,10,25,10,12,2,3,8,10,24,18,9,10,12,20,32,21,1,2,3,2,1,1,0,0,25,39,9,20,"108,563m","109,391m",165,160,118,126,10.2%,8.7%,47.1%,52.9%,https://www.football-lab.jp/omiy/report/?year=2017&month=05&date=14
H,Ｃ大阪,L,0,3,9,18,1,7,0,0,397,556,9,18,12,9,6,0,3,7,19,21,16,15,17,19,29,24,3,1,0,6,1,0,0,0,26,49,7,19,"108,371m","110,550m",138,149,121,117,7.4%,15.4%,45.5%,54.5%,https://www.football-lab.jp/omiy/report/?year=2017&month=05&date=20
A,柏,L,2,4,9,27,3,10,0,0,357,537,6,28,11,10,0,4,4,12,26,29,6,17,30,23,24,24,2,2,4,0,3,1,0,0,20,68,7,26,"113,987m","117,561m",192,199,135,139,6.7%,19.4%,43.4%,56.6%,https://www.football-lab.jp/omiy/report/?year=2017&month=05&date=27
H,鳥栖,D,1,1,17,12,8,1,0,0,542,378,20,11,8,12,3,1,4,7,21,28,15,11,17,12,30,30,4,3,0,3,0,0,0,0,41,27,14,14,"116,635m","114,633m",170,156,115,126,14.8%,9.5%,55.5%,44.5%,https://www.football-lab.jp/omiy/report/?year=2017&month=06&date=04
A,新潟,W,2,1,5,16,2,6,0,0,530,366,17,16,15,12,3,2,3,3,29,28,9,11,21,18,32,21,1,1,1,3,1,2,0,0,30,39,4,13,"116,053m","114,847m",190,181,126,119,4.0%,13.4%,55.6%,44.4%,https://www.football-lab.jp/omiy/report/?year=2017&month=06&date=17
A,広島,W,3,0,12,21,4,2,0,0,414,594,9,18,7,9,4,1,5,6,17,21,2,12,9,12,23,21,1,2,1,4,0,1,0,0,26,46,9,19,"115,309m","108,648m",137,98,110,115,10.9%,18.3%,42.3%,57.7%,https://www.football-lab.jp/omiy/report/?year=2017&month=06&date=25
