HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,仙台,L,0,1,14,9,6,1,0,0,566,291,15,16,15,11,1,0,5,2,23,17,9,13,20,13,24,31,3,3,0,1,0,2,0,0,46,27,11,11,"114,531m","113,213m",140,154,122,114,11.5%,7.9%,62.3%,37.7%,https://www.football-lab.jp/sapp/report/?year=2017&month=02&date=25
A,横浜FM,L,0,3,14,14,6,3,0,0,443,412,15,21,16,10,0,0,2,11,21,19,22,6,20,22,32,27,2,2,0,0,0,1,0,0,40,40,10,19,"111,820m","115,453m",162,184,122,126,11.5%,11.1%,52.8%,47.2%,https://www.football-lab.jp/sapp/report/?year=2017&month=03&date=04
H,Ｃ大阪,D,1,1,14,17,5,3,0,0,458,440,19,31,12,11,1,4,5,3,17,14,15,16,15,9,33,21,0,1,4,1,0,0,0,0,48,44,15,18,"113,776m","116,717m",165,142,120,111,11.7%,15.3%,50.7%,49.3%,https://www.football-lab.jp/sapp/report/?year=2017&month=03&date=11
H,広島,W,2,1,25,9,8,5,0,0,636,320,20,9,18,10,3,1,12,3,14,14,23,10,18,23,13,28,4,5,1,3,0,4,0,0,63,28,19,16,"110,242m","117,148m",125,147,119,114,21.0%,7.9%,61.6%,38.4%,https://www.football-lab.jp/sapp/report/?year=2017&month=03&date=18
A,甲府,L,0,2,8,7,3,2,0,0,351,561,13,31,11,3,2,2,4,6,30,27,9,21,16,19,37,22,6,1,2,2,1,2,0,0,20,51,7,14,"114,386m","117,911m",151,158,129,122,6.2%,5.7%,42.5%,57.5%,https://www.football-lab.jp/sapp/report/?year=2017&month=04&date=02
H,FC東京,W,2,1,9,22,3,11,0,0,615,321,19,15,9,8,0,2,2,7,32,21,24,14,24,26,20,36,1,5,2,0,2,1,0,0,63,37,14,18,"113,852m","117,608m",148,139,113,111,8.0%,19.8%,58.7%,41.3%,https://www.football-lab.jp/sapp/report/?year=2017&month=04&date=08
H,川崎Ｆ,D,1,1,11,13,5,3,1,0,579,324,13,14,13,9,2,3,6,4,20,15,14,8,14,21,19,28,4,3,3,2,1,3,0,0,58,35,13,15,"105,228m","112,594m",140,167,117,117,9.4%,11.1%,59.2%,40.8%,https://www.football-lab.jp/sapp/report/?year=2017&month=04&date=16
A,浦和,L,2,3,23,7,11,3,1,0,652,321,9,7,14,6,6,1,6,3,18,19,16,6,12,26,12,32,2,3,1,6,2,2,0,0,69,21,19,8,"107,234m","113,753m",149,177,118,116,19.5%,6.0%,64%,36%,https://www.football-lab.jp/sapp/report/?year=2017&month=04&date=22
A,磐田,D,2,2,13,7,3,2,0,0,427,317,20,15,14,16,0,1,9,4,31,24,7,10,19,24,32,41,0,3,1,0,1,2,0,0,41,27,19,10,"108,703m","112,210m",132,152,130,123,10.0%,5.7%,54.5%,45.5%,https://www.football-lab.jp/sapp/report/?year=2017&month=04&date=30
H,大宮,W,1,0,8,15,2,2,0,0,464,351,23,17,11,6,3,2,8,6,25,21,19,11,17,19,17,37,3,1,0,2,1,1,0,0,41,33,14,18,"108,337m","110,947m",148,137,120,116,6.7%,12.9%,53.9%,46.1%,https://www.football-lab.jp/sapp/report/?year=2017&month=05&date=06
H,Ｇ大阪,L,0,2,14,13,5,2,0,0,456,361,10,24,6,15,2,4,5,5,22,29,9,11,18,24,30,21,3,0,3,2,1,0,0,0,34,44,10,20,"116,928m","119,590m",189,163,122,135,11.5%,9.6%,53.9%,46.1%,https://www.football-lab.jp/sapp/report/?year=2017&month=05&date=14
A,新潟,L,0,1,14,15,3,3,0,0,293,448,8,14,10,13,2,3,4,7,29,23,13,12,26,20,26,22,1,1,2,2,2,0,0,0,37,49,15,19,"105,894m","107,850m",148,159,117,121,12.0%,12.4%,44.5%,55.5%,https://www.football-lab.jp/sapp/report/?year=2017&month=05&date=20
A,鳥栖,L,0,1,11,8,4,1,0,0,430,497,13,17,17,12,3,1,2,4,20,24,11,3,13,20,46,20,3,1,1,3,0,0,0,0,36,49,10,16,"122,875m","123,168m",160,162,122,135,9.0%,5.9%,49.5%,50.5%,https://www.football-lab.jp/sapp/report/?year=2017&month=05&date=27
H,神戸,L,1,2,12,13,5,3,0,0,476,340,18,11,11,12,2,2,1,4,28,22,12,17,21,17,14,29,4,6,2,2,1,1,0,0,53,39,13,17,"106,928m","113,621m",154,143,117,123,10.3%,10.6%,55.2%,44.8%,https://www.football-lab.jp/sapp/report/?year=2017&month=06&date=04
A,鹿島,L,0,3,7,14,3,2,0,0,583,489,6,18,15,8,3,3,2,6,22,26,10,23,21,27,24,13,2,1,3,2,0,1,0,0,42,45,13,14,"113,448m","119,183m",187,179,134,126,5.2%,11.1%,53.2%,46.8%,https://www.football-lab.jp/sapp/report/?year=2017&month=06&date=17
A,柏,L,1,2,15,12,3,4,1,0,498,228,20,10,15,13,3,6,11,3,39,17,15,12,13,16,20,34,3,5,6,3,1,3,0,0,53,23,13,11,"106,179m","109,808m",146,110,125,110,12.0%,10.9%,61.9%,38.1%,https://www.football-lab.jp/sapp/report/?year=2017&month=06&date=25
H,清水,W,1,0,11,12,2,4,0,0,487,332,22,12,16,16,2,0,4,1,24,21,11,13,17,20,11,42,1,0,0,2,1,1,0,0,53,32,13,13,"109,650m","112,189m",146,137,132,135,8.3%,8.9%,53.7%,46.3%,https://www.football-lab.jp/sapp/report/?year=2017&month=07&date=01
A,大宮,D,2,2,14,14,6,4,0,0,474,394,14,18,13,15,4,2,2,3,20,20,9,10,19,21,23,23,6,2,2,4,3,1,0,0,31,42,10,12,"108,470m","109,527m",122,135,112,117,12.5%,12.0%,54.4%,45.6%,https://www.football-lab.jp/sapp/report/?year=2017&month=07&date=08
H,浦和,W,2,0,12,13,1,4,0,0,580,319,16,11,14,22,0,1,5,5,21,7,17,11,17,24,19,23,2,4,1,0,0,4,1,0,48,37,15,16,"98,993m","109,422m",129,108,109,103,11.0%,12.6%,60.2%,39.8%,https://www.football-lab.jp/sapp/report/?year=2017&month=07&date=29
A,Ｃ大阪,L,1,3,21,9,4,3,0,0,302,476,14,18,10,12,2,1,8,0,21,13,9,12,14,19,18,28,4,1,1,2,2,1,0,0,35,57,21,13,"101,684m","98,762m",121,98,109,89,19.3%,10.1%,41.3%,58.7%,https://www.football-lab.jp/sapp/report/?year=2017&month=08&date=05
H,横浜FM,L,0,2,20,15,7,2,0,0,415,359,15,15,13,9,1,2,6,4,21,19,26,10,20,19,20,28,1,1,1,1,2,3,0,1,45,49,20,15,"107,179m","106,714m",138,136,110,100,18.2%,15.0%,53.3%,46.7%,https://www.football-lab.jp/sapp/report/?year=2017&month=08&date=09
H,甲府,D,1,1,14,6,4,2,0,0,565,528,33,12,10,8,2,0,6,2,18,13,23,4,17,22,14,32,4,5,0,2,0,1,0,0,76,49,17,11,"109,941m","110,108m",140,124,100,102,14.0%,5.9%,50%,50%,https://www.football-lab.jp/sapp/report/?year=2017&month=08&date=13
A,川崎Ｆ,L,1,2,16,8,7,3,0,0,751,377,15,21,9,12,3,3,3,4,9,8,7,11,16,20,20,12,2,6,3,3,4,0,0,0,61,42,20,7,"104,507m","107,557m",148,110,102,111,15.7%,7.2%,60.6%,39.4%,https://www.football-lab.jp/sapp/report/?year=2017&month=08&date=19
H,仙台,W,1,0,14,13,1,2,0,0,481,359,14,18,11,13,1,3,5,3,26,21,14,11,18,21,20,35,2,2,2,1,1,0,0,0,46,43,17,16,"108,751m","111,627m",133,145,120,124,11.7%,10.5%,54.9%,45.1%,https://www.football-lab.jp/sapp/report/?year=2017&month=08&date=26
H,磐田,W,2,1,6,14,5,4,1,0,365,408,7,21,17,11,0,1,1,8,27,21,7,13,24,23,22,13,2,1,1,0,0,0,0,0,24,41,5,21,"100,444m","103,027m",123,139,112,116,5.4%,12.1%,48.8%,51.2%,https://www.football-lab.jp/sapp/report/?year=2017&month=09&date=09
A,神戸,L,0,2,18,14,6,2,0,0,530,524,15,15,14,17,0,1,5,1,10,16,12,9,22,15,22,21,4,3,1,0,0,1,0,0,49,44,15,11,"114,004m","117,179m",142,130,116,118,15.5%,11.9%,52%,48%,https://www.football-lab.jp/sapp/report/?year=2017&month=09&date=16
H,新潟,D,2,2,15,10,7,3,0,0,397,335,17,16,7,13,2,2,8,5,31,15,22,11,21,21,42,42,3,1,1,2,4,0,0,0,48,34,16,15,"105,606m","107,459m",146,165,131,114,11.5%,8.8%,52.7%,47.3%,https://www.football-lab.jp/sapp/report/?year=2017&month=09&date=23
A,広島,D,1,1,11,13,2,1,1,1,474,377,13,18,12,8,2,2,5,7,14,14,4,13,14,18,25,24,0,1,2,1,2,1,0,0,33,44,7,19,"106,940m","106,331m",145,152,106,108,10.4%,12.0%,54.8%,45.2%,https://www.football-lab.jp/sapp/report/?year=2017&month=09&date=30
H,柏,W,3,0,14,6,4,3,0,0,522,296,29,15,15,20,2,5,8,3,27,17,23,9,13,21,14,36,2,1,5,2,1,0,0,0,57,36,23,13,"114,059m","120,243m",202,198,142,136,9.9%,4.4%,57.6%,42.4%,https://www.football-lab.jp/sapp/report/?year=2017&month=10&date=14
A,FC東京,W,2,1,8,14,2,6,0,0,566,343,13,13,11,14,3,2,3,4,21,14,4,9,13,9,21,26,5,1,1,3,0,2,0,0,45,42,13,12,"106,266m","107,852m",152,130,110,106,7.3%,13.2%,59.1%,40.9%,https://www.football-lab.jp/sapp/report/?year=2017&month=10&date=21
