HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,柏,L,1,3,7,13,4,6,0,2,429,444,10,16,18,11,3,6,4,7,18,19,15,15,24,20,25,24,1,1,6,3,2,0,0,0,35,37,9,14,"120,346m","114,556m",145,135,135,136,5.2%,9.6%,47.9%,52.1%,https://www.football-lab.jp/tosu/report/?year=2017&month=02&date=25
A,川崎Ｆ,D,1,1,8,15,3,3,0,0,397,724,15,14,10,14,5,2,5,8,21,16,11,11,27,19,35,35,2,3,2,5,0,2,0,0,40,58,12,14,"122,717m","112,996m",143,131,129,130,6.2%,11.5%,39.6%,60.4%,https://www.football-lab.jp/tosu/report/?year=2017&month=03&date=05
H,広島,W,1,0,15,20,4,5,0,0,315,603,9,22,13,18,4,2,3,15,6,15,10,16,14,9,42,11,1,1,2,4,1,6,0,1,32,51,15,17,"121,446m","111,262m",191,144,113,131,13.3%,15.3%,39.7%,60.3%,https://www.football-lab.jp/tosu/report/?year=2017&month=03&date=11
A,Ｃ大阪,L,0,1,9,13,0,5,0,0,482,510,18,19,10,9,4,2,4,6,30,20,11,18,21,32,31,26,0,2,2,4,0,0,0,0,36,60,16,10,"122,156m","121,021m",168,205,135,135,6.7%,9.6%,47.5%,52.5%,https://www.football-lab.jp/tosu/report/?year=2017&month=03&date=18
A,FC東京,D,3,3,16,14,8,6,1,0,305,556,13,18,12,17,0,3,5,9,25,19,8,12,29,19,28,23,1,0,2,0,1,2,0,0,31,49,10,13,"116,536m","116,064m",184,178,129,138,12.4%,10.1%,41.2%,58.8%,https://www.football-lab.jp/tosu/report/?year=2017&month=04&date=01
H,新潟,W,3,0,11,11,3,3,1,0,333,399,10,12,25,17,5,2,5,5,24,22,10,18,26,22,26,25,4,3,2,5,1,1,0,0,36,31,15,10,"116,819m","114,014m",195,160,134,135,8.2%,8.1%,47%,53%,https://www.football-lab.jp/tosu/report/?year=2017&month=04&date=08
A,磐田,L,1,2,5,13,2,4,0,0,411,388,13,17,11,14,2,6,5,5,38,31,15,8,16,18,20,29,1,1,6,2,2,2,0,0,28,42,10,11,"109,038m","111,112m",169,144,127,123,3.9%,10.6%,50.3%,49.7%,https://www.football-lab.jp/tosu/report/?year=2017&month=04&date=16
H,神戸,W,1,0,9,21,3,4,0,0,360,615,17,16,18,14,5,2,4,8,11,19,8,11,19,20,38,19,2,1,2,5,1,2,0,0,39,68,12,21,"121,080m","113,083m",174,139,117,131,7.7%,16.0%,38.6%,61.4%,https://www.football-lab.jp/tosu/report/?year=2017&month=04&date=22
A,鹿島,L,1,2,7,14,2,3,1,1,403,486,10,9,12,10,4,1,3,5,32,28,12,17,22,28,21,15,1,3,1,4,0,1,0,0,33,40,11,16,"115,254m","111,453m",164,171,137,133,5.1%,10.5%,45%,55%,https://www.football-lab.jp/tosu/report/?year=2017&month=04&date=30
H,横浜FM,W,1,0,11,14,2,4,0,0,326,526,17,24,17,16,1,1,2,5,15,28,11,31,34,20,43,17,5,3,1,1,0,1,0,0,30,47,15,12,"120,069m","118,739m",174,158,128,149,8.6%,9.4%,42.9%,57.1%,https://www.football-lab.jp/tosu/report/?year=2017&month=05&date=07
