HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,横浜FM,D,1,1,14,17,3,4,0,0,362,531,17,20,9,12,6,7,8,4,37,26,8,22,22,20,23,39,3,2,7,6,2,0,0,0,33,52,15,11,"117,391m","118,627m",213,204,145,138,9.7%,12.3%,42%,58%,https://www.football-lab.jp/c-os/report/?year=2018&month=02&date=25
H,札幌,D,3,3,16,15,7,6,0,0,414,472,14,19,13,19,5,1,4,8,15,23,8,19,21,16,21,32,5,5,1,5,1,2,0,0,46,42,12,23,"120,130m","124,934m",253,242,122,136,13.1%,11.0%,46.1%,53.9%,https://www.football-lab.jp/c-os/report/?year=2018&month=03&date=02
A,柏,D,1,1,15,10,5,1,0,0,472,417,33,18,13,20,6,3,8,4,25,18,22,20,20,24,17,42,3,1,3,6,1,2,0,0,61,30,19,13,"114,626m","112,117m",215,210,138,144,10.9%,6.9%,51.8%,48.2%,https://www.football-lab.jp/c-os/report/?year=2018&month=03&date=10
A,神戸,L,0,2,13,18,2,4,0,0,473,616,27,18,12,10,1,2,3,3,22,15,7,10,12,22,20,31,1,1,2,1,2,1,0,0,48,49,13,16,"116,000m","117,996m",163,162,124,117,10.5%,15.4%,45.9%,54.1%,https://www.football-lab.jp/c-os/report/?year=2018&month=03&date=18
H,湘南,W,2,1,16,6,4,2,0,0,562,414,25,13,14,6,1,6,5,5,18,21,11,10,20,25,18,21,1,4,6,1,1,3,0,0,61,28,15,14,"114,823m","121,852m",171,225,131,125,12.2%,4.8%,56.9%,43.1%,https://www.football-lab.jp/c-os/report/?year=2018&month=03&date=31
H,鳥栖,W,2,1,14,7,4,3,0,0,502,463,9,13,15,15,3,6,2,4,27,28,10,17,13,21,26,18,2,1,6,3,0,2,0,0,32,32,8,9,"116,037m","115,198m",162,150,134,138,10.4%,5.1%,50.4%,49.6%,https://www.football-lab.jp/c-os/report/?year=2018&month=04&date=07
A,川崎Ｆ,W,2,1,9,18,3,7,0,0,317,695,10,21,12,10,0,1,5,3,8,30,10,13,22,11,37,17,4,1,1,0,0,2,0,0,28,63,10,20,"109,987m","107,979m",158,130,115,123,7.8%,14.6%,40.2%,59.8%,https://www.football-lab.jp/c-os/report/?year=2018&month=04&date=11
H,FC東京,W,1,0,14,11,6,2,0,0,440,584,15,24,16,5,2,1,3,3,12,18,18,16,14,18,29,20,6,2,1,2,1,0,0,0,40,59,11,10,"118,541m","118,613m",213,221,122,114,11.5%,9.6%,44%,56%,https://www.football-lab.jp/c-os/report/?year=2018&month=04&date=14
A,Ｇ大阪,L,0,1,22,11,5,6,0,1,448,377,13,9,21,12,4,2,4,2,24,26,17,13,22,21,25,34,1,0,2,4,0,4,0,0,53,34,18,12,"115,025m","118,466m",219,215,131,132,16.8%,8.3%,52.4%,47.6%,https://www.football-lab.jp/c-os/report/?year=2018&month=04&date=21
H,仙台,W,2,1,25,9,12,3,0,0,442,471,18,21,18,15,1,2,9,5,22,14,19,17,14,21,26,25,3,1,2,1,2,1,0,0,49,44,21,11,"118,337m","115,885m",188,146,128,116,19.5%,7.8%,47.8%,52.2%,https://www.football-lab.jp/c-os/report/?year=2018&month=04&date=25
A,磐田,D,1,1,2,16,1,2,1,0,476,425,14,19,10,15,0,3,4,4,24,26,8,12,20,19,25,19,3,3,3,0,1,2,0,0,30,37,2,16,"109,524m","114,254m",175,158,133,136,1.5%,11.8%,50.2%,49.8%,https://www.football-lab.jp/c-os/report/?year=2018&month=04&date=28
A,名古屋,D,0,0,12,8,5,0,0,0,458,451,20,10,15,13,1,3,5,5,24,31,10,10,20,15,32,36,2,2,3,1,0,2,0,1,47,35,10,8,"110,331m","112,950m",122,120,131,131,9.2%,6.1%,49%,51%,https://www.football-lab.jp/c-os/report/?year=2018&month=05&date=02
H,長崎,W,3,1,12,13,4,5,0,0,494,509,7,18,11,7,3,2,4,5,22,21,15,21,21,23,26,18,1,1,2,2,0,1,0,0,46,52,10,11,"116,275m","121,814m",165,170,126,123,9.5%,10.6%,48.8%,51.2%,https://www.football-lab.jp/c-os/report/?year=2018&month=05&date=05
A,広島,W,2,0,13,18,4,5,0,0,457,553,11,24,7,9,2,2,3,9,19,28,12,12,16,17,49,18,6,3,2,2,0,0,0,0,38,57,13,25,"113,641m","114,735m",143,160,119,126,10.9%,14.3%,47.9%,52.1%,https://www.football-lab.jp/c-os/report/?year=2018&month=05&date=20
A,清水,L,0,3,11,13,2,3,0,0,603,457,31,17,8,6,1,0,7,4,17,14,11,10,10,15,28,42,0,1,0,1,2,0,0,0,54,46,10,10,"108,783m","109,369m",108,113,121,122,9.1%,10.7%,54.8%,45.2%,https://www.football-lab.jp/c-os/report/?year=2018&month=07&date=18
H,浦和,D,1,1,14,19,6,4,0,0,358,513,13,13,12,5,3,0,5,10,25,18,12,19,20,24,15,16,0,3,0,3,0,2,0,0,44,63,9,17,"108,094m","107,609m",165,169,116,117,12.1%,16.2%,45.1%,54.9%,https://www.football-lab.jp/c-os/report/?year=2018&month=07&date=22
H,鹿島,L,0,2,15,11,4,2,0,0,525,384,17,12,12,9,4,1,5,0,24,17,14,17,21,20,15,28,1,3,1,4,2,0,0,0,35,38,9,10,"111,685m","109,744m",157,168,127,120,11.8%,9.2%,54.1%,45.9%,https://www.football-lab.jp/c-os/report/?year=2018&month=07&date=25
A,仙台,D,2,2,15,17,2,6,0,0,506,399,25,24,8,11,3,1,6,6,17,16,12,18,22,18,21,23,2,0,1,3,0,0,0,0,52,41,8,20,"110,828m","114,672m",195,170,116,118,12.9%,14.4%,54.4%,45.6%,https://www.football-lab.jp/c-os/report/?year=2018&month=07&date=28
H,神戸,D,1,1,13,10,4,2,0,0,348,591,9,23,11,7,4,3,5,4,15,17,8,8,14,15,21,10,5,1,3,3,2,2,0,0,34,68,12,16,"106,615m","108,373m",153,142,112,112,11.6%,8.9%,39.7%,60.3%,https://www.football-lab.jp/c-os/report/?year=2018&month=08&date=01
A,鳥栖,L,0,1,13,10,1,3,0,0,552,288,25,7,11,13,4,5,4,6,22,9,16,14,22,15,20,35,0,3,5,4,0,0,0,0,51,35,16,11,"107,779m","110,554m",121,136,111,109,11.7%,9.2%,62%,38%,https://www.football-lab.jp/c-os/report/?year=2018&month=08&date=05
A,札幌,D,1,1,17,8,5,3,0,0,624,483,20,11,10,7,4,2,7,5,21,8,12,7,14,21,17,26,3,4,2,4,0,1,0,0,60,43,15,12,"113,076m","117,341m",154,132,113,105,15.0%,7.6%,56.8%,43.2%,https://www.football-lab.jp/c-os/report/?year=2018&month=08&date=11
H,清水,W,3,1,17,11,7,2,0,0,587,365,15,15,11,8,2,2,5,2,18,16,10,11,12,11,12,15,2,1,2,2,1,1,0,0,39,39,19,14,"103,872m","104,476m",132,145,112,99,15.2%,11.1%,58.5%,41.5%,https://www.football-lab.jp/c-os/report/?year=2018&month=08&date=15
A,長崎,W,2,0,20,10,5,0,0,0,464,367,14,10,12,13,3,1,7,3,25,18,11,18,21,10,18,20,4,3,1,3,2,1,0,0,46,32,16,10,"104,113m","110,361m",139,150,111,102,18.0%,9.8%,53.6%,46.4%,https://www.football-lab.jp/c-os/report/?year=2018&month=08&date=19
H,広島,L,0,1,12,12,6,5,0,0,501,478,17,16,4,13,6,2,5,6,25,19,12,12,21,22,29,23,2,5,2,6,1,0,0,0,66,46,9,14,"104,302m","107,721m",126,120,112,118,10.7%,10.2%,53.1%,46.9%,https://www.football-lab.jp/c-os/report/?year=2018&month=08&date=25
A,浦和,W,2,1,12,12,3,4,0,0,420,538,17,17,14,6,6,5,0,9,14,13,12,15,18,16,33,17,3,0,5,6,0,2,0,0,48,53,15,16,"114,539m","113,343m",167,158,107,103,11.2%,11.7%,46.7%,53.3%,https://www.football-lab.jp/c-os/report/?year=2018&month=09&date=01
H,磐田,D,1,1,20,12,6,5,0,0,589,339,21,9,6,14,1,2,7,6,11,20,18,13,17,23,16,29,2,5,2,1,2,2,0,0,68,37,21,4,"101,330m","107,693m",141,130,109,119,18.3%,10.1%,60.3%,39.7%,https://www.football-lab.jp/c-os/report/?year=2018&month=09&date=14
A,湘南,D,1,1,24,11,9,5,0,0,568,338,22,11,11,10,0,0,11,3,25,19,15,9,17,14,11,41,3,2,0,0,1,0,0,0,68,22,19,11,"105,050m","111,898m",136,162,122,117,19.7%,9.4%,60.6%,39.4%,https://www.football-lab.jp/c-os/report/?year=2018&month=09&date=22
H,Ｇ大阪,L,0,1,17,13,5,6,0,0,432,451,23,13,10,9,3,3,10,6,17,21,13,6,18,18,22,29,1,0,3,3,0,1,0,0,45,52,19,16,"108,123m","109,429m",162,158,115,120,14.8%,10.8%,49.9%,50.1%,https://www.football-lab.jp/c-os/report/?year=2018&month=10&date=06
A,FC東京,W,1,0,8,17,1,3,0,0,424,496,9,31,8,4,2,0,5,8,21,24,4,19,32,26,34,13,1,2,0,2,1,3,0,0,37,67,6,27,"106,985m","109,562m",183,194,128,127,6.3%,13.4%,45.6%,54.4%,https://www.football-lab.jp/c-os/report/?year=2018&month=10&date=20
A,鹿島,L,0,1,14,21,5,7,0,0,502,421,11,5,13,8,1,1,6,6,32,20,19,11,24,25,19,24,7,1,1,1,0,2,0,0,40,50,15,14,"105,666m","109,657m",168,143,134,126,10.4%,16.7%,52.6%,47.4%,https://www.football-lab.jp/c-os/report/?year=2018&month=10&date=31
H,名古屋,L,0,1,10,11,1,1,0,0,468,541,12,9,6,17,4,2,2,3,22,19,15,14,21,25,17,16,2,0,2,3,1,1,0,0,53,37,8,9,"106,194m","111,847m",168,144,119,123,8.4%,8.9%,49.6%,50.4%,https://www.football-lab.jp/c-os/report/?year=2018&month=11&date=06
H,川崎Ｆ,W,2,1,13,11,4,4,0,1,413,732,10,18,6,9,2,2,3,11,21,22,12,16,21,19,31,14,2,3,2,2,0,0,0,0,32,84,12,19,"112,265m","109,593m",148,151,121,132,10.7%,8.3%,41.7%,58.3%,https://www.football-lab.jp/c-os/report/?year=2018&month=11&date=10
H,柏,L,0,3,14,16,5,7,0,0,699,392,30,20,8,4,1,2,10,0,30,20,21,13,13,19,22,51,2,3,2,1,0,0,0,0,62,39,23,18,"115,455m","119,237m",181,184,137,115,10.2%,13.9%,60.5%,39.5%,https://www.football-lab.jp/c-os/report/?year=2018&month=11&date=24
A,横浜FM,W,2,1,24,21,12,6,0,0,377,536,15,26,14,15,3,2,5,6,15,23,11,15,14,13,35,18,4,3,2,3,3,0,0,0,34,54,12,13,"115,417m","118,815m",198,165,124,137,19.4%,15.3%,42.1%,57.9%,https://www.football-lab.jp/c-os/report/?year=2018&month=12&date=01
