HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,fctk_シュート,Opponent_シュート,fctk_枠内シュート,Opponent_枠内シュート,fctk_PKによるシュート,Opponent_PKによるシュート,fctk_パス,Opponent_パス,fctk_クロス,Opponent_クロス,fctk_直接ＦＫ,Opponent_直接ＦＫ,fctk_間接ＦＫ,Opponent_間接ＦＫ,fctk_ＣＫ,Opponent_ＣＫ,fctk_スローイン,Opponent_スローイン,fctk_ドリブル,Opponent_ドリブル,fctk_タックル,Opponent_タックル,fctk_クリア,Opponent_クリア,fctk_インターセプト,Opponent_インターセプト,fctk_オフサイド,Opponent_オフサイド,fctk_警告,Opponent_警告,fctk_退場,Opponent_退場,fctk_３０ｍライン進入,Opponent_３０ｍライン進入,fctk_ペナルティエリア進入,Opponent_ペナルティエリア進入,fctk_総移動距離,Opponent_総移動距離,fctk_スプリント,Opponent_スプリント,fctk_攻撃回数,Opponent_攻撃回数,fctk_チャンス構築率,Opponent_チャンス構築率,fctk_ボール保持率,Opponent_ボール保持率,URL
H,浦和,D,1,1,6,11,3,4,0,0,354,680,6,23,11,12,2,1,0,5,25,28,4,19,25,37,21,8,2,0,2,2,1,1,0,0,25,55,5,21,"114,303m","110,084m",157,130,115,118,5.2%,9.3%,39.9%,60.1%,https://www.football-lab.jp/fctk/report/?year=2018&month=02&date=24
H,仙台,L,0,1,15,6,4,2,0,0,387,459,19,12,14,18,4,2,4,3,26,32,14,10,27,26,27,34,1,4,2,4,1,0,0,0,32,38,14,5,"112,111m","109,918m",156,117,126,139,11.9%,4.3%,48.3%,51.7%,https://www.football-lab.jp/fctk/report/?year=2018&month=03&date=03
A,磐田,L,0,2,10,16,3,8,0,0,379,507,10,24,10,13,0,3,11,3,20,29,16,12,22,28,22,25,2,5,3,0,1,1,0,0,31,47,12,13,"113,679m","113,922m",178,164,131,128,7.6%,12.5%,44.6%,55.4%,https://www.football-lab.jp/fctk/report/?year=2018&month=03&date=10
H,湘南,W,1,0,19,2,7,1,0,0,460,487,13,11,15,12,1,4,5,2,25,21,8,10,24,22,20,16,1,0,3,1,1,1,0,0,47,24,22,4,"114,011m","115,336m",191,178,133,128,14.3%,1.6%,51.8%,48.2%,https://www.football-lab.jp/fctk/report/?year=2018&month=03&date=18
H,Ｇ大阪,W,3,2,10,14,4,5,0,1,350,625,11,19,9,15,2,3,1,7,21,24,10,9,17,18,36,15,1,0,3,2,0,1,0,0,40,44,11,9,"115,539m","114,274m",205,146,125,138,8.0%,10.1%,38.4%,61.6%,https://www.football-lab.jp/fctk/report/?year=2018&month=03&date=31
A,長崎,W,5,2,10,16,8,4,1,0,340,365,18,12,12,15,0,3,8,5,32,23,10,20,22,14,22,23,2,0,3,0,1,1,0,0,32,34,17,10,"110,019m","113,104m",175,185,128,133,7.8%,12.0%,45.4%,54.6%,https://www.football-lab.jp/fctk/report/?year=2018&month=04&date=08
H,鹿島,W,2,1,10,10,5,4,0,0,304,568,10,14,12,13,1,4,5,7,19,39,12,15,30,23,34,19,3,2,4,1,0,0,0,0,33,48,14,12,"116,416m","110,378m",180,167,109,138,9.2%,7.2%,40.3%,59.7%,https://www.football-lab.jp/fctk/report/?year=2018&month=04&date=11
A,Ｃ大阪,L,0,1,11,14,2,6,0,0,584,440,24,15,5,16,1,2,3,3,18,12,16,18,18,14,20,29,2,6,2,1,0,1,0,0,59,40,10,11,"118,613m","118,541m",221,213,114,122,9.6%,11.5%,56%,44%,https://www.football-lab.jp/fctk/report/?year=2018&month=04&date=14
A,清水,W,1,0,9,16,3,3,0,0,418,422,12,15,10,16,1,0,2,5,25,20,9,10,14,19,23,18,0,2,0,1,1,1,0,0,46,52,9,15,"111,100m","110,305m",162,160,129,131,7.0%,12.2%,52.2%,47.8%,https://www.football-lab.jp/fctk/report/?year=2018&month=04&date=21
H,広島,W,3,1,10,20,4,6,1,0,386,624,7,25,6,15,0,1,4,6,21,21,6,13,22,32,34,14,1,2,1,0,0,2,0,0,34,59,9,26,"116,099m","114,898m",204,175,119,127,8.4%,15.7%,43.7%,56.3%,https://www.football-lab.jp/fctk/report/?year=2018&month=04&date=25
H,名古屋,W,3,2,10,14,5,5,1,0,363,498,10,4,14,21,2,3,4,3,21,20,5,10,24,18,14,16,2,2,3,2,0,2,0,0,41,39,8,14,"110,654m","110,871m",173,135,117,124,8.5%,11.3%,45.8%,54.2%,https://www.football-lab.jp/fctk/report/?year=2018&month=04&date=28
A,神戸,D,0,0,15,10,2,2,0,0,329,603,14,21,14,17,0,0,9,5,21,16,7,7,11,19,22,28,0,1,0,0,3,2,0,0,41,44,14,13,"114,501m","110,979m",185,148,111,110,13.5%,9.1%,39.1%,60.9%,https://www.football-lab.jp/fctk/report/?year=2018&month=05&date=02
A,川崎Ｆ,W,2,0,7,16,5,1,0,0,311,753,9,20,17,12,0,2,5,7,10,21,11,23,33,26,24,11,2,1,2,0,1,1,0,0,23,77,12,25,"111,027m","109,122m",161,152,124,124,5.6%,12.9%,36%,64%,https://www.football-lab.jp/fctk/report/?year=2018&month=05&date=05
H,札幌,D,0,0,16,9,4,5,0,0,414,396,21,20,19,15,1,3,4,6,19,12,18,12,13,14,23,29,3,2,3,1,1,3,0,0,47,35,14,11,"105,331m","108,261m",186,149,108,109,14.8%,8.3%,51.1%,48.9%,https://www.football-lab.jp/fctk/report/?year=2018&month=05&date=13
A,鳥栖,D,0,0,17,10,7,2,0,0,516,316,20,7,14,10,2,5,11,4,17,20,14,12,26,31,26,36,0,3,5,2,2,4,0,0,58,29,26,7,"112,655m","111,424m",190,181,134,123,12.7%,8.1%,58.3%,41.7%,https://www.football-lab.jp/fctk/report/?year=2018&month=05&date=20
A,柏,W,1,0,16,16,4,2,0,0,409,424,17,30,8,26,2,2,4,4,15,32,8,19,20,19,41,25,4,4,2,2,0,0,0,0,35,37,16,15,"110,424m","106,731m",140,120,119,138,13.4%,11.6%,50.6%,49.4%,https://www.football-lab.jp/fctk/report/?year=2018&month=07&date=18
H,横浜FM,W,5,2,19,8,8,4,0,1,246,683,6,32,7,15,1,0,7,8,8,20,9,19,23,12,24,11,1,1,0,1,1,0,0,0,27,66,13,20,"109,049m","106,851m",171,158,91,105,20.9%,7.6%,33.9%,66.1%,https://www.football-lab.jp/fctk/report/?year=2018&month=07&date=22
H,長崎,L,0,1,12,14,1,6,0,0,432,308,18,16,9,16,3,0,7,7,33,23,9,13,23,14,26,41,1,3,0,2,1,1,0,0,58,37,18,14,"105,608m","106,832m",134,133,107,117,11.2%,12.0%,54.9%,45.1%,https://www.football-lab.jp/fctk/report/?year=2018&month=07&date=27
A,鹿島,W,2,1,13,7,4,3,0,0,366,427,18,12,12,13,1,0,5,6,28,20,18,17,27,21,17,22,3,0,0,1,3,1,0,0,52,35,19,10,"105,763m","102,069m",190,145,119,112,10.9%,6.3%,48.4%,51.6%,https://www.football-lab.jp/fctk/report/?year=2018&month=08&date=01
