HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,清水,D,0,0,12,10,3,4,1,0,374,518,19,22,13,21,2,1,4,8,12,20,9,21,24,11,40,16,3,2,0,2,1,2,0,0,40,47,15,17,"115,600m","111,817m",156,157,119,136,10.1%,7.4%,43.3%,56.7%,https://www.football-lab.jp/kasm/report/?year=2018&month=02&date=25
H,Ｇ大阪,W,1,0,8,24,1,7,0,0,571,377,19,11,6,12,5,4,8,6,32,28,9,20,35,34,20,36,1,1,4,5,1,0,0,0,37,44,11,19,"119,262m","116,381m",200,190,141,146,5.7%,16.4%,54.7%,45.3%,https://www.football-lab.jp/kasm/report/?year=2018&month=03&date=03
H,広島,L,0,1,11,17,4,8,0,1,340,554,15,15,16,19,5,1,6,5,25,28,16,20,26,30,30,25,7,2,0,5,1,2,0,0,36,48,11,13,"117,944m","112,688m",159,157,135,137,8.1%,12.4%,40.4%,59.6%,https://www.football-lab.jp/kasm/report/?year=2018&month=03&date=10
A,鳥栖,W,1,0,11,9,5,2,0,0,380,315,16,8,15,14,2,3,10,3,23,34,26,13,34,37,25,45,1,4,2,2,3,3,0,0,47,36,18,13,"106,365m","106,963m",181,192,146,136,7.5%,6.6%,52.1%,47.9%,https://www.football-lab.jp/kasm/report/?year=2018&month=03&date=18
H,札幌,D,0,0,16,14,2,1,0,0,411,389,19,8,14,23,1,2,10,4,14,20,17,15,28,16,20,17,6,1,2,1,2,1,0,0,46,34,20,19,"112,395m","108,846m",180,181,116,127,13.8%,11.0%,50.6%,49.4%,https://www.football-lab.jp/kasm/report/?year=2018&month=03&date=31
A,湘南,L,1,2,8,18,3,7,0,0,297,500,16,17,16,21,6,5,4,9,28,27,15,12,30,17,24,18,0,2,5,4,3,1,0,0,25,47,14,26,"120,005m","113,457m",185,176,132,136,6.1%,13.2%,40.7%,59.3%,https://www.football-lab.jp/kasm/report/?year=2018&month=04&date=07
A,FC東京,L,1,2,10,10,5,4,0,0,304,568,10,14,12,13,1,4,5,7,19,39,12,15,30,23,34,19,3,2,4,1,0,0,0,0,33,48,14,12,"116,416m","110,378m",180,167,109,138,9.2%,7.2%,40.3%,59.7%,https://www.football-lab.jp/kasm/report/?year=2018&month=04&date=11
H,名古屋,W,2,0,6,14,0,3,0,0,819,372,19,7,15,10,7,1,4,2,22,16,16,9,16,28,10,27,4,4,1,7,2,2,0,0,51,39,19,15,"118,294m","112,874m",157,194,153,137,3.9%,10.2%,61.7%,38.3%,https://www.football-lab.jp/kasm/report/?year=2018&month=04&date=14
A,川崎Ｆ,L,1,4,17,14,9,6,0,0,388,424,3,12,18,15,1,1,4,7,12,21,16,17,33,27,34,16,2,3,1,1,2,3,0,1,37,44,15,15,"108,165m","103,057m",185,170,123,134,13.8%,10.4%,45.9%,54.1%,https://www.football-lab.jp/kasm/report/?year=2018&month=04&date=21
H,神戸,D,1,1,6,15,1,8,0,0,478,408,12,25,12,23,2,1,6,5,32,26,4,19,35,21,39,23,2,4,1,2,3,0,0,0,26,68,8,20,"114,783m","113,440m",175,208,148,148,4.1%,10.1%,52.7%,47.3%,https://www.football-lab.jp/kasm/report/?year=2018&month=04&date=25
