HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,仙台,L,0,1,9,14,3,2,0,0,452,402,22,14,13,17,1,2,7,5,24,22,13,17,28,18,23,33,4,2,2,1,2,4,0,1,39,34,8,9,"112,714m","108,515m",169,163,123,120,7.3%,11.7%,52%,48%,https://www.football-lab.jp/kasw/report/?year=2018&month=02&date=25
H,横浜FM,W,2,0,14,15,1,2,0,0,740,363,27,8,11,8,4,0,5,3,26,35,21,16,28,30,25,32,0,4,0,4,0,2,0,0,76,30,16,11,"124,723m","123,143m",176,192,133,138,10.5%,10.9%,63.6%,36.4%,https://www.football-lab.jp/kasw/report/?year=2018&month=03&date=02
H,Ｃ大阪,D,1,1,15,10,5,1,0,0,472,417,33,18,13,20,6,3,8,4,25,18,22,20,20,24,17,42,3,1,3,6,1,2,0,0,61,30,19,13,"114,626m","112,117m",215,210,138,144,10.9%,6.9%,51.8%,48.2%,https://www.football-lab.jp/kasw/report/?year=2018&month=03&date=10
A,Ｇ大阪,D,2,2,12,22,5,7,0,0,639,543,17,21,5,12,2,0,2,7,22,25,15,12,29,25,19,27,2,1,0,2,1,0,0,0,45,41,16,26,"120,146m","117,065m",158,202,118,126,10.2%,17.5%,51.6%,48.4%,https://www.football-lab.jp/kasw/report/?year=2018&month=03&date=18
H,神戸,W,2,1,11,9,3,3,0,0,616,470,14,16,7,12,2,1,8,4,27,24,5,17,31,13,21,26,1,4,1,2,2,3,0,0,36,35,9,10,"123,381m","119,471m",192,208,132,131,8.3%,6.9%,56.5%,43.5%,https://www.football-lab.jp/kasw/report/?year=2018&month=03&date=30
H,広島,L,0,1,3,10,1,2,0,1,428,599,11,28,8,18,3,3,4,8,27,35,3,23,30,17,34,26,1,0,3,3,0,0,0,0,35,55,11,19,"121,707m","118,343m",151,156,130,142,2.3%,7.0%,41%,59%,https://www.football-lab.jp/kasw/report/?year=2018&month=04&date=08
A,鳥栖,W,2,1,19,9,7,5,0,0,478,433,32,12,12,10,3,2,12,4,35,27,22,10,27,27,22,47,1,3,2,3,0,0,0,0,49,38,24,9,"117,207m","117,234m",153,170,147,140,12.9%,6.4%,49.6%,50.4%,https://www.football-lab.jp/kasw/report/?year=2018&month=04&date=11
H,札幌,L,1,2,13,9,6,3,0,0,381,671,17,22,6,7,2,2,5,8,18,28,21,21,30,26,32,14,2,0,0,2,1,1,0,0,33,55,9,15,"125,782m","120,216m",150,185,114,125,11.4%,7.2%,41.5%,58.5%,https://www.football-lab.jp/kasw/report/?year=2018&month=04&date=14
A,長崎,L,0,1,6,18,1,4,0,0,246,643,6,26,17,9,1,1,5,8,23,20,6,20,16,22,37,20,1,1,1,1,0,1,0,0,26,69,9,30,"117,389m","107,925m",160,179,126,115,4.8%,15.7%,34.7%,65.3%,https://www.football-lab.jp/kasw/report/?year=2018&month=04&date=22
H,浦和,W,1,0,11,14,4,6,0,0,417,470,19,17,15,16,1,3,9,2,32,27,9,14,19,16,13,34,2,4,3,1,0,0,0,0,39,41,13,9,"113,149m","112,484m",173,211,147,142,7.5%,9.9%,46%,54%,https://www.football-lab.jp/kasw/report/?year=2018&month=04&date=25
A,清水,L,1,2,12,18,4,7,0,0,317,630,14,23,8,11,0,0,4,9,24,34,11,19,24,17,39,19,1,1,0,0,1,1,0,0,30,53,13,11,"119,020m","114,123m",184,192,124,134,9.7%,13.4%,38.9%,61.1%,https://www.football-lab.jp/kasw/report/?year=2018&month=04&date=28
A,湘南,W,2,1,11,21,4,9,0,0,352,469,18,20,12,9,1,2,8,4,36,23,11,15,13,20,28,40,1,2,2,1,1,1,0,0,28,52,10,24,"117,731m","110,269m",208,184,138,123,8.0%,17.1%,42.8%,57.2%,https://www.football-lab.jp/kasw/report/?year=2018&month=05&date=02
H,磐田,L,1,2,12,11,7,3,0,0,409,535,9,15,10,10,9,0,0,4,28,33,6,21,32,19,29,17,4,0,0,9,0,1,0,0,38,36,10,14,"115,066m","111,550m",132,132,123,129,9.8%,8.5%,45.8%,54.2%,https://www.football-lab.jp/kasw/report/?year=2018&month=05&date=05
