HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,鳥栖,D,1,1,7,19,2,7,1,0,328,646,12,24,16,16,1,2,2,12,18,30,13,15,22,21,48,20,1,0,2,1,1,4,0,0,31,52,9,18,"119,409m","117,921m",163,163,126,147,5.6%,12.9%,38.6%,61.4%,https://www.football-lab.jp/kobe/report/?year=2018&month=02&date=23
H,清水,L,2,4,8,19,4,5,0,0,342,626,18,28,10,13,1,3,3,6,17,24,10,9,8,18,34,18,2,3,3,1,3,3,0,0,29,68,10,17,"121,783m","115,648m",174,180,122,131,6.6%,14.5%,40.4%,59.6%,https://www.football-lab.jp/kobe/report/?year=2018&month=03&date=03
A,仙台,D,1,1,13,7,3,1,0,0,644,299,26,13,21,15,0,0,6,6,32,14,19,10,31,28,23,47,1,1,0,0,1,3,0,0,63,28,11,10,"117,257m","115,302m",135,162,149,124,8.7%,5.6%,63.4%,36.6%,https://www.football-lab.jp/kobe/report/?year=2018&month=03&date=10
H,Ｃ大阪,W,2,0,13,18,2,4,0,0,473,616,27,18,12,10,1,2,3,3,22,15,7,10,12,22,20,31,1,1,2,1,2,1,0,0,48,49,13,16,"116,000m","117,996m",163,162,124,117,10.5%,15.4%,45.9%,54.1%,https://www.football-lab.jp/kobe/report/?year=2018&month=03&date=18
A,柏,L,1,2,9,11,3,3,0,0,470,616,16,14,12,7,1,2,4,8,24,27,17,5,13,31,26,21,4,1,2,1,3,2,0,0,35,36,10,9,"119,471m","123,381m",208,192,131,132,6.9%,8.3%,43.5%,56.5%,https://www.football-lab.jp/kobe/report/?year=2018&month=03&date=30
A,Ｇ大阪,W,1,0,18,17,5,5,0,0,519,594,19,27,9,13,2,2,5,5,28,18,25,17,18,23,17,24,3,7,2,2,0,1,0,0,49,75,15,16,"121,875m","119,894m",153,164,128,126,14.1%,13.5%,45.1%,54.9%,https://www.football-lab.jp/kobe/report/?year=2018&month=04&date=08
H,浦和,L,2,3,12,11,6,3,0,0,389,673,18,16,17,7,1,4,6,6,22,21,13,14,20,18,21,18,0,1,4,1,0,2,0,0,34,46,12,10,"121,186m","119,925m",146,160,110,109,10.9%,10.1%,38.3%,61.7%,https://www.football-lab.jp/kobe/report/?year=2018&month=04&date=11
A,横浜FM,W,2,1,19,10,5,3,0,0,649,310,27,12,18,15,4,1,13,4,15,21,15,7,25,33,21,30,3,2,1,4,1,0,0,0,76,26,30,11,"120,104m","115,553m",202,183,144,131,13.2%,7.6%,61.3%,38.7%,https://www.football-lab.jp/kobe/report/?year=2018&month=04&date=15
H,名古屋,W,3,0,15,21,3,6,0,0,483,591,11,13,11,9,5,0,7,5,19,16,8,12,14,24,25,24,4,4,0,5,4,0,0,0,48,45,21,16,"114,904m","111,595m",133,152,114,111,13.2%,18.9%,44%,56%,https://www.football-lab.jp/kobe/report/?year=2018&month=04&date=21
A,鹿島,D,1,1,15,6,8,1,0,0,408,478,25,12,23,12,1,2,5,6,26,32,19,4,21,35,23,39,4,2,2,1,0,3,0,0,68,26,20,8,"113,440m","114,783m",208,175,148,148,10.1%,4.1%,47.3%,52.7%,https://www.football-lab.jp/kobe/report/?year=2018&month=04&date=25
H,川崎Ｆ,L,1,2,14,10,5,2,0,0,572,576,9,12,22,12,0,1,5,2,20,14,6,8,17,14,14,22,5,3,1,0,0,3,0,1,51,42,14,6,"109,946m","112,341m",144,130,112,102,12.5%,9.8%,47.3%,52.7%,https://www.football-lab.jp/kobe/report/?year=2018&month=04&date=28
H,FC東京,D,0,0,15,10,2,2,0,0,329,603,14,21,14,17,0,0,9,5,21,16,7,7,11,19,22,28,0,1,0,0,3,2,0,0,41,44,14,13,"114,501m","110,979m",185,148,111,110,13.5%,9.1%,39.1%,60.9%,https://www.football-lab.jp/kobe/report/?year=2018&month=05&date=02
A,広島,L,0,2,14,14,6,4,1,0,285,622,15,21,9,11,2,6,5,4,23,28,12,10,24,26,39,17,4,1,6,2,0,3,0,0,30,63,14,15,"116,414m","112,685m",176,155,116,118,12.1%,11.9%,35.6%,64.4%,https://www.football-lab.jp/kobe/report/?year=2018&month=05&date=06
A,磐田,W,2,0,15,10,5,3,0,0,439,430,22,17,20,10,2,0,6,4,16,22,14,8,17,24,26,43,0,3,0,2,0,1,0,0,51,39,11,14,"114,968m","111,143m",172,173,115,120,13.0%,8.3%,45%,55%,https://www.football-lab.jp/kobe/report/?year=2018&month=05&date=12
