HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,Ｇ大阪,W,3,2,14,12,5,6,0,0,557,584,17,9,7,13,2,5,2,4,33,19,9,13,31,25,20,24,1,2,5,2,0,1,0,0,42,54,12,11,"114,993m","118,297m",165,190,137,133,10.2%,9.0%,49.7%,50.3%,https://www.football-lab.jp/nago/report/?year=2018&month=02&date=24
H,磐田,W,1,0,11,13,3,7,0,0,454,511,14,9,9,22,1,3,3,6,21,15,20,16,27,21,25,23,3,1,3,1,2,0,0,0,50,40,14,11,"111,491m","113,033m",176,165,122,126,9.0%,10.3%,52.7%,47.3%,https://www.football-lab.jp/nago/report/?year=2018&month=03&date=03
A,湘南,D,0,0,7,13,2,5,0,0,417,624,15,17,10,17,1,8,2,3,18,24,9,17,41,13,27,18,4,3,8,1,2,1,0,0,39,46,11,14,"113,586m","113,643m",199,157,121,131,5.8%,9.9%,44.5%,55.5%,https://www.football-lab.jp/nago/report/?year=2018&month=03&date=11
H,川崎Ｆ,L,0,1,11,9,4,4,0,0,666,657,11,4,12,11,0,7,5,4,14,18,8,12,29,18,25,12,5,1,7,0,0,0,0,0,50,47,21,8,"109,971m","117,252m",157,161,118,122,9.3%,7.4%,51.7%,48.3%,https://www.football-lab.jp/nago/report/?year=2018&month=03&date=18
A,鳥栖,L,2,3,17,10,3,5,0,1,332,528,31,6,17,15,5,6,9,5,30,11,23,8,19,20,16,30,2,1,6,5,1,2,0,0,45,24,26,8,"115,235m","119,855m",195,194,136,126,12.5%,7.9%,45.9%,54.1%,https://www.football-lab.jp/nago/report/?year=2018&month=03&date=31
A,札幌,L,0,3,24,8,11,2,0,0,328,651,17,5,11,17,0,6,10,4,13,19,22,12,29,14,22,11,2,3,6,0,1,1,0,0,36,43,20,11,"111,072m","112,638m",157,175,116,121,20.7%,6.6%,41.9%,58.1%,https://www.football-lab.jp/nago/report/?year=2018&month=04&date=07
H,仙台,L,2,3,14,12,4,3,0,1,381,618,10,18,13,16,1,4,3,5,18,24,11,12,31,16,25,16,2,3,4,1,0,4,1,0,35,41,11,12,"119,148m","123,558m",151,179,127,131,11.0%,9.2%,43.9%,56.1%,https://www.football-lab.jp/nago/report/?year=2018&month=04&date=11
A,鹿島,L,0,2,14,6,3,0,0,0,372,819,7,19,10,15,1,7,2,4,16,22,9,16,28,16,27,10,4,4,7,1,2,2,0,0,39,51,15,19,"112,874m","118,294m",194,157,137,153,10.2%,3.9%,38.3%,61.7%,https://www.football-lab.jp/nago/report/?year=2018&month=04&date=14
A,神戸,L,0,3,21,15,6,3,0,0,591,483,13,11,9,11,0,5,5,7,16,19,12,8,24,14,24,25,4,4,5,0,0,4,0,0,45,48,16,21,"111,595m","114,904m",152,133,111,114,18.9%,13.2%,56%,44%,https://www.football-lab.jp/nago/report/?year=2018&month=04&date=21
H,清水,L,1,3,7,12,4,4,0,0,480,583,16,15,11,12,2,3,2,4,27,31,12,7,25,22,40,27,1,2,3,1,0,0,0,0,51,47,10,17,"115,580m","120,176m",161,150,126,132,5.6%,9.1%,48.5%,51.5%,https://www.football-lab.jp/nago/report/?year=2018&month=04&date=25
