HOME/AWAY,Opponent,勝敗,ngsk_得点,ngsk_失点,Opponent_シュート,ngsk_シュート,Opponent_枠内シュート,ngsk_枠内シュート,Opponent_PKによるシュート,ngsk_PKによるシュート,Opponent_パス,ngsk_パス,Opponent_クロス,ngsk_クロス,Opponent_直接ＦＫ,ngsk_直接ＦＫ,Opponent_間接ＦＫ,ngsk_間接ＦＫ,Opponent_ＣＫ,ngsk_ＣＫ,Opponent_スローイン,ngsk_スローイン,Opponent_ドリブル,ngsk_ドリブル,Opponent_タックル,ngsk_タックル,Opponent_クリア,ngsk_クリア,Opponent_インターセプト,ngsk_インターセプト,Opponent_オフサイド,ngsk_オフサイド,Opponent_警告,ngsk_警告,Opponent_退場,ngsk_退場,Opponent_３０ｍライン進入,ngsk_３０ｍライン進入,Opponent_ペナルティエリア進入,ngsk_ペナルティエリア進入,Opponent_総移動距離,ngsk_総移動距離,Opponent_スプリント,ngsk_スプリント,Opponent_攻撃回数,ngsk_攻撃回数,Opponent_チャンス構築率,ngsk_チャンス構築率,Opponent_ボール保持率,ngsk_ボール保持率,URL
A,湘南,L,1,2,9,14,4,5,0,0,512,269,16,16,14,19,0,2,2,5,24,22,7,7,22,24,33,31,2,2,2,0,2,0,0,0,42,28,9,13,"116,372m","118,980m",189,213,122,124,7.4%,11.3%,62.2%,37.8%,https://www.football-lab.jp/ngsk/report/?year=2018&month=02&date=24
H,鳥栖,D,2,2,18,9,5,4,0,0,565,297,18,13,23,14,6,1,7,3,32,16,11,12,15,20,14,37,2,5,1,6,3,1,0,0,50,27,17,12,"117,064m","124,425m",155,176,138,128,13.0%,7.0%,60.9%,39.1%,https://www.football-lab.jp/ngsk/report/?year=2018&month=03&date=03
H,浦和,D,1,1,16,8,5,3,0,1,669,246,16,15,27,8,3,2,5,3,26,11,18,16,24,34,16,28,4,4,2,3,0,1,0,0,68,26,25,9,"116,020m","123,570m",180,186,136,118,11.8%,6.8%,61.8%,38.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=03&date=10
A,札幌,L,1,2,13,17,4,5,0,0,526,289,14,10,16,12,1,3,6,4,19,16,15,14,24,21,18,24,3,2,3,1,1,2,0,0,38,29,17,9,"112,777m","116,041m",133,168,123,120,10.6%,14.2%,60%,40%,https://www.football-lab.jp/ngsk/report/?year=2018&month=03&date=18
A,仙台,L,0,1,8,14,1,3,0,0,374,418,17,25,19,19,1,1,3,4,23,32,15,24,35,34,41,33,3,3,1,1,1,2,0,0,26,39,8,17,"114,597m","120,498m",159,192,137,143,5.8%,9.8%,45%,55%,https://www.football-lab.jp/ngsk/report/?year=2018&month=03&date=31
H,FC東京,L,2,5,10,16,8,4,1,0,340,365,18,12,12,15,0,3,8,5,32,23,10,20,22,14,22,23,2,0,3,0,1,1,0,0,32,34,17,10,"110,019m","113,104m",175,185,128,133,7.8%,12.0%,45.4%,54.6%,https://www.football-lab.jp/ngsk/report/?year=2018&month=04&date=08
A,清水,W,1,0,14,12,4,4,0,0,491,353,22,8,9,11,0,1,10,4,34,18,11,10,11,16,15,37,0,3,1,0,1,0,0,0,38,35,11,13,"117,335m","122,883m",164,196,146,132,9.6%,9.1%,52%,48%,https://www.football-lab.jp/ngsk/report/?year=2018&month=04&date=11
H,Ｇ大阪,W,3,0,9,14,3,7,0,0,515,301,13,16,16,12,2,7,7,3,25,20,11,14,24,23,19,24,2,1,7,1,3,2,0,0,31,36,11,17,"104,472m","112,371m",134,179,130,116,6.9%,12.1%,58.9%,41.1%,https://www.football-lab.jp/ngsk/report/?year=2018&month=04&date=14
H,柏,W,1,0,18,6,4,1,0,0,643,246,26,6,9,17,1,1,8,5,20,23,20,6,22,16,20,37,1,1,1,1,1,0,0,0,69,26,30,9,"107,925m","117,389m",179,160,115,126,15.7%,4.8%,65.3%,34.7%,https://www.football-lab.jp/ngsk/report/?year=2018&month=04&date=22
A,磐田,W,2,1,13,6,8,2,1,0,446,305,22,11,16,9,0,1,8,4,40,24,22,7,17,21,21,38,1,1,1,0,2,0,0,0,40,22,10,6,"110,425m","115,422m",173,186,137,127,9.5%,4.7%,54.3%,45.7%,https://www.football-lab.jp/ngsk/report/?year=2018&month=04&date=25
H,広島,L,0,2,22,6,5,2,0,0,701,535,19,12,12,8,2,1,2,2,17,19,12,14,30,12,19,18,2,0,1,2,0,0,0,0,77,36,21,8,"115,581m","115,328m",132,114,108,104,20.4%,5.8%,54.1%,45.9%,https://www.football-lab.jp/ngsk/report/?year=2018&month=04&date=28
A,鹿島,L,1,2,11,7,4,2,1,0,464,563,13,17,14,13,2,3,4,4,22,31,7,13,25,11,30,16,4,1,3,2,2,2,0,0,52,49,10,12,"113,926m","122,493m",148,155,120,121,9.2%,5.8%,48.3%,51.7%,https://www.football-lab.jp/ngsk/report/?year=2018&month=05&date=02
A,Ｃ大阪,L,1,3,12,13,4,5,0,0,494,509,7,18,11,7,3,2,4,5,22,21,15,21,21,23,26,18,1,1,2,2,0,1,0,0,46,52,10,11,"116,275m","121,814m",165,170,126,123,9.5%,10.6%,48.8%,51.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=05&date=05
H,名古屋,W,3,0,11,16,2,9,0,0,461,303,6,17,21,15,5,1,6,5,18,23,16,14,19,22,26,32,1,6,1,5,0,0,0,0,34,37,6,16,"109,482m","114,066m",130,170,120,114,9.2%,14.0%,57%,43%,https://www.football-lab.jp/ngsk/report/?year=2018&month=05&date=12
A,横浜FM,L,2,5,17,10,10,4,1,0,557,247,15,14,16,16,7,3,5,4,15,21,9,10,13,13,17,15,1,0,3,7,2,0,0,0,44,24,16,10,"109,423m","112,815m",152,145,122,118,13.9%,8.5%,64.7%,35.3%,https://www.football-lab.jp/ngsk/report/?year=2018&month=05&date=19
H,神戸,L,0,1,17,6,5,1,0,0,648,458,18,12,9,15,1,0,4,4,16,17,9,10,18,13,17,27,1,1,0,1,3,1,0,0,55,25,18,5,"104,363m","111,711m",129,143,88,100,19.3%,6.0%,57.2%,42.8%,https://www.football-lab.jp/ngsk/report/?year=2018&month=07&date=18
A,川崎Ｆ,L,0,1,22,9,5,2,0,0,558,402,14,14,10,13,0,2,6,4,16,20,7,13,15,18,21,19,4,1,2,0,1,0,0,0,54,40,18,10,"98,228m","107,689m",113,118,104,118,21.2%,7.6%,55.1%,44.9%,https://www.football-lab.jp/ngsk/report/?year=2018&month=07&date=22
A,FC東京,W,1,0,12,14,1,6,0,0,432,308,18,16,9,16,3,0,7,7,33,23,9,13,23,14,26,41,1,3,0,2,1,1,0,0,58,37,18,14,"105,608m","106,832m",134,133,107,117,11.2%,12.0%,54.9%,45.1%,https://www.football-lab.jp/ngsk/report/?year=2018&month=07&date=27
H,札幌,L,2,3,17,11,5,3,0,0,497,564,11,14,6,11,0,4,3,3,27,18,10,10,18,12,16,26,1,1,4,0,1,0,0,0,46,39,17,12,"112,514m","113,373m",146,123,104,110,16.3%,10.0%,47%,53%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=01
A,浦和,D,0,0,16,11,7,3,0,0,481,200,14,7,16,17,3,2,11,4,18,14,16,9,14,20,14,40,0,1,2,3,3,0,0,0,36,29,16,14,"95,426m","99,484m",108,123,106,101,15.1%,10.9%,60.8%,39.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=05
A,広島,L,0,2,15,10,6,2,0,0,475,515,16,18,9,9,1,1,5,4,22,25,10,18,17,14,16,13,4,2,1,1,0,1,0,0,32,47,15,15,"111,539m","109,303m",139,140,110,109,13.6%,9.2%,48.3%,51.7%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=11
H,鹿島,L,1,2,16,6,4,2,0,0,364,437,15,17,13,16,2,2,8,2,23,16,21,8,14,21,18,22,0,0,2,2,0,3,0,0,37,41,19,8,"107,749m","107,542m",139,142,114,105,14.0%,5.7%,46.8%,53.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=15
H,Ｃ大阪,L,0,2,20,10,5,0,0,0,464,367,14,10,12,13,3,1,7,3,25,18,11,18,21,10,18,20,4,3,1,3,2,1,0,0,46,32,16,10,"104,113m","110,361m",139,150,111,102,18.0%,9.8%,53.6%,46.4%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=19
A,柏,L,1,5,14,7,7,4,0,0,524,490,16,11,9,11,2,1,3,1,24,20,14,14,15,21,13,20,5,1,1,2,0,0,0,0,30,41,10,6,"109,120m","115,489m",169,139,111,105,12.6%,6.7%,50.2%,49.8%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=25
H,湘南,L,1,3,20,16,6,4,0,0,292,394,11,23,8,14,1,1,7,5,17,31,18,18,20,24,44,23,4,4,1,1,1,1,0,0,33,39,20,19,"110,841m","109,816m",170,155,114,132,17.5%,12.1%,46%,54%,https://www.football-lab.jp/ngsk/report/?year=2018&month=08&date=31
A,名古屋,W,4,3,14,19,4,9,0,1,612,267,12,16,15,12,0,4,4,4,16,16,11,10,12,17,22,28,3,3,4,0,2,3,0,0,36,36,12,13,"109,316m","111,988m",106,141,115,118,12.2%,16.1%,59.7%,40.3%,https://www.football-lab.jp/ngsk/report/?year=2018&month=09&date=15
H,仙台,W,1,0,19,10,4,3,0,0,638,256,24,15,15,5,2,1,2,6,24,12,19,19,18,20,16,43,3,3,1,2,1,1,0,0,62,32,15,10,"108,779m","113,572m",138,149,117,109,16.2%,9.2%,63.7%,36.3%,https://www.football-lab.jp/ngsk/report/?year=2018&month=09&date=22
H,川崎Ｆ,L,1,2,15,11,7,3,0,0,673,319,11,16,12,10,1,0,6,4,22,26,8,13,26,15,21,20,1,5,0,1,2,1,0,0,58,34,17,9,"100,616m","107,157m",144,132,107,109,14.0%,10.1%,61.5%,38.5%,https://www.football-lab.jp/ngsk/report/?year=2018&month=09&date=29
A,神戸,D,1,1,18,12,3,4,0,0,650,217,20,18,15,9,0,2,10,5,26,12,16,13,17,15,12,37,1,2,2,0,1,2,1,0,57,31,20,13,"103,494m","111,212m",135,148,111,100,16.2%,12.0%,68.7%,31.3%,https://www.football-lab.jp/ngsk/report/?year=2018&month=10&date=06
H,磐田,D,0,0,13,8,2,2,0,0,394,270,26,12,20,8,4,1,5,5,27,29,11,8,22,22,29,40,1,0,1,4,0,0,0,0,43,20,16,12,"108,436m","109,819m",162,167,135,128,9.6%,6.3%,53.8%,46.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=10&date=21
A,鳥栖,L,0,1,10,14,2,6,0,0,368,270,19,21,19,22,1,4,6,3,20,16,13,11,24,20,38,28,1,0,4,1,3,3,0,0,43,31,7,12,"114,198m","116,746m",194,177,131,132,7.6%,10.6%,56.8%,43.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=11&date=04
H,横浜FM,L,0,1,17,8,5,2,1,0,548,195,31,8,11,10,2,8,10,4,33,22,20,8,16,16,19,37,3,1,8,2,0,2,0,0,46,17,23,7,"112,289m","114,533m",177,205,127,122,13.4%,6.6%,64.9%,35.1%,https://www.football-lab.jp/ngsk/report/?year=2018&month=11&date=10
A,Ｇ大阪,L,1,2,18,20,6,5,0,0,536,386,13,21,9,15,2,2,4,6,19,19,15,21,31,35,37,18,3,2,2,2,0,0,0,0,51,48,14,17,"112,844m","113,014m",205,187,112,123,16.1%,16.3%,56.1%,43.9%,https://www.football-lab.jp/ngsk/report/?year=2018&month=11&date=24
H,清水,D,4,4,18,19,8,9,1,1,461,410,20,17,9,15,1,1,4,7,16,22,8,12,16,15,37,21,2,2,1,1,2,1,0,0,53,34,15,14,"115,104m","116,889m",192,195,117,131,15.4%,14.5%,50.8%,49.2%,https://www.football-lab.jp/ngsk/report/?year=2018&month=12&date=01
