HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,柏,W,1,0,9,14,3,2,0,0,452,402,22,14,13,17,1,2,7,5,24,22,13,17,28,18,23,33,4,2,2,1,2,4,0,1,39,34,8,9,"112,714m","108,515m",169,163,123,120,7.3%,11.7%,52%,48%,https://www.football-lab.jp/send/report/?year=2018&month=02&date=25
A,FC東京,W,1,0,6,15,2,4,0,0,459,387,12,19,18,14,2,4,3,4,32,26,10,14,26,27,34,27,4,1,4,2,0,1,0,0,38,32,5,14,"109,918m","112,111m",117,156,139,126,4.3%,11.9%,51.7%,48.3%,https://www.football-lab.jp/send/report/?year=2018&month=03&date=03
H,神戸,D,1,1,13,7,3,1,0,0,644,299,26,13,21,15,0,0,6,6,32,14,19,10,31,28,23,47,1,1,0,0,1,3,0,0,63,28,11,10,"117,257m","115,302m",135,162,149,124,8.7%,5.6%,63.4%,36.6%,https://www.football-lab.jp/send/report/?year=2018&month=03&date=10
A,清水,D,1,1,12,10,6,2,0,0,613,329,26,13,19,16,3,2,10,3,23,26,25,9,24,33,36,49,1,5,2,3,1,0,0,0,57,28,20,12,"118,105m","119,145m",141,167,151,143,7.9%,7.0%,60.5%,39.5%,https://www.football-lab.jp/send/report/?year=2018&month=03&date=18
H,長崎,W,1,0,8,14,1,3,0,0,374,418,17,25,19,19,1,1,3,4,23,32,15,24,35,34,41,33,3,3,1,1,1,2,0,0,26,39,8,17,"114,597m","120,498m",159,192,137,143,5.8%,9.8%,45%,55%,https://www.football-lab.jp/send/report/?year=2018&month=03&date=31
A,浦和,L,0,1,9,11,1,4,0,0,602,447,22,12,10,14,3,2,5,5,21,14,12,17,21,17,21,35,1,3,2,3,1,0,0,0,62,37,15,12,"114,776m","117,204m",141,152,123,118,7.3%,9.3%,54.4%,45.6%,https://www.football-lab.jp/send/report/?year=2018&month=04&date=07
A,名古屋,W,3,2,14,12,4,3,0,1,381,618,10,18,13,16,1,4,3,5,18,24,11,12,31,16,25,16,2,3,4,1,0,4,1,0,35,41,11,12,"119,148m","123,558m",151,179,127,131,11.0%,9.2%,43.9%,56.1%,https://www.football-lab.jp/send/report/?year=2018&month=04&date=11
H,川崎Ｆ,D,0,0,10,5,2,1,0,0,447,615,16,5,21,17,4,1,4,5,26,18,14,9,23,33,20,25,2,2,1,4,0,2,0,0,38,64,12,13,"119,669m","113,558m",171,172,136,126,7.4%,4.0%,43.6%,56.4%,https://www.football-lab.jp/send/report/?year=2018&month=04&date=14
H,磐田,L,0,3,11,14,1,6,0,0,577,302,19,9,10,12,3,3,9,2,22,18,17,11,20,37,21,23,0,1,3,3,1,2,0,0,53,25,13,12,"109,692m","113,333m",149,175,130,127,8.5%,11.0%,61.2%,38.8%,https://www.football-lab.jp/send/report/?year=2018&month=04&date=21
A,Ｃ大阪,L,1,2,9,25,3,12,0,0,471,442,21,18,15,18,2,1,5,9,14,22,17,19,21,14,25,26,1,3,1,2,1,2,0,0,44,49,11,21,"115,885m","118,337m",146,188,116,128,7.8%,19.5%,52.2%,47.8%,https://www.football-lab.jp/send/report/?year=2018&month=04&date=25
