HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,FC東京,D,1,1,6,11,3,4,0,0,354,680,6,23,11,12,2,1,0,5,25,28,4,19,25,37,21,8,2,0,2,2,1,1,0,0,25,55,5,21,"114,303m","110,084m",157,130,115,118,5.2%,9.3%,39.9%,60.1%,https://www.football-lab.jp/uraw/report/?year=2018&month=02&date=24
H,広島,L,1,2,10,13,4,6,0,0,290,616,5,16,17,23,2,3,3,3,31,21,10,17,25,19,23,24,3,2,3,2,1,3,0,0,30,47,8,13,"115,937m","112,252m",156,162,125,124,8.0%,10.5%,34.7%,65.3%,https://www.football-lab.jp/uraw/report/?year=2018&month=03&date=04
A,長崎,D,1,1,8,16,3,5,1,0,246,669,15,16,8,27,2,3,3,5,11,26,16,18,34,24,28,16,4,4,3,2,1,0,0,0,26,68,9,25,"123,570m","116,020m",186,180,118,136,6.8%,11.8%,38.2%,61.8%,https://www.football-lab.jp/uraw/report/?year=2018&month=03&date=10
H,横浜FM,L,0,1,11,10,6,5,0,0,603,361,14,13,19,18,8,0,9,4,14,20,25,13,15,27,19,20,1,9,0,8,4,2,0,0,57,26,17,9,"117,814m","114,229m",201,229,125,115,8.8%,8.7%,59%,41%,https://www.football-lab.jp/uraw/report/?year=2018&month=03&date=18
A,磐田,L,1,2,12,8,6,3,0,1,417,630,13,13,13,4,2,3,5,4,23,32,10,9,28,16,14,24,1,0,3,2,1,0,0,0,34,27,15,5,"117,784m","113,397m",172,163,117,118,10.3%,6.8%,43.2%,56.8%,https://www.football-lab.jp/uraw/report/?year=2018&month=04&date=01
H,仙台,W,1,0,9,11,1,4,0,0,602,447,22,12,10,14,3,2,5,5,21,14,12,17,21,17,21,35,1,3,2,3,1,0,0,0,62,37,15,12,"114,776m","117,204m",141,152,123,118,7.3%,9.3%,54.4%,45.6%,https://www.football-lab.jp/uraw/report/?year=2018&month=04&date=07
A,神戸,W,3,2,11,12,3,6,0,0,673,389,16,18,7,17,4,1,6,6,21,22,14,13,18,20,18,21,1,0,1,4,2,0,0,0,46,34,10,12,"119,925m","121,186m",160,146,109,110,10.1%,10.9%,61.7%,38.3%,https://www.football-lab.jp/uraw/report/?year=2018&month=04&date=11
H,清水,W,2,1,10,11,3,4,0,0,508,597,16,12,13,11,1,0,2,2,24,20,13,10,19,23,21,18,0,2,0,1,1,0,0,0,34,39,7,12,"112,911m","113,271m",153,152,118,118,8.5%,9.3%,46.8%,53.2%,https://www.football-lab.jp/uraw/report/?year=2018&month=04&date=15
H,札幌,D,0,0,9,16,5,5,0,0,468,510,14,20,8,26,2,1,2,10,22,13,14,21,19,16,36,14,2,1,1,2,2,0,0,0,31,52,12,17,"112,734m","109,966m",129,146,106,116,8.5%,13.8%,50.3%,49.7%,https://www.football-lab.jp/uraw/report/?year=2018&month=04&date=21
A,柏,L,0,1,14,11,6,4,0,0,470,417,17,19,16,15,3,1,2,9,27,32,14,9,16,19,34,13,4,2,1,3,0,0,0,0,41,39,9,13,"112,484m","113,149m",211,173,142,147,9.9%,7.5%,54%,46%,https://www.football-lab.jp/uraw/report/?year=2018&month=04&date=25
