HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,Ｃ大阪,D,1,1,14,17,3,4,0,0,362,531,17,20,9,12,6,7,8,4,37,26,8,22,22,20,23,39,3,2,7,6,2,0,0,0,33,52,15,11,"117,391m","118,627m",213,204,145,138,9.7%,12.3%,42%,58%,https://www.football-lab.jp/y-fm/report/?year=2018&month=02&date=25
A,柏,L,0,2,15,14,2,1,0,0,363,740,8,27,8,11,0,4,3,5,35,26,16,21,30,28,32,25,4,0,4,0,2,0,0,0,30,76,11,16,"123,143m","124,723m",192,176,138,133,10.9%,10.5%,36.4%,63.6%,https://www.football-lab.jp/y-fm/report/?year=2018&month=03&date=02
H,鳥栖,L,1,2,15,10,4,4,1,0,208,649,9,18,14,17,3,2,7,3,28,31,15,18,36,34,20,16,1,0,2,3,3,3,0,0,26,40,9,16,"113,658m","116,089m",179,170,123,125,12.2%,8.0%,32.7%,67.3%,https://www.football-lab.jp/y-fm/report/?year=2018&month=03&date=10
A,浦和,W,1,0,10,11,5,6,0,0,361,603,13,14,18,19,0,8,4,9,20,14,13,25,27,15,20,19,9,1,8,0,2,4,0,0,26,57,9,17,"114,229m","117,814m",229,201,115,125,8.7%,8.8%,41%,59%,https://www.football-lab.jp/y-fm/report/?year=2018&month=03&date=18
A,清水,W,1,0,11,12,3,4,0,0,404,575,30,12,15,10,0,4,7,7,26,21,10,15,24,20,22,28,5,2,4,0,2,3,0,0,39,49,21,13,"122,191m","123,329m",206,219,133,138,8.3%,8.7%,43.6%,56.4%,https://www.football-lab.jp/y-fm/report/?year=2018&month=03&date=31
H,川崎Ｆ,D,1,1,22,12,7,1,0,0,615,542,22,23,12,11,1,4,4,5,25,18,13,23,34,25,22,23,0,1,4,1,0,0,0,0,79,52,21,16,"112,802m","122,380m",205,234,124,128,17.7%,9.4%,49.2%,50.8%,https://www.football-lab.jp/y-fm/report/?year=2018&month=04&date=08
A,広島,L,1,3,18,5,10,2,1,1,313,709,15,18,13,12,3,6,6,5,26,12,11,13,26,18,15,14,7,2,6,3,0,1,0,0,26,53,13,12,"119,631m","117,891m",187,195,136,120,13.2%,4.2%,36%,64%,https://www.football-lab.jp/y-fm/report/?year=2018&month=04&date=11
H,神戸,L,1,2,10,19,3,5,0,0,310,649,12,27,15,18,1,4,4,13,21,15,7,15,33,25,30,21,2,3,4,1,0,1,0,0,26,76,11,30,"115,553m","120,104m",183,202,131,144,7.6%,13.2%,38.7%,61.3%,https://www.football-lab.jp/y-fm/report/?year=2018&month=04&date=15
H,湘南,D,4,4,11,22,5,5,0,0,300,720,9,38,10,15,2,3,3,13,11,25,7,24,25,17,43,9,2,1,3,2,1,2,0,0,20,81,9,33,"117,506m","116,912m",158,182,118,144,9.3%,15.3%,33.8%,66.2%,https://www.football-lab.jp/y-fm/report/?year=2018&month=04&date=21
A,札幌,L,1,2,12,17,4,6,0,0,300,621,10,30,17,22,0,3,1,12,18,22,9,19,23,20,41,17,1,1,3,0,2,1,0,0,27,49,8,19,"117,237m","116,566m",200,206,120,134,10.0%,12.7%,38.7%,61.3%,https://www.football-lab.jp/y-fm/report/?year=2018&month=04&date=25
H,鹿島,W,3,0,18,8,7,3,0,0,404,420,18,18,13,17,2,7,11,3,43,27,20,16,27,39,29,30,1,5,7,2,2,1,0,0,62,31,19,12,"112,171m","120,240m",206,197,162,152,11.1%,5.3%,48.4%,51.6%,https://www.football-lab.jp/y-fm/report/?year=2018&month=04&date=28
H,磐田,L,1,3,16,11,5,3,0,1,233,714,9,25,15,12,2,4,4,4,13,26,9,20,20,7,41,14,4,0,4,2,2,0,1,0,30,52,11,18,"112,843m","113,757m",160,200,105,112,15.2%,9.8%,33.8%,66.2%,https://www.football-lab.jp/y-fm/report/?year=2018&month=05&date=02
A,名古屋,D,1,1,8,16,3,5,0,0,379,563,14,24,17,17,2,3,2,3,28,29,16,20,32,24,17,34,4,3,3,2,2,1,0,0,44,54,14,22,"120,774m","120,644m",160,184,127,135,6.3%,11.9%,41.5%,58.5%,https://www.football-lab.jp/y-fm/report/?year=2018&month=05&date=05
H,Ｇ大阪,D,1,1,9,18,3,6,0,0,332,685,10,25,7,24,0,7,3,8,17,18,6,22,20,13,28,12,3,2,7,0,0,0,0,0,25,73,8,22,"116,909m","117,832m",191,195,106,123,8.5%,14.6%,36.3%,63.7%,https://www.football-lab.jp/y-fm/report/?year=2018&month=05&date=12
H,長崎,W,5,2,10,17,4,10,0,1,247,557,14,15,16,16,3,7,4,5,21,15,10,9,13,13,15,17,0,1,7,3,0,2,0,0,24,44,10,16,"112,815m","109,423m",145,152,118,122,8.5%,13.9%,35.3%,64.7%,https://www.football-lab.jp/y-fm/report/?year=2018&month=05&date=19
A,仙台,W,8,2,12,22,4,14,0,0,415,541,18,19,16,18,1,3,7,4,29,20,8,18,19,14,19,29,0,1,3,1,2,1,0,0,41,44,14,17,"116,009m","118,409m",146,184,124,113,9.7%,19.5%,45.5%,54.5%,https://www.football-lab.jp/y-fm/report/?year=2018&month=07&date=18
A,FC東京,L,2,5,19,8,8,4,0,1,246,683,6,32,7,15,1,0,7,8,8,20,9,19,23,12,24,11,1,1,0,1,1,0,0,0,27,66,13,20,"109,049m","106,851m",171,158,91,105,20.9%,7.6%,33.9%,66.1%,https://www.football-lab.jp/y-fm/report/?year=2018&month=07&date=22
H,広島,L,1,4,18,22,7,8,1,0,290,621,11,21,8,18,3,3,7,5,10,13,5,21,16,16,19,10,1,0,3,3,1,3,0,0,33,68,18,15,"109,000m","106,979m",109,125,97,104,18.6%,21.2%,33.7%,66.3%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=01
A,川崎Ｆ,L,0,2,14,6,4,0,0,0,589,409,11,22,14,12,0,0,2,6,25,28,11,24,34,28,27,13,2,6,0,0,2,2,0,0,52,43,12,12,"102,299m","109,982m",157,155,115,124,12.2%,4.8%,53.4%,46.6%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=05
A,湘南,W,1,0,16,14,6,3,0,0,330,527,19,19,6,17,7,2,9,6,22,30,13,17,23,23,17,20,5,1,2,7,1,0,0,0,40,34,15,19,"116,357m","110,121m",232,181,125,139,12.8%,10.1%,39.6%,60.4%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=11
H,名古屋,L,1,2,8,19,4,5,0,0,369,583,7,22,26,14,1,5,4,4,10,18,11,9,16,21,20,16,8,1,5,1,3,1,0,0,22,67,10,20,"108,994m","108,811m",112,134,126,113,6.3%,16.8%,40.1%,59.9%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=15
A,鹿島,L,0,1,15,10,4,0,0,0,304,564,15,20,18,12,0,2,9,8,20,28,20,13,26,21,31,24,1,2,2,0,2,1,0,0,39,43,15,13,"112,196m","113,794m",200,159,111,116,13.5%,8.6%,37.5%,62.5%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=19
A,神戸,W,2,0,19,9,4,3,0,0,571,341,21,14,17,8,3,3,7,6,21,19,13,13,24,20,23,35,1,1,3,3,0,2,0,0,59,27,17,8,"104,279m","112,949m",140,149,126,122,15.1%,7.4%,60.5%,39.5%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=26
H,清水,L,1,2,12,20,5,7,0,0,299,570,18,27,14,9,1,1,3,12,19,27,16,18,21,29,32,11,7,5,1,0,2,4,0,1,40,56,12,22,"109,600m","110,250m",165,178,116,127,10.3%,15.7%,38.1%,61.9%,https://www.football-lab.jp/y-fm/report/?year=2018&month=08&date=29
H,柏,W,3,1,13,17,1,6,0,0,423,559,16,18,15,14,3,5,8,7,17,12,18,18,13,16,26,24,3,4,4,3,1,1,0,0,36,40,20,15,"107,716m","114,539m",163,171,105,98,12.4%,17.3%,43.8%,56.2%,https://www.football-lab.jp/y-fm/report/?year=2018&month=09&date=01
H,浦和,L,1,2,9,17,6,6,0,0,263,573,4,24,16,17,3,5,5,9,18,28,7,20,25,18,46,19,5,3,5,3,2,4,0,0,22,60,10,17,"106,234m","108,806m",129,160,109,117,8.3%,14.5%,37.4%,62.6%,https://www.football-lab.jp/y-fm/report/?year=2018&month=09&date=16
A,磐田,W,2,1,15,16,3,5,0,0,411,435,22,9,18,10,5,3,6,2,24,19,9,9,17,20,17,26,3,1,3,3,2,3,0,1,40,29,12,14,"109,985m","109,479m",141,143,121,108,12.4%,14.8%,46.3%,53.7%,https://www.football-lab.jp/y-fm/report/?year=2018&month=09&date=22
H,仙台,W,5,2,10,21,2,13,1,0,443,465,17,14,9,20,2,3,2,3,13,24,15,21,34,19,21,20,2,2,3,2,1,2,0,0,43,46,13,16,"115,369m","119,355m",145,171,117,127,8.5%,16.5%,46.9%,53.1%,https://www.football-lab.jp/y-fm/report/?year=2018&month=09&date=29
H,札幌,W,2,1,8,18,1,9,0,0,464,489,15,21,17,19,4,3,3,6,18,17,12,19,26,17,30,24,1,2,3,4,4,1,0,0,31,50,8,23,"115,218m","116,997m",167,176,118,129,6.8%,14.0%,45.6%,54.4%,https://www.football-lab.jp/y-fm/report/?year=2018&month=10&date=05
A,Ｇ大阪,L,1,2,11,18,4,3,0,0,385,713,6,11,9,12,2,3,3,5,23,26,7,16,35,21,38,16,2,2,3,2,2,0,0,0,19,43,5,14,"113,505m","114,501m",129,141,129,139,8.5%,12.9%,38.9%,61.1%,https://www.football-lab.jp/y-fm/report/?year=2018&month=10&date=20
H,FC東京,L,0,1,6,8,3,0,0,0,292,647,9,22,14,12,1,3,6,3,23,26,12,20,33,21,36,14,6,4,3,1,2,2,0,0,25,54,11,8,"116,300m","118,684m",191,174,136,130,4.4%,6.2%,35.6%,64.4%,https://www.football-lab.jp/y-fm/report/?year=2018&month=11&date=03
A,長崎,W,1,0,8,17,2,5,0,1,195,548,8,31,10,11,8,2,4,10,22,33,8,20,16,16,37,19,1,3,2,8,2,0,0,0,17,46,7,23,"114,533m","112,289m",205,177,122,127,6.6%,13.4%,35.1%,64.9%,https://www.football-lab.jp/y-fm/report/?year=2018&month=11&date=10
A,鳥栖,L,1,2,13,4,4,3,1,0,334,480,27,20,17,12,5,3,8,3,27,20,15,11,27,20,22,36,2,4,3,5,3,1,0,0,39,42,17,11,"115,660m","116,724m",172,165,145,137,9.0%,2.9%,42.2%,57.8%,https://www.football-lab.jp/y-fm/report/?year=2018&month=11&date=24
H,Ｃ大阪,L,1,2,24,21,12,6,0,0,377,536,15,26,14,15,3,2,5,6,15,23,11,15,14,13,35,18,4,3,2,3,3,0,0,0,34,54,12,13,"115,417m","118,815m",198,165,124,137,19.4%,15.3%,42.1%,57.9%,https://www.football-lab.jp/y-fm/report/?year=2018&month=12&date=01
