HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,kasm_ゴール期待値,Opponent_ゴール期待値,kasm_シュート,Opponent_シュート,kasm_枠内シュート,Opponent_枠内シュート,kasm_PKによるシュート,Opponent_PKによるシュート,kasm_パス,Opponent_パス,kasm_クロス,Opponent_クロス,kasm_直接ＦＫ,Opponent_直接ＦＫ,kasm_間接ＦＫ,Opponent_間接ＦＫ,kasm_ＣＫ,Opponent_ＣＫ,kasm_スローイン,Opponent_スローイン,kasm_ドリブル,Opponent_ドリブル,kasm_タックル,Opponent_タックル,kasm_クリア,Opponent_クリア,kasm_インターセプト,Opponent_インターセプト,kasm_オフサイド,Opponent_オフサイド,kasm_警告,Opponent_警告,kasm_退場,Opponent_退場,kasm_３０ｍライン進入,Opponent_３０ｍライン進入,kasm_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasm_総移動距離,Opponent_総移動距離,kasm_スプリント,Opponent_スプリント,kasm_攻撃回数,Opponent_攻撃回数,kasm_チャンス構築率,Opponent_チャンス構築率,kasm_ボール保持率,Opponent_ボール保持率,URL
H,大分,L,1,2,2.864,1.259,21,11,5,6,0,0,581,513,31,6,18,10,2,0,7,4,30,15,18,4,14,21,10,39,4,2,0,2,0,1,0,0,67,19,21,12,"121,528m","123,675m",177,184,138,117,15.2%,9.4%,50.6%,49.4%,https://www.football-lab.jp/kasm/report/?year=2019&month=02&date=23
A,川崎Ｆ,D,1,1,0.671,2.473,8,20,1,6,0,0,316,852,5,23,9,9,1,1,0,7,10,24,9,14,25,15,23,17,5,4,1,1,2,1,0,0,29,91,11,20,"113,909m","110,671m",163,193,107,111,7.5%,18.0%,34.7%,65.3%,https://www.football-lab.jp/kasm/report/?year=2019&month=03&date=01
H,湘南,W,1,0,1.717,0.708,15,9,5,1,0,0,511,325,14,13,9,11,2,3,6,1,25,27,12,9,19,21,17,29,1,3,3,2,2,3,0,1,56,34,11,11,"106,516m","109,677m",175,212,118,113,12.7%,8.0%,57.5%,42.5%,https://www.football-lab.jp/kasm/report/?year=2019&month=03&date=09
A,札幌,W,3,1,1.558,2.28,14,13,5,4,0,0,372,518,14,16,11,10,1,4,1,8,13,23,14,21,30,12,28,18,2,1,4,1,1,1,0,0,34,34,14,12,"110,947m","113,828m",168,178,103,109,13.6%,11.9%,46.1%,53.9%,https://www.football-lab.jp/kasm/report/?year=2019&month=03&date=17
A,磐田,D,1,1,1.02,0.543,15,8,4,2,0,0,510,355,18,10,8,11,3,5,8,3,25,15,23,7,21,17,17,41,2,2,5,3,1,2,0,0,61,19,16,2,"107,489m","113,980m",166,186,126,117,11.9%,6.8%,58.3%,41.7%,https://www.football-lab.jp/kasm/report/?year=2019&month=03&date=30
H,名古屋,W,2,1,1.373,1.429,14,11,5,2,0,0,302,574,9,11,21,12,1,2,2,5,19,27,9,15,26,24,26,13,4,1,2,1,0,3,0,0,30,60,12,11,"108,541m","108,838m",183,165,142,137,9.9%,8.0%,42.1%,57.9%,https://www.football-lab.jp/kasm/report/?year=2019&month=04&date=05
A,FC東京,L,1,3,0.835,1.112,13,10,5,3,0,0,641,305,21,7,12,11,1,0,12,6,19,18,11,15,25,18,18,32,1,3,0,1,0,0,0,0,70,33,15,9,"109,192m","111,809m",161,176,128,118,10.2%,8.5%,64.6%,35.4%,https://www.football-lab.jp/kasm/report/?year=2019&month=04&date=14
H,仙台,W,1,0,1.343,1.022,12,11,1,1,0,0,534,354,22,18,10,14,0,0,7,3,25,25,11,14,24,19,24,30,2,3,0,0,0,1,0,0,58,38,17,6,"115,898m","111,234m",192,199,125,123,9.6%,8.9%,56.5%,43.5%,https://www.football-lab.jp/kasm/report/?year=2019&month=04&date=20
A,横浜FM,L,1,2,0.894,1.419,7,17,4,4,0,0,262,729,9,24,9,13,2,4,3,14,22,21,7,19,23,19,31,11,6,1,4,2,0,1,0,0,24,73,3,25,"111,357m","116,416m",189,200,121,133,5.8%,12.8%,32.4%,67.6%,https://www.football-lab.jp/kasm/report/?year=2019&month=04&date=28
H,清水,W,3,0,2.044,0.797,15,11,6,2,0,0,603,319,18,7,11,9,0,1,4,3,17,28,15,15,28,16,19,30,3,1,1,0,1,3,0,0,77,32,11,7,"112,308m","109,889m",200,167,112,111,13.4%,9.9%,58.5%,41.5%,https://www.football-lab.jp/kasm/report/?year=2019&month=05&date=03
