HOME/AWAY,Opponent,勝敗,mats_得点,mats_失点,Opponent_ゴール期待値,mats_ゴール期待値,Opponent_シュート,mats_シュート,Opponent_枠内シュート,mats_枠内シュート,Opponent_PKによるシュート,mats_PKによるシュート,Opponent_パス,mats_パス,Opponent_クロス,mats_クロス,Opponent_直接ＦＫ,mats_直接ＦＫ,Opponent_間接ＦＫ,mats_間接ＦＫ,Opponent_ＣＫ,mats_ＣＫ,Opponent_スローイン,mats_スローイン,Opponent_ドリブル,mats_ドリブル,Opponent_タックル,mats_タックル,Opponent_クリア,mats_クリア,Opponent_インターセプト,mats_インターセプト,Opponent_オフサイド,mats_オフサイド,Opponent_警告,mats_警告,Opponent_退場,mats_退場,Opponent_３０ｍライン進入,mats_３０ｍライン進入,Opponent_ペナルティエリア進入,mats_ペナルティエリア進入,Opponent_総移動距離,mats_総移動距離,Opponent_スプリント,mats_スプリント,Opponent_攻撃回数,mats_攻撃回数,Opponent_チャンス構築率,mats_チャンス構築率,Opponent_ボール保持率,mats_ボール保持率,URL
A,磐田,D,1,1,1.251,1.083,17,14,5,3,0,0,513,290,23,13,12,16,0,2,7,5,27,27,22,15,24,24,30,30,1,5,2,1,0,0,0,0,38,26,9,8,"115,630m","117,797m",167,185,138,142,12.3%,9.9%,59.3%,40.7%,https://www.football-lab.jp/mats/report/?year=2019&month=02&date=23
A,大分,W,1,0,0.507,1.546,4,14,0,6,0,0,713,284,8,12,11,11,1,3,0,4,27,18,5,10,19,22,22,17,1,2,2,1,1,1,0,0,38,21,7,8,"115,086m","119,729m",168,215,105,100,3.8%,14.0%,68%,32%,https://www.football-lab.jp/mats/report/?year=2019&month=03&date=02
H,浦和,L,0,1,1.271,1.767,7,10,2,2,1,0,360,345,13,14,9,13,5,5,6,8,29,35,10,11,17,14,41,27,5,0,5,3,1,1,0,0,19,21,5,4,"104,491m","106,928m",131,160,146,151,4.8%,6.6%,48.6%,51.4%,https://www.football-lab.jp/mats/report/?year=2019&month=03&date=09
A,広島,L,0,1,0.932,0.253,12,4,5,0,0,0,656,392,22,6,14,14,3,2,3,2,20,23,17,4,23,18,20,23,1,3,2,3,0,1,0,0,55,17,13,3,"114,642m","115,898m",177,198,123,118,9.8%,3.4%,59.6%,40.4%,https://www.football-lab.jp/mats/report/?year=2019&month=03&date=17
H,川崎Ｆ,L,0,2,1.979,0.199,17,4,4,0,0,0,705,277,13,12,17,12,2,2,5,1,26,29,15,14,24,30,15,22,3,3,2,2,0,3,0,0,68,16,23,3,"106,518m","110,887m",159,154,141,135,12.1%,3.0%,66.8%,33.2%,https://www.football-lab.jp/mats/report/?year=2019&month=03&date=31
H,神戸,W,2,1,2.167,1.567,13,13,7,4,0,0,637,224,38,11,13,13,1,2,7,7,28,18,26,14,30,40,19,26,5,5,2,1,2,1,0,0,73,22,21,11,"111,051m","120,763m",151,176,129,123,10.1%,10.6%,67.3%,32.7%,https://www.football-lab.jp/mats/report/?year=2019&month=04&date=06
A,湘南,D,1,1,0.808,0.745,10,10,2,2,0,0,415,316,20,20,13,11,2,2,4,7,30,29,13,18,26,33,32,25,1,2,2,2,2,1,0,0,34,29,12,11,"117,865m","117,099m",201,209,133,135,7.5%,7.4%,53.2%,46.8%,https://www.football-lab.jp/mats/report/?year=2019&month=04&date=14
H,鳥栖,W,1,0,0.853,0.559,11,12,3,3,0,0,572,217,30,10,13,8,3,2,7,2,28,27,23,16,22,25,16,49,1,1,2,3,0,1,0,0,50,20,12,7,"111,539m","113,631m",135,176,131,118,8.4%,10.2%,65.2%,34.8%,https://www.football-lab.jp/mats/report/?year=2019&month=04&date=20
A,FC東京,L,0,2,1.764,0.452,12,11,5,5,1,0,484,385,13,15,12,11,2,1,10,5,21,32,13,15,24,24,27,29,0,4,1,2,1,3,0,0,38,26,19,4,"105,525m","108,674m",167,174,115,119,10.4%,9.2%,55.1%,44.9%,https://www.football-lab.jp/mats/report/?year=2019&month=04&date=28
H,Ｃ大阪,L,0,2,2.061,0.98,21,10,5,2,0,0,454,299,17,16,15,10,1,1,3,6,15,25,12,15,35,15,33,25,1,1,1,0,0,0,0,0,39,28,12,10,"114,282m","116,011m",144,189,116,112,18.1%,8.9%,57.6%,42.4%,https://www.football-lab.jp/mats/report/?year=2019&month=05&date=04
H,札幌,D,0,0,1.074,1.393,11,14,3,3,0,0,529,358,22,16,8,10,1,0,6,8,18,21,20,18,19,27,19,19,0,3,0,1,0,0,0,0,43,34,19,13,"109,754m","111,554m",155,193,107,113,10.3%,12.4%,56.6%,43.4%,https://www.football-lab.jp/mats/report/?year=2019&month=05&date=12
A,鹿島,L,0,5,2.161,0.607,14,6,7,3,0,0,557,325,17,3,12,9,3,3,10,0,25,23,14,10,27,26,8,36,2,2,3,3,0,1,0,0,45,17,10,7,"111,830m","110,735m",196,167,125,104,11.2%,5.8%,60.6%,39.4%,https://www.football-lab.jp/mats/report/?year=2019&month=05&date=18
A,名古屋,W,1,0,1.317,0.592,12,9,1,2,0,0,751,252,9,1,20,7,4,2,4,7,29,12,20,6,19,25,14,35,3,4,2,4,1,2,0,0,52,12,19,3,"108,735m","112,767m",114,152,133,107,9.0%,8.4%,67.4%,32.6%,https://www.football-lab.jp/mats/report/?year=2019&month=05&date=26
H,清水,D,1,1,2.59,1.844,12,9,3,3,1,1,463,434,11,13,11,9,1,3,3,3,19,21,10,14,15,11,31,22,4,0,3,1,3,1,0,0,28,40,6,9,"109,366m","115,227m",150,166,113,122,10.6%,7.4%,50%,50%,https://www.football-lab.jp/mats/report/?year=2019&month=06&date=01
H,仙台,L,0,1,1.473,1.776,11,12,6,4,0,0,446,483,22,19,10,13,3,0,5,0,24,22,14,13,20,19,32,22,2,2,0,3,0,0,0,0,39,46,15,13,"112,222m","117,490m",157,183,124,122,8.9%,9.8%,49.4%,50.6%,https://www.football-lab.jp/mats/report/?year=2019&month=06&date=15
A,横浜FM,L,0,1,1.084,0.353,13,7,4,0,0,0,744,219,12,11,13,7,3,1,10,6,29,30,14,2,26,34,23,21,1,4,1,3,1,1,0,0,49,12,12,5,"110,440m","114,255m",154,179,128,115,10.2%,6.1%,71.1%,28.9%,https://www.football-lab.jp/mats/report/?year=2019&month=06&date=22
H,Ｇ大阪,L,1,3,1.96,1.747,17,18,7,9,0,0,635,289,15,12,15,5,3,1,4,4,24,27,15,12,15,26,26,26,1,2,0,3,0,3,0,0,53,32,10,11,"110,810m","115,107m",159,205,128,120,13.3%,15.0%,62.4%,37.6%,https://www.football-lab.jp/mats/report/?year=2019&month=06&date=29
A,札幌,D,1,1,2.344,1.468,16,15,3,4,0,0,522,366,18,13,14,11,3,3,7,3,17,20,17,19,25,16,24,25,1,2,3,3,1,1,0,0,53,33,19,6,"109,185m","112,987m",135,167,124,125,12.9%,12.0%,56.5%,43.5%,https://www.football-lab.jp/mats/report/?year=2019&month=07&date=07
H,磐田,L,0,1,1.655,1.042,16,11,3,2,0,0,407,310,13,7,15,9,3,2,4,8,13,32,10,12,19,18,27,23,3,2,1,3,0,2,0,0,44,27,15,6,"103,098m","106,304m",156,183,115,123,13.9%,8.9%,54.7%,45.3%,https://www.football-lab.jp/mats/report/?year=2019&month=07&date=13
H,広島,D,2,2,1.263,0.72,14,10,5,4,0,0,640,386,15,8,8,14,2,1,4,4,22,15,13,7,16,19,16,22,5,1,0,2,3,0,0,0,42,12,17,4,"106,447m","113,005m",143,172,111,110,12.6%,9.1%,61.5%,38.5%,https://www.football-lab.jp/mats/report/?year=2019&month=07&date=20
A,川崎Ｆ,D,0,0,1.155,0.511,14,9,1,2,0,0,868,318,19,12,8,8,0,1,1,4,18,7,11,9,16,24,7,16,0,3,1,0,0,1,0,0,79,20,21,6,"102,523m","112,958m",99,110,99,93,14.1%,9.7%,68.1%,31.9%,https://www.football-lab.jp/mats/report/?year=2019&month=08&date=04
A,清水,L,0,1,1.887,0.779,14,6,2,1,0,0,378,489,14,22,15,5,3,2,5,8,17,18,6,9,19,18,28,16,3,0,2,3,3,1,0,0,26,32,5,8,"104,200m","108,962m",108,127,101,104,13.9%,5.8%,45.7%,54.3%,https://www.football-lab.jp/mats/report/?year=2019&month=08&date=10
H,名古屋,D,1,1,0.632,0.985,9,15,7,6,0,0,734,274,16,12,11,16,5,1,6,2,20,15,18,8,17,23,20,33,2,3,1,3,0,1,0,0,49,23,16,8,"103,558m","109,906m",86,122,113,106,8.0%,14.2%,66.6%,33.4%,https://www.football-lab.jp/mats/report/?year=2019&month=08&date=18
A,浦和,W,2,1,1.529,0.677,16,12,3,5,0,0,668,378,17,12,11,12,0,3,3,8,15,16,19,6,12,14,23,24,1,2,2,0,1,1,0,0,49,19,16,10,"109,188m","115,124m",139,129,103,115,15.5%,10.4%,61.7%,38.3%,https://www.football-lab.jp/mats/report/?year=2019&month=08&date=23
H,大分,D,0,0,0.873,0.339,16,8,5,2,0,0,842,294,22,6,6,3,4,2,5,1,22,12,9,2,17,18,10,26,1,2,2,3,0,1,0,0,49,17,13,5,"106,876m","112,978m",133,135,104,86,15.4%,9.3%,70.8%,29.2%,https://www.football-lab.jp/mats/report/?year=2019&month=08&date=31
A,神戸,L,1,2,1.906,1.086,18,12,3,5,0,0,790,293,15,4,11,12,0,1,7,3,16,14,17,4,18,18,14,26,1,1,1,0,0,0,0,0,59,16,22,8,"107,803m","114,675m",145,165,106,103,17.0%,11.7%,69.2%,30.8%,https://www.football-lab.jp/mats/report/?year=2019&month=09&date=14
H,FC東京,D,0,0,1.033,0.509,13,10,2,2,0,0,559,270,23,9,12,10,4,2,7,2,17,18,17,2,19,22,11,21,2,1,1,4,1,1,0,0,59,20,17,12,"101,113m","105,697m",142,131,111,107,11.7%,9.3%,62.6%,37.4%,https://www.football-lab.jp/mats/report/?year=2019&month=09&date=29
A,仙台,W,1,0,2.56,0.941,29,12,5,5,0,0,681,290,43,6,4,9,1,0,13,7,29,13,36,4,22,22,10,40,2,1,0,1,0,0,0,0,63,20,21,9,"112,291m","117,328m",105,144,121,113,24.0%,10.6%,63.5%,36.5%,https://www.football-lab.jp/mats/report/?year=2019&month=10&date=05
H,鹿島,D,1,1,1.494,0.948,11,13,3,5,1,0,719,261,17,9,13,13,3,0,5,2,18,15,17,8,16,27,16,25,0,5,0,3,2,0,0,0,64,22,12,4,"107,592m","115,416m",149,157,106,102,10.4%,12.7%,69.3%,30.7%,https://www.football-lab.jp/mats/report/?year=2019&month=10&date=18
A,Ｃ大阪,D,1,1,0.755,1.08,9,11,1,3,0,0,692,281,23,7,8,12,1,1,5,3,17,21,13,12,12,23,19,21,4,1,1,1,1,1,0,0,47,28,10,6,"114,768m","120,193m",152,174,112,108,8.0%,10.2%,67.1%,32.9%,https://www.football-lab.jp/mats/report/?year=2019&month=11&date=02
A,鳥栖,L,0,1,0.638,0.556,10,6,3,3,0,0,449,388,15,14,13,13,1,4,9,4,29,23,10,6,18,24,21,27,3,0,3,1,3,0,0,0,32,32,16,8,"111,216m","112,014m",146,132,133,114,7.5%,5.3%,53.3%,46.7%,https://www.football-lab.jp/mats/report/?year=2019&month=11&date=10
H,横浜FM,L,0,1,1.829,0.926,18,4,4,2,0,0,813,214,17,9,12,6,2,5,6,2,23,21,18,4,31,26,21,24,2,2,5,2,1,1,0,0,68,9,14,0,"117,304m","122,291m",176,182,133,129,13.5%,3.1%,72.8%,27.2%,https://www.football-lab.jp/mats/report/?year=2019&month=11&date=23
A,Ｇ大阪,L,1,4,2.949,1.881,23,18,6,6,0,0,731,408,15,11,8,14,1,0,8,7,18,20,14,15,16,29,21,17,5,1,0,1,2,1,0,0,43,41,13,12,"115,336m","118,691m",201,208,118,123,19.5%,14.6%,61.4%,38.6%,https://www.football-lab.jp/mats/report/?year=2019&month=11&date=30
H,湘南,D,1,1,0.829,1.441,12,24,2,10,0,0,372,414,13,16,9,18,4,2,5,3,19,28,12,17,20,32,33,21,1,1,2,4,1,2,0,0,25,36,8,19,"115,007m","117,586m",176,214,129,138,9.3%,17.4%,49.8%,50.2%,https://www.football-lab.jp/mats/report/?year=2019&month=12&date=07
