HOME/AWAY,Opponent,勝敗,oita_得点,oita_失点,Opponent_ゴール期待値,oita_ゴール期待値,Opponent_シュート,oita_シュート,Opponent_枠内シュート,oita_枠内シュート,Opponent_PKによるシュート,oita_PKによるシュート,Opponent_パス,oita_パス,Opponent_クロス,oita_クロス,Opponent_直接ＦＫ,oita_直接ＦＫ,Opponent_間接ＦＫ,oita_間接ＦＫ,Opponent_ＣＫ,oita_ＣＫ,Opponent_スローイン,oita_スローイン,Opponent_ドリブル,oita_ドリブル,Opponent_タックル,oita_タックル,Opponent_クリア,oita_クリア,Opponent_インターセプト,oita_インターセプト,Opponent_オフサイド,oita_オフサイド,Opponent_警告,oita_警告,Opponent_退場,oita_退場,Opponent_３０ｍライン進入,oita_３０ｍライン進入,Opponent_ペナルティエリア進入,oita_ペナルティエリア進入,Opponent_総移動距離,oita_総移動距離,Opponent_スプリント,oita_スプリント,Opponent_攻撃回数,oita_攻撃回数,Opponent_チャンス構築率,oita_チャンス構築率,Opponent_ボール保持率,oita_ボール保持率,URL
A,鹿島,W,2,1,2.864,1.259,21,11,5,6,0,0,581,513,31,6,18,10,2,0,7,4,30,15,18,4,14,21,10,39,4,2,0,2,0,1,0,0,67,19,21,12,"121,528m","123,675m",177,184,138,117,15.2%,9.4%,50.6%,49.4%,https://www.football-lab.jp/oita/report/?year=2019&month=02&date=23
H,松本,L,0,1,1.546,0.507,14,4,6,0,0,0,284,713,12,8,11,11,3,1,4,0,18,27,10,5,22,19,17,22,2,1,1,2,1,1,0,0,21,38,8,7,"119,729m","115,086m",215,168,100,105,14.0%,3.8%,32%,68%,https://www.football-lab.jp/oita/report/?year=2019&month=03&date=02
A,磐田,W,2,1,0.832,1.469,7,14,2,6,0,0,430,723,12,19,10,11,2,0,3,7,26,20,10,7,12,31,19,25,2,3,0,2,1,1,1,0,30,41,3,12,"115,597m","122,569m",163,193,106,121,6.6%,11.6%,38.4%,61.6%,https://www.football-lab.jp/oita/report/?year=2019&month=03&date=09
H,横浜FM,W,2,0,1.35,1.241,14,8,4,4,0,0,579,352,25,11,16,10,5,3,9,2,27,29,19,3,21,29,20,38,2,0,3,5,2,1,0,0,56,20,10,7,"118,262m","120,034m",186,204,135,121,10.4%,6.6%,57.8%,42.2%,https://www.football-lab.jp/oita/report/?year=2019&month=03&date=17
H,広島,L,0,1,0.494,0.706,5,7,2,0,0,0,438,801,12,13,8,5,0,0,2,2,21,20,8,6,15,12,18,18,1,3,0,0,0,1,0,0,25,51,7,8,"122,650m","118,113m",174,184,92,96,5.4%,7.3%,35.3%,64.7%,https://www.football-lab.jp/oita/report/?year=2019&month=03&date=30
A,札幌,W,2,1,1.644,0.756,19,5,4,2,0,0,692,371,17,14,10,16,3,2,6,5,21,11,12,9,19,17,13,34,5,3,1,2,1,1,0,0,54,17,18,7,"115,414m","115,094m",154,171,116,115,16.4%,4.3%,61.1%,38.9%,https://www.football-lab.jp/oita/report/?year=2019&month=04&date=06
H,仙台,W,2,0,1.224,0.698,16,6,4,5,0,0,528,617,19,18,8,5,1,1,8,7,12,15,14,7,16,14,15,25,3,5,1,1,0,0,0,0,48,35,11,20,"116,136m","120,841m",184,187,100,95,16.0%,6.3%,45.8%,54.2%,https://www.football-lab.jp/oita/report/?year=2019&month=04&date=14
A,Ｇ大阪,D,1,1,1.492,0.845,20,8,5,1,0,0,517,673,16,8,9,12,1,1,6,0,16,16,10,4,15,18,10,23,3,5,1,1,2,2,0,0,44,36,14,4,"112,639m","112,760m",158,195,92,95,21.7%,8.4%,41%,59%,https://www.football-lab.jp/oita/report/?year=2019&month=04&date=20
A,Ｃ大阪,D,0,0,1.412,0.551,11,7,1,1,0,0,454,681,11,23,10,10,2,1,3,2,24,16,11,5,11,10,23,18,2,1,1,2,0,0,0,0,34,45,14,8,"120,280m","115,188m",142,175,96,90,11.5%,7.8%,42.3%,57.7%,https://www.football-lab.jp/oita/report/?year=2019&month=04&date=27
H,鳥栖,W,2,0,0.572,2.046,4,13,1,2,0,0,410,613,10,16,11,6,1,2,4,6,17,19,13,5,18,20,17,17,3,5,1,1,1,0,0,0,34,36,6,11,"121,185m","121,572m",180,182,111,106,3.6%,12.3%,42.8%,57.2%,https://www.football-lab.jp/oita/report/?year=2019&month=05&date=04
