HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,湘南,L,0,2,1.313,1.098,12,11,6,2,0,0,330,573,15,23,11,21,1,1,5,4,19,22,18,16,25,34,33,22,5,1,1,1,1,2,0,0,28,52,12,16,"121,263m","115,321m",197,158,135,138,8.9%,8.0%,40.1%,59.9%,https://www.football-lab.jp/sapp/report/?year=2019&month=02&date=23
A,浦和,W,2,0,0.963,2.434,16,23,5,6,0,0,495,560,14,11,26,13,1,2,5,4,25,16,9,18,24,21,20,27,3,4,2,1,2,2,0,0,40,35,11,15,"114,489m","121,779m",177,175,137,122,11.7%,18.9%,47.3%,52.7%,https://www.football-lab.jp/sapp/report/?year=2019&month=03&date=02
H,清水,W,5,2,2.135,4.732,18,24,5,5,0,1,488,520,14,22,9,2,2,0,7,9,11,17,13,15,19,20,12,30,2,4,0,2,0,0,0,0,41,42,7,24,"115,892m","119,374m",169,155,112,111,16.1%,21.6%,49.6%,50.4%,https://www.football-lab.jp/sapp/report/?year=2019&month=03&date=09
H,鹿島,L,1,3,1.558,2.28,14,13,5,4,0,0,372,518,14,16,11,10,1,4,1,8,13,23,14,21,30,12,28,18,2,1,4,1,1,1,0,0,34,34,14,12,"110,947m","113,828m",168,178,103,109,13.6%,11.9%,46.1%,53.9%,https://www.football-lab.jp/sapp/report/?year=2019&month=03&date=17
A,名古屋,L,0,4,2.24,1.447,21,13,7,3,0,0,652,428,14,17,13,10,4,2,1,5,24,24,18,13,29,19,22,19,6,3,2,5,0,1,0,0,68,40,23,11,"115,659m","117,562m",196,186,140,139,15.0%,9.4%,54.2%,45.8%,https://www.football-lab.jp/sapp/report/?year=2019&month=03&date=30
H,大分,L,1,2,0.756,1.644,5,19,2,4,0,0,371,692,14,17,16,10,2,3,5,6,11,21,9,12,17,19,34,13,3,5,2,1,1,1,0,0,17,54,7,18,"115,094m","115,414m",171,154,115,116,4.3%,16.4%,38.9%,61.1%,https://www.football-lab.jp/sapp/report/?year=2019&month=04&date=06
A,Ｃ大阪,W,1,0,0.731,1.832,11,14,7,7,0,0,511,466,20,15,11,9,3,0,11,6,19,13,17,13,14,21,20,28,1,2,0,3,1,2,0,0,43,52,13,17,"113,201m","117,950m",159,186,106,93,10.4%,15.1%,53%,47%,https://www.football-lab.jp/sapp/report/?year=2019&month=04&date=13
H,横浜FM,W,3,0,0.706,1.932,10,14,2,7,0,0,688,300,6,14,19,14,6,3,5,4,17,14,13,25,23,39,13,27,1,4,3,6,0,0,0,0,53,19,7,15,"118,548m","118,655m",182,170,119,110,8.4%,12.7%,63.4%,36.6%,https://www.football-lab.jp/sapp/report/?year=2019&month=04&date=20
A,磐田,W,2,1,1.568,0.904,11,9,6,2,0,0,511,507,18,14,23,12,2,1,6,1,23,23,16,12,24,20,19,29,1,1,1,2,0,1,0,0,31,34,12,12,"119,759m","118,891m",191,172,130,119,8.5%,7.6%,48.7%,51.3%,https://www.football-lab.jp/sapp/report/?year=2019&month=04&date=28
H,神戸,W,2,1,1.602,1.975,13,17,7,6,1,0,515,404,13,27,13,10,3,0,3,8,12,13,11,17,13,15,21,21,2,3,0,3,6,2,0,0,40,45,10,23,"108,419m","113,547m",175,140,107,106,12.1%,16.0%,56.8%,43.2%,https://www.football-lab.jp/sapp/report/?year=2019&month=05&date=04
