HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_ゴール期待値,Opponent_ゴール期待値,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
H,浦和,D,0,0,0.479,0.922,8,10,3,2,0,0,287,650,8,19,18,21,2,1,2,2,15,17,16,7,21,26,28,16,2,1,1,2,2,2,0,0,24,46,6,10,"108,328m","107,747m",150,141,120,122,6.7%,8.2%,38.3%,61.7%,https://www.football-lab.jp/send/report/?year=2019&month=02&date=23
A,横浜FM,L,1,2,1.189,3.179,5,18,2,4,1,1,293,723,11,25,13,11,2,6,4,3,18,20,10,23,30,20,26,25,0,1,6,2,1,1,0,0,13,76,4,23,"112,457m","119,772m",153,211,121,117,4.1%,15.4%,33.6%,66.4%,https://www.football-lab.jp/send/report/?year=2019&month=03&date=02
H,神戸,L,1,3,2.181,2.283,20,17,6,9,0,0,442,710,11,18,12,15,3,1,5,10,11,15,2,11,24,23,10,25,1,5,1,3,0,2,0,0,43,39,14,17,"112,432m","109,364m",171,167,105,119,19.0%,14.3%,40.3%,59.7%,https://www.football-lab.jp/send/report/?year=2019&month=03&date=10
A,湘南,L,1,2,0.963,1.189,13,18,3,6,0,0,582,456,13,17,9,12,2,3,2,5,27,16,12,14,28,31,19,30,0,3,3,1,0,1,0,0,41,48,12,13,"120,039m","127,394m",158,194,132,123,9.8%,14.6%,54%,46%,https://www.football-lab.jp/send/report/?year=2019&month=03&date=17
H,Ｃ大阪,L,0,2,1.312,1.227,13,13,3,4,0,0,478,564,13,14,7,16,6,0,2,2,29,11,5,16,22,19,22,28,4,3,0,6,0,1,0,0,42,43,5,14,"117,480m","118,839m",154,179,135,128,9.6%,10.2%,45.7%,54.3%,https://www.football-lab.jp/send/report/?year=2019&month=03&date=30
H,鳥栖,W,3,0,2.76,0.989,16,10,6,4,1,0,304,478,13,10,14,14,1,2,9,3,14,26,19,10,15,20,30,36,3,1,2,1,0,0,0,0,34,39,10,7,"112,709m","112,944m",202,181,113,118,14.2%,8.5%,40.6%,59.4%,https://www.football-lab.jp/send/report/?year=2019&month=04&date=06
A,大分,L,0,2,1.224,0.698,16,6,4,5,0,0,528,617,19,18,8,5,1,1,8,7,12,15,14,7,16,14,15,25,3,5,1,1,0,0,0,0,48,35,11,20,"116,136m","120,841m",184,187,100,95,16.0%,6.3%,45.8%,54.2%,https://www.football-lab.jp/send/report/?year=2019&month=04&date=14
A,鹿島,L,0,1,1.022,1.343,11,12,1,1,0,0,354,534,18,22,14,10,0,0,3,7,25,25,14,11,19,24,30,24,3,2,0,0,1,0,0,0,38,58,6,17,"111,234m","115,898m",199,192,123,125,8.9%,9.6%,43.5%,56.5%,https://www.football-lab.jp/send/report/?year=2019&month=04&date=20
H,Ｇ大阪,W,2,1,1.324,0.965,18,10,11,2,0,0,478,435,20,20,9,11,2,2,6,6,20,32,19,16,17,30,31,39,3,1,1,2,0,2,0,0,44,33,13,19,"112,426m","113,400m",153,181,126,131,14.3%,7.6%,50.5%,49.5%,https://www.football-lab.jp/send/report/?year=2019&month=04&date=28
A,川崎Ｆ,L,1,3,0.969,3.151,9,14,5,5,0,1,390,786,14,22,10,10,0,3,4,3,13,15,7,20,21,15,18,15,0,3,3,0,1,0,0,0,26,82,10,30,"109,863m","110,817m",148,175,107,114,8.4%,12.3%,39.1%,60.9%,https://www.football-lab.jp/send/report/?year=2019&month=05&date=03
