HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_ゴール期待値,Opponent_ゴール期待値,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,L,0,4,0.845,1.777,9,15,5,7,0,0,360,672,12,13,11,23,3,2,3,6,16,17,9,12,24,20,25,20,4,2,2,2,2,2,0,0,27,63,8,13,"113,949m","114,265m",144,159,123,134,7.3%,11.2%,42.6%,57.4%,https://www.football-lab.jp/tosu/report/?year=2019&month=02&date=23
A,神戸,L,0,1,0.342,1.224,6,16,0,5,0,0,337,690,14,5,11,15,3,1,2,4,25,25,7,11,20,17,14,15,6,4,1,3,0,1,0,0,29,35,6,15,"115,643m","107,146m",162,166,106,108,5.7%,14.8%,35.3%,64.7%,https://www.football-lab.jp/tosu/report/?year=2019&month=03&date=02
A,FC東京,L,0,2,0.906,1.754,7,16,1,6,0,0,377,472,9,17,11,11,1,3,5,6,37,23,14,12,22,22,23,26,0,1,3,1,3,1,1,0,19,49,4,12,"108,897m","110,155m",151,160,138,121,5.1%,13.2%,45.7%,54.3%,https://www.football-lab.jp/tosu/report/?year=2019&month=03&date=10
H,磐田,W,1,0,1.278,1.11,11,13,2,2,0,0,362,429,25,15,14,18,2,1,7,3,15,26,20,12,19,16,23,24,0,1,1,2,2,1,1,0,29,42,14,9,"111,959m","114,354m",176,153,119,118,9.2%,11.0%,50%,50%,https://www.football-lab.jp/tosu/report/?year=2019&month=03&date=17
A,横浜FM,D,0,0,0.659,1.761,6,20,1,6,0,0,267,650,6,16,12,15,3,6,3,9,25,30,6,11,29,24,25,20,6,2,4,3,3,1,0,0,23,61,5,11,"123,453m","122,437m",230,198,138,147,4.3%,13.6%,34.4%,65.6%,https://www.football-lab.jp/tosu/report/?year=2019&month=03&date=29
A,仙台,L,0,3,0.989,2.76,10,16,4,6,0,1,478,304,10,13,14,14,2,1,3,9,26,14,10,19,20,15,36,30,1,3,1,2,0,0,0,0,39,34,7,10,"112,944m","112,709m",181,202,118,113,8.5%,14.2%,59.4%,40.6%,https://www.football-lab.jp/tosu/report/?year=2019&month=04&date=06
H,川崎Ｆ,L,0,1,0.84,0.649,9,9,2,4,0,0,404,641,18,11,14,12,3,1,4,5,32,13,18,8,20,20,20,27,2,3,1,2,2,3,0,0,34,45,7,12,"117,231m","110,956m",170,157,128,111,7.0%,8.1%,43.7%,56.3%,https://www.football-lab.jp/tosu/report/?year=2019&month=04&date=14
A,松本,L,0,1,0.853,0.559,11,12,3,3,0,0,572,217,30,10,13,8,3,2,7,2,28,27,23,16,22,25,16,49,1,1,2,3,0,1,0,0,50,20,12,7,"111,539m","113,631m",135,176,131,118,8.4%,10.2%,65.2%,34.8%,https://www.football-lab.jp/tosu/report/?year=2019&month=04&date=20
H,湘南,L,0,2,0.992,3.022,10,20,3,7,0,0,374,317,21,12,15,11,1,4,6,6,19,28,10,9,15,14,19,33,2,2,4,0,2,2,0,0,34,37,13,8,"105,466m","113,670m",159,186,131,134,7.6%,14.9%,55.9%,44.1%,https://www.football-lab.jp/tosu/report/?year=2019&month=04&date=28
A,大分,L,0,2,0.572,2.046,4,13,1,2,0,0,410,613,10,16,11,6,1,2,4,6,17,19,13,5,18,20,17,17,3,5,1,1,1,0,0,0,34,36,6,11,"121,185m","121,572m",180,182,111,106,3.6%,12.3%,42.8%,57.2%,https://www.football-lab.jp/tosu/report/?year=2019&month=05&date=04
H,Ｇ大阪,W,3,1,3.191,0.543,13,6,5,3,1,0,375,476,14,6,15,14,1,1,4,3,19,31,12,11,25,17,19,22,1,1,0,1,0,3,0,0,28,32,11,9,"109,381m","105,425m",172,144,113,120,11.5%,5.0%,47.9%,52.1%,https://www.football-lab.jp/tosu/report/?year=2019&month=05&date=11
A,広島,W,1,0,0.377,1.439,5,15,1,3,0,0,495,485,14,21,11,10,1,3,5,6,18,29,11,11,21,16,32,17,1,1,3,1,2,0,0,0,36,49,7,18,"113,034m","112,345m",149,115,104,116,4.8%,12.9%,51.2%,48.8%,https://www.football-lab.jp/tosu/report/?year=2019&month=05&date=17
H,鹿島,W,1,0,1.723,0.844,10,11,2,2,0,0,325,327,18,12,14,17,1,2,3,6,23,17,12,16,17,22,17,22,0,2,2,1,1,0,0,0,31,28,6,10,"107,605m","105,993m",189,143,113,113,8.8%,9.7%,48.3%,51.7%,https://www.football-lab.jp/tosu/report/?year=2019&month=05&date=26
H,Ｃ大阪,L,0,1,0.944,1.011,10,12,2,4,0,0,451,421,23,8,8,19,2,1,4,2,20,17,16,4,11,16,14,35,1,2,1,2,1,2,0,0,44,24,16,5,"113,670m","114,157m",150,109,96,102,10.4%,11.8%,52.2%,47.8%,https://www.football-lab.jp/tosu/report/?year=2019&month=06&date=01
A,浦和,L,1,2,1.386,1.129,12,15,4,6,0,0,344,483,18,8,15,14,3,1,5,4,24,26,20,9,12,17,23,30,4,0,1,3,1,3,0,0,34,28,10,11,"112,844m","109,327m",177,156,110,110,10.9%,13.6%,45.8%,54.2%,https://www.football-lab.jp/tosu/report/?year=2019&month=06&date=15
A,札幌,L,1,3,1.283,1.283,11,10,5,7,0,0,499,412,16,14,13,16,3,0,8,6,21,20,16,14,13,17,20,16,1,1,0,3,1,0,0,0,38,35,16,12,"113,014m","115,406m",182,173,116,109,9.5%,9.2%,57.3%,42.7%,https://www.football-lab.jp/tosu/report/?year=2019&month=06&date=22
H,清水,W,4,2,1.097,2.651,13,22,7,8,0,0,380,499,15,13,9,8,1,4,5,4,17,24,19,18,13,17,27,27,3,1,4,1,2,1,0,0,43,42,8,12,"116,738m","113,773m",143,127,114,112,11.4%,19.6%,47.6%,52.4%,https://www.football-lab.jp/tosu/report/?year=2019&month=06&date=30
A,川崎Ｆ,D,0,0,1.303,0.977,8,12,0,6,0,0,372,600,16,19,9,14,2,2,7,6,17,16,14,15,10,13,25,28,0,3,2,2,2,0,0,0,24,55,3,15,"105,900m","101,304m",92,101,93,94,8.6%,12.8%,46.2%,53.8%,https://www.football-lab.jp/tosu/report/?year=2019&month=07&date=07
H,広島,L,0,2,0.676,1.565,8,9,2,6,0,0,464,469,18,11,9,11,1,2,7,5,19,17,19,11,12,18,17,34,1,2,1,0,0,1,0,0,47,35,11,10,"111,012m","108,415m",135,121,105,96,7.6%,9.4%,53.8%,46.2%,https://www.football-lab.jp/tosu/report/?year=2019&month=07&date=13
A,鹿島,L,1,2,0.614,2.041,8,15,2,6,0,1,340,397,16,15,12,16,3,2,6,5,23,22,12,5,10,18,22,31,1,0,2,3,3,3,1,0,38,45,7,12,"108,874m","106,059m",150,155,98,103,8.2%,14.6%,48.7%,51.3%,https://www.football-lab.jp/tosu/report/?year=2019&month=07&date=20
H,大分,D,2,2,1.322,1.196,17,9,5,3,0,0,319,676,7,25,16,11,2,1,4,3,10,12,12,10,9,13,24,19,1,1,1,2,2,2,0,0,31,42,7,18,"110,899m","109,367m",137,144,86,83,19.8%,10.8%,36.5%,63.5%,https://www.football-lab.jp/tosu/report/?year=2019&month=08&date=04
A,Ｃ大阪,W,2,1,1.267,2.058,10,18,7,10,0,0,434,391,15,20,7,15,1,3,7,7,16,17,18,10,22,21,26,19,0,1,3,1,2,1,0,0,48,42,11,17,"109,530m","109,132m",131,103,101,107,9.9%,16.8%,53.6%,46.4%,https://www.football-lab.jp/tosu/report/?year=2019&month=08&date=11
A,湘南,W,3,2,2.75,2.276,18,23,7,9,0,0,383,304,16,22,14,11,0,2,4,7,27,15,13,9,21,19,25,32,1,2,2,0,1,2,0,0,29,33,16,13,"107,362m","108,049m",110,114,120,113,15.0%,20.4%,56.2%,43.8%,https://www.football-lab.jp/tosu/report/?year=2019&month=08&date=17
H,神戸,L,1,6,2.202,2.911,21,16,2,9,0,1,395,715,18,10,8,14,3,1,6,2,13,13,18,6,12,18,12,12,3,5,1,3,1,0,0,0,40,39,14,20,"113,027m","110,602m",129,139,94,101,22.3%,15.8%,40%,60%,https://www.football-lab.jp/tosu/report/?year=2019&month=08&date=23
H,仙台,W,2,1,2.475,0.994,22,13,7,3,1,0,498,336,27,13,6,11,1,3,8,4,21,14,21,7,8,23,19,42,1,2,3,1,2,0,0,0,58,32,19,11,"115,712m","109,991m",160,153,122,111,18.0%,11.7%,58.7%,41.3%,https://www.football-lab.jp/tosu/report/?year=2019&month=08&date=31
A,Ｇ大阪,L,0,1,1.809,0.802,18,13,6,7,0,0,411,601,19,19,9,13,2,1,6,8,20,25,9,9,16,23,27,30,2,0,1,2,0,1,0,0,40,40,14,12,"111,606m","109,069m",182,173,118,123,15.3%,10.6%,43.6%,56.4%,https://www.football-lab.jp/tosu/report/?year=2019&month=09&date=14
H,浦和,D,3,3,1.879,3.315,18,20,7,7,0,1,437,316,21,14,9,16,0,3,4,6,21,12,12,12,13,20,26,28,3,5,3,0,1,2,0,0,38,30,16,9,"108,250m","109,866m",118,114,111,119,16.2%,16.8%,58.2%,41.8%,https://www.football-lab.jp/tosu/report/?year=2019&month=09&date=28
H,FC東京,W,2,1,2.733,0.862,11,15,3,3,0,0,385,395,21,14,12,12,0,3,5,5,19,13,16,10,21,17,13,20,1,0,3,0,0,0,0,0,40,37,10,19,"108,084m","105,558m",158,154,111,115,9.9%,13.0%,50.9%,49.1%,https://www.football-lab.jp/tosu/report/?year=2019&month=10&date=05
A,磐田,D,2,2,0.999,1.139,8,15,5,3,0,0,351,525,17,22,12,13,1,6,5,4,21,17,14,14,17,14,22,30,3,3,5,1,1,3,0,0,25,39,13,9,"113,673m","111,336m",178,159,121,112,6.6%,13.4%,42.8%,57.2%,https://www.football-lab.jp/tosu/report/?year=2019&month=10&date=19
H,横浜FM,L,1,2,0.852,1.111,11,12,2,7,0,0,310,640,16,15,14,19,2,5,7,3,27,16,9,11,24,23,26,39,2,2,5,1,3,1,0,0,36,46,10,23,"115,967m","116,024m",181,183,126,120,8.7%,10.0%,39.6%,60.4%,https://www.football-lab.jp/tosu/report/?year=2019&month=11&date=02
H,松本,W,1,0,0.638,0.556,10,6,3,3,0,0,449,388,15,14,13,13,1,4,9,4,29,23,10,6,18,24,21,27,3,0,3,1,3,0,0,0,32,32,16,8,"111,216m","112,014m",146,132,133,114,7.5%,5.3%,53.3%,46.7%,https://www.football-lab.jp/tosu/report/?year=2019&month=11&date=10
A,名古屋,D,0,0,1.63,0.437,7,8,3,0,1,0,413,482,14,13,10,9,3,2,4,8,18,14,12,12,20,21,19,23,2,2,2,3,1,2,0,0,38,42,6,11,"106,131m","106,061m",134,111,105,100,6.7%,8.0%,50.7%,49.3%,https://www.football-lab.jp/tosu/report/?year=2019&month=11&date=23
H,札幌,L,0,2,1.381,0.862,12,12,4,6,0,0,538,446,28,14,16,10,1,2,11,2,20,11,16,9,23,22,11,33,0,1,2,1,0,2,0,0,55,35,18,7,"115,287m","115,306m",168,158,132,108,9.1%,11.1%,57.6%,42.4%,https://www.football-lab.jp/tosu/report/?year=2019&month=11&date=30
A,清水,L,0,1,1.269,0.83,8,11,0,5,0,0,373,400,19,19,10,15,3,2,4,2,27,26,19,16,12,31,18,25,1,1,2,3,1,0,0,0,35,36,8,8,"114,679m","113,711m",147,147,143,133,5.6%,8.3%,48.1%,51.9%,https://www.football-lab.jp/tosu/report/?year=2019&month=12&date=07
