HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,清水,W,3,1,0.821,2.526,16,12,5,6,0,2,551,303,14,13,10,8,1,1,5,6,22,24,28,10,20,32,14,19,0,3,1,1,0,1,0,0,50,30,16,12,"108,495m","106,227m",148,181,118,118,13.6%,10.2%,59.9%,40.1%,https://www.football-lab.jp/fctk/report/?year=2020&month=02&date=23
A,柏,W,1,0,0.727,1.866,10,11,1,4,0,0,483,383,9,7,14,12,2,2,2,5,24,23,10,13,19,19,16,20,3,3,2,2,3,1,1,0,56,31,10,8,"99,842m","105,034m",133,138,113,114,8.8%,9.6%,54.8%,45.2%,https://www.football-lab.jp/fctk/report/?year=2020&month=07&date=04
H,川崎Ｆ,L,0,4,2.322,0.751,17,12,6,3,0,0,600,370,6,10,12,15,4,1,6,8,20,18,12,19,29,20,21,19,2,3,1,4,1,0,0,0,59,43,24,13,"106,560m","104,235m",155,171,116,118,14.7%,10.2%,56.5%,43.5%,https://www.football-lab.jp/fctk/report/?year=2020&month=07&date=08
A,横浜FM,W,3,1,1.669,1.336,9,8,1,5,0,1,750,220,28,4,10,18,6,4,5,1,30,15,13,6,23,36,9,36,0,7,3,6,3,2,0,0,81,16,21,9,"114,399m","113,070m",150,213,141,140,6.4%,5.7%,65.1%,34.9%,https://www.football-lab.jp/fctk/report/?year=2020&month=07&date=12
H,浦和,W,2,0,0.658,2.13,9,13,1,3,0,0,522,403,23,8,9,11,1,2,8,3,19,15,13,13,21,17,26,24,1,2,2,1,2,1,0,0,54,43,11,18,"107,265m","109,134m",156,181,105,96,8.6%,13.5%,54.6%,45.4%,https://www.football-lab.jp/fctk/report/?year=2020&month=07&date=18
A,札幌,D,1,1,0.643,0.89,10,14,3,4,0,0,481,508,14,10,15,23,2,1,4,4,11,10,14,10,29,28,12,9,3,1,1,2,4,2,0,0,33,40,14,9,"115,476m","115,990m",182,233,116,119,8.6%,11.8%,48%,52%,https://www.football-lab.jp/fctk/report/?year=2020&month=07&date=22
A,鹿島,D,2,2,2.54,1.975,23,16,8,4,0,0,468,389,14,12,14,9,0,1,7,6,14,25,12,16,33,29,15,27,2,0,1,0,1,3,0,0,46,42,17,15,"107,900m","111,276m",154,180,123,123,18.7%,13.0%,50.9%,49.1%,https://www.football-lab.jp/fctk/report/?year=2020&month=07&date=26
H,鳥栖,L,2,3,1.028,1.972,14,12,6,3,0,0,417,445,15,24,10,13,2,3,3,4,17,23,13,7,20,19,28,14,0,0,3,2,0,3,0,0,31,43,9,17,"116,052m","111,970m",161,174,105,116,13.3%,10.3%,48.8%,51.2%,https://www.football-lab.jp/fctk/report/?year=2020&month=08&date=01
A,Ｃ大阪,D,0,0,0.706,1.585,9,18,5,6,0,0,536,367,20,14,16,9,3,2,3,7,17,13,11,9,12,23,24,27,0,3,2,3,2,2,0,0,59,44,12,14,"107,582m","108,215m",119,163,108,108,8.3%,16.7%,57.1%,42.9%,https://www.football-lab.jp/fctk/report/?year=2020&month=08&date=09
H,名古屋,W,1,0,0.518,1.708,7,14,3,6,0,1,602,373,13,6,15,14,2,2,2,1,20,19,7,6,14,11,8,21,1,1,2,2,3,0,1,0,42,40,6,10,"108,697m","105,463m",153,171,101,103,6.9%,13.6%,57.5%,42.5%,https://www.football-lab.jp/fctk/report/?year=2020&month=08&date=15
