HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_ゴール期待値,Opponent_ゴール期待値,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,L,1,3,0.821,2.526,16,12,5,6,0,2,551,303,14,13,10,8,1,1,5,6,22,24,28,10,20,32,14,19,0,3,1,1,0,1,0,0,50,30,16,12,"108,495m","106,227m",148,181,118,118,13.6%,10.2%,59.9%,40.1%,https://www.football-lab.jp/shim/report/?year=2020&month=02&date=23
H,名古屋,L,1,2,0.914,2.038,10,15,4,6,0,0,559,406,17,13,5,16,1,2,9,4,28,13,15,13,15,23,22,26,0,1,1,1,3,2,0,1,39,46,12,15,"111,322m","114,502m",146,163,106,99,9.4%,15.2%,55.3%,44.7%,https://www.football-lab.jp/shim/report/?year=2020&month=07&date=04
A,Ｃ大阪,L,0,2,1.058,1.039,11,18,2,4,0,0,492,553,16,20,6,12,4,1,2,5,14,21,13,15,22,26,17,14,1,4,1,3,1,1,0,0,50,54,6,23,"111,410m","111,464m",142,131,97,110,11.3%,16.4%,44.4%,55.6%,https://www.football-lab.jp/shim/report/?year=2020&month=07&date=08
H,Ｇ大阪,L,1,2,2.563,1.401,22,16,6,8,0,0,593,394,23,14,7,6,3,4,7,5,19,21,15,10,12,16,22,22,2,2,4,3,1,1,0,0,62,34,16,16,"113,593m","114,288m",173,159,113,111,19.5%,14.4%,59.5%,40.5%,https://www.football-lab.jp/shim/report/?year=2020&month=07&date=12
A,神戸,L,1,3,0.682,1.942,10,17,4,5,0,0,544,564,11,14,6,16,5,0,3,8,16,15,8,5,14,24,21,17,1,1,0,4,2,1,0,0,48,42,14,17,"114,715m","111,987m",183,166,94,106,10.6%,16.0%,47.6%,52.4%,https://www.football-lab.jp/shim/report/?year=2020&month=07&date=18
A,鳥栖,D,1,1,1.416,1.317,13,16,3,3,0,0,427,467,11,22,8,7,1,3,7,10,13,25,5,17,11,14,26,11,0,4,3,1,2,1,0,0,33,52,10,20,"110,862m","113,392m",166,179,92,98,14.1%,16.3%,44.2%,55.8%,https://www.football-lab.jp/shim/report/?year=2020&month=07&date=22
H,大分,W,4,2,2.824,0.675,22,4,12,2,0,0,602,518,13,16,11,4,4,0,7,1,22,15,10,4,19,10,14,27,2,6,0,4,0,0,0,0,51,39,17,6,"112,372m","115,284m",161,165,121,105,18.2%,3.8%,53%,47%,https://www.football-lab.jp/shim/report/?year=2020&month=07&date=26
A,浦和,D,1,1,0.994,0.903,11,12,2,2,0,0,582,335,18,13,8,14,1,2,12,8,21,15,15,13,24,20,17,31,1,3,2,1,1,2,0,0,57,28,15,11,"106,907m","108,504m",181,181,116,113,9.5%,10.6%,57.9%,42.1%,https://www.football-lab.jp/shim/report/?year=2020&month=08&date=01
H,札幌,W,3,1,3.18,1.122,22,14,5,4,1,0,453,499,17,14,13,12,2,0,4,5,14,18,10,10,10,22,20,17,2,1,0,1,1,6,0,1,43,36,18,13,"107,778m","105,524m",167,153,108,108,20.4%,13.0%,49.4%,50.6%,https://www.football-lab.jp/shim/report/?year=2020&month=08&date=08
A,仙台,D,0,0,0.896,0.968,14,13,3,5,0,0,596,461,24,20,12,9,4,0,5,3,31,17,8,13,14,27,15,33,0,3,0,4,1,2,0,0,56,43,14,17,"113,803m","117,003m",173,155,128,113,10.9%,11.5%,55.3%,44.7%,https://www.football-lab.jp/shim/report/?year=2020&month=08&date=15
H,横浜FM,L,3,4,1.952,1.287,17,17,4,9,0,0,444,509,17,28,18,5,4,7,5,7,26,20,8,11,11,19,32,22,1,2,8,4,0,2,0,0,33,64,13,21,"117,847m","123,851m",217,212,124,110,13.7%,15.5%,47.9%,52.1%,https://www.football-lab.jp/shim/report/?year=2020&month=08&date=19
H,横浜FC,L,2,3,1.515,1.331,19,12,10,8,0,0,515,652,18,14,7,16,1,1,9,2,14,12,9,5,9,10,8,18,6,0,1,1,0,0,0,0,56,44,22,13,"112,916m","113,116m",167,137,103,109,18.4%,11.0%,44.2%,55.8%,https://www.football-lab.jp/shim/report/?year=2020&month=08&date=22
A,川崎Ｆ,L,0,5,0.479,4.31,8,39,3,15,0,0,466,523,14,21,8,7,1,1,5,12,15,17,11,16,17,20,26,14,2,1,1,2,0,0,0,0,29,52,7,35,"110,560m","108,939m",155,168,106,109,7.5%,35.8%,48.1%,51.9%,https://www.football-lab.jp/shim/report/?year=2020&month=08&date=29
H,柏,L,1,2,1.165,0.985,14,12,4,2,0,0,498,386,23,12,11,13,2,1,6,5,22,19,13,7,16,20,18,34,4,1,1,1,4,4,0,0,50,34,16,9,"112,708m","107,522m",147,122,114,114,12.3%,10.5%,55.6%,44.4%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=05
A,広島,L,1,4,1.402,2.824,15,21,5,6,0,0,572,411,12,14,9,12,1,1,5,6,14,31,13,9,21,22,22,17,0,3,1,1,0,0,0,0,44,43,12,21,"110,258m","112,020m",165,149,116,123,12.9%,17.1%,56.6%,43.4%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=09
H,鹿島,L,1,2,0.7,2.4,11,25,2,6,0,0,479,446,12,14,8,13,2,0,7,5,34,21,11,13,10,28,14,25,2,1,0,2,0,2,0,0,28,54,10,23,"115,675m","114,158m",178,185,129,111,8.5%,22.5%,52.3%,47.7%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=12
A,横浜FM,L,0,3,0.642,2.038,6,19,1,7,0,0,347,823,10,45,9,5,2,3,2,7,14,24,10,19,28,22,38,12,4,0,3,2,1,0,1,0,15,122,5,39,"110,801m","123,474m",150,180,115,119,5.2%,16.0%,36.3%,63.7%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=16
A,湘南,W,3,0,2.007,0.571,18,9,8,2,0,0,499,340,9,18,12,13,1,3,3,3,22,24,11,11,19,16,24,16,2,1,3,1,0,0,0,0,43,38,13,9,"107,969m","107,329m",125,132,111,114,16.2%,7.9%,54.8%,45.2%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=19
H,浦和,L,1,2,1.487,0.794,15,7,5,4,0,0,624,429,23,11,11,20,2,1,6,3,15,18,15,4,15,22,15,24,3,0,1,0,3,1,0,0,62,29,16,5,"114,485m","112,564m",160,191,109,113,13.8%,6.2%,57.1%,42.9%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=23
A,名古屋,L,1,3,1.432,2.266,11,11,5,5,0,0,517,602,13,10,8,9,3,2,5,7,16,11,11,10,10,23,14,17,0,2,2,3,1,0,0,0,38,33,8,6,"113,672m","118,748m",131,137,95,94,11.6%,11.7%,45.9%,54.1%,https://www.football-lab.jp/shim/report/?year=2020&month=09&date=26
A,大分,L,1,2,0.404,2.172,8,10,2,5,0,0,596,619,5,15,11,13,3,0,0,2,22,17,10,5,11,19,16,14,3,2,0,3,6,0,0,0,31,30,6,13,"114,720m","117,725m",162,164,98,100,8.2%,10.0%,50.4%,49.6%,https://www.football-lab.jp/shim/report/?year=2020&month=10&date=03
H,広島,L,2,3,1.605,0.624,14,10,6,4,0,0,606,428,23,10,6,10,2,1,10,4,17,18,14,8,16,19,18,27,2,4,1,2,2,0,0,0,54,38,12,7,"113,691m","114,454m",147,156,119,114,11.8%,8.8%,58%,42%,https://www.football-lab.jp/shim/report/?year=2020&month=10&date=10
