HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,Opponent_ゴール期待値,y-fc_ゴール期待値,Opponent_シュート,y-fc_シュート,Opponent_枠内シュート,y-fc_枠内シュート,Opponent_PKによるシュート,y-fc_PKによるシュート,Opponent_パス,y-fc_パス,Opponent_クロス,y-fc_クロス,Opponent_直接ＦＫ,y-fc_直接ＦＫ,Opponent_間接ＦＫ,y-fc_間接ＦＫ,Opponent_ＣＫ,y-fc_ＣＫ,Opponent_スローイン,y-fc_スローイン,Opponent_ドリブル,y-fc_ドリブル,Opponent_タックル,y-fc_タックル,Opponent_クリア,y-fc_クリア,Opponent_インターセプト,y-fc_インターセプト,Opponent_オフサイド,y-fc_オフサイド,Opponent_警告,y-fc_警告,Opponent_退場,y-fc_退場,Opponent_３０ｍライン進入,y-fc_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fc_ペナルティエリア進入,Opponent_総移動距離,y-fc_総移動距離,Opponent_スプリント,y-fc_スプリント,Opponent_攻撃回数,y-fc_攻撃回数,Opponent_チャンス構築率,y-fc_チャンス構築率,Opponent_ボール保持率,y-fc_ボール保持率,URL
A,神戸,D,1,1,2.286,0.36,17,4,6,2,0,0,787,350,18,9,8,7,1,0,8,0,23,21,16,10,12,20,13,44,6,0,0,1,0,1,0,0,103,19,21,4,"114,758m","120,655m",181,142,120,108,14.2%,3.7%,65.4%,34.6%,https://www.football-lab.jp/y-fc/report/?year=2020&month=02&date=23
H,札幌,L,1,2,1.429,1.106,12,11,3,3,0,0,482,621,15,14,13,8,2,1,5,4,15,20,11,11,22,15,14,12,4,1,1,2,0,1,0,0,30,55,14,22,"111,370m","114,505m",140,149,108,107,11.1%,10.3%,42.7%,57.3%,https://www.football-lab.jp/y-fc/report/?year=2020&month=07&date=04
A,柏,W,3,1,2.089,0.667,16,4,4,2,0,0,446,478,16,6,11,7,3,3,7,1,25,28,9,9,17,18,18,30,1,4,3,3,1,1,0,0,44,34,13,5,"108,314m","111,125m",160,148,117,116,13.7%,3.4%,48.9%,51.1%,https://www.football-lab.jp/y-fc/report/?year=2020&month=07&date=08
H,仙台,D,1,1,1.509,0.549,13,6,3,2,0,0,349,559,22,15,12,15,4,1,4,3,20,22,15,14,23,16,15,24,3,1,1,3,3,0,0,0,36,47,16,9,"114,663m","118,379m",184,210,126,122,10.3%,4.9%,40.7%,59.3%,https://www.football-lab.jp/y-fc/report/?year=2020&month=07&date=12
H,川崎Ｆ,L,1,5,4.629,0.959,25,10,11,2,2,0,568,597,17,14,6,6,1,2,10,2,22,15,12,20,13,19,12,23,3,4,2,1,0,0,0,0,63,46,21,12,"114,557m","116,724m",164,138,119,103,21.0%,9.7%,48.9%,51.1%,https://www.football-lab.jp/y-fc/report/?year=2020&month=07&date=18
A,横浜FM,L,0,4,2.058,0.861,19,12,6,3,0,0,560,486,17,16,7,16,5,3,7,7,31,27,6,15,26,24,32,14,1,0,3,5,2,2,0,0,46,33,22,8,"119,887m","116,838m",169,184,126,137,15.1%,8.8%,53.1%,46.9%,https://www.football-lab.jp/y-fc/report/?year=2020&month=07&date=22
H,浦和,L,0,2,1.063,0.927,13,15,4,2,0,0,386,569,12,19,10,10,1,2,7,5,14,19,11,8,12,10,22,18,0,1,2,1,0,0,0,0,39,48,9,18,"111,017m","109,466m",150,129,98,96,13.3%,15.6%,45.8%,54.2%,https://www.football-lab.jp/y-fc/report/?year=2020&month=07&date=26
H,広島,L,0,2,2.169,0.293,14,7,3,2,0,0,553,540,14,13,12,17,0,0,6,3,22,22,11,5,16,12,17,16,2,1,0,0,1,1,0,0,58,43,12,10,"109,786m","109,894m",141,122,108,102,13.0%,6.9%,48.9%,51.1%,https://www.football-lab.jp/y-fc/report/?year=2020&month=08&date=01
A,Ｇ大阪,L,1,2,1.977,1.278,14,16,4,8,0,0,641,534,22,9,6,8,3,3,3,2,18,11,6,10,17,12,3,16,3,0,3,3,2,0,0,0,65,39,15,9,"112,321m","113,589m",158,137,98,95,14.3%,16.8%,51.9%,48.1%,https://www.football-lab.jp/y-fc/report/?year=2020&month=08&date=08
H,湘南,W,4,2,1.767,1.63,15,14,4,6,0,1,494,516,25,7,15,5,3,1,4,5,15,16,13,5,17,11,9,30,2,0,1,3,1,1,0,0,43,43,14,19,"112,666m","111,964m",153,117,102,97,14.7%,14.4%,50%,50%,https://www.football-lab.jp/y-fc/report/?year=2020&month=08&date=15
