HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_ゴール期待値,Opponent_ゴール期待値,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,L,1,2,1.846,1.383,20,10,4,6,0,0,764,283,29,10,9,7,3,4,5,6,41,19,20,11,24,29,18,53,1,1,4,3,0,0,0,0,75,24,19,10,"117,612m","121,075m",190,218,155,137,12.9%,7.3%,65.6%,34.4%,https://www.football-lab.jp/y-fm/report/?year=2020&month=02&date=23
A,浦和,D,0,0,1.86,0.642,17,14,3,2,0,0,774,227,28,5,15,15,5,1,13,3,25,22,20,7,19,30,11,27,0,3,1,5,0,2,0,0,81,17,32,4,"122,517m","119,443m",198,205,131,112,13.0%,12.5%,68.2%,31.8%,https://www.football-lab.jp/y-fm/report/?year=2020&month=07&date=04
H,湘南,W,3,2,0.966,0.714,10,11,5,5,0,0,663,213,23,11,16,17,1,8,8,3,32,26,13,13,16,31,16,32,1,6,8,1,2,5,0,0,67,20,16,9,"122,663m","121,867m",215,261,136,141,7.4%,7.8%,66.1%,33.9%,https://www.football-lab.jp/y-fm/report/?year=2020&month=07&date=08
H,FC東京,L,1,3,1.669,1.336,9,8,1,5,0,1,750,220,28,4,10,18,6,4,5,1,30,15,13,6,23,36,9,36,0,7,3,6,3,2,0,0,81,16,21,9,"114,399m","113,070m",150,213,141,140,6.4%,5.7%,65.1%,34.9%,https://www.football-lab.jp/y-fm/report/?year=2020&month=07&date=12
A,鹿島,L,2,4,2.589,1.721,15,16,4,8,0,0,710,293,16,15,14,16,4,4,5,1,20,19,18,8,13,30,22,14,2,5,3,4,0,0,0,0,57,33,20,13,"119,076m","115,676m",167,206,145,131,10.3%,12.2%,64.8%,35.2%,https://www.football-lab.jp/y-fm/report/?year=2020&month=07&date=18
H,横浜FC,W,4,0,2.058,0.861,19,12,6,3,0,0,560,486,17,16,7,16,5,3,7,7,31,27,6,15,26,24,32,14,1,0,3,5,2,2,0,0,46,33,22,8,"119,887m","116,838m",169,184,126,137,15.1%,8.8%,53.1%,46.9%,https://www.football-lab.jp/y-fm/report/?year=2020&month=07&date=22
A,札幌,L,1,3,1.424,1.154,11,15,4,7,0,0,697,346,15,8,13,18,8,1,5,5,25,18,11,15,20,27,26,30,2,4,1,8,3,1,0,0,39,23,17,11,"123,473m","121,722m",177,184,123,127,8.9%,11.8%,61.9%,38.1%,https://www.football-lab.jp/y-fm/report/?year=2020&month=07&date=26
A,仙台,W,1,0,2.309,0.731,17,9,4,6,0,0,783,263,36,13,11,7,2,0,15,5,31,21,17,7,15,20,16,34,4,2,0,2,2,0,0,0,74,24,30,8,"121,724m","118,801m",174,186,140,124,12.1%,7.3%,68.3%,31.7%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=01
H,柏,D,1,1,1.354,0.688,17,11,5,3,0,0,794,266,34,9,20,10,4,3,7,7,24,18,16,7,18,27,14,35,3,2,3,4,1,1,0,0,95,14,29,9,"118,548m","111,410m",142,123,122,115,13.9%,9.6%,64.9%,35.1%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=08
A,大分,L,0,1,1.022,0.985,14,8,2,2,0,0,702,396,13,14,8,8,3,1,9,3,26,29,10,10,20,23,10,21,2,3,1,3,0,1,0,0,50,26,17,8,"125,231m","122,303m",223,205,123,123,11.4%,6.5%,58%,42%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=15
A,清水,W,4,3,1.287,1.952,17,17,9,4,0,0,509,444,28,17,5,18,7,4,7,5,20,26,11,8,19,11,22,32,2,1,4,8,2,0,0,0,64,33,21,13,"123,851m","117,847m",212,217,110,124,15.5%,13.7%,52.1%,47.9%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=19
H,広島,W,3,1,1.203,1.182,13,12,3,4,0,0,606,418,15,16,18,14,10,2,2,4,26,23,14,8,22,30,20,24,0,2,2,9,1,2,0,0,55,35,16,11,"119,717m","111,962m",193,158,127,125,10.2%,9.6%,56.4%,43.6%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=23
H,札幌,W,4,1,1.934,2.183,18,14,9,2,0,0,631,447,26,13,14,11,4,4,9,4,20,18,19,19,24,15,11,22,1,3,4,4,2,1,0,0,61,31,24,16,"121,444m","117,813m",200,141,132,121,13.6%,11.6%,57.7%,42.3%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=26
A,神戸,D,3,3,2.09,2.153,14,14,4,7,1,0,482,510,15,14,7,18,7,4,0,8,36,22,11,12,18,15,14,16,2,0,4,7,3,1,0,0,48,32,15,9,"116,152m","110,000m",196,198,126,137,11.1%,10.2%,46%,54%,https://www.football-lab.jp/y-fm/report/?year=2020&month=08&date=29
H,川崎Ｆ,L,1,3,0.68,1.665,11,14,3,3,0,0,615,519,15,23,4,9,8,2,2,6,21,23,18,18,19,31,18,18,3,6,2,8,0,1,0,0,48,57,17,26,"114,850m","111,430m",169,163,122,131,9.0%,10.7%,50.5%,49.5%,https://www.football-lab.jp/y-fm/report/?year=2020&month=09&date=05
A,名古屋,L,1,2,0.51,0.696,8,9,3,4,0,0,623,279,8,10,21,22,9,3,3,2,30,27,9,4,11,28,18,19,0,3,3,9,3,2,0,0,48,20,11,11,"118,635m","119,270m",173,182,129,125,6.2%,7.2%,64.6%,35.4%,https://www.football-lab.jp/y-fm/report/?year=2020&month=09&date=09
H,Ｃ大阪,L,1,2,2.314,1.832,21,14,4,4,0,0,756,454,32,15,4,12,0,2,5,2,15,11,9,12,22,18,7,35,3,4,1,0,1,0,1,0,80,34,27,12,"118,388m","115,010m",165,139,110,110,19.1%,12.7%,57.3%,42.7%,https://www.football-lab.jp/y-fm/report/?year=2020&month=09&date=13
H,清水,W,3,0,2.038,0.642,19,6,7,1,0,0,823,347,45,10,5,9,3,2,7,2,24,14,19,10,22,28,12,38,0,4,2,3,0,1,0,1,122,15,39,5,"123,474m","110,801m",180,150,119,115,16.0%,5.2%,63.7%,36.3%,https://www.football-lab.jp/y-fm/report/?year=2020&month=09&date=16
