HOME/AWAY,Opponent,勝敗,oita_得点,oita_失点,oita_ゴール期待値,Opponent_ゴール期待値,oita_シュート,Opponent_シュート,oita_枠内シュート,Opponent_枠内シュート,oita_PKによるシュート,Opponent_PKによるシュート,oita_パス,Opponent_パス,oita_クロス,Opponent_クロス,oita_直接ＦＫ,Opponent_直接ＦＫ,oita_間接ＦＫ,Opponent_間接ＦＫ,oita_ＣＫ,Opponent_ＣＫ,oita_スローイン,Opponent_スローイン,oita_ドリブル,Opponent_ドリブル,oita_タックル,Opponent_タックル,oita_クリア,Opponent_クリア,oita_インターセプト,Opponent_インターセプト,oita_オフサイド,Opponent_オフサイド,oita_警告,Opponent_警告,oita_退場,Opponent_退場,oita_３０ｍライン進入,Opponent_３０ｍライン進入,oita_ペナルティエリア進入,Opponent_ペナルティエリア進入,oita_総移動距離,Opponent_総移動距離,oita_スプリント,Opponent_スプリント,oita_攻撃回数,Opponent_攻撃回数,oita_チャンス構築率,Opponent_チャンス構築率,oita_ボール保持率,Opponent_ボール保持率,URL
H,徳島,D,1,1,0.924,1.094,10,13,2,2,0,0,384,620,13,21,5,10,0,0,4,4,21,17,7,13,19,13,33,16,4,1,0,0,0,0,0,0,21,58,6,13,"125,513m","121,497m",166,165,106,103,9.4%,12.6%,37.4%,62.6%,https://www.football-lab.jp/oita/report/?year=2021&month=02&date=27
A,横浜FC,W,2,1,0.743,2.208,7,21,3,7,0,0,479,461,13,27,10,12,3,0,2,5,21,26,4,8,15,17,33,14,1,2,0,3,0,2,0,0,29,53,11,13,"122,411m","119,843m",148,161,116,120,6.0%,17.5%,49.1%,50.9%,https://www.football-lab.jp/oita/report/?year=2021&month=03&date=06
H,FC東京,D,1,1,1.089,0.826,10,11,1,3,0,0,627,423,12,19,5,8,1,0,4,6,22,28,6,10,15,12,30,15,0,0,0,1,0,0,0,0,21,36,8,16,"121,550m","120,572m",158,195,105,113,9.5%,9.7%,55.8%,44.2%,https://www.football-lab.jp/oita/report/?year=2021&month=03&date=14
A,Ｃ大阪,L,0,1,0.24,0.473,5,6,1,2,0,0,573,538,15,12,10,13,2,2,3,2,28,25,6,11,17,14,25,15,0,2,2,2,1,0,0,0,30,43,5,10,"126,052m","120,950m",140,146,122,113,4.1%,5.3%,49.3%,50.7%,https://www.football-lab.jp/oita/report/?year=2021&month=03&date=17
H,広島,L,1,3,0.584,2.08,8,20,3,7,0,0,486,659,11,23,9,7,3,2,1,5,11,19,4,18,16,5,24,15,2,1,2,3,0,0,0,0,26,52,7,16,"127,757m","122,369m",183,191,99,104,8.1%,19.2%,44%,56%,https://www.football-lab.jp/oita/report/?year=2021&month=03&date=21
A,川崎Ｆ,L,0,2,0.394,2.012,5,17,0,6,0,0,642,660,16,16,6,9,2,0,1,7,29,23,8,7,23,18,26,23,0,2,0,2,0,0,0,0,27,59,4,24,"120,054m","117,003m",146,179,104,108,4.8%,15.7%,52%,48%,https://www.football-lab.jp/oita/report/?year=2021&month=04&date=03
A,神戸,L,0,1,0.295,0.837,5,8,0,2,0,0,642,609,8,7,9,7,1,1,1,1,29,29,5,9,24,20,4,15,1,1,1,1,0,0,0,0,28,36,3,6,"125,141m","126,413m",176,189,104,103,4.8%,7.8%,50.6%,49.4%,https://www.football-lab.jp/oita/report/?year=2021&month=04&date=07
H,名古屋,L,0,3,0.435,0.988,9,6,2,3,0,0,679,471,16,8,3,13,0,1,7,3,16,24,4,9,16,15,19,16,0,2,1,0,1,0,0,0,43,28,9,9,"119,873m","121,434m",172,181,96,106,9.4%,5.7%,55.3%,44.7%,https://www.football-lab.jp/oita/report/?year=2021&month=04&date=11
H,柏,L,0,1,1.705,2.296,8,12,2,4,1,1,605,415,14,11,5,9,1,1,5,5,22,12,6,4,11,15,21,33,0,1,1,1,1,2,0,0,35,24,6,9,"120,484m","118,020m",195,203,102,96,7.8%,12.5%,58.2%,41.8%,https://www.football-lab.jp/oita/report/?year=2021&month=04&date=17
A,浦和,L,2,3,1.923,1.385,16,9,6,4,0,0,426,771,14,19,4,12,0,0,6,4,12,29,4,12,23,15,22,18,4,3,0,0,1,0,0,0,41,45,11,16,"127,764m","121,077m",173,141,108,113,14.8%,8.0%,36.5%,63.5%,https://www.football-lab.jp/oita/report/?year=2021&month=04&date=25
