HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,sapp_ゴール期待値,Opponent_ゴール期待値,sapp_シュート,Opponent_シュート,sapp_枠内シュート,Opponent_枠内シュート,sapp_PKによるシュート,Opponent_PKによるシュート,sapp_パス,Opponent_パス,sapp_クロス,Opponent_クロス,sapp_直接ＦＫ,Opponent_直接ＦＫ,sapp_間接ＦＫ,Opponent_間接ＦＫ,sapp_ＣＫ,Opponent_ＣＫ,sapp_スローイン,Opponent_スローイン,sapp_ドリブル,Opponent_ドリブル,sapp_タックル,Opponent_タックル,sapp_クリア,Opponent_クリア,sapp_インターセプト,Opponent_インターセプト,sapp_オフサイド,Opponent_オフサイド,sapp_警告,Opponent_警告,sapp_退場,Opponent_退場,sapp_３０ｍライン進入,Opponent_３０ｍライン進入,sapp_ペナルティエリア進入,Opponent_ペナルティエリア進入,sapp_総移動距離,Opponent_総移動距離,sapp_スプリント,Opponent_スプリント,sapp_攻撃回数,Opponent_攻撃回数,sapp_チャンス構築率,Opponent_チャンス構築率,sapp_ボール保持率,Opponent_ボール保持率,URL
H,横浜FC,W,5,1,1.922,0.666,23,4,11,2,0,0,585,420,16,9,4,17,0,3,6,2,20,21,14,6,16,14,11,19,1,1,3,0,0,1,0,0,49,21,25,4,"118,121m","117,502m",175,166,110,120,20.9%,3.3%,54.3%,45.7%,https://www.football-lab.jp/sapp/report/?year=2021&month=02&date=27
A,名古屋,L,0,1,0.747,1.289,8,11,5,4,0,0,512,402,8,7,10,17,1,0,11,3,25,31,17,15,21,22,17,32,1,2,0,1,1,1,0,0,37,19,8,6,"113,146m","114,190m",163,188,122,119,6.6%,9.2%,54.3%,45.7%,https://www.football-lab.jp/sapp/report/?year=2021&month=03&date=06
A,広島,L,1,2,2.855,1.443,21,13,5,5,1,0,629,360,15,12,10,13,0,2,5,6,26,23,10,10,15,14,11,28,1,1,2,0,2,1,0,0,44,35,18,13,"117,428m","119,716m",178,197,118,116,17.8%,11.2%,60.2%,39.8%,https://www.football-lab.jp/sapp/report/?year=2021&month=03&date=10
A,浦和,D,0,0,1.628,1.267,20,11,4,4,0,0,637,359,28,9,7,10,0,2,10,1,13,6,19,7,19,19,14,44,2,0,2,0,0,0,0,0,60,33,21,6,"116,068m","118,877m",148,189,118,105,16.9%,10.5%,58.5%,41.5%,https://www.football-lab.jp/sapp/report/?year=2021&month=03&date=17
H,神戸,L,3,4,2.701,2.559,15,14,3,8,2,1,449,447,15,13,7,19,0,2,3,4,16,17,20,8,19,20,18,18,2,2,2,0,0,1,0,0,41,22,16,12,"116,005m","119,590m",167,230,127,138,11.8%,10.1%,50%,50%,https://www.football-lab.jp/sapp/report/?year=2021&month=03&date=20
A,福岡,W,2,1,0.825,2.143,13,18,4,6,0,0,579,428,15,24,7,9,1,0,3,4,21,23,17,9,26,17,17,29,0,2,0,1,3,0,0,0,56,33,14,15,"117,340m","119,044m",202,173,138,144,9.4%,12.5%,56.2%,43.8%,https://www.football-lab.jp/sapp/report/?year=2021&month=04&date=03
A,FC東京,L,1,2,1.974,1.942,16,9,2,2,0,1,569,310,16,5,3,9,1,2,7,4,20,16,17,12,16,14,15,29,0,1,2,1,1,1,1,1,65,24,14,4,"108,292m","106,536m",153,154,99,111,16.2%,8.1%,57.9%,42.1%,https://www.football-lab.jp/sapp/report/?year=2021&month=04&date=07
H,鹿島,D,2,2,2.839,2.032,17,15,8,6,1,0,455,348,14,13,6,9,2,1,3,3,27,21,21,6,23,25,9,19,1,1,1,2,0,1,0,0,40,34,17,13,"109,283m","113,323m",161,174,118,116,14.4%,12.9%,56.4%,43.6%,https://www.football-lab.jp/sapp/report/?year=2021&month=04&date=11
H,横浜FM,L,1,3,1.564,2.153,17,13,8,8,0,0,401,571,13,14,12,17,0,6,9,4,21,25,16,10,27,17,30,22,3,0,6,0,3,1,0,0,32,39,15,16,"122,660m","127,296m",210,242,132,143,12.9%,9.1%,46.4%,53.6%,https://www.football-lab.jp/sapp/report/?year=2021&month=04&date=16
H,仙台,W,2,1,1.322,0.857,17,12,5,2,0,0,623,318,17,12,4,6,1,1,5,4,21,21,12,5,24,22,22,28,2,4,1,1,0,0,0,0,55,38,19,8,"113,843m","117,570m",195,206,119,121,14.3%,9.9%,65.7%,34.3%,https://www.football-lab.jp/sapp/report/?year=2021&month=04&date=24
