HOME/AWAY,Opponent,勝敗,send_得点,send_失点,Opponent_ゴール期待値,send_ゴール期待値,Opponent_シュート,send_シュート,Opponent_枠内シュート,send_枠内シュート,Opponent_PKによるシュート,send_PKによるシュート,Opponent_パス,send_パス,Opponent_クロス,send_クロス,Opponent_直接ＦＫ,send_直接ＦＫ,Opponent_間接ＦＫ,send_間接ＦＫ,Opponent_ＣＫ,send_ＣＫ,Opponent_スローイン,send_スローイン,Opponent_ドリブル,send_ドリブル,Opponent_タックル,send_タックル,Opponent_クリア,send_クリア,Opponent_インターセプト,send_インターセプト,Opponent_オフサイド,send_オフサイド,Opponent_警告,send_警告,Opponent_退場,send_退場,Opponent_３０ｍライン進入,send_３０ｍライン進入,Opponent_ペナルティエリア進入,send_ペナルティエリア進入,Opponent_総移動距離,send_総移動距離,Opponent_スプリント,send_スプリント,Opponent_攻撃回数,send_攻撃回数,Opponent_チャンス構築率,send_チャンス構築率,Opponent_ボール保持率,send_ボール保持率,URL
A,広島,D,1,1,3.082,0.786,19,7,7,4,0,0,605,382,19,13,8,8,0,1,7,4,20,21,9,5,20,23,10,26,4,0,1,0,0,0,0,1,85,28,19,8,"114,175m","110,101m",164,183,108,114,17.6%,6.1%,57.6%,42.4%,https://www.football-lab.jp/send/report/?year=2021&month=02&date=27
H,川崎Ｆ,L,1,5,2.948,1.697,17,13,7,3,0,0,658,403,17,10,13,12,1,4,6,3,24,24,12,15,28,18,23,19,5,1,4,1,0,2,0,0,47,31,15,15,"118,610m","118,718m",210,184,145,141,11.7%,9.2%,59.7%,40.3%,https://www.football-lab.jp/send/report/?year=2021&month=03&date=06
A,鳥栖,L,0,5,2.135,2.066,18,13,9,3,0,1,617,569,11,19,7,14,1,1,2,8,18,10,9,12,12,11,30,17,1,0,1,1,1,0,0,0,45,38,10,12,"133,974m","124,986m",159,150,103,119,17.5%,10.9%,55.4%,44.6%,https://www.football-lab.jp/send/report/?year=2021&month=03&date=10
A,湘南,L,1,3,0.84,1.29,11,16,6,10,0,0,361,581,19,13,12,12,1,2,4,5,19,20,7,14,28,18,21,30,0,2,2,1,1,2,0,0,35,37,11,19,"121,090m","117,598m",190,173,120,136,9.2%,11.8%,41.8%,58.2%,https://www.football-lab.jp/send/report/?year=2021&month=03&date=13
A,FC東京,L,1,2,1.964,0.919,16,11,3,3,0,0,333,461,10,16,16,10,1,0,5,4,24,26,11,7,20,22,24,13,1,0,0,1,1,5,0,0,34,36,13,6,"106,532m","106,196m",180,158,116,113,13.8%,9.7%,46%,54%,https://www.football-lab.jp/send/report/?year=2021&month=03&date=21
H,神戸,L,0,2,1.102,0.601,13,7,3,0,0,0,522,463,14,7,10,7,1,0,8,4,22,32,12,12,18,20,24,17,3,1,0,1,0,1,0,0,41,30,6,10,"120,617m","116,717m",224,153,119,125,10.9%,5.6%,52%,48%,https://www.football-lab.jp/send/report/?year=2021&month=04&date=03
A,徳島,L,0,1,1.448,1.054,9,14,3,3,0,0,466,377,7,19,12,10,1,2,6,3,19,30,7,12,20,15,28,11,3,7,2,1,2,1,0,0,34,30,3,13,"112,189m","115,211m",173,145,118,119,7.6%,11.8%,60.2%,39.8%,https://www.football-lab.jp/send/report/?year=2021&month=04&date=07
H,横浜FM,D,0,0,0.818,0.175,8,4,1,1,0,0,696,235,28,12,13,10,2,2,7,0,37,31,14,10,14,20,18,33,1,5,2,2,2,1,0,0,58,23,11,6,"120,963m","121,135m",208,189,147,129,5.4%,3.1%,68.9%,31.1%,https://www.football-lab.jp/send/report/?year=2021&month=04&date=11
A,横浜FC,D,2,2,1.127,2.846,10,20,4,6,0,0,383,530,8,23,8,8,0,1,3,7,24,28,3,17,19,18,24,9,0,2,1,0,1,1,0,0,29,53,6,13,"114,613m","113,533m",228,182,120,128,8.3%,15.6%,46.8%,53.2%,https://www.football-lab.jp/send/report/?year=2021&month=04&date=17
A,札幌,L,1,2,1.322,0.857,17,12,5,2,0,0,623,318,17,12,4,6,1,1,5,4,21,21,12,5,24,22,22,28,2,4,1,1,0,0,0,0,55,38,19,8,"113,843m","117,570m",195,206,119,121,14.3%,9.9%,65.7%,34.3%,https://www.football-lab.jp/send/report/?year=2021&month=04&date=24
H,柏,W,1,0,1.253,0.937,10,9,4,3,0,0,533,331,21,8,16,14,0,3,5,3,32,26,10,10,24,22,15,36,2,2,3,0,2,2,0,0,50,25,16,4,"114,621m","118,267m",205,208,124,122,8.1%,7.4%,59%,41%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=01
A,浦和,L,0,2,0.985,0.695,8,10,3,5,0,0,638,425,14,14,13,9,0,1,3,6,29,11,6,12,18,20,13,19,2,2,1,0,0,1,0,0,40,40,13,7,"112,097m","115,236m",150,132,110,106,7.3%,9.4%,61.7%,38.3%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=09
A,川崎Ｆ,D,2,2,1.603,1.426,19,11,6,5,0,0,719,240,19,5,9,7,3,1,11,4,27,29,9,12,17,9,12,24,0,3,1,3,0,1,0,0,71,11,19,7,"109,495m","116,863m",147,133,125,121,15.2%,9.1%,68%,32%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=12
H,福岡,L,0,1,0.882,1.257,13,14,4,3,0,0,399,409,25,23,11,7,0,1,5,6,28,25,12,21,19,15,29,32,3,0,1,0,1,3,0,0,41,35,16,12,"113,415m","117,528m",178,183,135,129,9.6%,10.9%,49.8%,50.2%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=15
H,大分,W,2,1,2.218,0.623,11,7,5,3,0,0,601,358,21,4,8,11,2,2,4,1,31,29,3,4,20,12,10,27,5,0,2,2,0,0,0,0,43,25,12,7,"119,105m","120,352m",173,168,109,103,10.1%,6.8%,59.8%,40.2%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=22
A,名古屋,W,1,0,0.989,0.443,18,7,4,3,0,0,635,288,27,10,15,10,1,0,3,6,41,27,18,9,13,25,24,43,3,1,0,1,1,0,0,0,59,17,26,10,"116,564m","117,397m",179,183,135,131,13.3%,5.3%,64.7%,35.3%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=26
H,Ｃ大阪,D,1,1,2.108,0.93,16,10,7,4,0,0,556,409,17,12,12,12,0,2,5,1,19,13,7,14,24,15,15,26,2,2,2,0,1,1,0,0,60,35,13,6,"113,732m","117,593m",165,175,115,109,13.9%,9.2%,58%,42%,https://www.football-lab.jp/send/report/?year=2021&month=05&date=30
A,鹿島,D,1,1,1.929,1.013,23,6,9,3,0,0,579,300,30,5,8,4,1,1,10,2,35,23,21,9,15,30,14,51,2,3,1,1,2,1,0,0,65,15,15,3,"117,473m","118,469m",194,186,143,131,16.1%,4.6%,60.8%,39.2%,https://www.football-lab.jp/send/report/?year=2021&month=06&date=20
H,清水,L,2,3,1.353,1.192,13,14,4,8,0,0,341,589,14,22,11,8,2,0,4,5,32,26,12,8,18,33,34,31,2,4,0,2,0,1,0,0,29,46,11,13,"119,802m","117,129m",173,170,114,117,11.4%,12.0%,40.7%,59.3%,https://www.football-lab.jp/send/report/?year=2021&month=06&date=23
H,浦和,D,0,0,1.671,0.776,13,11,7,3,0,0,613,306,20,15,10,9,2,1,8,4,17,20,11,9,10,9,25,16,0,2,1,1,3,2,0,0,49,27,12,8,"108,375m","111,066m",147,134,96,98,13.5%,11.2%,64%,36%,https://www.football-lab.jp/send/report/?year=2021&month=07&date=03
