HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_ゴール期待値,shim_ゴール期待値,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_総移動距離,shim_総移動距離,Opponent_スプリント,shim_スプリント,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
A,鹿島,W,3,1,2.313,0.541,23,9,4,3,0,0,607,399,23,12,9,11,1,3,6,2,26,31,10,9,19,19,14,42,3,3,3,1,0,0,0,0,61,25,15,5,"117,370m","121,481m",183,183,133,137,17.3%,6.6%,56%,44%,https://www.football-lab.jp/shim/report/?year=2021&month=02&date=27
H,福岡,D,2,2,0.798,0.626,9,8,3,5,0,0,464,391,15,16,10,13,2,1,4,6,36,23,9,9,22,15,29,30,0,0,1,2,1,0,0,0,36,20,9,10,"110,976m","112,762m",159,143,116,111,7.8%,7.2%,52.9%,47.1%,https://www.football-lab.jp/shim/report/?year=2021&month=03&date=06
A,Ｃ大阪,L,1,2,2.582,1.844,11,14,3,5,1,0,501,519,21,17,4,10,0,1,11,8,27,21,10,11,17,11,18,33,3,6,1,0,0,0,0,0,37,39,9,8,"122,047m","123,753m",187,188,106,99,10.4%,14.1%,49%,51%,https://www.football-lab.jp/shim/report/?year=2021&month=03&date=10
H,鳥栖,D,0,0,1.213,0.37,16,4,7,1,0,0,827,378,8,5,7,7,1,0,8,2,21,17,9,3,16,8,11,23,2,1,0,1,1,1,0,0,57,11,7,6,"126,606m","129,908m",148,183,91,82,17.6%,4.9%,66.1%,33.9%,https://www.football-lab.jp/shim/report/?year=2021&month=03&date=14
A,広島,L,0,1,1.007,0.482,11,5,4,1,0,0,661,560,13,19,5,3,0,1,6,4,19,22,10,13,16,22,16,14,1,2,1,0,1,0,0,0,64,30,10,4,"123,541m","125,781m",149,181,101,99,10.9%,5.1%,52.8%,47.2%,https://www.football-lab.jp/shim/report/?year=2021&month=03&date=17
A,柏,W,2,1,1.048,0.457,13,3,2,2,0,0,525,220,25,10,10,15,0,0,11,3,44,30,15,6,18,20,12,36,1,1,0,0,0,0,0,0,40,19,8,5,"110,340m","113,003m",168,178,136,129,9.6%,2.3%,62.9%,37.1%,https://www.football-lab.jp/shim/report/?year=2021&month=03&date=21
H,徳島,L,0,3,1.728,0.856,12,14,6,3,1,0,423,472,6,20,13,10,0,1,5,6,15,18,12,13,18,14,27,10,4,0,1,0,0,0,0,0,33,37,6,10,"119,529m","116,530m",190,165,105,105,11.4%,13.3%,50.2%,49.8%,https://www.football-lab.jp/shim/report/?year=2021&month=04&date=04
H,浦和,L,0,2,0.895,0.277,10,8,2,2,0,0,624,522,15,13,7,7,0,2,5,3,27,20,10,7,20,10,19,15,2,4,2,0,0,1,0,0,43,32,12,2,"119,078m","121,680m",158,146,107,100,9.3%,8.0%,54.7%,45.3%,https://www.football-lab.jp/shim/report/?year=2021&month=04&date=07
A,神戸,D,1,1,1.136,0.701,7,13,3,3,0,0,586,470,11,10,8,12,4,2,3,2,31,16,9,7,20,25,15,22,2,3,2,4,0,0,0,0,35,41,8,6,"125,885m","122,105m",227,199,121,113,5.8%,11.5%,53.4%,46.6%,https://www.football-lab.jp/shim/report/?year=2021&month=04&date=11
A,Ｇ大阪,D,0,0,0.69,0.897,13,13,1,2,0,0,599,505,19,15,9,9,0,1,1,3,22,21,13,13,14,10,19,32,2,3,1,0,2,1,0,0,45,41,7,20,"119,319m","120,971m",155,174,111,109,11.7%,11.9%,53.9%,46.1%,https://www.football-lab.jp/shim/report/?year=2021&month=04&date=18
